NQUEST;Y;YL;YL1;YL2;YT;YTP;YTP1;YTP2;YTA;YTA1;YTA11;YTA12;YTA2;YTA3;YTA31;YTA32;YTA4;YTA5;YM;YC;YCA;YCA1;YCA2;YCF;YCF1;YCF2;YCF3;YCF4;CLY;CLY2
930256;13.543.808.837;0;0;0;107900;107900;107900;0;0;0;0;0;0;0;0;0;0;0;0;2.753.808.837;25000;0;25000;25.380.883.702;46.483.054.083;72.476.665.412;24.191.286.507;0;10;5
930257;12.635.170.911;0;0;0;87100;87100;87100;0;0;0;0;0;0;0;0;0;0;0;0;39.251.709.109;30960;0;30960;82.917.091.092;21.692.091.905;0;82.700.170.173;0;10;5
930279;41.804.895.085;0;0;0;35800;34800;34800;0;1000;1000;600;400;0;0;0;0;0;0;0;60.048.950.846;6000;0;6000;48.950.846.252;48.950.846.252;0;0;0;8;4
930284;57.496.175.313;0;0;0;44800;52000;52000;0;-7200;0;0;0;0;-7200;0;7200;0;0;0;12.696.175.313;12600;0;12600;96.175.313.221;96.175.313.221;0;0;0;9;5
930287;23.236.977.405;0;0;0;18200;18200;18200;0;0;0;0;0;0;0;0;0;0;0;0;50.369.774.054;4975;175;4800;61.977.405.444;61.977.405.444;0;0;0;4;2
930301;12.391.920.919;0;0;0;114000;114000;114000;0;0;0;0;0;0;0;0;0;0;0;0;99.192.091.905;7750;0;7750;21.692.091.905;21.692.091.905;0;0;0;10;5
930323;405.251.675;0;0;0;32500;32500;32500;0;0;0;0;0;0;0;0;0;0;0;0;80.251.675.001;7200;1200;6000;82.516.750.012;15.494.351.361;0;67.022.398.651;0;7;4
930335;88.107.873.176;0;0;0;54000;54000;54000;0;0;0;0;0;0;0;0;0;0;0;0;34.107.873.176;33000;0;33000;11.078.731.761;61.977.405.444;18.646.931.262;301.629.809;0;10;5
930336;6.110.846.046;55000;55000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.084.604.595;6000;0;6000;10.846.045.953;10.846.045.953;0;0;0;9;5
930337;11.527.145.233;30000;30000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70000;1.527.145.233;10600;0;10600;46.714.523.304;12.455.240.346;0;45.468.999.269;0;10;5
