NQUEST;NCOMP;nord;SEX;PARENT;NASC;ANASC;CIT;ANINGR;MOTIV;STACIV;STUDIO;TIPOLAU;VOTOEDU;SUEDU;SELODE;ANNOEDU;TIPODIP;UNIVER;PRESNORD;NORDP;MOTENT;ANNOENUS;B01;APQUAL2;ASNONOC2;NACE2;NESPLAV;EXLAV;ETALAV;DISLAV;DISANN1;DISANN2;CONTRIB;ACONTRIB;FCONTRIB;OCCNOW;PROBLAV1;CERC2;PROBLAV2;SALMIN;SMARTW;SMARTWA;SMARTWB;ETAPEN;COPPU;PREVCOM;COPPIP;b22;b23a;b23b;b24;b25a;b25b;b25c;ATTIVP;ISCO;NACE;ETALAV2;MISCOVID1;MISCOVID2;MISCOVIDV1;ETA;NASCREG;NASCAREA;IREG;PARENTP;smartwa1;CLETA5;QUAL;Q;SETT;CFRED;PERC;PERL;NPERL;NPERC;AREA3;AREA5;ACOM4C;ACOM5;PESOFIT2;PESOFIT
957092;5;1;2;1;1;1963;1;;;1;3;;;;;;;;1;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;57;16;3;16;;;4;7;3;5;0;0;0;1;1;3;4;1;3;24.398.623.251;0.6011680116
957092;5;2;1;2;1;1962;1;;;1;5;;42;60;;1981;2;2;2;;;;1;8;;;1;;24;2;;;1;30;1;1;;2;;;2;;;;;;;2;1;2;2;2;2;2;;7411;4;;1;2;1000;58;16;3;16;;;4;5;2;2;1;1;1;1;1;3;4;1;3;24.398.623.251;0.6011680116
957092;5;3;2;6;1;1995;1;;;2;6;10;100;110;0;2020;4;;2;;;;2;11;;;0;;;;;;;;;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;25;16;3;16;;;1;7;3;5;0;0;0;1;1;3;4;1;3;24.398.623.251;0.6011680116
957092;5;4;2;6;1;1997;1;;;2;5;;80;100;;2017;2;2;2;;;;2;11;;;0;;;;;;;;;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;23;16;3;16;;;1;7;3;5;0;0;0;1;1;3;4;1;3;24.398.623.251;0.6011680116
957092;5;5;1;6;1;1998;1;;;2;4;;;;;;;;2;;;;2;11;;;0;;;;;;;;;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;22;16;3;16;;;1;7;3;5;0;0;0;1;1;3;4;1;3;24.398.623.251;0.6011680116
957093;4;1;1;1;1;1953;1;;;1;3;;;;;;;;1;;;;2;15;1;3;1;;22;2;;;1;41;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;67;16;3;16;;;5;6;3;5;0;1;0;2;4;3;4;1;3;19.426.451.135;0.478656557
957093;4;2;2;2;1;1954;1;;;1;2;;;;;;;;2;;;;2;16;;;1;;20;1;32;;1;7;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;66;16;3;16;;;5;6;3;5;0;1;0;2;4;3;4;1;3;19.426.451.135;0.478656557
957093;4;3;1;6;1;1981;1;;;1;6;1;90;110;0;2006;2;;2;;;;1;1;;;1;;26;2;;;1;14;1;1;;2;;;2;;;;;3;;1;2;2;2;2;2;2;;7213;6;;2;2;;39;16;3;16;;;2;1;1;4;0;1;1;2;4;3;4;1;3;19.426.451.135;0.478656557
957093;4;4;1;6;1;1985;1;;;2;3;;;;;;;;2;;;;1;1;;;1;;20;2;;;1;15;1;1;;2;;;2;;;;;3;;1;2;2;2;2;2;2;;9313;3;;2;2;;35;16;3;16;;;2;1;1;2;1;1;1;2;4;3;4;1;3;19.426.451.135;0.478656557
957094;2;1;1;1;1;1964;1;;;1;3;;;;;;;;1;;;;1;7;;;1;;30;1;4;;1;15;0;1;50;1;20;10;2;;;65;70;;;2;1;2;2;2;2;2;;1120;8;;1;2;2000;56;16;3;16;;;4;4;2;4;1;1;1;1;1;3;4;1;3;478.277.857;11.784.490.679
957094;2;2;2;2;1;1972;1;;;1;3;;;;;;;;2;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;48;16;3;16;;;3;7;3;5;0;0;0;1;1;3;4;1;3;478.277.857;11.784.490.679
957095;1;1;1;1;1;1952;1;;;4;3;;;;;;;;1;;;;2;15;8;7;1;;18;2;;;1;45;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;68;16;3;16;;;5;6;3;5;1;1;0;0;1;3;4;1;3;30.098.713.512;0.7416149496
957097;1;1;2;1;1;1949;1;;;4;5;;42;60;;1968;2;2;1;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;71;16;3;16;;;5;7;3;5;1;1;0;0;1;3;4;1;3;13.311.024.369;0.3279759669
957098;4;1;1;1;1;1976;1;;;1;7;3;100;110;0;2001;3;;1;;;;1;4;;;1;;29;2;;;1;15;1;1;95;2;;;2;;;65;80;2;;1;2;2;2;2;2;2;;2269;17;;2;2;;44;16;3;16;;;2;3;1;3;1;1;1;2;2;3;4;1;3;20.327.495.733;0.5008577765
957098;4;2;2;2;1;1976;1;;;1;5;;95;100;;1995;3;2;2;;;;1;2;;;1;;25;2;;;1;18;0;1;;2;;;1;0;4;;;2;;1;2;2;2;2;2;2;;4222;13;;2;2;;44;16;3;16;;;2;2;1;4;0;1;1;2;2;3;4;1;3;20.327.495.733;0.5008577765
957098;4;3;1;6;1;2008;1;;;2;2;;;;;;;;2;;;;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;12;16;3;16;;;1;7;3;5;0;0;0;2;2;3;4;1;3;20.327.495.733;0.5008577765
957098;4;4;1;6;1;2013;1;;;2;1;;;;;;;;;;;;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;7;16;3;16;;;1;7;3;5;0;0;0;2;2;3;4;1;3;20.327.495.733;0.5008577765
957137;2;1;1;1;1;1967;1;;;1;3;;;;;;;;1;;;;2;15;2;15;1;;18;2;;;1;35;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;53;16;3;16;;;3;6;3;5;1;1;0;0;1;3;4;0;2;30.221.753.761;0.7446465904
957137;2;2;2;2;1;1968;1;;;1;4;;;;;;;;2;;;;2;13;;;0;;;;;;;;;2;;1;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;52;16;3;16;;;3;7;3;5;0;0;0;0;1;3;4;0;2;30.221.753.761;0.7446465904
957154;1;1;1;1;1;1946;1;;;2;5;;45;60;;1965;2;2;1;;;;2;15;7;11;1;;20;2;;;1;35;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;74;17;3;17;;;5;6;3;5;1;1;0;0;1;3;4;2;4;10.015.668.101;0.2467802882
957158;2;1;1;1;1;1976;1;;;2;5;;48;60;;1996;1;2;1;;;;2;12;1;7;2;1;20;;;8;1;5;0;2;;1;50;10;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;44;17;3;17;;;2;7;3;5;1;1;0;0;1;3;4;2;4;44.772.667.978;11.031.727.284
957158;2;2;2;3;1;1983;1;;;2;3;;;;;;;;1;;;;2;12;1;20;2;1;25;;;6;2;;;2;;1;20;7;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;37;15;3;17;;;2;7;3;5;0;0;0;0;1;3;4;2;4;44.772.667.978;11.031.727.284
957174;3;1;1;1;1;1976;1;;;1;7;6;100;110;0;2000;3;;1;;;;1;6;;;4;3;24;2;;;1;15;0;1;100;2;;;1;0;5;67;90;;;1;1;2;2;2;2;2;6;2411;13;30;1;2;2000;44;16;3;17;;;2;4;2;4;1;1;1;2;2;3;4;2;4;15.934.287.635;0.3926116615
957174;3;2;2;2;1;1978;1;;;1;5;;10;10;;1997;3;1;2;;;;1;2;;;4;1;20;1;2;;1;16;0;1;;2;;;1;0;3;;;2;;1;2;2;2;1;2;2;;2411;13;33;2;2;;42;17;3;17;;;2;2;1;4;0;1;1;2;2;3;4;2;4;15.934.287.635;0.3926116615
957174;3;3;2;6;1;2013;1;;;2;1;;;;;;;;;;;;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;7;17;3;17;;;1;7;3;5;0;0;0;2;2;3;4;2;4;15.934.287.635;0.3926116615
957206;2;1;1;1;1;1990;1;;;1;5;;82;100;;2009;2;2;1;;;;1;2;;;1;;24;2;;;1;7;0;1;100;2;;;2;;;65;80;2;;1;2;2;2;2;2;2;;4120;19;;2;2;;30;18;3;18;;;1;2;1;4;0;1;1;2;2;3;4;2;4;32.024.939.853;0.7890760562
957206;2;2;2;2;1;1990;1;;;1;7;3;110;110;0;2019;3;;2;;;;1;4;;;1;;29;2;;;1;1;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;3212;17;;2;2;;30;18;3;18;;;1;3;1;3;1;1;1;2;2;3;4;2;4;32.024.939.853;0.7890760562
957217;2;1;1;1;1;1939;1;;;1;3;;;;;;;;1;;;;2;15;7;7;2;2;20;2;;;1;42;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;81;18;3;18;;;5;6;3;5;1;1;0;0;2;3;4;2;4;87.425.858.717;0.215412276
957217;2;2;2;2;1;1946;1;;;1;2;;;;;;;;2;;;;2;15;10;7;1;;35;2;;;1;20;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;74;18;3;18;;;5;6;3;5;0;1;0;0;2;3;4;2;4;87.425.858.717;0.215412276
957225;1;1;1;1;1;1961;1;;;4;7;10;110;110;0;1984;4;;1;;;;1;8;;;4;3;19;1;4;;1;21;1;1;50;2;;;2;;;67;50;;;2;1;2;2;2;2;2;;7319;3;30;1;2;3000;59;18;3;18;;;4;5;2;2;1;1;1;1;1;3;4;2;4;6.232.955.834;0.1535764386
957234;3;1;1;1;1;1960;1;;;1;5;;44;60;;1978;2;2;1;;;;1;9;;;2;3;18;2;;;1;30;0;1;30;2;;;1;5;12;67;50;;;2;1;2;2;2;2;2;;3123;6;30;2;2;;60;18;3;18;;;4;4;2;4;1;1;1;2;2;3;4;2;4;76.699.002.116;0.1889819197
957234;3;2;2;2;1;1961;1;;;1;5;;50;60;;1979;5;2;2;;;;1;9;;;1;;26;2;;;1;30;0;1;;2;;;2;;;;;;;2;1;2;2;2;1;2;;3123;6;;2;2;;59;18;3;18;;;4;4;2;4;0;1;1;2;2;3;4;2;4;76.699.002.116;0.1889819197
957234;3;3;1;6;1;1997;1;;;2;6;6;88;110;0;2020;3;;2;;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;23;18;3;18;;;1;7;3;5;0;0;0;2;2;3;4;2;4;76.699.002.116;0.1889819197
957238;4;1;1;1;1;2003;1;;;2;3;;;;;;;;1;;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;17;18;3;18;;;1;7;3;5;0;0;0;2;2;3;4;2;4;63.612.144.514;0.156736657
957238;4;2;1;4;1;1967;1;;;1;7;8;98;110;0;1991;3;;2;;;;1;5;;;1;;25;2;;;1;25;0;1;;2;;;1;0;2;;;2;;1;2;2;2;2;2;2;;1112;15;;2;2;;53;18;3;18;;;3;3;1;3;1;1;1;2;2;3;4;2;4;63.612.144.514;0.156736657
957238;4;3;2;4;1;1966;1;;;1;7;10;100;110;0;2015;1;;2;;;;1;3;;;1;;25;1;15;;1;5;0;1;;2;;;2;;;;;2;;1;2;2;2;2;2;2;;2330;15;;2;2;;54;18;3;18;;;3;2;1;3;0;1;1;2;2;3;4;2;4;63.612.144.514;0.156736657
957238;4;4;2;11;1;1996;1;;;2;6;4;100;110;0;2018;3;;2;;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;24;12;2;18;;;1;7;3;5;0;0;0;2;2;3;4;2;4;63.612.144.514;0.156736657
957258;2;1;1;1;1;1938;1;;;1;2;;;;;;;;1;;;;2;15;7;6;1;;18;2;;;1;20;0;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;82;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;2;4;7.671.338.185;0.1890173505
957258;2;2;2;2;1;1945;1;;;1;2;;;;;;;;1;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;75;19;3;19;;;5;7;3;5;0;0;0;0;1;3;5;2;4;7.671.338.185;0.1890173505
957262;2;1;1;1;1;1937;1;;;1;4;;;;;;;;1;;;;2;15;8;3;1;;20;2;;;1;40;1;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;83;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;2;4;59.302.560.706;0.1461180909
957262;2;2;2;2;1;1942;1;;;1;2;;;;;;;;2;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;78;19;3;19;;;5;7;3;5;0;0;0;0;1;3;5;2;4;59.302.560.706;0.1461180909
957264;1;1;2;1;1;1969;1;;;3;2;;;;;;;;1;;;;2;13;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;51;19;3;19;;;3;7;3;5;1;1;0;0;1;3;5;2;4;28.268.982.204;0.696531425
957284;1;1;1;1;1;1967;1;;;2;7;9;110;110;0;1994;3;;1;;;;1;3;;;1;;27;2;;;1;27;0;1;100;2;;;1;0;0;65;100;2;;1;2;2;2;2;2;2;;2353;16;;2;2;;53;19;3;19;;;3;2;1;3;1;1;1;1;1;3;5;2;4;57.908.073.098;0.1426821538
957296;1;1;1;1;1;1952;1;;;3;7;8;108;110;0;1976;3;;1;;;;2;15;5;14;2;3;28;2;;;1;42;4;2;;;;;;;;;;;;2;2;2;1;2;2;2;;0;;;;;;68;19;3;19;;;5;6;3;5;1;1;0;0;1;3;5;3;5;12.220.366.328;0.3011027815
957303;4;1;1;1;1;1970;1;;;1;5;;10;10;;1988;2;2;1;;;;1;6;;;1;;18;2;;;2;;;1;90;2;;;2;;;65;40;;;2;1;2;2;2;2;2;;5245;19;;2;2;;50;19;3;19;;;3;4;2;4;0;1;1;2;2;3;5;3;5;33.863.082.348;0.8343668277
957303;4;2;2;2;1;1973;1;;;1;5;;10;10;;1991;3;2;2;;;;1;3;;;1;;18;2;;;1;29;0;1;;2;;;1;20;26;;;3;;1;2;2;2;2;2;2;;2330;16;;2;2;;47;19;3;19;;;3;2;1;3;1;1;1;2;2;3;5;3;5;33.863.082.348;0.8343668277
957303;4;3;1;6;1;2005;1;;;2;3;;;;;;;;2;;;;2;17;;;0;;;;;;;;;2;;2;;;;;;;;;;2;2;2;2;2;2;2;;0;;;;;;15;19;3;19;;;1;7;3;5;0;0;0;2;2;3;5;3;5;33.863.082.348;0.8343668277
957303;4;4;2;6;1;2010;1;;;2;2;;;;;;;;;;;;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;;0;;;;;;10;19;3;19;;;1;7;3;5;0;0;0;2;2;3;5;3;5;33.863.082.348;0.8343668277
