SEX;freq_pond;n_indeb_imm_pond;n_indeb_cons_pond;n_indeb_carte_pond;n_indeb_az_pond;n_indeb_CC_pond;n_indeb_3_pond;n_indeb_fam_pond;n_indeb_compl_pond;sum_PFIMM_pond;sum_PFCONS_pond;sum_PFAZ_pond;sum_PFCARTE_pond;sum_PFCC_pond;sum_PF3_pond;Deb_tot_pond;sum_W_pond;sum_Y_FAM_pond
1;4005.6703707;694.36510437;422.06534818;88.069927812;168.5339039;156.24252212;82.469551442;1144.1660614;1236.5258439;79798993.804;4105818.7012;15734112.379;126267.57076;849567.02957;2398018.2854;103012777.77;1582429552.9;179244904.99
2;2233.3296293;257.51612444;172.18220565;49.608199532;48.379578837;84.111967108;58.258797511;504.02328932;522.8381692;26343892.455;1205959.8338;6273778.4616;86813.672375;378478.10279;370961.35048;34659883.876;509772509.96;65786938.149
