NQUEST,NUMADD,NUMDIP,QUOPRO,FORGIU,FATLOR,YM,DEBATT1,NDEBATT1,DEBATT2,NDEBATT2,DEBCOM,TDEBCOM,CREDCOM,TCREDCOM,TFR,IMMOB,VALAZ,IND1,IND2,IND3,IND4,IND5,IND6,ATTIVP1,ATTIVP2,ATTIVP3,ATTIVP4,ATTIVP5,ATTIVP6,MESILAV1,MESILAV2,MESILAV3,MESILAV4,MESILAV5,MESILAV6,ORETOT1,ORETOT2,ORETOT3,ORETOT4,ORETOT5,ORETOT6
687934,1,0,100,8,5000,3000,2,,2,,2,,2,,,2,0,1,,,,,,1,,,,,,6,,,,,,40,,,,,
700714,2,1,100,8,50000,20000,2,,2,,2,,2,,2000,2,0,1,2,,,,,1,1,,,,,12,12,,,,,40,20,,,,
701800,9,4,20,7,20000,13000,2,,2,,2,,2,,15000,1,700000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
706456,2,0,100,7,30000,18000,,,,,2,,2,,,,,2,3,,,,,1,1,,,,,12,12,,,,,65,65,,,,
708044,2,0,100,8,400000,100000,2,,2,,1,17000,2,,,1,1000000,1,2,,,,,1,1,,,,,12,12,,,,,48,48,,,,
710064,3,0,100,7,200000,40000,2,,2,,2,,1,20000,,1,250000,1,2,,,,,2,1,,,,,12,12,,,,,20,55,,,,
710624,3,1,49,8,20000,12000,2,,2,,2,,2,,,2,1500,2,,,,,,1,,,,,,12,,,,,,40,,,,,
712964,4,0,25,7,15000,10000,1,1,2,,1,6000,2,,,1,15000,1,,,,,,2,,,,,,12,,,,,,20,,,,,
713319,2,0,100,8,5000,4500,2,,2,,2,,2,,,1,30000,1,,,,,,2,,,,,,8,,,,,,4,,,,,
716500,2,1,100,8,20000,15000,2,,2,,2,,1,2000,,2,,1,,,,,,1,,,,,,12,,,,,,50,,,,,
716908,2,0,25,8,2000,1000,2,,2,,2,,2,,,1,200000,1,2,,,,,1,1,,,,,12,12,,,,,12,12,,,,
720138,1,0,100,8,30000,20000,2,,1,2,2,,2,,,2,100000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
730402,3,0,35,8,25000,15000,2,,2,,2,,2,,,1,30000,1,,,,,,1,,,,,,12,,,,,,20,,,,,
730408,2,0,100,8,25000,10000,2,,2,,2,,2,,,2,1000,1,3,,,,,1,1,,,,,10,10,,,,,40,40,,,,
732601,6,4,100,7,500000,50000,2,,2,,2,,2,,15000,1,40000,1,2,,,,,1,1,,,,,12,12,,,,,60,30,,,,
733072,1,0,100,8,30000,15000,2,,2,,1,12000,2,,,2,70000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
736831,1,0,100,6,50000,25000,2,,2,,1,80000,1,160000,,1,100000,1,,,,,,1,,,,,,12,,,,,,55,,,,,
737436,3,1,50,1,20000,8000,2,,2,,1,30000,1,50000,15000,2,100000,1,3,,,,,1,1,,,,,12,6,,,,,30,20,,,,
800600,2,0,100,8,50000,10000,2,,2,,2,,2,,,1,400000,1,2,,,,,1,1,,,,,12,6,,,,,48,30,,,,
801434,3,1,50,7,52000,30000,2,,2,,1,12000,2,,10000,2,180000,1,,,,,,1,,,,,,11,,,,,,50,,,,,
802684,2,2,100,7,75000,39000,2,,2,,1,12000,1,2000,,2,120000,1,2,,,,,1,1,,,,,12,12,,,,,48,40,,,,
805932,2,0,100,9,20000,13000,2,,2,,2,,1,4000,,2,,1,2,,,,,1,1,,,,,11,11,,,,,60,60,,,,
806318,2,0,100,9,50000,30000,2,,2,,2,,2,,,2,20000,1,4,,,,,1,1,,,,,12,2,,,,,50,50,,,,
806578,8,4,60,6,3000000,90000,1,1,2,,2,,2,,60000,1,100000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
806583,3,1,100,7,225000,22500,2,,2,,2,,2,,14000,2,200000,1,2,,,,,1,1,,,,,11,11,,,,,70,70,,,,
806628,7,5,100,1,460000,40000,2,,2,,2,,1,100000,,1,,1,2,,,,,1,1,,,,,12,12,,,,,50,36,,,,
810186,2,1,100,8,20000,10000,2,,2,,2,,2,,6000,2,30000,1,2,,,,,1,1,,,,,12,12,,,,,49,49,,,,
811784,3,0,33,9,40000,15000,2,,2,,2,,1,20000,,1,500000,1,,,,,,1,,,,,,9,,,,,,50,,,,,
813355,5,2,15,9,15000,5000,2,,2,,2,,1,10000,30000,1,500000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
815195,2,1,100,8,50000,30000,2,,2,,2,,2,,,2,0,1,4,,,,,1,1,,,,,12,12,,,,,10,9,,,,
815416,3,0,100,8,100000,27000,2,,2,,1,4000,1,15000,,1,120000,1,3,,,,,1,1,,,,,11,11,,,,,40,45,,,,
816124,2,1,100,8,16000,12000,2,,2,,2,,2,,5000,2,10000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
820274,3,2,100,8,90000,10000,1,1,1,2,1,7000,2,,,2,200000,1,2,,,,,1,1,,,,,2,12,,,,,12,70,,,,
822033,2,1,30,1,20000,10000,2,,2,,2,,2,,2500,2,10000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
826214,3,1,100,8,250000,25000,2,,2,,1,8000,2,,20000,1,200000,1,2,,,,,1,1,,,,,12,12,,,,,44,44,,,,
827578,1,0,100,8,15000,12000,2,,2,,2,,2,,,1,60000,1,,,,,,1,,,,,,12,,,,,,42,,,,,
851012,2,2,50,6,10000,5000,2,,2,,2,,2,,10000,2,20000,1,2,,,,,1,1,,,,,12,12,,,,,45,45,,,,
853577,2,1,100,1,30000,23000,2,,2,,2,,2,,,2,30000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
853590,2,1,100,8,40000,25000,2,,2,,1,6000,2,,3000,2,,1,,,,,,1,,,,,,12,,,,,,48,,,,,
853771,10,8,100,1,70000,60000,1,1,2,,2,,1,300000,,1,2000000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
854292,1,0,100,8,10000,6000,2,,2,,2,,2,,,1,50000,1,,,,,,1,,,,,,12,,,,,,8,,,,,
854313,3,1,100,8,25000,15000,2,,2,,2,,2,,,2,0,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
854418,3,0,100,9,60000,40000,2,,2,,1,3000,1,6000,,1,70000,1,3,4,,,,1,1,1,,,,12,12,12,,,,60,60,30,,,
854731,2,1,100,8,50000,10000,2,,2,,2,,2,,4000,2,3000,2,,,,,,1,,,,,,12,,,,,,30,,,,,
854858,1,0,100,9,18000,8000,2,,2,,2,,1,2000,,2,80000,1,,,,,,1,,,,,,12,,,,,,70,,,,,
854969,2,0,100,8,13000,5000,2,,2,,2,,2,,,2,275000,1,2,,,,,2,2,,,,,12,12,,,,,20,20,,,,
