NQUEST,NORD,NORDP,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETALAV2,LAVFATT1,LAVFATT2,LAVFATT3,LAVFATT4,LAVFATT5,LAVFATT6,LAVFATT7,ETAPEN,COPPU,PREVCOM,ANPREVCOM,MPREVCOM1,MPREVCOM,COPPIP,DOCSEZB,ETA,maxan
22074,1,1,1,,22,2,,,,2,4,5,6,3,7,1,65,60,2,,,,,2,55,38
22074,2,2,0,,,,,,,,,,,,,,,,,,,,,2,48,
22074,3,3,0,,,,,,,,,,,,,,,,,,,,,2,25,
22074,4,4,0,,,,,,,,,,,,,,,,,,,,,2,20,
22099,1,1,1,,16,1,28,,,3,1,4,5,2,7,6,68,65,,,,,,2,52,41
22099,2,5,0,,,,,,,,,,,,,,,,,,,,,2,48,
22099,3,3,0,,,,,,,,,,,,,,,,,,,,,2,25,
22099,4,4,0,,,,,,,,,,,,,,,,,,,,,2,23,
22099,5,2,0,,,,,,,,,,,,,,,,,,,,,2,28,
22168,1,1,0,,,,,,,,,,,,,,,,,,,,,2,52,
22168,2,2,2,3,20,2,,,,,,,,,,,,,,,,,,2,54,39
22168,3,3,0,,,,,,,,,,,,,,,,,,,,,2,25,
22169,1,1,1,,36,1,12,,,,,,,,,,,,,,,,,2,66,35
22169,2,2,0,,,,,,,,,,,,,,,,,,,,,2,73,
22169,3,3,0,,,,,,,,,,,,,,,,,,,,,2,37,
22173,1,1,1,,18,1,39,,,,,,,,,,,,,,,,,2,72,59
22173,2,2,0,,,,,,,,,,,,,,,,,,,,,2,75,
22173,3,3,1,,31,1,8,,,,,,,,,,,,2,,,,,2,35,9
22208,1,1,1,,14,1,35,,,,,,,,,,,,,,,,,2,75,66
22222,1,1,2,1,14,1,35,,,,,,,,,,,,,,,,,1,83,74
22262,1,1,3,1,19,1,40,,,,,,,,,,,,,,,,,2,69,55
22262,2,2,0,,,,,,,,,,,,,,,,,,,,,2,64,
22263,1,1,0,,,,,,,,,,,,,,,,,,,,,2,79,
22263,2,2,4,1,18,1,30,,19,,,,,,,,,,2,,,,,2,50,37
22266,1,1,3,3,18,1,30,,,,,,,,,,,,,,,,,1,84,71
22266,2,2,1,,23,1,5,,,,,,,,,,,,,,,,,1,84,66
22276,1,1,1,,22,1,38,,,,,,,,,,,,,,,,,2,61,44
22276,2,2,0,,,,,,,,,,,,,,,,,,,,,2,86,
22277,1,1,1,,19,1,33,,,1,6,7,4,2,3,5,60,70,,,,,,2,53,39
22277,2,2,1,,18,1,34,,,,,,,,,,,,,,,,,2,52,39
22277,3,3,0,,,,,,,,,,,,,,,,,,,,,2,21,
22279,1,1,1,,14,1,37,,,4,1,2,5,6,7,3,59,50,,,,,,2,56,47
22279,2,2,2,1,20,1,7,,27,,,,,,,,,,1,2008,,6,,2,28,13
22279,3,3,1,,23,1,,6,,6,1,2,3,4,7,5,65,50,,,,,,2,24,6
22286,1,1,1,,20,1,20,,,,,,,,,,,,,,,,,2,60,45
