NQUEST,NORD,NORDP,NESPLAV,EXLAV,ETALAV,CONTRIB,ACONTRIB,MCONTRIB,ETALAV2,LAVFATT1,LAVFATT2,LAVFATT3,LAVFATT4,LAVFATT5,LAVFATT6,LAVFATT7,ETAPEN,COPPU,PREVCOM,ANPREVCOM,MPREVCOM1,MPREVCOM,COPPIP,DOCSEZB,ETA,maxan
677655,2,2,2,1,14,1,30,,,,,,,,,,,,,,,,,2,73,64
677655,3,1,3,1,15,1,35,,,,,,,,,,,,,,,,,2,75,65
677709,1,1,2,3,10,1,35,,,,,,,,,,,,,,,,,2,80,75
677709,2,2,0,,,,,,,,,,,,,,,,,,,,,2,81,
677722,1,2,2,1,26,1,19,,26,4,1,5,3,2,6,7,65,50,,,,,,2,45,24
677722,2,1,2,1,28,1,19,,28,,,,,,,,,,,,,,,2,49,26
677722,3,3,,,,,,,,,,,,,,,,,,,,,,2,10,
677763,1,1,4,1,15,1,25,,35,4,1,7,2,3,5,6,60,70,2,,,,,2,52,42
677763,2,2,1,,17,1,12,,,,,,,,,,,,2,,,,,2,30,18
677766,1,1,1,,18,1,36,,,,,,,,,,,,,,,,,2,61,48
677766,2,2,0,,,,,,,,,,,,,,,,,,,,,2,58,
677766,3,3,1,,21,1,10,,,,,,,,,,,,2,,,,,2,32,16
677772,1,1,0,,,,,,,,,,,,,,,,,,,,,2,42,
677772,2,2,2,1,25,2,,,51,,,,,,,,,,2,,,,,2,52,32
677775,1,1,0,,,,,,,,,,,,,,,,,,,,,2,36,
677775,2,2,1,,18,1,24,,,,,,,,,,,,2,,,,,2,42,29
677775,3,3,,,,,,,,,,,,,,,,,,,,,,2,13,
677775,4,4,,,,,,,,,,,,,,,,,,,,,,2,8,
677825,1,1,0,,,,,,,,,,,,,,,,,,,,,2,83,
677826,1,2,4,1,22,1,5,,,,,,,,,,,,,,,,,1,40,23
677826,2,1,2,1,20,1,22,,22,,,,,,,,,,2,,,,,1,42,27
677826,3,3,,,,,,,,,,,,,,,,,,,,,,1,3,
677881,1,1,4,1,20,1,17,,44,7,6,4,1,2,3,5,65,50,,,,,,2,47,32
677896,1,1,1,,26,1,43,,,,,,,,,,,,,,,,,2,70,49
677896,2,2,1,,39,1,12,,,,,,,,,,,,,,,,,2,62,28
677897,1,1,2,2,20,1,8,,,,,,,,,,,,,,,,,2,60,45
677897,2,2,1,,26,1,35,,,,,,,,,,,,,,,,,2,62,41
677897,3,3,0,,,,,,,,,,,,,,,,,,,,,2,29,
677897,4,4,0,,,,,,,,,,,,,,,,,,,,,2,27,
677909,1,1,0,,,,,,,,,,,,,,,,,,,,,2,79,
677941,1,1,1,,34,1,6,,,1,4,5,7,2,3,6,65,60,3,,,,,2,40,11
677941,2,2,0,,,,,,,,,,,,,,,,,,,,,2,36,
677941,3,3,,,,,,,,,,,,,,,,,,,,,,2,8,
677946,1,1,4,1,27,1,40,,,,,,,,,,,,,,,,,2,75,53
677946,2,2,1,,29,1,35,,,,,,,,,,,,,,,,,2,68,44
677964,1,1,2,1,15,1,40,,,,,,,,,,,,,,,,,2,56,46
677964,2,2,4,1,16,1,20,,52,,,,,,,,,,2,,,,,2,58,47
677973,1,1,4,1,14,1,33,,,,,,,,,,,,,,,,,2,85,76
677973,2,2,1,,14,2,,,,,,,,,,,,,,,,,,2,84,75
677988,1,1,1,,21,1,12,,,4,2,6,7,3,5,1,65,65,2,,,,,2,33,17
677988,2,2,1,,18,1,20,,,,,,,,,,,,2,,,,,2,39,26
678001,1,1,1,,26,1,21,,,1,4,2,3,5,7,6,65,60,1,2009,1,,60,2,57,36
678001,2,2,0,,,,,,,,,,,,,,,,,,,,,2,55,
678005,1,1,2,3,22,1,22,,26,1,3,4,5,7,2,6,65,65,3,,,,,2,50,33
678005,2,2,0,,,,,,,,,,,,,,,,,,,,,2,46,
678005,3,3,0,,,,,,,,,,,,,,,,,,,,,2,20,
678005,4,4,0,,,,,,,,,,,,,,,,,,,,,2,17,
678052,1,1,0,,,,,,,,,,,,,,,,,,,,,2,69,
678091,1,2,6,3,14,1,46,,,,,,,,,,,,,,,,,2,63,54
678091,2,1,1,,40,1,13,,,,,,,,,,,,,,,,,2,88,53
678098,1,1,1,,18,1,38,,,,,,,,,,,,,,,,,2,58,45
678098,2,2,0,,,,,,,,,,,,,,,,,,,,,2,49,
678098,3,3,0,,,,,,,,,,,,,,,,,,,,,2,20,
678104,1,1,0,,,,,,,,,,,,,,,,,,,,,2,57,
678104,2,2,3,1,22,1,6,,24,,,,,,,,,,2,,,,,2,30,13
678109,1,1,2,1,14,1,30,,,,,,,,,,,,,,,,,2,63,54
678109,2,2,1,,14,1,17,,,,,,,,,,,,,,,,,2,62,53
678109,3,3,2,1,18,1,20,,28,,,,,,,,,,2,,,,,2,38,25
678132,1,1,3,3,16,1,14,,,,,,,,,,,,,,,,,1,52,41
678138,1,1,3,3,13,1,37,,,,,,,,,,,,,,,,,2,67,59
678138,2,2,1,,15,1,3,,,,,,,,,,,,,,,,,2,61,51
678138,3,3,2,1,16,2,,,,,,,,,,,,,,,,,,2,32,21
678138,4,4,3,1,16,1,,10,23,4,1,6,7,3,2,5,65,70,,,,,,2,23,12
678138,5,5,,,,,,,,,,,,,,,,,,,,,,2,6,
678141,1,1,0,,,,,,,,,,,,,,,,,,,,,2,68,
678142,1,1,1,,20,1,5,,,,,,,,,,,,,,,,,2,52,37
678142,2,2,1,,25,1,35,,,,,,,,,,,,2,,,,,2,55,35
678142,3,3,,,,,,,,,,,,,,,,,,,,,,2,14,
678160,1,1,1,,26,1,19,,,4,1,7,2,3,6,5,65,80,2,,,,,2,45,24
678160,2,2,1,,28,1,13,,,,,,,,,,,,,,,,,2,42,19
678160,3,3,,,,,,,,,,,,,,,,,,,,,,2,5,
678190,1,2,1,,16,1,35,,,,,,,,,,,,,,,,,2,74,63
678190,2,1,1,,19,1,38,,,,,,,,,,,,,,,,,2,75,61
678198,1,1,1,,17,1,18,,,1,7,4,2,6,5,3,60,70,2,,,,,2,37,25
678199,1,1,1,,17,1,37,,,1,5,4,6,2,7,3,65,70,,,,,,2,63,51
678199,2,2,1,,36,1,26,,,1,5,3,7,6,4,2,65,60,,,,,,2,63,32
678199,3,3,1,,23,1,18,,,,,,,,,,,,,,,,,2,41,23
678214,1,2,0,,,,,,,,,,,,,,,,,,,,,2,83,
678214,2,1,1,,18,1,35,,,,,,,,,,,,,,,,,2,80,67
678255,1,1,4,1,14,1,36,,,,,,,,,,,,,,,,,2,70,61
678255,2,2,2,1,14,1,37,,,,,,,,,,,,,,,,,2,66,57
678259,1,2,0,,,,,,,,,,,,,,,,,,,,,2,76,
678259,2,1,1,,17,1,40,,,,,,,,,,,,,,,,,2,83,71
678264,1,1,2,2,18,1,20,,30,1,4,5,7,6,2,3,67,50,,,,,,2,67,54
678264,2,2,0,,,,,,,,,,,,,,,,,,,,,2,65,
678284,1,1,0,,,,,,,,,,,,,,,,,,,,,2,78,
678284,2,2,3,1,15,1,40,,,,,,,,,,,,,,,,,2,88,78
678299,1,1,3,1,14,1,36,,,,,,,,,,,,,,,,,2,75,66
678304,1,2,2,1,21,1,33,,26,4,1,2,3,6,7,5,60,60,,,,,,2,52,36
678304,2,1,1,,16,1,32,,,,,,,,,,,,,,,,,2,77,66
678347,1,2,1,,17,1,4,,,,,,,,,,,,,,,,,1,64,52
678347,2,1,1,,28,1,37,,,,,,,,,,,,,,,,,1,71,48
678382,1,1,1,,20,1,27,,,1,5,3,4,2,7,6,65,60,2,,,,,2,48,33
678382,2,2,1,,20,1,24,,,,,,,,,,,,,,,,,2,47,32
678382,3,3,,,,,,,,,,,,,,,,,,,,,,2,11,
678382,4,4,,,,,,,,,,,,,,,,,,,,,,2,9,
678382,5,5,,,,,,,,,,,,,,,,,,,,,,2,9,
678388,1,1,2,3,15,1,40,,,,,,,,,,,,,,,,,2,64,54
678388,2,2,1,,19,1,32,,,,,,,,,,,,,,,,,2,64,50
678390,1,1,1,,20,1,25,,,1,7,2,4,6,3,5,65,60,,,,,,2,45,30
678390,2,2,1,,16,1,40,,,,,,,,,,,,,,,,,2,72,61
680026,1,1,1,,22,1,16,,,1,3,7,4,2,5,6,65,100,,,,,,2,38,21
680026,2,2,1,,29,1,4,,,,,,,,,,,,3,,,,,2,33,9
680026,3,3,,,,,,,,,,,,,,,,,,,,,,2,5,
680026,4,10,,,,,,,,,,,,,,,,,,,,,,2,0,
680060,1,1,7,3,14,1,10,,,,,,,,,,,,,,,,,2,60,51
680060,2,2,1,,40,1,9,,,,,,,,,,,,,,,,,2,80,45
680060,3,3,2,1,20,1,20,,38,,,,,,,,,,3,,,,,2,47,32
680060,4,4,2,3,20,1,7,,28,,,,,,,,,,2,,,,,2,29,14
680083,1,1,5,3,22,1,34,,57,4,1,3,5,2,6,7,80,70,,,,,,2,57,40
680083,2,2,2,1,15,1,39,,20,,,,,,,,,,,,,,,2,53,43
680083,3,3,0,,,,,,,,,,,,,,,,,,,,,2,25,
680083,4,4,0,,,,,,,,,,,,,,,,,,,,,2,20,
680097,1,1,3,1,21,1,32,,,,,,,,,,,,,,,,,2,74,58
680143,1,1,1,,20,1,35,,,,,,,,,,,,,,,,,2,66,51
680144,1,1,1,,18,1,38,,,1,5,2,4,6,7,3,63,70,2,,,,,2,58,45
680144,2,2,1,,20,1,28,,,,,,,,,,,,2,,,,,2,49,34
680144,3,3,0,,,,,,,,,,,,,,,,,,,,,2,21,
680144,4,4,1,,18,2,,,,1,2,3,4,5,6,7,65,60,,,,,,2,19,6
680146,1,1,1,,14,1,35,,,,,,,,,,,,,,,,,2,81,72
680170,1,1,0,,,,,,,,,,,,,,,,,,,,,2,83,
680239,1,1,2,1,14,1,35,,,,,,,,,,,,,,,,,2,69,60
680239,2,2,1,,15,1,15,,,,,,,,,,,,,,,,,2,71,61
680243,1,1,3,1,15,1,40,,,,,,,,,,,,,,,,,2,59,49
680243,2,2,1,,15,1,37,,,,,,,,,,,,,,,,,2,62,52
680244,1,1,1,,20,1,16,,,5,1,6,7,2,3,4,60,70,2,,,,,2,36,21
680244,2,2,1,,23,1,19,,,,,,,,,,,,2,,,,,2,42,24
680244,3,3,,,,,,,,,,,,,,,,,,,,,,2,7,
680244,4,10,,,,,,,,,,,,,,,,,,,,,,2,1,
680257,1,1,5,3,21,1,32,,31,1,4,2,5,7,6,3,65,60,,,,,,2,53,37
680257,2,2,1,,19,1,32,,,,,,,,,,,,,,,,,2,51,37
680257,3,3,1,,21,1,1,,,,,,,,,,,,2,,,,,2,22,6
680258,1,1,1,,17,1,36,,,,,,,,,,,,,,,,,2,84,72
680258,2,2,1,,15,2,,,,,,,,,,,,,,,,,,2,79,69
680258,3,3,2,1,16,1,15,,,,,,,,,,,,,,,,,2,48,37
680261,1,1,1,,18,1,40,,,,,,,,,,,,,,,,,2,66,53
680261,2,2,1,,29,1,8,,,,,,,,,,,,,,,,,2,37,13
680261,3,3,1,,21,1,6,,,,,,,,,,,,2,,,,,2,27,11
680263,1,1,1,,14,1,20,,,,,,,,,,,,,,,,,2,48,39
680272,1,1,1,,27,1,31,,,1,7,5,2,3,4,6,63,70,2,,,,,2,59,37
680272,2,2,1,,22,1,40,,,,,,,,,,,,,,,,,2,98,81
680272,3,3,1,,25,1,24,,,,,,,,,,,,2,,,,,2,53,33
680274,1,1,1,,18,1,24,,,1,5,7,3,2,4,6,65,70,2,,,,,2,43,30
680274,2,2,1,,28,1,12,,,,,,,,,,,,,,,,,2,43,20
680274,3,3,0,,,,,,,,,,,,,,,,,,,,,2,16,
680274,4,4,,,,,,,,,,,,,,,,,,,,,,2,12,
680274,5,5,,,,,,,,,,,,,,,,,,,,,,2,5,
680282,1,1,2,1,15,1,15,,,,,,,,,,,,,,,,,1,72,62
680282,2,2,2,3,14,1,40,,,,,,,,,,,,,,,,,1,76,67
680285,1,1,4,1,28,1,26,,,,,,,,,,,,,,,,,2,66,43
680311,1,1,7,3,18,1,35,,,,,,,,,,,,,,,,,2,81,68
680311,2,2,6,3,25,1,30,,,,,,,,,,,,,,,,,2,80,60
680341,1,1,1,,25,1,38,,,4,5,1,2,3,6,7,65,100,2,,,,,2,63,43
680386,1,1,1,,22,1,37,,,3,2,5,1,6,7,4,65,60,2,,,,,2,59,42
680386,2,2,1,,16,1,37,,,,,,,,,,,,2,,,,,2,56,45
680386,3,3,0,,,,,,,,,,,,,,,,,,,,,2,27,
680391,1,2,2,1,17,1,37,,,,,,,,,,,,,,,,,2,65,53
680391,2,1,2,1,17,1,37,,,,,,,,,,,,,,,,,2,67,55
680407,1,1,3,1,20,1,35,,,,,,,,,,,,,,,,,2,65,50
680430,1,2,0,,,,,,,,,,,,,,,,,,,,,2,53,
680430,2,1,1,,23,1,24,,,,,,,,,,,,,,,,,2,47,29
680430,3,3,1,,24,2,,,,,,,,,,,,,2,,,,,2,25,6
680430,4,4,0,,,,,,,,,,,,,,,,,,,,,2,22,
680437,1,1,2,1,18,1,37,,,,,,,,,,,,,,,,,2,77,64
680437,2,2,2,1,15,1,11,,,,,,,,,,,,,,,,,2,72,62
680498,1,1,3,1,19,1,17,,33,4,2,5,6,1,3,7,65,60,2,,,,,2,47,33
680498,2,2,1,,16,2,,,,,,,,,,,,,,,,,,2,44,33
680498,3,3,0,,,,,,,,,,,,,,,,,,,,,2,22,
680498,4,4,0,,,,,,,,,,,,,,,,,,,,,2,17,
680498,5,5,,,,,,,,,,,,,,,,,,,,,,2,13,
680500,1,1,10,1,12,1,52,,,,,,,,,,,,,,,,,2,84,77
680501,1,1,2,1,15,1,36,,,,,,,,,,,,,,,,,2,67,57
680501,2,2,0,,,,,,,,,,,,,,,,,,,,,2,58,
680537,1,2,6,1,19,1,15,,26,5,1,3,2,4,6,7,60,80,1,2007,1,,90,2,35,21
680537,2,1,1,,15,1,21,,,,,,,,,,,,1,2007,1,,,2,43,33
680537,3,3,,,,,,,,,,,,,,,,,,,,,,2,10,
680537,4,4,,,,,,,,,,,,,,,,,,,,,,2,7,
680566,1,1,2,1,18,1,30,,,,,,,,,,,,,,,,,1,80,67
680567,1,1,3,1,17,1,12,,32,1,4,2,7,3,5,6,60,70,2,,,,,2,40,28
680587,1,1,1,,32,1,10,,,1,3,4,2,5,7,6,65,80,,,,,,2,42,15
680587,2,2,0,,,,,,,,,,,,,,,,,,,,,2,39,
680587,3,3,,,,,,,,,,,,,,,,,,,,,,2,8,
680587,4,4,,,,,,,,,,,,,,,,,,,,,,2,5,
680595,1,1,5,1,11,1,50,,,,,,,,,,,,,,,,,2,66,60
680595,2,2,2,1,15,1,40,,,,,,,,,,,,,,,,,2,58,48
680601,1,1,2,1,21,1,19,,34,4,3,6,2,1,5,7,75,40,2,,,,,2,40,24
680601,2,2,2,1,24,1,16,,29,4,2,3,1,5,6,7,65,50,,,,,,2,41,22
680601,3,3,,,,,,,,,,,,,,,,,,,,,,2,4,
680607,1,1,2,1,19,1,19,,,,,,,,,,,,,,,,,2,71,57
680612,1,2,0,,,,,,,,,,,,,,,,,,,,,1,78,
680631,1,1,1,,22,1,40,,,,,,,,,,,,,,,,,2,74,57
680631,2,2,1,,18,1,15,,,,,,,,,,,,,,,,,2,73,60
680637,1,2,0,,,,,,,,,,,,,,,,,,,,,2,82,
680637,2,1,1,,19,1,30,,,,,,,,,,,,,,,,,2,80,66
680637,3,3,0,,,,,,,,,,,,,,,,,,,,,2,51,
680644,1,1,1,,23,1,15,,,,,,,,,,,,,,,,,2,69,51
680644,2,2,0,,,,,,,,,,,,,,,,,,,,,2,72,
680651,1,1,4,3,15,1,2,,33,1,5,2,3,4,6,7,65,,,,,,,1,34,24
680663,1,1,1,,26,2,,,,1,3,7,4,2,5,6,70,60,,,,,,2,50,29
680663,2,2,1,,34,1,12,,,1,5,7,3,4,2,6,60,60,,,,,,2,47,18
680663,3,3,0,,,,,,,,,,,,,,,,,,,,,2,80,
680663,4,4,0,,,,,,,,,,,,,,,,,,,,,2,19,
680663,5,5,,,,,,,,,,,,,,,,,,,,,,2,10,
680663,6,6,,,,,,,,,,,,,,,,,,,,,,2,9,
680686,1,1,4,1,14,1,37,,,,,,,,,,,,,,,,,1,66,57
680686,2,2,2,1,14,1,25,,,,,,,,,,,,,,,,,1,59,50
680686,3,3,1,,20,1,4,,,,,,,,,,,,2,,,,,1,23,8
680686,4,4,2,1,17,1,2,,,,,,,,,,,,,,,,,1,21,9
680717,1,1,1,,25,1,35,,,,,,,,,,,,,,,,,2,84,64
680717,2,2,0,,,,,,,,,,,,,,,,,,,,,2,78,
680732,1,1,1,,15,1,36,,,1,2,5,4,6,3,7,61,70,2,,,,,2,59,49
680732,2,2,1,,20,1,12,,,,,,,,,,,,3,,,,,2,32,17
680732,3,3,1,,20,1,6,,,,,,,,,,,,,,,,,2,29,14
680732,4,4,0,,,,,,,,,,,,,,,,,,,,,2,25,
680736,1,1,2,3,20,1,15,,,,,,,,,,,,,,,,,2,57,42
680736,2,2,2,1,18,1,15,,47,,,,,,,,,,2,,,,,2,56,43
680742,1,1,4,3,15,1,38,,,,,,,,,,,,,,,,,2,63,53
680742,2,2,1,,22,1,25,,,,,,,,,,,,,,,,,2,60,43
680746,1,1,10,3,15,1,39,,50,1,5,2,7,4,3,6,57,80,2,,,,,1,56,46
680746,2,2,6,1,15,1,37,,34,,,,,,,,,,2,,,,,1,53,43
680771,1,1,1,,22,1,35,,,,,,,,,,,,,,,,,2,61,44
680774,1,1,1,,22,1,13,,,3,4,5,1,7,2,6,65,40,2,,,,,2,35,18
680774,2,2,5,1,22,1,13,,30,,,,,,,,,,2,,,,,2,35,18
680774,3,3,,,,,,,,,,,,,,,,,,,,,,2,5,
680837,1,1,12,3,11,1,35,,,,,,,,,,,,,,,,,2,82,76
680839,1,1,2,3,25,1,26,,29,4,2,1,3,5,7,6,65,65,3,,,,,2,54,34
680839,2,2,1,,23,1,3,,,,,,,,,,,,3,,,,,2,26,8
680840,1,1,1,,17,1,40,,,4,5,3,1,2,6,7,58,70,2,,,,,2,57,45
680840,2,2,12,1,18,1,4,,,,,,,,,,,,,,,,,2,61,48
680840,3,3,1,,19,2,,,,,,,,,,,,,,,,,,2,28,14
680840,4,4,1,,15,2,,,,,,,,,,,,,,,,,,2,24,14
680840,5,5,0,,,,,,,,,,,,,,,,,,,,,2,20,
680843,1,1,0,,,,,,,,,,,,,,,,,,,,,2,72,
680843,2,2,6,1,14,1,35,,,,,,,,,,,,,,,,,2,77,68
680861,1,1,1,,14,1,43,,,,,,,,,,,,,,,,,2,70,61
680861,2,2,1,,16,1,43,,,,,,,,,,,,,,,,,2,72,61
680868,1,1,6,3,17,1,37,,40,1,2,4,3,5,6,7,65,70,,,,,,2,60,48
680868,2,2,3,1,24,1,23,,44,2,1,4,3,6,5,7,60,50,2,,,,,2,53,34
680870,1,1,1,,20,1,26,,,3,4,5,6,2,1,7,57,50,3,,,,,2,46,31
680870,2,2,2,1,16,1,22,,30,,,,,,,,,,2,,,,,2,42,31
680870,3,3,1,,17,1,,6,,7,4,5,1,6,3,2,65,50,3,,,,,2,18,6
680870,4,4,,,,,,,,,,,,,,,,,,,,,,2,13,
680870,5,5,,,,,,,,,,,,,,,,,,,,,,2,4,
680878,1,1,0,,,,,,,,,,,,,,,,,,,,,2,89,
680880,1,1,3,1,20,1,25,,37,1,2,3,4,7,5,6,65,60,3,,,,,2,46,31
680880,2,10,2,1,18,1,23,,36,,,,,,,,,,3,,,,,2,41,28
680889,1,1,1,,20,1,32,,,1,5,4,3,7,6,2,65,70,,,,,,2,54,39
680889,2,2,1,,30,1,19,,,,,,,,,,,,2,,,,,2,50,25
680889,3,3,1,,23,1,3,,,,,,,,,,,,,,,,,2,28,10
680889,4,4,0,,,,,,,,,,,,,,,,,,,,,2,24,
680891,1,2,1,,25,1,30,,,,,,,,,,,,,,,,,2,73,53
680892,1,1,1,,14,1,40,,,,,,,,,,,,,,,,,2,94,85
680896,1,1,1,,19,1,30,,,1,5,4,3,2,6,7,60,70,2,,,,,2,50,36
680896,2,2,0,,,,,,,,,,,,,,,,,,,,,2,21,
680904,1,1,3,1,20,1,28,,47,5,2,1,4,3,6,7,60,60,2,,,,,2,49,34
680904,2,2,2,1,17,1,32,,29,,,,,,,,,,2,,,,,2,49,37
680904,3,3,0,,,,,,,,,,,,,,,,,,,,,2,18,
680904,4,4,0,,,,,,,,,,,,,,,,,,,,,2,16,
680904,5,5,,,,,,,,,,,,,,,,,,,,,,2,11,
680911,1,1,1,,16,1,40,,,,,,,,,,,,,,,,,2,75,64
680911,2,2,1,,18,1,40,,,,,,,,,,,,,,,,,2,72,59
680912,1,1,1,,22,1,28,,,1,5,4,3,2,6,7,65,60,,,,,,2,54,37
680912,2,2,0,,,,,,,,,,,,,,,,,,,,,2,46,
680912,3,3,2,3,21,1,5,,25,,,,,,,,,,,,,,,2,26,10
680913,1,1,2,1,19,1,14,,29,1,4,5,7,2,3,6,65,70,2,,,,,2,33,19
680913,2,2,2,1,19,1,13,,26,,,,,,,,,,2,,,,,2,33,19
680913,3,3,,,,,,,,,,,,,,,,,,,,,,2,4,
680914,1,1,0,,,,,,,,,,,,,,,,,,,,,2,49,
680914,2,2,1,,20,1,2,,,,,,,,,,,,2,,,,,2,45,30
680914,3,3,,,,,,,,,,,,,,,,,,,,,,2,10,
680916,1,2,3,1,15,1,31,,15,1,4,2,6,3,7,5,60,65,,,,,,2,51,41
680920,1,1,7,1,14,1,27,,38,4,1,5,3,2,7,6,55,65,1,2007,1,,100,1,41,32
680920,2,2,4,1,16,1,22,,23,4,1,5,3,7,6,2,63,65,,,,,,1,46,35
680920,3,4,,,,,,,,,,,,,,,,,,,,,,1,14,
680920,4,5,,,,,,,,,,,,,,,,,,,,,,1,12,
680933,1,1,5,1,14,1,35,,,,,,,,,,,,,,,,,2,63,54
680933,2,2,1,,18,1,3,,,,,,,,,,,,,,,,,2,58,45
680933,3,3,1,,18,1,15,,,,,,,,,,,,2,,,,,2,36,23
680933,4,4,1,,18,2,,,,,,,,,,,,,,,,,,2,22,9
680938,1,1,3,1,18,1,3,,,,,,,,,,,,,,,,,2,42,29
680938,2,2,1,,16,1,20,,,,,,,,,,,,,,,,,2,45,34
680938,3,3,0,,,,,,,,,,,,,,,,,,,,,2,15,
680938,4,4,,,,,,,,,,,,,,,,,,,,,,2,9,
680943,1,1,1,,27,1,32,,,,,,,,,,,,,,,,,2,81,59
680971,1,2,1,,19,1,29,,,4,1,7,3,5,2,6,61,60,2,,,,,2,48,34
680971,2,1,1,,25,1,30,,,,,,,,,,,,2,,,,,2,55,35
680971,3,3,0,,,,,,,,,,,,,,,,,,,,,2,22,
680971,4,4,0,,,,,,,,,,,,,,,,,,,,,2,20,
680981,1,1,5,1,20,1,16,,27,5,2,4,1,3,6,7,65,60,2,,,,,2,36,21
680981,2,2,4,1,19,1,16,,26,5,2,1,3,4,7,6,60,60,2,,,,,2,35,21
680981,3,3,,,,,,,,,,,,,,,,,,,,,,2,2,
680982,1,1,5,1,18,1,22,,36,1,5,4,2,3,7,6,60,60,2,,,,,2,44,31
680982,2,2,0,,,,,,,,,,,,,,,,,,,,,2,18,
680997,1,1,1,,23,1,34,,,1,4,3,5,2,7,6,65,80,3,,,,,2,56,38
680997,2,2,0,,,,,,,,,,,,,,,,,,,,,2,54,
680997,3,3,1,,18,1,,6,,,,,,,,,,,3,,,,,2,22,9
680997,4,4,,,,,,,,,,,,,,,,,,,,,,2,12,
681012,1,1,4,1,19,1,5,,44,4,5,3,1,2,6,7,65,65,2,,,,,2,49,35
681012,2,2,1,,14,1,32,,,,,,,,,,,,2,,,,,2,54,45
681012,3,3,1,,22,1,4,,,,,,,,,,,,3,,,,,2,26,9
681012,4,4,0,,,,,,,,,,,,,,,,,,,,,2,15,
681033,1,1,1,,26,1,32,,,,,,,,,,,,,,,,,2,58,37
681033,2,2,1,,22,1,10,,,,,,,,,,,,,,,,,2,45,28
681033,3,3,0,,,,,,,,,,,,,,,,,,,,,2,20,
681033,4,4,0,,,,,,,,,,,,,,,,,,,,,2,16,
681033,5,5,,,,,,,,,,,,,,,,,,,,,,2,14,
681033,6,6,,,,,,,,,,,,,,,,,,,,,,2,11,
681096,1,1,1,,18,1,21,,,,,,,,,,,,,,,,,2,66,53
681096,2,2,2,1,15,1,20,,,,,,,,,,,,,,,,,2,77,67
681097,1,1,1,,40,1,15,,,,,,,,,,,,,,,,,2,62,27
681097,2,2,2,1,14,1,38,,,,,,,,,,,,,,,,,2,62,53
681099,1,2,1,,17,1,35,,,1,3,4,7,2,6,5,65,50,2,,,,,2,64,52
681133,1,1,1,,33,1,6,,,1,5,4,3,7,2,6,65,60,,,,,,2,39,11
681133,2,2,4,1,16,2,,,,,,,,,,,,,,,,,,2,41,30
681133,3,3,,,,,,,,,,,,,,,,,,,,,,2,6,
681133,4,4,,,,,,,,,,,,,,,,,,,,,,2,2,
681158,1,1,1,,14,1,31,,,4,5,1,3,2,7,6,65,70,1,2008,2,,100,2,47,38
681158,2,2,1,,18,1,4,,,,,,,,,,,,,,,,,2,45,32
681158,3,3,0,,,,,,,,,,,,,,,,,,,,,2,20,
681175,1,1,1,,26,1,29,,,1,7,4,2,3,6,5,65,55,2,,,,,2,55,34
681180,1,1,2,1,15,1,30,,,,,,,,,,,,,,,,,2,67,57
681189,1,1,1,,15,1,40,,,,,,,,,,,,,,,,,2,81,71
681192,1,1,1,,16,1,40,,,,,,,,,,,,,,,,,2,71,60
681192,2,2,1,,24,1,1,,,,,,,,,,,,2,,,,,2,26,7
681196,1,1,0,,,,,,,,,,,,,,,,,,,,,2,60,
681196,2,2,1,,26,1,35,,,,,,,,,,,,,,,,,2,63,42
681196,3,3,0,,,,,,,,,,,,,,,,,,,,,2,33,
681197,1,1,1,,20,1,36,,,1,5,7,6,2,3,4,65,70,3,,,,,2,56,41
681197,2,2,2,3,16,1,35,,,,,,,,,,,,,,,,,2,62,51
681197,3,3,0,,,,,,,,,,,,,,,,,,,,,2,23,
681200,1,1,1,,16,1,29,,,1,6,4,3,2,7,5,60,70,2,,,,,2,45,34
681200,2,2,1,,16,1,29,,,,,,,,,,,,2,,,,,2,46,35
681200,3,3,0,,,,,,,,,,,,,,,,,,,,,2,16,
681244,1,1,5,1,16,1,28,,35,1,4,3,5,2,7,6,58,70,1,2007,2,,80,2,44,33
681244,2,2,4,1,16,1,10,,,,,,,,,,,,,,,,,2,45,34
681244,3,3,,,,,,,,,,,,,,,,,,,,,,2,13,
681263,1,1,1,,14,2,,,,,,,,,,,,,,,,,,2,77,68
681266,1,1,1,,19,1,20,,,4,1,3,7,5,2,6,65,70,2,,,,,2,44,30
681268,1,1,1,,21,1,25,,,2,3,4,1,6,7,5,70,50,,,,,,2,48,32
681268,2,2,1,,16,1,33,,,,,,,,,,,,1,2007,,4,,2,49,38
681268,3,3,,,,,,,,,,,,,,,,,,,,,,2,13,
681268,4,4,,,,,,,,,,,,,,,,,,,,,,2,10,
681268,5,5,,,,,,,,,,,,,,,,,,,,,,2,7,
681329,1,1,2,3,18,1,15,,18,1,4,3,5,7,2,6,60,80,2,,,,,2,41,28
681329,2,2,2,3,14,1,20,,25,,,,,,,,,,,,,,,2,44,35
681329,3,3,0,,,,,,,,,,,,,,,,,,,,,2,17,
681329,4,4,,,,,,,,,,,,,,,,,,,,,,2,14,
681329,5,5,,,,,,,,,,,,,,,,,,,,,,2,6,
681349,1,1,1,,25,1,20,,,,,,,,,,,,,,,,,2,63,43
681349,2,2,0,,,,,,,,,,,,,,,,,,,,,2,60,
681349,3,3,1,,30,1,6,,,,,,,,,,,,,,,,,2,36,11
681349,4,4,1,,28,1,3,,,,,,,,,,,,,,,,,2,33,10
681366,1,1,1,,16,1,32,,,4,1,2,3,7,5,6,65,70,2,,,,,2,50,39
