NQUEST,NORD,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,MOTIV,ANNOENUS,TIPOLAU,TIPODIP,NASCREG,NASCAREA,IREG,NCOMP,ETA,CLETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
173,1,1,1,1948,1,,2,1,5,58,60,2,1970,2,1,,15,2,10,,,,2,18,3,18,2,62,4,4,6,3,10,5,1,1,1,3,4,2,0.2592940337
173,2,2,2,1950,1,,3,1,5,48,60,2,1972,2,2,,13,,,,,,5,18,3,18,2,60,4,4,7,3,,5,0,0,1,3,4,2,0.2592940337
375,1,2,1,1925,1,,4,4,2,,,,,,1,,15,9,7,,,,,16,3,16,1,85,5,5,6,3,7,5,1,1,1,3,4,2,0.7715701834
465,1,1,1,1954,1,,2,1,5,36,60,2,1972,2,1,,1,,1,,,,2,8,1,8,4,56,4,4,1,1,1,1,0,1,4,1,2,1,0.3084970778
465,2,2,2,1956,1,,1,1,5,50,60,2,1976,2,2,,1,,1,,,,2,3,1,8,4,54,4,3,1,1,1,1,0,1,4,1,2,1,0.3084970778
465,3,1,6,1976,1,,1,2,7,90,110,2,2003,,3,,2,,3,,,4,2,8,1,8,4,34,2,1,2,1,3,2,1,1,4,1,2,1,0.3084970778
465,4,1,6,1981,1,,1,2,5,36,60,2,2001,1,4,,1,,1,,,,2,8,1,8,4,29,1,1,1,1,1,1,0,1,4,1,2,1,0.3084970778
629,1,1,1,1939,1,,2,4,3,,,,,,1,,15,10,6,,,,,5,1,5,2,71,5,5,6,3,6,5,1,1,2,1,2,1,0.2020260108
629,2,1,7,1969,1,,1,2,5,50,60,2,1988,2,2,,1,,6,,,,2,5,1,5,2,41,3,2,1,1,6,4,0,1,2,1,2,1,0.2020260108
632,1,1,1,1950,1,,2,1,3,,,,,,1,,15,2,15,,,,,5,1,5,3,60,4,4,6,3,15,5,1,1,2,1,2,1,0.1645721085
632,2,2,2,1952,1,,2,1,3,,,,,,2,,13,,,,,,,5,1,5,3,58,4,4,7,3,,5,0,0,2,1,2,1,0.1645721085
632,3,1,6,1983,1,,2,2,5,80,100,2,2002,1,3,,2,,3,,,,2,5,1,5,3,27,1,1,2,1,3,2,0,1,2,1,2,1,0.1645721085
633,1,2,1,1934,1,,3,4,2,,,,,,1,,15,1,9,,,,,5,1,5,1,76,5,5,6,3,9,5,1,1,1,1,2,1,0.1966156118
923,1,2,1,1932,1,,3,4,2,,,,,,1,,16,,,,,,,13,3,13,1,78,5,5,6,3,,5,1,1,1,3,4,2,0.1670682593
1238,1,1,1,1937,1,,3,4,3,,,,,,1,,15,1,3,,,,,15,3,15,1,73,5,5,6,3,3,5,1,1,1,3,4,2,0.3949285365
1367,1,1,1,1927,1,,3,1,2,,,,,,1,,15,8,7,,,,,18,3,18,2,83,5,5,6,3,7,5,0,1,2,3,4,2,0.3348599763
1367,2,2,2,1930,1,,3,1,1,,,,,,2,,15,1,7,,,,,18,3,18,2,80,5,5,6,3,7,5,1,1,2,3,4,2,0.3348599763
1763,1,1,1,1947,1,,2,1,2,,,,,,1,,12,1,3,,,,,17,3,17,2,63,4,4,7,3,3,5,0,0,1,3,4,0,1.0460155001
1763,2,2,2,1954,1,,2,1,2,,,,,,2,,1,,1,,,,,17,3,17,2,56,4,4,1,1,1,1,1,1,1,3,4,0,1.0460155001
1927,1,2,1,1933,1,,2,4,3,,,,,,1,,16,,,,,,,5,1,5,1,77,5,5,6,3,,5,1,1,1,1,2,2,1.1451895666
1946,1,1,1,1953,1,,2,2,5,38,60,2,1977,2,1,,16,,,,,,2,5,1,5,2,57,4,4,6,3,,5,1,1,2,1,2,2,0.172660286
1946,2,1,11,1939,1,,2,3,2,,,,,,2,,15,1,3,,,,,5,1,5,2,71,5,5,6,3,3,5,0,1,2,1,2,2,0.172660286
2178,1,2,1,1933,1,,4,4,4,,,,,,1,,15,2,17,,,,,9,2,9,1,77,5,5,6,3,17,5,1,1,1,2,3,2,0.192915217
2274,1,1,1,1928,1,,4,1,2,,,,,,1,,16,,,,,,,15,3,15,2,82,5,5,6,3,,5,1,1,2,3,4,0,1.8449758916
2274,2,2,2,1927,1,,3,1,2,,,,,,2,,16,,,,,,,15,3,15,2,83,5,5,6,3,,5,0,1,2,3,4,0,1.8449758916
2447,1,1,1,1957,1,,2,1,3,,,,,,1,,1,,3,,,,,15,3,9,4,53,4,3,1,1,3,2,1,1,3,2,3,2,0.6407693174
2447,2,2,2,1958,1,,2,1,2,,,,,,2,,12,1,2,,,,,9,2,9,4,52,4,3,7,3,2,5,0,0,3,2,3,2,0.6407693174
2447,3,1,7,1981,1,,2,2,5,73,100,2,2002,2,3,,1,,13,,,,2,9,2,9,4,29,1,1,1,1,13,4,0,1,3,2,3,2,0.6407693174
2447,4,2,7,1985,1,,2,2,7,95,100,2,2007,,4,,1,,19,,,10,4,9,2,9,4,25,1,1,1,1,19,4,0,1,3,2,3,2,0.6407693174
2485,1,2,1,1935,1,,2,4,2,,,,,,1,,16,,,,,,,9,2,9,1,75,5,5,6,3,,5,1,1,1,2,3,2,0.1524668947
2886,1,1,1,1949,1,,2,1,5,37,60,2,1970,2,1,,2,,16,,,,2,13,3,13,3,61,4,4,2,1,16,3,0,1,3,3,4,2,0.2065863075
2886,2,2,2,1952,1,,2,1,6,110,110,1,2003,,2,,3,,17,,,10,5,13,3,13,3,58,4,4,2,1,17,3,1,1,3,3,4,2,0.2065863075
2886,3,1,6,1977,1,,2,2,5,56,60,2,1996,1,3,,1,,10,,,,2,13,3,13,3,33,2,1,1,1,10,4,0,1,3,3,4,2,0.2065863075
3717,1,2,1,1954,1,,2,2,5,97,100,2,1972,2,1,,15,2,15,,,,1,16,3,16,1,56,4,4,6,3,15,5,1,1,1,3,4,2,0.1770199346
4732,1,2,1,1950,1,,2,3,2,,,,,,1,,13,,,,,,,19,3,19,1,60,4,4,7,3,,5,1,1,1,3,5,2,0.1740856773
5416,1,2,1,1958,1,,3,3,2,,,,,,1,,1,,20,,,,,20,3,8,3,52,4,3,1,1,20,4,1,1,3,1,2,2,0.6295652884
5416,2,2,7,1979,1,,2,2,5,68,100,2,1999,2,2,,1,,14,,,,2,8,1,8,3,31,2,1,1,1,14,4,0,1,3,1,2,2,0.6295652884
5416,3,2,7,1991,1,,2,2,4,,,,,,4,,1,,9,,,,,8,1,8,3,19,1,1,1,1,9,4,0,1,3,1,2,2,0.6295652884
7165,1,1,1,1956,1,,2,4,3,,,,,,1,,1,,3,,,,,3,1,3,2,54,4,3,1,1,3,2,1,1,2,1,1,2,0.4614513882
7165,2,1,7,1980,1,,1,2,5,70,100,2,1999,1,3,,2,,3,,,,2,3,1,3,2,30,1,1,2,1,3,2,0,1,2,1,1,2,0.4614513882
7886,1,1,1,1950,1,,2,1,5,36,60,2,1968,2,1,,15,2,11,,,,2,9,2,9,2,60,4,4,6,3,11,5,1,1,2,2,3,0,0.8750445373
7886,2,2,2,1953,1,,2,1,5,36,60,2,1973,2,2,,2,,17,,,,2,9,2,9,2,57,4,4,2,1,17,3,0,1,2,2,3,0,0.8750445373
11972,1,2,1,1948,1,,2,1,2,,,,,,2,,9,,7,,,,,16,3,17,2,62,4,4,5,2,7,4,1,1,2,3,4,2,0.1590622205
11972,2,1,2,1938,1,,2,1,2,,,,,,1,,15,9,7,,,,,16,3,17,2,72,5,5,6,3,7,5,0,1,2,3,4,2,0.1590622205
20174,1,1,1,1941,1,,2,1,5,7,10,2,1959,2,1,,15,2,11,,,,2,8,1,8,2,69,5,5,6,3,11,5,1,1,2,1,2,2,0.5387552565
20174,2,2,2,1942,1,,2,1,3,,,,,,2,,16,,,,,,,8,1,8,2,68,5,5,6,3,,5,0,1,2,1,2,2,0.5387552565
20223,1,2,1,1938,1,,3,1,5,60,80,2,1965,2,1,,15,2,19,,,,1,3,1,3,3,72,5,5,6,3,19,5,0,1,3,1,1,2,0.2672097613
20223,2,1,2,1939,1,,2,1,4,,,,,,2,,15,8,19,,,,,16,3,3,3,71,5,5,6,3,19,5,0,1,3,1,1,2,0.2672097613
20223,3,1,6,1971,1,,1,2,8,40,50,2,1998,,3,,7,,19,,,10,2,3,1,3,3,39,2,2,4,2,19,4,1,1,3,1,1,2,0.2672097613
20231,1,1,1,1949,1,,3,1,4,,,,,,1,,10,,7,,,,,8,1,8,2,61,4,4,4,2,7,4,1,1,2,1,2,0,0.8551893878
20231,2,2,2,1953,1,,3,1,4,,,,,,2,,10,,7,,,,,8,1,8,2,57,4,4,4,2,7,4,0,1,2,1,2,0,0.8551893878
20297,1,1,1,1960,1,,3,1,3,,,,,,1,,1,,3,,,,,5,1,5,2,50,3,3,1,1,3,2,1,1,2,1,2,2,1.9336062266
20297,2,2,2,1979,2,2007,2,1,3,,,,,,2,,1,,9,4,,,,,,5,2,31,2,1,1,1,9,4,0,1,2,1,2,2,1.9336062266
20372,1,1,1,1947,1,,3,1,3,,,,,,1,,15,1,17,,,,,5,1,5,3,63,4,4,6,3,17,5,1,1,2,1,2,2,0.9945623427
20372,2,2,2,1948,1,,2,1,3,,,,,,2,,13,,,,,,,5,1,5,3,62,4,4,7,3,,5,0,0,2,1,2,2,0.9945623427
20372,3,1,8,1972,1,,2,2,3,,,,,,3,,1,,3,,,,,5,1,5,3,38,2,2,1,1,3,2,0,1,2,1,2,2,0.9945623427
20711,1,2,1,1945,1,,1,1,3,,,,,,1,,13,,,,,,,4,1,4,2,65,4,5,7,3,,5,0,0,1,1,2,0,1.8039420878
20711,2,1,2,1944,1,,1,1,2,,,,,,2,,15,1,6,,,,,4,1,4,2,66,5,5,6,3,6,5,1,1,1,1,2,0,1.8039420878
20837,1,1,1,1931,1,,3,1,4,,,,,,1,,15,2,11,,,,,8,1,8,2,79,5,5,6,3,11,5,1,1,2,1,2,2,0.2031931964
20837,2,2,2,1928,1,,2,1,2,,,,,,2,,15,2,7,,,,,8,1,8,2,82,5,5,6,3,7,5,0,1,2,1,2,2,0.2031931964
21384,1,1,1,1958,1,,2,1,3,,,,,,1,,8,,9,,,,,19,3,19,4,52,4,3,5,2,9,4,1,1,2,3,5,2,0.1448401516
21384,2,2,2,1962,1,,2,1,3,,,,,,2,,13,,,,,,,19,3,19,4,48,3,3,7,3,,5,0,0,2,3,5,2,0.1448401516
21384,3,1,6,1982,1,,2,2,3,,,,,,3,,1,,9,,,,,19,3,19,4,28,1,1,1,1,9,4,0,1,2,3,5,2,0.1448401516
21384,4,2,6,1989,1,,2,2,5,90,100,2,2006,1,4,,17,,,,,,2,19,3,19,4,21,1,1,7,3,,5,0,0,2,3,5,2,0.1448401516
21461,1,2,1,1918,1,,3,4,2,,,,,,1,,15,1,1,,,,,5,1,5,1,92,5,5,6,3,1,5,1,1,1,1,2,1,0.2848920089
22074,1,1,1,1955,1,,2,1,5,60,100,2,1975,2,1,,2,,21,,,,2,6,1,15,4,55,4,4,2,1,21,4,1,1,1,3,4,2,0.2555615116
22074,2,2,2,1962,1,,2,1,5,65,100,2,1981,2,2,,13,,,,,,2,15,3,15,4,48,3,3,7,3,,5,0,0,1,3,4,2,0.2555615116
22074,3,1,6,1985,1,,3,2,5,65,100,2,2005,1,3,,17,,,,,,3,15,3,15,4,25,1,1,7,3,,5,0,0,1,3,4,2,0.2555615116
22074,4,1,6,1990,1,,2,2,5,100,100,2,2010,1,4,,17,,,,,,3,15,3,15,4,20,1,1,7,3,,5,0,0,1,3,4,2,0.2555615116
22099,1,1,1,1958,1,,2,1,3,,,,,,1,,7,,19,,,,,15,3,15,5,52,4,3,4,2,19,4,1,1,1,3,4,1,1.2190078643
22099,2,2,2,1962,1,,1,1,2,,,,,,5,,13,,,,,,,15,3,15,5,48,3,3,7,3,,5,0,0,1,3,4,1,1.2190078643
22099,3,2,6,1985,1,,1,2,5,70,100,2,2002,1,3,,17,,,,,,3,15,3,15,5,25,1,1,7,3,,5,0,0,1,3,4,1,1.2190078643
22099,4,1,6,1987,1,,1,2,3,,,,,,4,,11,,,,,,,15,3,15,5,23,1,1,7,3,,5,0,0,1,3,4,1,1.2190078643
22099,5,2,6,1982,1,,1,2,5,70,100,2,2002,1,2,,17,,,,,,3,15,3,15,5,28,1,1,7,3,,5,0,0,1,3,4,1,1.2190078643
22168,1,2,1,1958,1,,3,1,2,,,,,,1,,13,,,,,,,15,3,15,3,52,4,3,7,3,,5,0,0,2,3,4,3,0.3851094326
22168,2,1,2,1956,1,,3,1,2,,,,,,2,,12,1,19,,,,,15,3,15,3,54,4,3,7,3,19,5,0,1,2,3,4,3,0.3851094326
22168,3,1,6,1985,1,,3,2,3,,,,,,3,,16,,,,,,,15,3,15,3,25,1,1,6,3,,5,1,1,2,3,4,3,0.3851094326
22169,1,2,1,1944,1,,3,1,2,,,,,,1,,16,,,,,,,15,3,15,3,66,5,5,6,3,,5,0,1,2,3,4,3,0.4414745082
22169,2,1,2,1937,1,,3,1,2,,,,,,2,,16,,,,,,,15,3,15,3,73,5,5,6,3,,5,1,1,2,3,4,3,0.4414745082
22169,3,1,6,1973,1,,3,2,4,,,,,,3,,11,,,,,,,15,3,15,3,37,2,2,7,3,,5,0,0,2,3,4,3,0.4414745082
22173,1,1,1,1938,1,,3,1,2,,,,,,1,,15,1,19,,,,,15,3,15,3,72,5,5,6,3,19,5,1,1,2,3,4,3,0.444747891
22173,2,2,2,1935,1,,3,1,2,,,,,,2,,13,,,,,,,15,3,15,3,75,5,5,7,3,,5,0,0,2,3,4,3,0.444747891
22173,3,2,6,1975,1,,2,2,5,48,60,2,1992,2,3,,2,,19,,,,10,15,3,15,3,35,2,2,2,1,19,4,0,1,2,3,4,3,0.444747891
22208,1,2,1,1935,1,,3,4,2,,,,,,1,,15,1,3,,,,,5,1,5,1,75,5,5,6,3,3,5,1,1,1,1,2,1,0.3965300862
22222,1,1,1,1927,1,,2,4,2,,,,,,1,,15,2,3,,,,,5,1,5,1,83,5,5,6,3,3,5,1,1,1,1,2,1,0.3879750921
22262,1,1,1,1941,1,,2,1,5,50,60,2,1964,2,1,,15,2,3,,,,2,6,1,6,2,69,5,5,6,3,3,5,1,1,1,1,2,1,0.1447562531
22262,2,2,2,1946,1,,2,1,5,50,60,2,1964,2,2,,13,,,,,,2,6,1,6,2,64,4,4,7,3,,5,0,0,1,1,2,1,0.1447562531
22263,1,2,1,1931,1,,2,4,3,,,,,,1,,16,,,,,,,6,1,6,2,79,5,5,6,3,,5,0,1,2,1,2,1,0.1488628598
22263,2,1,7,1960,1,,2,2,4,,,,,,2,,1,,3,,,,,6,1,6,2,50,3,3,1,1,3,2,1,1,2,1,2,1,0.1488628598
22266,1,1,1,1926,1,,3,1,3,,,,,,1,,15,1,3,,,,,6,1,6,2,84,5,5,6,3,3,5,1,1,2,1,2,1,0.160742325
22266,2,2,2,1926,1,,5,1,2,,,,,,2,,16,,,,,,,,,6,2,84,5,5,6,3,,5,0,1,2,1,2,1,0.160742325
22276,1,1,1,1949,1,,2,2,5,8,10,2,1968,2,1,,15,1,15,,,,2,8,1,8,2,61,4,4,6,3,15,5,1,1,2,1,2,0,0.6900520383
22276,2,2,4,1924,1,,2,4,2,,,,,,2,,16,,,,,,,8,1,8,2,86,5,5,6,3,,5,0,1,2,1,2,0,0.6900520383
22277,1,2,1,1957,1,,2,1,5,50,60,2,1975,2,1,,4,,15,,,,2,8,1,8,3,53,4,3,3,1,15,3,1,1,2,1,2,0,0.8622941229
22277,2,1,2,1958,1,,2,1,4,,,,,,2,,7,,7,,,,,8,1,8,3,52,4,3,4,2,7,4,0,1,2,1,2,0,0.8622941229
22277,3,1,6,1989,1,,2,2,5,78,100,2,2008,1,3,,17,,,,,,3,8,1,8,3,21,1,1,7,3,,5,0,0,2,1,2,0,0.8622941229
22279,1,2,1,1954,1,,2,3,3,,,,,,1,,9,,7,,,,,8,1,8,3,56,4,4,5,2,7,4,0,1,3,1,2,0,1.0756473497
22279,2,1,7,1982,1,,2,2,5,73,100,2,2002,2,2,,1,,5,,,,2,8,1,8,3,28,1,1,1,1,5,2,1,1,3,1,2,0,1.0756473497
22279,3,2,7,1986,1,,2,2,5,66,100,2,2005,2,3,,9,,7,,,,2,8,1,8,3,24,1,1,5,2,7,4,0,1,3,1,2,0,1.0756473497
22286,1,1,1,1950,1,,2,1,3,,,,,,1,,15,2,15,,,,,8,1,8,2,60,4,4,6,3,15,5,0,1,2,1,2,0,0.6376851419
22286,2,2,2,1956,1,,2,1,3,,,,,,2,,1,,17,,,,,8,1,8,2,54,4,3,1,1,17,3,1,1,2,1,2,0,0.6376851419
22292,1,2,1,1935,1,,2,1,2,,,,,,1,,15,9,1,,,,,8,1,8,2,75,5,5,6,3,1,5,0,1,2,1,2,0,0.7660184533
22292,2,1,2,1929,1,,3,1,2,,,,,,2,,15,8,1,,,,,8,1,8,2,81,5,5,6,3,1,5,1,1,2,1,2,0,0.7660184533
22516,1,2,1,1955,1,,3,1,5,48,60,2,1989,2,2,,2,,17,,,,1,5,1,3,2,55,4,4,2,1,17,3,1,1,2,1,1,2,0.1422223261
22516,2,1,2,1948,1,,3,1,3,,,,,,1,,15,1,15,,,,,3,1,3,2,62,4,4,6,3,15,5,0,1,2,1,1,2,0.1422223261
22624,1,1,1,1957,1,,1,1,2,,,,,,1,,12,1,6,,,,,15,3,15,6,53,4,3,7,3,6,5,0,0,2,3,4,2,0.1041794941
22624,2,2,2,1961,1,,2,1,3,,,,,,2,,13,,,,,,,15,3,15,6,49,3,3,7,3,,5,0,0,2,3,4,2,0.1041794941
22624,3,1,6,1981,1,,1,2,3,,,,,,3,,1,,6,,,,,15,3,15,6,29,1,1,1,1,6,4,1,1,2,3,4,2,0.1041794941
22624,4,1,6,1984,1,,1,2,4,,,,,,4,,1,,6,,,,,15,3,15,6,26,1,1,1,1,6,4,0,1,2,3,4,2,0.1041794941
22624,5,2,6,1995,1,,1,2,3,,,,,,5,,17,,,,,,,15,3,15,6,15,1,1,7,3,,5,0,0,2,3,4,2,0.1041794941
22624,6,2,6,1997,1,,1,2,3,,,,,,6,,17,,,,,,,15,3,15,6,13,1,1,7,3,,5,0,0,2,3,4,2,0.1041794941
22657,1,2,1,1951,1,,2,1,7,110,110,1,1975,,1,,4,,16,,,9,3,16,3,16,2,59,4,4,3,1,16,3,1,1,2,3,4,2,0.4614971644
22657,2,1,2,1946,1,,2,1,5,7,10,2,1965,2,2,,15,3,13,,,,2,16,3,16,2,64,4,4,6,3,13,5,0,1,2,3,4,2,0.4614971644
22850,1,2,1,1949,1,,2,2,7,110,110,1,1980,,1,,3,,15,,,9,5,1,1,5,1,61,4,4,2,1,15,3,1,1,1,1,2,1,0.202171212
22995,1,1,1,1943,1,,3,1,3,,,,,,1,,15,2,15,,,,,5,1,1,2,67,5,5,6,3,15,5,1,1,1,1,1,2,0.2508365053
22995,2,2,2,1946,1,,2,1,3,,,,,,2,,13,,,,,,,1,1,1,2,64,4,4,7,3,,5,0,0,1,1,1,2,0.2508365053
22996,1,1,1,1934,1,,1,1,5,70,100,2,1953,2,1,,15,5,1,,,,2,1,1,1,2,76,5,5,6,3,1,5,1,1,2,1,1,2,0.2785374877
22996,2,2,2,1942,1,,3,1,3,,,,,,2,,15,1,7,,,,,1,1,1,2,68,5,5,6,3,7,5,0,1,2,1,1,2,0.2785374877
23193,1,2,1,1930,1,,4,2,6,74,110,2,1955,,1,,15,2,17,,,10,2,7,1,7,1,80,5,5,6,3,17,5,1,1,1,1,1,2,0.5951436518
23370,1,1,1,1942,1,,2,1,3,,,,,,1,,15,2,15,,,,,6,1,6,2,68,5,5,6,3,15,5,1,1,1,1,2,2,0.2439681933
23370,2,2,2,1942,1,,2,1,3,,,,,,2,,15,1,3,,,,,6,1,6,2,68,5,5,6,3,3,5,0,0,1,1,2,2,0.2439681933
23384,1,1,1,1931,1,,2,4,4,,,,,,1,,15,8,7,,,,,5,1,5,1,79,5,5,6,3,7,5,1,1,1,1,2,0,1.6479329762
23490,1,2,1,1937,1,,2,2,5,38,60,2,1982,2,1,,15,2,17,,,,5,5,1,5,1,73,5,5,6,3,17,5,1,1,1,1,2,1,0.1954725777
23797,1,1,1,1955,1,,3,1,4,,,,,,1,,1,,19,,,,,15,3,15,3,55,4,4,1,1,19,4,1,1,1,3,4,3,0.5480497728
23797,2,2,2,1958,1,,2,1,3,,,,,,2,,13,,,,,,,15,3,15,3,52,4,3,7,3,,5,0,0,1,3,4,3,0.5480497728
23797,3,1,6,1989,1,,2,2,5,60,100,2,2009,2,4,,11,,,,,,2,15,3,15,3,21,1,1,7,3,,5,0,0,1,3,4,3,0.5480497728
23798,1,1,1,1941,1,,3,1,3,,,,,,1,,15,2,7,,,,,15,3,15,2,69,5,5,6,3,7,5,1,1,1,3,4,3,0.4084529693
23798,2,2,2,1945,1,,3,1,3,,,,,,2,,13,,,,,,,15,3,15,2,65,4,5,7,3,,5,0,0,1,3,4,3,0.4084529693
23821,1,2,1,1936,1,,2,4,2,,,,,,1,,16,,,,,,,16,3,16,2,74,5,5,6,3,,5,1,1,1,3,4,2,0.3349518989
23821,2,2,7,1968,1,,2,2,4,,,,,,2,,11,,,,,,,16,3,16,2,42,3,2,7,3,,5,0,0,1,3,4,2,0.3349518989
23823,1,2,1,1937,1,,2,3,2,,,,,,1,,16,,,,,,,16,3,16,2,73,5,5,6,3,,5,0,1,2,3,4,2,0.2979029409
23823,2,2,7,1972,1,,2,2,5,36,60,2,1991,2,2,,2,,11,,,,3,16,3,16,2,38,2,2,2,1,11,4,1,1,2,3,4,2,0.2979029409
23865,1,1,1,1944,1,,2,1,5,6,10,2,1964,2,1,,15,2,10,,,,2,16,3,16,2,66,5,5,6,3,10,5,1,1,1,3,4,2,0.6395552155
23865,2,2,2,1950,1,,3,1,3,,,,,,2,,13,,,,,,,16,3,16,2,60,4,4,7,3,,5,0,0,1,3,4,2,0.6395552155
23986,1,2,1,1935,1,,3,1,2,,,,,,2,,13,,,,,,,17,3,17,2,75,5,5,7,3,,5,0,0,1,3,4,2,0.2965765076
23986,2,1,2,1929,1,,4,1,2,,,,,,1,,15,8,19,,,,,17,3,17,2,81,5,5,6,3,19,5,1,1,1,3,4,2,0.2965765076
24010,1,2,1,1934,1,,2,4,2,,,,,,2,,16,,,,,,,18,3,18,1,76,5,5,6,3,,5,1,1,1,3,4,2,0.3465218924
24147,1,1,1,1948,1,,1,1,7,100,110,2,1975,,1,,15,2,10,,,4,3,4,1,4,2,62,4,4,6,3,10,5,1,1,2,1,2,0,1.5017223949
24147,2,2,2,1958,1,,1,1,5,50,60,2,1977,2,2,,3,,16,,,,5,4,1,4,2,52,4,3,2,1,16,3,0,1,2,1,2,0,1.5017223949
24149,1,1,1,1923,1,,1,4,2,,,,,,1,,15,8,7,,,,,3,1,4,1,87,5,5,6,3,7,5,1,1,1,1,2,0,2.1435334506
24158,1,2,1,1935,1,,2,4,2,,,,,,1,,15,1,3,,,,,8,1,8,2,75,5,5,6,3,3,5,0,1,2,1,2,1,0.3085030763
24158,2,2,9,1979,1,,1,2,3,,,,,,,2,2,,3,,2009,,,8,1,8,2,31,2,1,2,1,3,2,1,1,2,1,2,1,0.3085030763
24171,1,1,1,1939,1,,2,4,3,,,,,,1,,8,,7,,,,,,,8,1,71,5,5,5,2,7,4,1,1,1,1,2,1,0.2798792522
24194,1,1,1,1952,1,,1,1,2,,,,,,1,,1,,3,,,,,8,1,8,4,58,4,4,1,1,3,2,1,1,4,1,2,1,0.304476171
24194,2,2,2,1960,1,,1,1,3,,,,,,2,,2,,7,,,,,8,1,8,4,50,3,3,2,1,7,4,0,1,4,1,2,1,0.304476171
24194,3,1,6,1984,1,,1,2,5,72,100,2,2005,2,3,,1,,3,,,,1,8,1,8,4,26,1,1,1,1,3,2,0,1,4,1,2,1,0.304476171
24194,4,2,6,1990,1,,1,2,5,72,100,2,2009,2,4,,2,,1,,,,2,8,1,8,4,20,1,1,2,1,1,1,0,1,4,1,2,1,0.304476171
24195,1,2,1,1952,1,,2,1,3,,,,,,1,,13,,,,,,,13,3,8,2,58,4,4,7,3,,5,0,0,1,1,2,1,0.2340776138
24195,2,1,2,1936,1,,3,1,3,,,,,,2,,15,1,6,,,,,8,1,8,2,74,5,5,6,3,6,5,1,1,1,1,2,1,0.2340776138
24202,1,2,1,1934,1,,2,4,5,60,100,2,1954,2,1,,16,,,,,,5,19,3,15,2,76,5,5,6,3,,5,0,1,2,3,4,2,0.1682690443
24202,2,2,7,1964,1,,3,2,5,60,100,2,1984,2,2,,1,,21,,,,3,15,3,15,2,46,3,3,1,1,21,4,1,1,2,3,4,2,0.1682690443
24326,1,2,1,1924,1,,1,4,3,,,,,,1,,15,1,3,,,,,4,1,4,1,86,5,5,6,3,3,5,1,1,1,1,2,0,1.9484753286
24374,1,2,1,1957,1,,3,4,3,,,,,,1,,12,9,19,,,,,13,3,13,4,53,4,3,7,3,19,5,0,0,3,3,4,0,1.0268217885
24374,2,1,3,1946,1,,2,3,2,,,,,,,2,15,1,8,,2009,,,13,3,13,4,64,4,4,6,3,8,5,0,1,3,3,4,0,1.0268217885
24374,3,1,6,1978,1,,1,2,4,,,,,,2,,1,,3,,,,,13,3,13,4,32,2,1,1,1,3,2,1,1,3,3,4,0,1.0268217885
24374,4,2,6,1981,1,,1,2,4,,,,,,3,,1,,7,,,,,13,3,13,4,29,1,1,1,1,7,4,0,1,3,3,4,0,1.0268217885
24379,1,2,1,1939,1,,2,4,2,,,,,,1,,16,,,,,,,13,3,13,1,71,5,5,6,3,,5,1,1,1,3,4,2,0.2067231923
24382,1,1,1,1940,1,,3,1,2,,,,,,1,,15,1,19,,,,,13,3,13,2,70,5,5,6,3,19,5,1,1,2,3,4,0,1.0128598345
24382,2,2,2,1949,1,,3,1,2,,,,,,2,,1,,19,,,,,13,3,13,2,61,4,4,1,1,19,4,0,1,2,3,4,0,1.0128598345
24393,1,2,1,1931,1,,3,4,2,,,,,,1,,16,,,,,,,13,3,13,1,79,5,5,6,3,,5,1,1,1,3,4,2,0.2067231923
24529,1,2,1,1951,1,,2,1,4,,,,,,2,,13,,,,,,,4,1,4,4,59,4,4,7,3,,5,0,0,3,1,2,2,0.32771537
24529,2,1,2,1947,1,,2,1,7,108,110,2,1973,,1,,15,3,16,,,5,3,4,1,4,4,63,4,4,6,3,16,5,1,1,3,1,2,2,0.32771537
24529,3,1,6,1978,1,,1,2,5,50,60,2,1997,2,3,,2,,10,,,,2,5,1,4,4,32,2,1,2,1,10,4,0,1,3,1,2,2,0.32771537
24529,4,1,6,1983,1,,1,2,6,100,110,2,2007,,4,,2,,17,,,3,1,5,1,4,4,27,1,1,2,1,17,3,0,1,3,1,2,2,0.32771537
24616,1,1,1,1939,1,,2,1,2,,,,,,1,,15,1,3,,,,,8,1,8,2,71,5,5,6,3,3,5,1,1,2,1,2,2,0.5756161461
24616,2,2,2,1945,1,,3,1,2,,,,,,2,,15,1,1,,,,,8,1,8,2,65,4,5,6,3,1,5,0,1,2,1,2,2,0.5756161461
24760,1,2,1,1920,1,,2,4,2,,,,,,1,,16,,,,,,,17,3,17,1,90,5,5,6,3,,5,1,1,1,3,4,2,0.1796068869
24764,1,2,1,1966,1,,2,1,3,,,,,,2,,13,,,,,,,15,3,17,5,44,3,2,7,3,,5,0,0,1,3,4,2,0.2854461287
24764,2,1,2,1963,1,,2,1,3,,,,,,1,,1,,3,,,,,17,3,17,5,47,3,3,1,1,3,2,1,1,1,3,4,2,0.2854461287
24764,3,2,6,1996,1,,1,2,3,,,,,,3,,17,,,,,,,16,3,17,5,14,1,1,7,3,,5,0,0,1,3,4,2,0.2854461287
