NQUEST,NORD,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,MOTIV,ANNOENUS,TIPOLAU,TIPODIP,NASCREG,NASCAREA,IREG,NCOMP,ETA,CLETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
865899,4,1,6,1994,1,,1,2,3,,,,,,,,17,,,,,,,1,1,1,4,16,1,1,7,3,,5,0,0,1,1,1,2,0.5109249291
865905,1,1,1,1929,1,,2,1,7,100,110,2,1957,,,,15,4,19,,,2,2,3,1,1,1,81,5,5,6,3,19,5,1,1,1,1,1,2,0.5112857493
865908,1,2,1,1952,1,,2,3,4,,,,,,,,1,,20,,,,,,,1,1,58,4,4,1,1,20,4,1,1,1,1,1,2,0.4223477201
865909,1,1,1,1955,1,,1,1,5,48,60,2,1975,2,,,12,2,7,,,,2,16,3,1,4,55,4,4,7,3,7,5,1,1,2,1,1,2,0.507144283
865909,2,2,2,1958,1,,1,1,3,,,,,,,,12,2,7,,,,,20,3,1,4,52,4,3,7,3,7,5,0,1,2,1,1,2,0.507144283
865909,3,2,6,1988,1,,1,2,5,50,60,2,2006,1,,,17,,,,,,3,1,1,1,4,22,1,1,7,3,,5,0,0,2,1,1,2,0.507144283
865909,4,1,6,1996,1,,1,2,3,,,,,,,,17,,,,,,,1,1,1,4,14,1,1,7,3,,5,0,0,2,1,1,2,0.507144283
865912,1,1,1,1964,1,,1,1,3,,,,,,,,1,,7,,,,,15,3,1,4,46,3,3,1,1,7,4,1,1,1,1,1,2,0.5109249291
865912,2,2,2,1965,1,,1,1,5,50,60,2,1984,2,,,13,,,,,,5,1,1,1,4,45,3,3,7,3,,5,0,0,1,1,1,2,0.5109249291
865912,3,1,6,1999,1,,1,2,2,,,,,,,,17,,,,,,,1,1,1,4,11,1,1,7,3,,5,0,0,1,1,1,2,0.5109249291
865912,4,1,6,2002,1,,1,2,1,,,,,,,,17,,,,,,,1,1,1,4,8,1,1,7,3,,5,0,0,1,1,1,2,0.5109249291
865913,1,2,1,1960,1,,1,1,3,,,,,,,,13,,,,,,,1,1,1,2,50,3,3,7,3,,5,0,0,1,1,1,2,0.4426473741
865913,2,1,2,1957,1,,1,1,4,,,,,,,,15,2,7,,,,,1,1,1,2,53,4,3,6,3,7,5,1,1,1,1,1,2,0.4426473741
865931,1,2,1,1968,1,,2,2,7,110,110,1,1993,,,,6,,13,,,9,3,9,2,9,1,42,3,2,4,2,13,4,1,1,1,2,3,1,2.0470775609
865933,1,1,1,1931,1,,3,1,3,,,,,,,,15,8,3,,,,,9,2,9,2,79,5,5,6,3,3,5,1,1,2,2,3,2,0.5508476731
865933,2,2,2,1931,1,,3,1,2,,,,,,,,15,1,7,,,,,9,2,9,2,79,5,5,6,3,7,5,0,1,2,2,3,2,0.5508476731
865937,1,2,1,1968,1,,1,2,3,,,,,,,,1,,7,,,,,9,2,9,1,42,3,2,1,1,7,4,1,1,1,2,3,2,0.7045518184
865952,1,2,1,1941,1,,3,4,5,58,60,2,1959,2,,,15,2,10,,,,5,9,2,9,1,69,5,5,6,3,10,5,1,1,1,2,3,2,0.5568809892
865957,1,2,1,1960,1,,2,3,7,100,110,2,1986,,,,2,,17,,,3,3,9,2,9,3,50,3,3,2,1,17,3,1,1,3,2,3,2,0.5767468297
865957,2,2,7,1989,1,,1,2,5,60,60,2,2008,1,,,17,,,,,,5,9,2,9,3,21,1,1,7,3,,5,0,1,3,2,3,2,0.5767468297
865957,3,1,7,1991,1,,1,2,5,58,60,2,2010,2,,,11,,,,,,2,9,2,9,3,19,1,1,7,3,,5,0,1,3,2,3,2,0.5767468297
865964,1,1,1,1949,1,,2,1,7,100,110,2,1975,,,,5,,3,,,4,3,9,2,9,3,61,4,4,3,1,3,2,1,1,2,2,3,2,0.5046893443
865964,2,2,2,1948,1,,2,1,7,102,110,2,1975,,,,3,,16,,,9,3,9,2,9,3,62,4,4,2,1,16,3,0,1,2,2,3,2,0.5046893443
865964,3,2,6,1985,1,,1,2,5,50,60,2,2003,1,,,17,,,,,,3,9,2,9,3,25,1,1,7,3,,5,0,0,2,2,3,2,0.5046893443
865969,1,1,1,1942,1,,2,1,7,106,110,2,1976,,,,15,4,17,,,1,3,18,3,9,2,68,5,5,6,3,17,5,1,1,2,2,3,2,0.5508476731
865969,2,2,2,1945,1,,2,1,7,110,110,1,1967,,,,15,4,16,,,1,3,9,2,9,2,65,4,5,6,3,16,5,0,1,2,2,3,2,0.5508476731
865983,1,1,1,1953,1,,2,1,2,,,,,,,,15,5,19,,,,,20,3,20,4,57,4,4,6,3,19,5,1,1,3,3,5,0,1.0435919312
865983,2,2,2,1959,1,,2,1,3,,,,,,,,13,,,,,,,20,3,20,4,51,4,3,7,3,,5,0,0,3,3,5,0,1.0435919312
865983,3,2,6,1986,1,,2,2,3,,,,,,,,1,,7,,,,,20,3,20,4,24,1,1,1,1,7,4,0,1,3,3,5,0,1.0435919312
865983,4,1,6,1988,1,,2,2,4,,,,,,,,1,,7,,,,,20,3,20,4,22,1,1,1,1,7,4,0,1,3,3,5,0,1.0435919312
865999,1,1,1,1969,1,,2,1,3,,,,,,,,1,,7,,,,,20,3,20,5,41,3,2,1,1,7,4,1,1,1,3,5,0,1.1794116791
