NQUEST,Y,CN,CD1,CD2,CD,C,S
173,33267.445036,24400,0,0,0,24400,8867.445036
375,14580,15000,0,0,0,15000,-420
465,58189.652605,43200,19000,500,19500,62700,-4510.347395
629,37564.723194,22800,0,4500,4500,27300,10264.723194
632,47306.5644,21600,0,500,500,22100,25206.5644
633,19925.98466,18700,0,0,0,18700,1225.98466
923,32152.532822,31600,0,0,0,31600,552.532822
1238,18491.103121,15000,0,0,0,15000,3491.1031213
1367,16106,13440,0,0,0,13440,2666
1763,2200,4800,0,0,0,4800,-2600
1927,9892.66411,10800,0,0,0,10800,-907.33589
1946,20269.9233,6240,0,0,0,6240,14029.9233
2178,18731.660275,18000,0,0,0,18000,731.66027502
2274,18170,16100,0,150,150,16250,1920
2447,72908.792271,43794.651933,0,6500,6500,50294.651933,22614.140338
2485,11950,11400,0,0,0,11400,550
2886,37320.053503,43600,0,0,0,43600,-6279.946497
3717,16953.194402,12000,0,0,0,12000,4953.1944024
4732,2800,5400,0,0,0,5400,-2600
5416,27021.679782,16200,0,100,100,16300,10721.679782
7165,46694.980825,19800,0,0,0,19800,26894.980825
7886,41791.061469,39600,0,1000,1000,40600,1191.0614687
11972,30950.65644,19700,0,0,0,19700,11250.65644
20174,40482.281322,33600,0,1100,1100,34700,5782.281322
20223,51461.397699,18000,0,0,0,18000,33461.397699
20231,41000.995449,20400,0,1000,1000,21400,19600.995449
20297,16406.332055,17400,0,0,0,17400,-993.667945
20372,31244.324385,20400,0,0,0,20400,10844.324385
20711,30020,22800,10500,0,10500,33300,-3280
20837,43153.062919,25200,0,200,200,25400,17753.062919
21384,41119.135663,19200,1600,0,1600,20800,20319.135663
21461,17628.332055,16200,0,0,0,16200,1428.332055
22074,23600,21600,0,10000,10000,31600,-8000
22099,24425.32822,19800,0,0,0,19800,4625.32822
22168,11700,14280,0,0,0,14280,-2580
22169,11700,10800,0,0,0,10800,900
22173,16937.655548,13560,0,0,0,13560,3377.6555475
22208,28256.52605,19800,0,0,0,19800,8456.5260504
22222,25665.652605,8400,0,500,500,8900,16765.652605
22262,40698.753761,31200,24000,900,24900,56100,-15401.24624
22263,30287.860649,19560,0,0,0,19560,10727.860649
22266,40920.635481,36000,0,2000,2000,38000,2920.6354812
22276,32525.339627,10800,0,500,500,11300,21225.339627
22277,40679.125316,21600,0,0,0,21600,19079.125316
22279,40030.184027,15600,0,0,0,15600,24430.184027
22286,29003.00205,20400,11000,1000,12000,32400,-3396.99795
22292,40043.150986,22800,4000,400,4400,27200,12843.150986
22516,32434.980825,30000,0,600,600,30600,1834.9808251
22624,27400,19200,-1200,0,-1200,18000,9400
22657,59494.959866,30000,0,0,0,30000,29494.959866
22850,32118.373046,24000,0,6000,6000,30000,2118.3730456
22995,40448.524335,36960,0,2200,2200,39160,1288.5243349
