NQUEST,ANABIT,GODABIT,UNIPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS,IMPACQ,FITTONOP,TFITTONOP,TFITTO,TIPOAFF,DFITTOM,TFITTOM,PROPRIET,TFITIMP,UBIC1,SUPAB,ANCOSTR,BAGNI,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,MANSTR2,TMANSTR2,ENERGIA,TENERGIA,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,CHIFINCONS,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,MUTUOE,FMUTRIF,MUTUORIF,REAPMUT,MUTUORIC,DOCSEZD,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,QUOPRO
511507,1990,1,1,1990,1,1,0,0,0,0,0,0,0,7,60000,,,,,,,,350,3,180,1989,2,100000,2,,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
511519,1950,5,,,,,,,,,,,,,,,,,,,,3,200,4,50,1947,1,70000,1,1,2,,2,,2,,2,,2,,2,,,,,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
511525,1988,1,1,1988,1,0,0,0,0,0,0,0,0,4,,,,,,,,,200,4,50,1945,1,80000,2,,2,,2,,2,,2,,2,,2,,,,1,1,,,4,1,2,,2,,2,,,,,2,2,1,1,0,,0,,0,,100
511616,1970,1,1,1969,1,0,0,0,0,0,0,0,0,1,25000,,,,,,,,500,4,110,1950,2,200000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
511624,1979,5,,,,,,,,,,,,,,,,,,,,4,250,4,55,1977,1,100000,2,,2,,2,,2,,2,,,,,,,,,,,,3,2,2,,2,,2,,,,,1,2,0,,1,1,0,,0,,
511629,1984,1,1,1984,1,1,0,0,0,0,0,0,0,2,40000,,,,,,,,500,2,100,1984,2,200000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
511757,1976,1,1,1976,1,0,0,0,0,0,0,0,0,5,10000,,,,,,,,500,2,120,1976,1,200000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
511942,1971,1,1,1971,1,0,0,0,0,0,0,0,0,7,8000,,,,,,,,1000,3,140,1970,2,350000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
511987,1977,2,,,,,,,,,,,,,,,,65,6,1,300,7,,2,100,1970,2,150000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512199,1962,1,1,1962,1,0,0,0,0,0,0,0,0,6,,,,,,,,,400,2,90,1957,1,70000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512211,1973,1,1,1973,1,0,0,0,0,0,0,0,0,6,,,,,,,,,300,2,70,1950,1,70000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512368,1972,1,1,1972,0,1,0,0,0,0,0,0,0,6,,,,,,,,,200,4,120,1950,1,120000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512372,1973,1,1,1973,1,0,0,0,0,0,0,0,0,6,,,,,,,,,150,3,42,1950,1,30000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512382,1989,1,1,1989,1,1,0,0,0,0,0,0,0,7,30000,,,,,,,,350,2,120,1989,2,100000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512406,1992,1,1,1992,1,0,0,0,0,0,0,0,0,6,,,,,,,,,200,2,120,1975,2,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512411,1995,5,,,,,,,,,,,,,,,,,,,,1,250,2,120,1975,2,120000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512417,1965,1,1,1990,1,0,0,0,0,0,0,0,0,3,3500,,,,,,,,100,2,50,1950,1,40000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512420,1982,1,1,1982,1,0,0,0,0,0,0,0,0,1,40000,,,,,,,,500,2,160,1970,2,190000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512433,1996,1,1,1996,1,0,0,0,0,0,0,0,0,6,,,,,,,,,150,1,90,1980,1,50000,2,,2,,1,3,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512452,1993,5,,,,,,,,,,,,,,,,,,,,3,250,2,65,1950,1,65000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512457,1984,1,1,2006,1,1,0,0,0,0,0,0,0,2,40000,,,,,,,,300,2,110,1980,2,120000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512459,1993,5,,,,,,,,,,,,,,,,,,,,3,400,2,120,1985,1,160000,1,1,2,,2,,2,,2,,2,,2,,,,,,1,1,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512517,1990,1,1,2000,1,1,0,0,0,0,0,0,0,5,17000,,,,,,,,500,3,70,1948,2,200000,1,1,2,,2,,2,,2,,1,120000,2,,1,35000,1,2,2,,1,2,2,,2,,1,1,,,,,2,0,,1,1,0,,0,,100
512547,1995,1,1,1995,1,1,0,0,0,0,0,0,0,3,5000,,,,,,,,300,3,100,1970,2,130000,2,,2,,2,,2,,2,,1,2000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512574,1973,1,1,1973,1,1,0,0,0,0,0,0,0,1,1800,,,,,,,,400,2,85,1950,1,100000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512579,1985,1,1,1985,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,6,120,1985,1,210000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512687,1947,1,1,1947,1,0,0,0,0,0,0,0,0,4,,,,,,,,,150,2,100,1909,1,60000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512704,1995,1,1,1970,0,1,0,0,0,0,0,0,0,5,36000,,,,,,,,500,1,120,1970,2,250000,1,2,2,,1,1,2,,2,,1,2000,2,,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512768,1938,1,1,1960,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,4,140,1936,2,200000,1,1,2,,2,,2,,2,,2,,1,5000,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512784,1996,1,1,1983,1,0,0,0,0,0,0,0,0,7,40000,,,,,,,,400,3,130,1983,2,130000,2,,2,,2,,2,,2,,1,400,2,,2,,2,,,,1,2,2,,2,,1,1,,,,,2,1,1,1,3,0,,0,,100
512807,1975,2,,,,,,,,,,,,,,,,65,6,1,400,98,,3,90,1972,1,70000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,
512843,2001,1,1,2001,1,1,0,0,0,0,0,0,0,1,65000,,,,,,,,200,3,120,1995,1,90000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,1,2,2,,2,,2,,,,,2,2,0,,1,1,0,,0,,100
512845,1984,1,1,1984,1,1,0,0,0,0,0,0,0,7,60000,,,,,,,,800,3,160,1984,2,250000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512846,1939,5,,,,,,,,,,,,,,,,,,,,1,200,4,100,1938,1,150000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512849,2000,5,,,,,,,,,,,,,,,,,,,,1,250,2,100,1994,1,120000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512850,1989,1,1,1989,1,1,0,0,0,0,0,0,0,1,40000,,,,,,,,250,3,120,1980,1,80000,2,,2,,2,,2,,2,,2,,2,,,,1,1,,,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512858,1981,5,,,,,,,,,,,,,,,,,,,,3,350,2,70,1981,1,130000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512882,1991,1,1,1991,1,0,0,0,0,0,0,0,0,4,,,,,,,,,300,3,100,1980,2,150000,2,,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512884,1994,5,,,,,,,,,,,,,,,,,,,,7,300,2,86,1989,2,70000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
512887,2003,1,1,2003,1,1,0,0,0,0,0,0,0,7,60000,,,,,,,,300,2,100,2003,2,90000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512892,1944,1,1,1944,1,0,0,0,0,0,0,0,0,4,,,,,,,,,200,4,70,1940,1,80000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512897,1981,1,1,1981,1,0,0,0,0,0,0,0,0,1,30000,,,,,,,,400,2,110,1981,1,130000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,1,1,,,,,2,0,,0,,0,,0,,100
512921,1992,1,1,1992,1,1,0,0,0,0,0,0,0,2,75000,,,,,,,,600,3,100,1992,2,200000,1,1,1,1,2,,2,,2,,1,3000,2,,1,3000,2,,2,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
512928,1981,1,2,1981,1,0,0,0,0,0,0,0,0,1,55000,2,,,,,,,600,3,140,1972,2,170000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,50
512930,1970,1,1,1968,1,1,0,0,0,0,0,0,0,7,35000,,,,,,,,400,3,113,1968,2,230000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512935,1986,1,1,1986,1,1,0,0,0,0,0,0,0,1,35000,,,,,,,,500,3,240,1977,2,250000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512939,1965,1,1,1964,1,0,0,0,0,0,0,0,0,7,30000,,,,,,,,400,2,300,1964,1,250000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512940,1978,1,1,1978,1,1,0,0,0,0,0,0,0,2,50000,,,,,,,,400,3,90,1977,2,125000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512941,1995,1,1,1994,0,1,1,0,0,0,0,0,0,7,35000,,,,,,,,500,3,300,1993,2,300000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512943,1960,1,1,1968,1,1,0,0,0,0,0,0,0,7,20000,,,,,,,,400,2,100,1960,1,120000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512944,1980,1,1,1978,1,1,0,0,0,0,0,0,0,1,45000,,,,,,,,350,3,110,1978,1,180000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
512963,1973,1,1,1973,1,1,0,0,0,0,0,0,0,1,6500,,,,,,,,500,4,100,1973,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513045,2002,1,1,2002,1,1,0,0,0,0,0,0,0,4,,,,,,,,,600,6,110,1940,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513053,1978,1,1,1978,1,1,0,0,0,0,0,0,0,4,,,,,,,,,450,2,100,1953,1,220000,2,,2,,2,,2,,2,,1,950,2,,2,,2,,,,,,2,,2,,2,,,,,1,2,0,,0,,0,,0,,100
513064,1994,1,1,1994,1,1,0,0,0,0,0,0,0,1,36000,,,,,,,,500,6,180,1950,1,180000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513113,1994,1,1,1994,1,1,0,0,0,0,0,0,0,1,15000,,,,,,,,500,2,90,1700,2,220000,2,,2,,2,,2,,2,,1,1500,2,,2,,2,,,,,,2,,1,1500,2,,,,,2,2,0,,0,,0,,0,,100
513131,1980,1,1,1980,1,1,0,0,0,0,0,0,0,2,5000,,,,,,,,600,3,98,1980,1,200000,2,,2,,2,,2,,2,,1,3400,2,,2,,2,,,,2,2,2,,2,,2,,,,,2,2,1,1,0,,0,,0,,100
513140,1992,2,,,,,,,,,,,,,,,,82,5,1,120,7,,3,39,1890,1,80000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
513326,1990,1,1,1990,0,1,0,0,0,0,0,0,0,6,,,,,,,,,200,2,95,1967,1,120000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513329,1974,2,,,,,,,,,,,,,,,,250,4,1,250,4,,6,120,1934,1,100000,2,,2,,1,1,2,,2,,2,,2,,,,,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
513330,1969,1,1,1968,1,1,0,0,0,0,0,0,0,1,25000,,,,,,,,450,4,100,1936,1,150000,2,,1,2,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513335,1975,1,1,1971,1,1,0,0,0,0,0,0,0,7,5000,,,,,,,,250,6,100,1971,1,80000,2,,2,,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513348,1958,1,1,1958,1,0,0,0,0,0,0,0,0,4,,,,,,,,,200,6,90,1950,1,90000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513369,1961,1,1,1961,1,1,0,0,0,0,0,0,0,4,,,,,,,,,500,2,120,1955,2,250000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513373,1951,1,1,1951,1,0,0,0,0,0,0,0,0,7,5000,,,,,,,,400,4,90,1951,1,150000,2,,2,,2,,2,,2,,1,8000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513377,1985,1,1,1998,1,1,0,0,0,0,0,0,0,4,,,,,,,,,400,3,70,1960,1,90000,2,,2,,2,,2,,2,,1,650,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513382,1987,1,1,1987,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,4,70,1955,1,130000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513384,1960,1,1,1960,1,1,0,0,0,0,0,0,0,1,3000,,,,,,,,400,3,90,1960,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513386,1970,1,1,1970,1,1,0,0,0,0,0,0,0,2,5000,,,,,,,,500,3,97,1969,1,165000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,1,4000,2,,2,,,,,1,2,0,,0,,0,,0,,100
513388,1965,1,1,1965,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,3,87,1964,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513390,1990,1,1,1990,1,1,0,0,0,0,0,0,0,4,,,,,,,,,700,2,130,1900,2,200000,2,,2,,2,,2,,2,,1,850,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513406,1983,1,1,1983,1,0,0,0,0,0,0,0,0,2,27000,,,,,,,,1000,2,100,1982,2,200000,2,,2,,2,,2,,2,,1,10000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513411,1993,1,1,1993,1,0,0,0,0,0,0,0,0,1,30000,,,,,,,,800,4,65,1800,1,170000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513421,1997,1,1,1994,1,1,0,0,0,0,0,0,0,1,50000,,,,,,,,550,4,85,1965,1,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513427,2000,5,,,,,,,,,,,,,,,,,,,,1,800,6,120,1950,2,150000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
513428,1995,1,1,1993,1,0,0,0,0,0,0,0,0,6,,,,,,,,,350,3,70,1972,1,170000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513430,2008,1,1,2002,0,1,0,0,0,0,0,0,0,6,,,,,,,,,700,2,160,2002,2,700000,2,,2,,2,,2,,2,,1,3000,2,,2,,1,1,,,,2,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
513437,1997,1,1,1997,1,0,0,0,0,0,0,0,0,6,,,,,,,,,700,2,300,1970,2,300000,1,1,2,,1,1,2,,2,,2,,1,120000,2,,2,,1,1,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513442,2009,1,1,1985,1,0,0,0,0,0,0,0,0,6,,,,,,,,,500,2,110,1985,1,160000,2,,2,,2,,2,,2,,1,1000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
513449,2007,1,1,2007,1,1,0,0,0,0,0,0,0,7,130000,,,,,,,,350,2,150,2007,2,150000,2,,2,,2,,2,,2,,2,,2,,,,1,1,,,,2,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
610206,1991,1,1,2001,1,1,0,0,0,0,0,0,0,2,50000,,,,,,,,600,2,105,1980,1,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
610375,1967,2,,,,,,,,,,,,,,,,200,6,1,350,7,,2,65,1950,1,60000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
610398,1990,1,1,1990,1,0,0,0,0,0,0,0,0,1,105000,,,,,,,,600,3,80,1950,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
610658,1963,1,1,1970,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,500,3,75,1963,1,90000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
610980,1967,1,1,1980,0,1,0,0,0,0,0,0,0,1,30000,,,,,,,,500,3,76,1960,1,200000,1,1,2,,2,,2,,2,,1,6000,2,,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
611167,1993,1,1,1992,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,500,2,70,1964,1,110000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
611412,1994,5,,,,,,,,,,,,,,,,,,,,1,1500,2,120,1963,2,400000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
611441,1991,1,1,1991,1,1,0,0,0,0,0,0,0,1,75000,,,,,,,,900,2,100,1960,1,200000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
611453,1983,1,1,1983,1,0,0,0,0,0,0,0,0,2,40000,,,,,,,,1000,3,90,1982,2,320000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
611512,1958,1,1,1958,0,1,0,0,0,0,0,0,0,1,6000,,,,,,,,900,3,90,1956,1,230000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,1,700,2,,,,,2,2,0,,0,,0,,0,,100
611614,1989,1,1,1989,1,0,0,0,0,0,0,0,0,1,90000,,,,,,,,600,3,80,1960,1,280000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
611699,1989,1,1,1992,1,0,0,0,0,0,0,0,0,1,31000,,,,,,,,500,3,80,1975,1,80000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
611747,1954,1,2,1954,1,0,0,0,0,0,0,0,0,7,2000,2,,,,,,,400,2,100,1954,1,250000,1,1,2,,2,,2,,2,,2,,1,1000,2,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,33
611762,1959,2,,,,,,,,,,,,,,,,240,1,1,350,4,,1,72,1945,1,200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
611774,1994,1,1,1994,1,0,0,0,0,0,0,0,0,2,85000,,,,,,,,700,2,100,1850,2,400000,1,1,2,,2,,1,1,1,45000,1,6000,2,,2,,2,,1,1,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
611993,1966,1,1,1966,1,1,0,0,0,0,0,0,0,4,,,,,,,,,1300,4,150,1700,2,1000000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
612011,1978,1,1,1998,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,1900,2,70,1951,1,220000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
612234,1973,1,1,1973,1,0,0,0,0,0,0,0,0,6,,,,,,,,,800,2,90,1973,2,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
612269,1996,2,,,,,,,,,,,,,,,,650,2,2,,4,,3,70,1970,1,300000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
612402,1988,2,,,,,,,,,,,,,,,,250,2,2,,4,,2,70,1960,1,150000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
612423,1983,1,1,1983,1,1,0,0,0,0,0,0,0,1,120000,,,,,,,,900,3,70,1970,1,280000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,1,2,0,,0,,0,,0,,100
612483,1950,1,1,1950,1,0,0,0,0,0,0,0,0,6,,,,,,,,,300,2,60,1950,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
612547,2002,1,1,2004,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,2,100,1970,2,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
613319,1990,1,1,1989,1,0,0,0,0,0,0,0,0,1,50000,,,,,,,,900,2,100,1958,2,370000,1,1,2,,2,,2,,2,,2,,2,,,,1,1,1,1,4,2,2,,2,,2,,,,,2,2,1,1,0,,0,,0,,100
613488,1975,1,1,1975,1,1,0,0,0,0,0,0,0,2,20000,,,,,,,,1200,2,110,1972,1,350000,1,2,2,,2,,2,,2,,1,11000,2,,1,5000,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
613535,1954,1,1,1966,1,0,1,0,0,0,0,0,0,4,,,,,,,,,1500,3,140,1954,2,980000,2,,2,,2,,2,,2,,1,18000,2,,2,,1,1,,,,2,1,25000,2,,2,,,,,2,2,0,,0,,0,,0,,100
613605,1978,2,,,,,,,,,,,,,,,,162,5,1,500,98,,4,105,1970,1,200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
613621,1972,1,1,1973,1,0,0,0,0,0,0,0,0,1,15000,,,,,,,,800,1,92,1965,1,350000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
613624,1960,1,1,1960,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,300,2,80,1956,1,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
613697,1966,2,,,,,,,,,,,,,,,,90,5,1,400,8,,2,92,1964,1,110000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
613825,1982,4,,,,,,,,,,,,,,,,,,,,1,700,2,90,1957,2,200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
614068,1965,2,,,,,,,,,,,,,,,,60,6,1,250,7,,3,80,1960,1,80000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
614094,1978,1,1,1978,1,0,0,0,0,0,0,0,0,1,40000,,,,,,,,400,4,120,1961,1,120000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
614660,1987,4,,,,,,,,,,,,,,,,,,,,98,250,4,45,1972,1,70000,2,,2,,2,,2,,2,,,,,,,,,,,,3,2,2,,2,,2,,,,,1,2,1,2,0,,0,,0,,
614683,1987,1,1,1987,1,1,0,0,0,0,0,0,0,1,32000,,,,,,,,500,4,110,1947,2,180000,1,2,2,,2,,2,,2,,2,,1,48000,2,,2,,1,1,,2,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
614783,1971,1,1,1971,1,0,0,0,0,0,0,0,0,2,30000,,,,,,,,1000,3,140,1970,2,400000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
615309,1966,1,1,1996,1,1,0,0,0,0,0,0,0,3,27000,,,,,,,,500,4,70,1940,1,150000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
