NQUEST,ANABIT,GODABIT,UNIPRO,ANPOSS,PRO1,PRO2,PRO3,PRO4,PRO5,PRO6,PRO7,PRO8,PRO9,POSS,IMPACQ,FITTONOP,TFITTONOP,TFITTO,TIPOAFF,DFITTOM,TFITTOM,PROPRIET,TFITIMP,UBIC1,SUPAB,ANCOSTR,BAGNI,VALABIT,ALTRAB,NALTRAB,ALTRFAB,NALTRFAB,TERAGR,NTERAGR,TERNAGR,NTERNAGR,ANTIC,ANTICIPI,MANSTRA,TMANSTRA,MANSTR2,TMANSTR2,ENERGIA,TENERGIA,DEBITA1,NDEBITA1,DEBITA2,NDEBITA2,CHIFINCONS,RITARDO,CREDIT,TCREDIT,DEBIT,TDEBIT,MUTUOR,MUTUOE,FMUTRIF,MUTUORIF,REAPMUT,MUTUORIC,DOCSEZD,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,QUOPRO
7165,1979,1,1,1979,1,0,0,0,0,0,0,0,0,4,,,,,,,,,650,4,100,1961,1,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
7886,1985,1,1,1985,1,1,0,0,0,0,0,0,0,5,50000,,,,,,,,800,4,120,1960,2,550000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
11972,1980,1,1,1980,1,1,0,0,0,0,0,0,0,1,25000,,,,,,,,600,3,95,1969,1,200000,2,,1,1,1,1,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
20174,1971,1,1,1971,1,1,0,0,0,0,0,0,0,1,4000,,,,,,,,600,4,85,1963,1,140000,1,1,2,,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
20223,1976,1,1,1969,1,1,0,0,0,0,0,0,0,1,20000,,,,,,,,500,4,80,1962,1,130000,2,,2,,2,,2,,2,,1,7000,2,,2,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
20231,2008,1,1,2008,1,0,0,0,0,0,0,0,0,1,220000,,,,,,,,500,3,90,2007,1,250000,2,,2,,2,,2,,2,,1,8000,2,,2,,1,1,,,,2,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
20297,1964,2,,,,,,,,,,,,,,,,350,4,1,500,4,,2,84,1960,1,130000,1,1,2,,2,,2,,2,,2,,2,,,,,,2,,3,2,2,,2,,2,,,,,2,2,0,,0,,0,,1,1,
20372,1986,1,1,1985,1,1,0,0,0,0,0,0,0,1,25000,,,,,,,,500,4,80,1952,1,160000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
20711,1944,4,,,,,,,,,,,,,,,,,,,,2,400,1,84,1929,1,200000,2,,2,,2,,2,,2,,,,,,,,,,,,4,2,2,,2,,1,1,,,,,2,1,1,0,,0,,0,,
20837,1963,1,1,1962,1,1,0,0,0,0,0,0,0,2,1500,,,,,,,,500,4,95,1962,1,200000,1,2,2,,2,,2,,2,,1,1500,1,1500,2,,2,,2,,1,2,2,,2,,2,,,,,2,1,0,,0,,0,,1,1,100
21384,1981,1,1,2000,1,1,0,0,0,0,0,0,0,4,,,,,,,,,400,3,100,1978,2,180000,2,,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
21461,1973,4,,,,,,,,,,,,,,,,,,,,2,700,4,70,1962,1,250000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
22074,1994,1,1,1994,1,0,0,0,0,0,0,0,0,1,200000,,,,,,,,300,3,100,1993,2,300000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22099,1982,1,1,1982,1,1,0,0,0,0,0,0,0,5,65000,,,,,,,,450,4,110,1978,1,300000,2,,2,,2,,2,,2,,1,3500,2,,2,,2,,,,,,2,,2,,1,3,3,3,2,,2,0,,0,,0,,0,,100
22168,1970,2,,,,,,,,,,,,,,,,290,1,2,,4,,4,50,1940,1,200000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
22169,1962,2,,,,,,,,,,,,,,,,300,2,2,,4,,4,60,1960,1,300000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
22173,1971,2,,,,,,,,,,,,,,,,430,2,2,,4,,4,70,1950,1,400000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
22208,1978,1,2,1978,1,0,0,0,0,0,0,0,0,2,20000,2,,,,,,,650,2,107,1976,2,110000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,50
22222,1960,1,1,1959,1,0,0,0,0,0,0,0,0,7,2000,,,,,,,,300,4,130,1959,2,450000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22262,2000,1,1,1999,1,0,0,0,0,0,0,0,0,5,30000,,,,,,,,1000,2,180,1963,2,400000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22263,1967,2,,,,,,,,,,,,,,,,330,6,2,,7,,2,90,1965,1,70000,2,,2,,2,,2,,2,,,,,,,,,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
22266,1936,1,1,1984,1,1,0,0,0,0,0,0,0,4,,,,,,,,,1000,4,120,1936,1,250000,2,,1,1,2,,2,,2,,2,,2,,,,2,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22276,1949,1,1,2007,1,0,0,0,0,0,0,0,0,4,,,,,,,,,200,3,60,1800,1,100000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22277,1986,5,,,,,,,,,,,,,,,,,,,,3,400,3,120,1981,1,160000,2,,1,1,2,,2,,2,,2,,2,,,,,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
22279,1954,1,1,1998,1,0,0,0,0,0,0,0,0,4,,,,,,,,,500,1,70,1930,1,150000,1,1,2,,2,,2,,2,,1,20000,2,,2,,2,,2,,,,2,,2,,2,,,,,2,1,0,,0,,0,,0,,100
22286,1990,1,1,1990,1,1,0,0,0,0,0,0,0,4,,,,,,,,,400,3,200,1990,2,250000,2,,2,,2,,2,,2,,2,,2,,,,2,,,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,100
22292,1944,4,,,,,,,,,,,,,,,,,,,,2,500,1,130,1880,2,200000,1,2,2,,2,,2,,2,,2,,2,,,,,,2,,,,2,,2,,2,,,,,2,2,0,,0,,0,,0,,
