NQUEST,DEBM21,DEBRF21,TDEBITA21,TMUTUOAB21,MUTUOIN21,ANMUTUO21,MUTUODU21,TIPOTAX21,DEBGAR21_1,DEBGAR21_2,DEBGAR21_3,DEBGAR21_4,DEBPERS21,DEBM22,DEBRF22,TDEBITA22,TMUTUOAB22,MUTUOIN22,ANMUTUO22,MUTUODU22,TIPOTAX22,DEBGAR22_1,DEBGAR22_2,DEBGAR22_3,DEBGAR22_4,DEBPERS22,DEBM23,DEBRF23,TDEBITA23,TMUTUOAB23,MUTUOIN23,ANMUTUO23,MUTUODU23,TIPOTAX23,DEBGAR23_1,DEBGAR23_2,DEBGAR23_3,DEBGAR23_4,DEBPERS23,TAXFIS21,TAXVAR21,TAX21,TAXFIS22,TAXVAR22,TAX22,TAXFIS23,TAXVAR23,TAX23
707344,1,2,33000,3900,40000,2007,15,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,0,,,,,,
709442,1,2,85000,9000,110000,2007,15,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,0,,,,,,
712136,1,2,50000,6000,60000,2009,10,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
717044,2,2,2500,2500,5000,2009,2,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
720610,1,2,17200,4000,20000,2008,15,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,0,,,,,,
721843,1,2,30000,5400,50000,2001,20,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,0,,,,,,
728148,1,2,30000,9000,75000,2004,10,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,0,,,,,,
728306,1,2,15000,4500,35000,2004,10,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,0,,,,,,
737401,2,2,12000,6000,52000,2003,10,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,0,,,,,,
800040,1,2,5600,2530,8000,2010,3,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,0,,,,,,
