NQUEST,CHKCC,CHKTIPO,PINT1,PINT11,PINT2,PINT21,PBORS1,PBORS11,PBORS2,PBORS21,PCAS1,PCAS11,PCAS2,PCAS21,ASPASS,ASPTAX
855507,,,,1,,,,1,,,,1,,,2,4
855532,5,4,,1,,,,1,,,,1,,,4,1
855534,5,7,,1,,,,1,,,,1,,,4,4
855554,1,1,0,,,,,1,,,70,,100,,1,3
855562,3,3,,1,,,,1,,,,1,,,2,2
855585,2,2,,1,,,,1,,,,1,,,2,2
855610,4,2,,1,,,,1,,,,1,,,1,3
855636,3,3,,1,,,,1,,,,1,,,2,5
855639,,,,2,,,,1,,,,2,,,2,3
855680,2,1,,1,,,,1,,,,1,,,1,2
855681,2,1,60,,50,,5,,2,,0,,,,2,3
855688,,,,1,,,,1,,,10,,0,,2,3
855705,1,2,0,,,,10,,5,,50,,40,,2,2
855747,2,1,70,,,1,0,,,,80,,0,,1,3
855751,1,1,100,,100,,,1,,,10,,10,,1,3
855752,1,1,75,,75,,50,,20,,20,,10,,1,3
855755,3,1,50,,60,,30,,30,,70,,80,,1,3
855756,4,3,70,,70,,20,,10,,10,,0,,1,3
855770,4,3,,1,,,,1,,,,1,,,1,3
855777,4,3,,1,,,,1,,,,1,,,1,2
855782,5,3,,1,,,,1,,,,1,,,2,1
855791,2,1,100,,0,,,1,,,,1,,,1,2
855792,4,2,100,,20,,100,,,1,,1,,,2,2
855803,3,2,100,,,1,,1,,,,1,,,1,1
855809,,,,1,,,,1,,,,1,,,2,2
855818,1,1,0,,,,,1,,,0,,,,2,2
855829,3,1,,1,,,,1,,,0,,,,2,3
855846,1,3,0,,,,50,,0,,20,,0,,3,3
855864,2,2,50,,10,,50,,20,,0,,,,2,3
855874,1,1,50,,20,,10,,15,,30,,5,,2,3
855946,,,,1,,,,1,,,,1,,,3,3
855988,1,1,50,,10,,0,,,,10,,,1,2,3
855991,4,2,95,,50,,30,,10,,10,,0,,3,2
856008,2,2,90,,20,,50,,10,,10,,10,,2,2
856014,1,1,0,,,,30,,0,,0,,,,1,3
856073,3,3,5,,2,,10,,4,,10,,4,,1,3
856077,4,3,0,,,,5,,1,,5,,2,,2,3
856081,3,1,10,,0,,5,,0,,40,,0,,1,3
856110,5,4,0,,,,,1,,,0,,,,2,2
856114,4,1,50,,50,,40,,30,,60,,40,,3,3
856128,4,1,0,,,,0,,,,30,,30,,2,3
856134,4,3,0,,,,,1,,,30,,30,,1,2
856150,3,2,10,,10,,0,,,,20,,0,,2,2
856176,1,3,10,,1,,5,,1,,0,,,,1,1
856177,3,2,60,,50,,,1,,,,1,,,2,2
856209,5,3,1,,1,,1,,1,,,1,,,1,3
856216,3,2,100,,70,,,1,,,50,,100,,2,3
856218,3,2,90,,80,,30,,20,,10,,0,,1,3
856230,2,1,40,,60,,10,,5,,1,,0,,2,3
856254,,,0,,,,0,,,,0,,,,1,1
856312,,,,1,,,,1,,,,1,,,2,2
856320,1,2,100,,,1,100,,,1,,1,,,1,2
856321,,,,1,,,,1,,,,1,,,1,2
856322,,,,1,,,,1,,,,1,,,1,2
856324,3,3,,1,,,,1,,,,1,,,2,2
856344,3,2,100,,0,,100,,,1,50,,,1,1,3
856370,2,3,,1,,,,1,,,,1,,,1,2
856378,3,2,,1,,,,1,,,,1,,,1,2
856424,2,1,90,,,1,,1,,,20,,,1,1,2
856439,,,,1,,,,1,,,,1,,,2,2
856472,3,2,0,,,,0,,,,0,,,,2,2
856524,,,20,,1,,30,,10,,10,,40,,2,2
856567,2,2,,1,,,0,,,,80,,80,,2,3
856583,4,1,,1,,,,1,,,,1,,,3,4
856600,3,1,60,,40,,,1,,,50,,10,,1,2
856607,1,3,99,,80,,,1,,,50,,0,,2,3
856616,2,2,3,,3,,,1,,,2,,2,,2,2
856623,2,1,,1,,,,1,,,,1,,,2,3
856632,2,3,,1,,,,1,,,0,,,,1,3
856640,3,3,0,,,,0,,,,10,,10,,3,3
856661,1,1,,1,,,,1,,,5,,2,,2,3
856664,3,2,0,,,,2,,0,,0,,,,1,3
856668,3,3,0,,,,,1,,,0,,,,1,3
856674,2,2,80,,80,,10,,5,,0,,,,2,2
856705,3,1,,1,,,,1,,,10,,3,,2,3
856725,4,2,,1,,,,1,,,,1,,,1,3
856727,,,,1,,,,1,,,0,,,,1,3
856730,1,1,,1,,,,1,,,5,,5,,1,3
856733,1,1,,1,,,,1,,,3,,5,,1,3
856734,3,1,,1,,,,1,,,,1,,,2,2
856735,3,1,,1,,,10,,5,,0,,,,2,3
856742,1,1,0,,,,0,,,,25,,5,,3,3
856755,2,2,50,,50,,0,,,,10,,10,,2,2
856757,1,1,80,,50,,,1,,,0,,,,1,3
856759,1,1,,1,,,,1,,,10,,5,,1,3
856772,3,1,0,,,,0,,,,10,,0,,3,2
856773,2,2,,1,,,10,,10,,20,,20,,2,2
856776,3,1,,1,,,5,,3,,,2,,,1,3
856798,2,2,90,,60,,50,,20,,0,,,,1,3
856825,1,3,20,,30,,0,,,,25,,25,,1,3
856831,2,3,0,,,,,1,,,0,,,,1,3
856835,3,2,,1,,,,1,,,20,,,1,2,3
856840,2,2,75,,,2,0,,,,0,,,,2,3
856841,2,2,,1,,,,1,,,,1,,,1,2
856868,3,3,10,,5,,,1,,,0,,,,2,2
856877,3,2,,1,,,,1,,,,1,,,1,3
856895,2,1,,1,,,,1,,,,1,,,1,3
856897,3,1,,1,,,,1,,,,1,,,2,2
856899,3,3,50,,30,,,1,,,,1,,,2,2
856920,1,4,80,,80,,10,,0,,5,,0,,1,2
856929,1,2,10,,10,,0,,,,30,,30,,3,2
856959,4,3,3,,,1,,1,,,20,,3,,1,3
856966,4,2,10,,,1,,1,,,20,,,1,2,3
857044,,,,1,,,,1,,,15,,,1,2,3
857048,,,50,,50,,2,,1,,1,,1,,2,2
857058,2,2,20,,25,,5,,5,,10,,5,,2,3
857069,1,1,70,,10,,20,,0,,10,,0,,1,3
857073,1,3,30,,20,,0,,,,70,,40,,2,3
857093,1,1,1,,0,,0,,,,0,,,,1,3
857101,3,2,0,,,,0,,,,0,,,,2,3
857109,,,,2,,,,2,,,,2,,,1,3
857137,3,3,,1,,,,1,,,0,,,,1,3
857176,3,2,20,,,1,,1,,,20,,20,,2,2
857182,4,2,10,,,1,,2,,,,1,,,2,2
857189,2,1,10,,5,,20,,10,,,1,,,2,2
857200,5,2,20,,,1,30,,,1,,1,,,2,2
857207,4,2,,1,,,,1,,,,1,,,1,2
857210,3,3,,1,,,0,,,,10,,0,,2,2
857227,1,1,80,,50,,,1,,,10,,10,,1,3
857254,3,3,,1,,,,1,,,,1,,,2,3
857273,3,3,50,,,1,20,,0,,50,,50,,2,3
857275,1,1,30,,50,,60,,30,,30,,10,,2,2
857285,2,1,90,,90,,0,,,,30,,0,,1,3
857293,2,2,,1,,,,1,,,,1,,,2,2
857311,3,1,0,,,,0,,,,0,,,,2,2
857315,3,3,75,,80,,30,,0,,0,,,,3,1
857316,3,2,15,,10,,2,,0,,50,,40,,2,3
857341,2,1,100,,50,,0,,,,90,,50,,1,3
857342,4,2,,1,,,,1,,,10,,,1,3,3
857343,1,1,99,,90,,0,,,,10,,30,,1,3
857350,1,4,50,,30,,60,,40,,70,,60,,1,3
857353,2,2,75,,75,,70,,50,,80,,80,,1,3
857354,3,1,2,,,1,,1,,,0,,,,2,3
857371,5,3,90,,80,,,1,,,,1,,,1,3
857393,4,1,30,,10,,10,,20,,20,,20,,2,2
857405,4,2,10,,5,,10,,2,,3,,1,,2,1
857408,4,3,10,,10,,3,,,1,,1,,,2,3
857467,4,1,3,,2,,,1,,,0,,,,1,3
857468,,,,1,,,,1,,,,1,,,4,4
857470,3,1,,1,,,,1,,,,1,,,1,3
857473,,,80,,60,,40,,40,,1,,1,,2,3
857512,1,1,70,,60,,0,,,,10,,15,,1,3
857514,4,1,100,,100,,0,,,,0,,,,1,3
857515,1,3,50,,100,,20,,0,,0,,,,2,2
857521,,,70,,70,,0,,,,20,,0,,1,3
857522,1,1,50,,60,,0,,,,0,,,,2,3
857523,2,2,10,,100,,,1,,,,1,,,2,3
857544,,,,1,,,,1,,,50,,80,,1,2
857549,3,1,40,,50,,10,,5,,50,,30,,2,3
857552,3,2,,1,,,,1,,,,1,,,4,4
857577,3,2,,1,,,,1,,,,1,,,4,3
857614,3,1,,1,,,,1,,,,1,,,2,2
857621,3,1,10,,,1,,1,,,0,,,,1,3
857623,3,2,10,,,1,,1,,,0,,,,2,2
857624,3,2,30,,20,,20,,20,,10,,,1,2,3
857630,2,1,40,,,1,,2,,,,1,,,2,3
857645,3,2,,2,,,,2,,,0,,,,2,2
857656,1,1,40,,,1,20,,,1,20,,0,,1,1
857667,4,1,50,,50,,50,,0,,0,,,,1,3
857671,1,3,100,,100,,30,,20,,10,,0,,2,2
857705,4,2,,1,,,,1,,,10,,10,,3,1
857715,3,1,,1,,,,1,,,,1,,,4,2
857722,1,2,100,,100,,0,,,,0,,,,1,3
857728,1,2,100,,20,,50,,10,,0,,,,2,3
857741,4,3,,1,,,,1,,,,1,,,2,2
857747,2,2,0,,,,0,,,,0,,,,1,1
857752,2,3,,1,,,,1,,,,1,,,4,3
857754,,,,1,,,,1,,,,1,,,4,4
857758,3,1,0,,,,5,,0,,20,,10,,2,3
857760,4,5,,1,,,,1,,,,1,,,2,2
857766,3,2,,1,,,,1,,,,1,,,2,2
857777,,,,1,,,,1,,,,1,,,2,2
857779,3,1,0,,,,0,,,,80,,,1,2,3
857793,3,1,20,,20,,35,,0,,40,,20,,1,3
857794,4,3,50,,,1,,1,,,0,,,,2,3
857795,,,,1,,,,1,,,,1,,,2,2
857798,5,3,,1,,,,1,,,,1,,,2,3
857809,3,1,,1,,,,1,,,,1,,,2,2
857810,1,2,10,,5,,50,,30,,0,,,,1,2
857811,3,1,,1,,,,1,,,20,,20,,2,2
857814,3,2,95,,95,,10,,0,,0,,,,1,3
857821,3,1,2,,2,,,1,,,0,,,,2,3
857826,1,1,100,,50,,30,,0,,0,,,,3,3
857830,3,2,0,,,,0,,,,0,,,,2,2
857837,1,1,,1,,,5,,5,,20,,20,,1,2
857847,3,1,0,,,,0,,,,0,,,,1,2
857858,1,1,0,,,,,1,,,0,,,,2,3
857865,2,2,50,,0,,10,,0,,60,,70,,1,3
857866,3,1,30,,,1,10,,,1,0,,,,1,2
857867,3,1,0,,,,0,,,,0,,,,2,2
857874,2,1,50,,,1,30,,0,,0,,,,2,3
857883,4,3,,1,,,,1,,,,1,,,1,3
857887,3,1,0,,,,,1,,,,1,,,2,2
857892,1,1,90,,,1,,1,,,90,,,1,2,2
857895,5,6,,1,,,,1,,,,1,,,1,2
857901,3,2,80,,90,,20,,10,,1,,60,,1,1
857904,3,3,,1,,,,1,,,,1,,,4,4
857905,3,3,90,,10,,,1,,,,2,,,1,1
857908,3,3,,1,,,,1,,,50,,60,,1,1
857921,3,3,,1,,,,1,,,,1,,,1,3
857934,4,3,,1,,,,1,,,,1,,,1,2
857939,4,3,,1,,,,1,,,,1,,,1,3
857944,3,3,,1,,,,1,,,,1,,,1,2
857948,3,3,,1,,,,1,,,,1,,,1,3
857951,,,,1,,,,1,,,,1,,,1,2
857994,1,1,5,,0,,10,,0,,0,,,,2,3
857997,,,0,,,,0,,,,0,,,,1,3
858037,4,3,,1,,,60,,1,,50,,5,,1,2
858038,3,2,2,,0,,30,,10,,0,,,,2,3
858041,,,,1,,,,1,,,,1,,,4,3
858046,3,2,,1,,,,1,,,0,,,,1,3
858053,4,2,,1,,,2,,0,,10,,2,,1,3
858065,2,1,,1,,,20,,2,,2,,0,,1,3
858067,3,2,10,,2,,20,,5,,0,,,,1,3
858068,3,2,,1,,,,1,,,,1,,,1,3
858074,3,1,,1,,,0,,,,0,,,,1,3
858080,,,,1,,,,1,,,,1,,,1,3
858090,7,7,,1,,,,1,,,,1,,,1,3
858115,7,6,,1,,,,1,,,10,,20,,2,2
858124,3,3,,1,,,,1,,,100,,80,,4,4
858156,5,4,,1,,,,1,,,,1,,,2,2
858186,4,3,,1,,,40,,0,,0,,,,1,3
858187,4,2,,1,,,0,,,,0,,,,2,3
858204,4,2,,1,,,,1,,,0,,,,2,3
858205,2,2,60,,60,,3,,0,,70,,50,,1,3
858210,3,2,5,,0,,10,,0,,0,,,,2,3
858214,3,3,,1,,,,1,,,0,,,,2,2
858215,2,3,,1,,,0,,,,0,,,,2,2
858216,3,5,,1,,,,1,,,0,,,,1,3
858228,2,2,0,,,,0,,,,30,,,1,1,3
858230,2,3,,1,,,,1,,,,1,,,1,1
858231,4,4,,1,,,,1,,,,1,,,2,2
858234,1,1,10,,10,,0,,,,10,,10,,2,2
858236,2,2,0,,,,0,,,,0,,,,2,2
858238,1,2,0,,,,10,,0,,10,,0,,2,2
858245,2,2,5,,0,,10,,0,,30,,20,,1,1
858251,4,3,,1,,,,1,,,,1,,,2,2
858260,,,30,,,1,,1,,,0,,,,2,3
858268,4,2,100,,100,,0,,,,0,,,,1,3
858277,6,3,,1,,,,1,,,0,,,,1,3
858280,,,,1,,,,1,,,,1,,,1,3
858282,6,6,,1,,,,2,,,,2,,,1,3
858289,,,100,,100,,40,,0,,0,,,,1,3
858295,3,3,100,,,1,0,,,,,1,,,1,3
858313,4,1,80,,50,,0,,,,0,,,,2,4
858327,1,1,50,,20,,,1,,,30,,60,,2,2
858328,2,1,,1,,,,1,,,0,,,,1,3
858329,4,3,0,,,,,1,,,100,,100,,2,2
858334,3,1,,1,,,,1,,,0,,,,1,2
858343,3,1,10,,,1,0,,,,,1,,,2,3
858345,3,1,100,,100,,0,,,,100,,,1,2,3
858349,1,2,50,,70,,10,,1,,60,,60,,2,3
858353,2,1,30,,50,,50,,2,,60,,60,,2,2
858356,3,3,0,,,,,1,,,20,,10,,1,3
858359,4,4,60,,60,,30,,0,,0,,,,2,3
858360,1,2,100,,25,,10,,0,,0,,,,1,2
858386,5,4,75,,10,,5,,10,,10,,5,,2,2
