NQUEST,NORD,INTPER,ATTIVP,PARTIME,CONTRATT,TUTTANNO,MESILAV,PUBBLICO,DIMAZ,ORETOT,PSTRA,ORESTRA,YLM,INTEG,YLNM,OREDES
29737,2,2,1,1,1,1,12,1,,25,1,0,24000,2,0,30
29742,2,1,1,1,1,1,12,1,,30,2,,23000,2,0,
29823,2,1,1,1,1,1,12,2,5,35,1,2,27000,2,0,
31066,3,1,1,1,1,1,12,2,4,40,2,,15000,2,0,
31092,1,1,1,1,1,1,12,2,3,50,1,5,41972,1,1600,55
31122,1,1,1,1,1,1,12,1,,40,2,,19000,2,0,40
31122,3,1,1,1,1,1,12,2,2,40,2,,13000,2,0,
31137,1,1,1,1,1,1,12,2,6,40,2,,25000,2,0,60
31137,2,1,1,1,1,1,12,2,7,30,2,,20000,2,0,
31137,3,1,1,1,1,1,12,2,6,40,2,,20000,2,0,
31161,1,1,1,1,1,1,12,2,2,36,2,,22000,2,0,36
31161,2,1,1,1,1,1,12,2,2,30,2,,15500,2,0,
31309,1,1,1,1,1,1,12,1,,30,2,,15000,2,0,32
31309,3,3,1,1,1,1,12,2,3,40,2,,12000,2,0,40
31309,6,6,1,1,1,1,12,2,1,40,1,5,11000,2,0,
31387,2,1,1,1,1,1,12,2,6,40,2,,24000,2,0,
31387,3,1,1,1,2,2,3,2,6,42,2,,2700,1,360,
31403,2,1,1,1,1,1,12,2,4,30,1,3,13000,2,0,
31560,2,1,1,1,1,1,12,2,2,40,1,2,13000,2,0,
31625,2,2,1,1,1,1,12,2,3,46,1,8,21000,1,1000,45
31641,1,1,1,1,1,1,12,2,1,38,2,,11000,2,0,40
31641,2,1,1,1,1,1,12,2,2,40,2,,16000,2,0,
31695,2,2,1,1,1,1,12,2,6,45,1,5,22400,2,0,40
31695,4,4,1,1,2,2,8,2,2,40,2,,5500,2,0,40
31724,1,1,1,1,1,1,12,2,7,50,1,10,19488,1,1390,0
31724,2,3,1,1,1,1,12,2,2,40,1,4,18060,2,0,
31785,2,1,1,1,1,1,12,1,,40,2,,24000,2,0,
31860,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,45
31860,2,1,1,1,1,1,12,1,,30,2,,17300,2,0,
31860,3,1,1,1,2,2,9,1,,40,2,,6500,2,0,
