NQUEST,NORDP,MOTUSC,ANNOENUS,NORDP6
685647,3,4,2010,
685664,2,6,2009,
685780,4,4,2009,
685873,3,4,2010,
685965,4,4,2009,
685969,3,4,2009,
685969,4,4,2009,
686178,3,4,2009,
686259,2,1,2009,
686433,3,4,2009,
686571,2,4,2009,
686694,1,1,2009,
686742,3,4,2009,
686831,2,1,2010,
686863,1,1,2010,
686887,2,6,2009,
686887,3,6,2009,
687005,2,1,2009,
687024,3,4,2010,
687024,4,4,2009,
687076,1,4,2010,
687135,2,6,2009,
687165,3,4,2010,
687165,4,3,2009,
687248,3,4,2010,
687471,3,4,2009,
687512,1,1,2009,
687630,2,1,2009,
687878,5,4,2010,
687893,4,4,2009,
687992,4,4,2010,
687993,3,4,2009,
688123,3,3,2009,
688142,2,6,2010,
688172,3,3,2009,
688204,2,6,2010,
688204,3,6,2010,
688214,3,4,2010,
688287,3,4,2009,
700213,3,6,2010,
700213,4,6,2010,
700221,2,1,2010,
700235,2,6,2009,
700730,2,1,2010,
701037,2,6,2009,
701401,1,6,2010,
701401,2,1,2010,
701401,4,98,,
701579,3,6,2009,
701579,4,6,2009,
701727,1,1,2010,
702432,3,6,2009,
702771,1,1,2010,
702853,3,4,2009,
704118,6,5,,
704118,7,5,,
704118,8,5,,
704118,9,5,,
705116,2,4,2009,
705116,3,4,2009,
705210,2,1,2010,
705513,3,4,2010,
705821,2,4,2009,
705821,3,4,2010,
705976,2,1,2010,
706339,2,3,2009,
706456,1,1,2009,
709407,2,3,2009,
709421,2,1,2009,
709470,3,4,2010,
710547,3,6,2010,
710556,2,4,2010,
710556,3,6,2010,
711024,3,6,2009,
711417,1,6,2009,
712132,3,4,2010,
712141,3,4,2010,
712148,3,4,2009,
712610,1,1,2010,
712878,3,6,2009,
712878,4,6,2010,
713359,2,6,2009,
713801,1,1,2009,
713837,3,4,2010,
714012,2,4,2009,
714110,1,1,2009,
714265,2,1,2009,
714820,1,1,2009,
714854,2,3,2010,
715837,2,4,2010,
716910,3,1,2010,
717809,7,5,,
717885,1,1,2010,
718645,2,1,2010,
718832,3,4,2009,
719613,1,1,2010,
719613,2,1,2009,
719810,3,6,2009,
720116,4,6,2009,
720404,3,6,2010,
720404,6,1,2010,
723448,1,1,2009,
724108,3,1,2009,
724537,4,4,2009,
726161,2,6,2010,
726161,3,6,2010,
726161,4,6,2010,
726234,4,4,2010,
726568,3,4,2009,
727267,2,4,2010,
727531,3,4,2009,
727531,5,6,2009,
727531,7,6,2009,
727531,8,4,2009,
727531,9,4,2009,
727825,3,4,2009,
729412,2,1,2009,
730308,4,4,2010,
730756,3,4,2010,
730807,2,4,2009,
730931,1,1,2009,
731044,3,3,2009,
731178,3,4,2010,
731421,2,4,2009,
731827,4,4,2009,
732371,3,4,2009,
733216,3,4,2009,
733271,3,4,2009,
733605,2,1,2009,
733954,2,1,2009,
734546,1,3,2010,
736629,3,4,2010,
736629,4,4,2010,
736657,5,6,2010,
736831,4,4,2009,
800015,2,6,2010,
800135,3,6,2010,
800181,3,4,2010,
800860,1,1,2010,
801221,5,1,2009,
801448,3,4,2010,
801448,4,4,2010,
801541,7,5,,
801972,3,1,2009,
802007,1,1,2009,
802007,6,4,2009,
802127,4,3,2009,
802232,1,1,2010,
802364,3,4,2010,
802548,5,4,2009,
803101,2,3,2010,
803754,1,1,2010,
804699,2,1,2010,
804974,2,1,2010,
805189,2,4,2010,
805230,2,6,2010,
805435,2,6,2009,
805435,3,6,2009,
805524,4,1,2009,
806642,3,6,2010,
806661,2,6,2010,
806661,3,6,2010,
806661,4,6,2010,
806729,3,4,2010,
807066,3,6,2010,
807103,2,6,2010,
807648,2,1,2010,
808488,2,1,2009,
808573,2,4,2009,
808573,3,4,2009,
808573,4,6,2009,
808888,2,3,2009,
810042,2,1,2009,
810104,3,6,2010,
810161,6,4,2010,
810167,3,6,2009,
810508,3,4,2009,
810555,1,4,2009,
811580,3,4,2009,
811794,3,4,2010,
812587,3,2,2009,
812770,2,1,2009,
812770,3,4,2009,
812887,3,4,2009,
812919,2,4,2009,
813729,4,6,2009,
813952,3,3,2009,
813952,4,3,2009,
813952,5,6,2009,
814245,3,4,2009,
814466,2,4,2010,
814902,3,4,2010,
815136,3,4,2009,
815136,4,6,2009,
815136,5,6,2009,
815403,1,1,2009,
815411,3,4,2009,
815411,4,4,2010,
815783,2,1,2010,
816061,3,4,2010,
816139,1,1,2010,
816139,3,4,2009,
816213,3,3,2009,
816249,2,1,2010,
816249,3,4,2010,
816839,5,4,2010,
817402,3,4,2009,
817706,1,6,2009,
817706,4,4,2009,
817842,1,1,2009,
817975,3,4,2010,
817975,4,4,2009,
818040,5,4,2009,
818040,6,4,2009,
818064,3,4,2010,
818396,3,4,2010,
818396,4,4,2010,
818425,3,4,2009,
819125,3,6,2010,
819350,4,4,2010,
820274,3,4,2009,
820552,2,4,2010,
820707,3,6,2010,
820718,2,4,2010,
820837,3,4,2009,
820886,2,4,2010,
820967,3,4,2010,
821126,1,1,2010,
821126,3,4,2009,
821126,4,6,2010,
821206,2,1,2009,
821574,2,1,2010,
821609,3,6,2009,
821609,4,4,2010,
822133,1,1,2010,
822301,2,6,2010,
822398,3,4,2010,
823188,1,1,2009,
823395,3,4,2009,
823506,7,5,,
823524,3,4,2009,
823524,4,4,2009,
823767,2,1,2009,
824120,3,1,2009,
824351,5,6,2009,
824434,2,1,2010,
824623,2,1,2009,
824663,2,2,2010,
824724,4,4,2009,
824730,2,1,2009,
824734,2,1,2009,
824887,4,4,2010,
824891,2,4,2010,
825071,1,1,2009,
825217,3,4,2010,
825824,4,98,,
826216,4,6,2009,
826234,2,1,2010,
826266,3,4,2009,
826365,3,4,2009,
827345,2,1,2010,
827428,2,6,2009,
850036,2,1,2009,
870002,,1,2010,
870003,,1,2010,
