NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
858585,2,,1,1,2,1,4,1919,,1,2,9,,1920,,2,,1,3,8,1,1,2,2,1974,,,1981,1
858588,2,,1,1,2,1,3,1929,,1,2,9,,1936,,1,2,1,6,4,2,,,,,,,1982,1
858607,2,,2,1,2,1,4,1915,,1,2,9,,1921,,1,1,1,0,2,1,1,2,2,1967,,,1966,1
858637,2,,1,1,2,1,2,1912,,1,2,9,,1915,,2,,2,,,2,,,,,,2,,1
858638,2,,2,1,2,1,2,1935,,1,2,9,,1939,,1,3,1,2,0,2,,,,,,,2005,1
858640,2,,1,1,2,8,4,1898,,1,2,9,,1902,,2,,1,1,1,2,,,,,,,1958,1
858666,1,,2,1,2,8,4,1918,2,1,1,9,,1927,2,1,1,1,1,2,2,,,,,,,1986,1
858677,1,,3,1,3,2,3,1927,,1,2,9,,1932,,1,3,1,4,1,2,,,,,,,1998,1
858689,2,,2,1,2,2,4,1895,,1,7,9,,1898,,2,,1,1,1,1,1,2,1,1950,,,,1
858712,1,,1,1,2,1,2,1940,,1,1,1,1,1941,,1,2,1,0,2,2,,,,,,,1989,0
858714,1,,2,1,2,1,1,1907,,1,1,1,1,1903,,2,,1,4,5,2,,,,,,,1980,1
858722,1,,2,1,5,6,4,1892,,1,2,9,,1907,,2,,1,1,1,1,2,2,1,1957,,,1956,0
858725,1,,2,1,3,1,2,1954,,1,3,1,4,1962,,1,2,1,0,1,2,,,,,,,2007,0
858728,1,,2,1,2,1,4,1944,,1,2,9,,1948,,1,2,1,0,1,2,,,,,,,1997,0
858731,2,,1,1,2,1,2,1947,,1,2,9,,1941,,1,1,1,2,1,2,,,,,,,1992,0
858732,2,,2,1,2,8,4,1941,,1,2,9,,1942,,1,2,1,2,2,2,,,,,,2,,0
858735,2,,1,1,1,1,1,1922,,1,1,1,1,1924,,1,1,1,1,1,2,,,,,,,1984,0
858736,2,,1,1,2,1,2,1928,,1,1,9,,1926,,1,1,1,2,4,1,2,2,1,1969,,,1969,0
858742,2,,1,1,2,1,1,1909,,1,2,9,,1914,,2,,1,1,5,1,2,2,2,1967,,,1967,0
858743,2,,1,1,2,1,2,1928,,1,2,9,,1931,,2,,1,3,3,1,2,2,1,1976,,,1976,0
858751,2,,1,1,1,1,1,1922,,1,1,9,,1932,,1,1,1,2,2,2,,,,,,,1983,0
858758,1,,1,1,2,8,4,1916,,1,2,9,,1920,,1,3,1,2,1,2,,,,,,,1980,1
