NQUEST,QUEST,NQUESTP,CONTINT,NOPCF,STUPCF,CONPCF,SETPCF,ANAPCF,CITPCF,NOMCF,STUMCF,CONMCF,SETMCF,ANAMCF,CITMCF,VITGEN,NGEN,VITF,NFRAT,NSORE,FIGLI,NFIGLI,PRIMOGE,PRIMOSEX,PRIMOANASC,NFIGLINOIT,PARNOIT,ANCONV,CAPI
173,3,,2,1,3,2,3,1923,,1,2,8,4,1926,,1,1,1,1,7,1,2,2,1,1975,,,1974,1
375,3,,2,1,3,1,3,1891,,1,1,9,,1892,,2,,1,0,2,1,2,2,2,1952,,,,1
465,3,,3,1,2,8,1,1930,,1,2,8,1,1930,,1,3,1,0,1,2,,,,,,,1975,1
629,3,,2,2,,,,,,1,2,1,1,1915,,2,,2,,,1,1,2,1,1969,,,,1
632,3,,1,1,2,2,3,1913,,2,,,,,,1,1,1,6,3,1,1,2,2,1976,,,1974,1
633,3,,3,1,2,8,1,1884,,1,2,9,,1889,,2,,2,,,1,1,2,2,1960,,,,1
923,3,,2,1,2,1,4,1896,,1,2,9,,1900,,2,,1,1,0,1,4,2,1,1953,,,,1
1238,3,,4,1,2,1,2,1907,,1,1,9,,1910,,2,,1,1,1,1,2,2,2,1967,,,,1
1367,3,,2,1,2,10,,1901,,1,2,9,,1907,,2,,1,1,1,1,3,2,1,1959,,,1953,1
1763,3,,1,1,1,9,,1910,,1,1,9,,1910,,1,1,1,2,0,1,2,2,2,1973,,,1971,1
1927,3,,2,1,2,2,2,1901,,1,3,9,,1904,,2,,1,0,2,1,2,2,2,1963,,,,1
1946,3,,2,1,4,2,3,1919,,1,2,9,,1920,,2,,1,6,3,2,,,,,,2,,1
2178,3,,4,1,2,1,1,1906,,1,2,9,,1909,,2,,2,,,1,2,2,1,1952,,,,1
2274,3,,2,1,1,8,1,1903,,1,1,8,1,1896,,2,,1,5,1,1,2,2,1,1955,,,1953,1
2447,3,,2,1,2,1,2,1931,,1,2,9,,1933,,1,1,1,4,2,2,,,,,,,1981,1
2485,3,,2,1,1,9,,1881,,1,1,9,,1884,,2,,1,1,4,1,4,2,1,1953,,,,1
2886,3,,3,1,2,1,4,1926,,1,2,1,2,1924,,1,2,1,1,0,1,2,1,,,,,1976,1
3717,3,,1,1,2,2,3,1916,,1,2,9,,1922,,2,,1,0,1,2,,,,,,2,,1
4732,3,,4,2,,,,,,2,,,,,,2,,2,,,1,2,2,2,1975,,2,,0
5416,3,,2,1,2,2,4,1929,,1,2,9,,1933,,1,1,1,2,7,1,1,1,,,,2,,1
7165,3,,2,1,1,1,2,1909,,1,1,9,,1917,,2,,1,0,2,2,,,,,,,,1
7886,3,,2,1,2,2,3,1910,,1,2,9,,1918,,1,1,1,1,1,1,2,2,1,1974,,,1973,0
11972,3,,2,1,1,8,1,1914,,1,1,8,1,1916,,1,2,1,4,2,1,2,2,2,1967,,,1966,1
20174,3,,2,1,2,1,5,1909,,1,2,9,,1912,,2,,1,2,0,2,,,,,,,1956,0
20223,3,,2,1,2,1,1,1897,,1,1,9,,1902,,2,,1,1,4,2,,,,,,,1966,1
20231,3,,1,1,2,1,1,1913,,1,2,9,,1919,,2,,1,6,3,1,1,2,2,1979,,,1978,0
20297,3,,2,1,2,1,4,1924,,1,2,9,,1927,,1,2,1,3,3,2,,,,,,,2007,1
20372,3,,2,1,2,8,4,1922,,1,2,9,,1928,,2,,1,0,4,1,1,2,2,1969,,,1968,1
20711,3,,3,1,1,7,1,1899,,1,1,9,,1908,,2,,2,,,1,5,2,2,1971,,,1970,1
20837,3,,2,1,2,2,3,1903,,1,3,2,3,1904,,2,,1,0,1,1,3,2,1,1958,,,1956,1
21384,3,,1,1,2,8,4,1928,,1,2,9,,1932,,2,,1,0,2,2,,,,,,,1981,1
21461,3,,2,2,,,,,,1,1,9,,1890,,2,,2,,,1,2,2,1,1941,,,,1
22074,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1984,1
22099,3,,1,1,1,2,3,1932,,1,1,9,,1936,,1,2,1,2,3,2,,,,,,,1981,1
22168,3,,1,1,1,1,2,1933,,1,1,9,,1938,,1,2,1,3,6,1,2,1,,,,,1978,1
22169,3,,1,1,1,1,4,1921,,1,1,9,,1927,,2,,1,6,2,1,3,1,,,,,1962,1
22173,3,,2,1,1,1,2,1896,,1,1,9,,1897,,2,,1,6,0,1,1,2,1,1969,,,1955,1
22208,3,,1,1,2,1,2,1904,,1,2,1,2,1909,,2,,1,0,2,2,,,,,,,,1
22222,3,,2,1,2,9,,1899,,1,2,1,2,1904,,2,,1,0,1,1,4,2,2,1954,,,,1
22262,3,,2,1,2,1,2,1914,1,1,2,9,,1919,1,2,,1,1,0,1,3,2,2,1971,,,1970,0
22263,3,,1,1,2,1,2,1888,,1,2,9,,1902,,2,,1,1,1,1,1,2,2,1952,,,,0
22266,3,,2,1,2,8,4,1900,,1,2,8,4,1903,,2,,1,1,0,1,2,2,1,1950,0,,1949,0
22276,3,,2,1,2,1,2,1922,,1,2,9,,,,2,,2,,,2,,,,,,2,,1
22277,3,,1,1,2,1,2,1911,,1,2,1,1,1923,,1,1,2,,,2,,,,,,,1986,1
22279,3,,2,1,2,2,3,1924,,1,2,8,4,1922,,2,,1,1,0,2,,,,,,2,,1
22286,3,,1,1,2,2,3,1924,,1,2,8,4,1922,,2,,1,0,1,1,1,2,2,1980,,,1978,1
22292,3,,2,1,2,8,1,1896,,1,1,8,1,1891,,2,,1,3,1,1,2,2,1,1959,,,1957,1
22516,3,,3,1,3,2,3,1923,,1,2,9,,1928,,2,,1,2,2,1,1,2,1,1976,,,1975,0
22624,3,,1,2,,,,,,2,,,,,,1,3,1,3,2,2,,,,,,,1980,1
22657,3,,2,1,3,4,3,1922,,1,3,9,,1930,,1,1,1,4,2,1,1,2,1,1974,,,1973,1
22850,3,,2,1,2,1,2,1909,,1,2,1,4,1920,,2,,1,1,0,2,,,,,,2,,1
22995,3,,1,1,1,8,1,1909,,1,1,9,,1911,,2,,1,2,3,1,1,2,2,1968,,,1963,1
22996,3,,1,1,2,1,1,1893,,1,2,9,,1906,,2,,2,,,1,2,2,2,1966,,,1964,1
23193,3,,1,1,2,2,4,1904,,1,2,9,,1905,,2,,1,1,0,2,,,,,,2,,1
23370,3,,3,1,3,1,2,1919,,1,2,9,,1922,,2,,1,2,2,2,,,,,,,1963,1
23384,3,,1,1,2,8,4,1900,,1,2,9,,1902,,2,,1,0,2,2,,,,,,,,0
23490,3,,3,1,2,1,4,1908,,1,2,9,,1913,,2,,1,0,1,2,,,,,,2,,0
23797,3,,1,1,1,8,4,1922,,1,1,9,,1928,,1,1,1,1,1,1,1,2,1,1985,,,1980,1
23798,3,,1,1,1,1,4,1903,,1,1,9,,1907,,2,,1,3,0,1,1,2,1,1971,,,2004,1
23821,3,,2,1,1,1,1,1906,,1,1,9,,1908,,2,,1,4,4,1,1,2,1,1960,,,,1
23823,3,,2,1,2,1,4,1906,,1,2,9,,1907,,2,,1,2,2,1,2,2,1,1971,,2,,1
23865,3,,1,1,3,1,2,1917,,1,2,9,,1922,,1,1,1,2,1,1,2,2,2,1972,,,1971,1
23986,3,,2,2,,,,,,2,,,,,,2,,1,2,3,1,3,2,2,1960,,,1959,1
24010,3,,2,1,2,2,4,1901,,1,2,9,,1900,,2,,1,1,2,1,2,2,1,1961,,,,1
24147,3,,3,1,4,6,4,1916,,1,4,9,,1927,,2,,1,1,2,1,2,2,1,1980,,,1978,1
24149,3,,3,1,2,1,4,1895,,1,2,9,,1894,,2,,2,,,2,,,,,,,,1
24158,3,,2,1,1,1,1,1913,,1,1,1,1,1914,,1,1,1,1,1,2,,,,,,,,1
24171,3,,2,1,2,8,4,1921,,1,2,9,,1923,,2,,1,3,0,1,1,2,2,1965,0,,,1
24194,3,,2,1,2,1,3,1915,,1,1,1,1,1926,,1,3,1,1,2,2,,,,,,,1980,1
24195,3,,2,1,2,1,1,1931,,1,1,9,,1927,,2,,1,5,4,1,2,2,1,1973,,,1972,1
24202,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,,1
24326,3,,4,1,2,1,1,1890,,1,2,9,,1895,,2,,1,1,3,2,,,,,,,,1
24374,3,,2,1,2,1,1,1923,,1,1,1,1,1922,,2,,1,1,0,2,,,,,,,2002,1
24379,3,,1,1,2,1,2,1906,,1,2,9,,1909,,2,,1,0,2,1,2,2,2,1962,,,,1
24382,3,,1,1,1,8,1,1907,,1,1,8,1,1901,,1,1,1,0,3,1,2,2,2,1968,,,1966,1
24393,3,,2,1,1,1,1,1886,,1,1,9,,1896,,2,,1,1,0,1,2,2,2,1954,,,,1
24529,3,,2,1,2,7,4,1927,,1,4,2,4,1924,,2,,1,2,2,1,2,2,2,1977,,,1972,1
24616,3,,2,1,1,1,2,1906,,1,2,1,1,1910,,2,,1,1,0,1,2,2,1,1964,,,1960,1
24760,3,,1,1,7,1,4,1885,,1,1,8,4,1888,,2,,2,,,2,,,,,,,,1
24764,3,,2,1,2,1,2,1950,,1,2,9,,1951,,2,,1,4,5,2,,,,,,,1989,1
24809,3,,2,1,1,8,1,1905,,1,2,7,4,1920,,2,,1,4,2,1,2,2,2,1963,,,1962,1
24853,3,,1,1,1,1,1,1923,,1,1,1,1,1929,,2,,1,1,3,1,1,2,2,1986,,,1985,1
24885,3,,1,1,4,2,3,1895,,1,4,2,3,1897,,2,,2,,,1,2,2,2,1969,,,,1
24924,3,,2,1,2,1,2,1942,,1,2,2,3,1942,,1,4,1,2,0,2,,,,,,,1985,1
24984,3,,1,1,2,1,1,1914,,1,2,9,,1915,,2,,1,0,2,2,,,,,,,1978,1
25007,3,,1,1,3,9,,1909,,1,3,9,,1909,,2,,1,1,1,1,3,2,1,1961,,,,1
25138,3,,2,1,2,1,1,1913,,1,1,9,,1914,,1,1,1,7,2,1,2,2,1,1973,,,1972,1
25148,3,,2,1,5,3,3,1914,,1,3,9,,1920,,2,,1,3,0,2,,,,,,,1982,1
25245,3,,2,1,2,1,4,1942,,1,2,9,,1933,,1,4,1,8,6,2,,,,,,,1988,1
25435,3,,3,1,2,1,5,1924,,1,2,9,,1929,,2,,1,2,1,2,,,,,,,1991,0
25625,3,,2,1,5,5,3,1883,,1,4,9,,1897,,2,,2,,,2,,,,,,,,1
25930,3,,3,1,2,8,4,1912,,1,2,8,4,1911,,2,,1,0,2,1,2,2,1,1974,,,1973,0
25968,3,,3,1,2,1,1,1910,,1,2,9,,1911,,2,,1,4,1,1,2,2,1,1965,,,1961,1
25970,3,,3,1,2,10,,1904,,1,2,10,,1903,,2,,1,4,1,1,3,2,2,1956,,,1956,1
26048,3,,3,1,2,1,2,1902,,1,2,1,2,1914,,2,,1,2,1,1,2,2,2,1969,,,1967,1
26163,3,,2,1,4,1,4,1926,,1,2,9,,1932,,1,1,1,0,2,1,1,2,1,1987,,,1983,1
26281,3,,1,1,2,1,1,1866,,1,1,9,,1888,,2,,2,,,1,2,2,1,1944,,,,0
26310,3,,2,1,2,9,,1915,,1,2,9,,1914,,2,,1,5,5,1,1,2,2,1969,,,1966,1
26349,3,,3,1,2,9,,1907,,1,2,9,,1909,,2,,1,2,0,1,1,2,1,1974,,,1963,1
26499,3,,1,2,,,,,,2,,,,,,2,,1,1,1,1,8,2,1,1959,,,,1
26653,3,,1,1,2,1,4,1903,,1,2,9,,1901,,2,,2,,,1,6,2,1,1954,,,,1
26684,3,,2,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,,1
27109,3,,1,2,,,,,,2,,,,,,2,,2,,,1,4,2,1,1945,,,,0
27114,3,,1,1,2,1,1,1908,,1,2,9,,1912,,2,,1,2,1,1,2,2,1,1967,,,,0
27116,3,,2,1,2,1,1,1904,,1,2,9,,1907,,2,,2,,,1,1,2,1,1965,,,1963,0
27123,3,,2,1,1,1,1,1911,,1,1,9,,1920,,1,1,1,1,0,1,1,2,2,1978,,,1972,0
27155,3,,1,1,2,2,3,1910,,1,2,9,,1912,,2,,1,1,3,2,,,,,,,1987,0
27157,3,,2,1,1,9,,1921,,1,3,10,,1924,,1,1,1,3,0,2,,,,,,,1986,0
27224,3,,3,1,1,8,4,1920,1,1,1,8,4,1923,,1,1,1,3,1,1,1,2,2,1976,,,1975,1
27238,3,,2,1,1,1,2,1923,,1,1,1,2,1927,,1,3,1,0,5,1,2,2,1,1978,,,1977,1
27505,3,,1,1,2,1,1,1903,,1,2,9,,1907,,2,,2,,,1,2,2,1,1975,,,,0
27509,3,,1,1,1,1,1,1905,,1,1,9,,1907,,1,1,1,0,1,1,1,2,1,1959,,,,0
27730,3,,1,1,2,8,1,1919,,1,1,9,,1924,,2,,1,3,3,1,1,1,,,,,1970,1
27734,3,,3,1,1,1,1,1905,,1,1,8,4,1914,,2,,1,4,7,1,2,2,1,1972,,,1971,1
27739,3,,2,1,1,8,1,1900,,1,1,9,,1911,,2,,1,2,1,1,4,2,1,1962,,,,1
27742,3,,2,1,1,1,1,1896,,1,1,9,,1900,,2,,1,1,1,1,1,2,1,1964,,,,1
27744,3,,2,1,2,8,1,1910,,1,1,9,,1907,,2,,1,3,2,1,2,2,1,1966,,,1965,1
27881,3,,3,1,2,9,,1896,,1,2,9,,1899,,2,,2,,,1,8,2,1,1948,,,,1
27912,3,,1,1,2,1,4,1916,,1,2,9,,1913,,1,1,1,2,4,1,1,2,1,1979,,,1979,1
27923,3,,1,1,3,8,1,1914,,1,2,8,1,1923,,1,1,1,3,6,1,1,2,2,1979,,,1978,1
27930,3,,2,1,2,1,3,1904,,1,2,9,,1908,,2,,1,2,1,1,3,2,2,1961,,,1959,1
27947,3,,1,1,2,1,1,1885,,1,2,9,,1898,,2,,1,1,3,1,3,2,1,1962,,,1958,1
28100,3,,1,1,2,1,1,1923,,1,2,9,,1932,,1,2,1,3,6,2,,,,,,,1980,1
28221,3,,2,1,2,9,,1894,,1,2,9,,1894,,2,,1,1,1,1,2,2,1,1954,,,,1
28331,3,,1,1,1,1,1,1897,,1,1,9,,1896,,2,,2,,,1,3,2,2,1947,,,,1
28346,3,,2,1,1,1,4,1903,,1,2,9,,1906,,2,,1,2,2,1,3,2,2,1954,,2,,1
28362,3,,2,1,2,7,4,1898,,1,2,2,3,1898,,2,,1,0,1,1,1,2,1,1954,,,,1
28441,3,,3,1,2,9,,1921,,1,2,9,,1926,,2,,1,1,0,2,,,,,,,1980,1
28802,3,,1,2,,,,,,2,,,,,,1,4,1,2,1,1,1,2,1,1986,,,1981,1
28859,3,,1,2,,,,,,2,,,,,,2,,2,,,1,2,2,1,1960,,,1955,1
28897,3,,1,1,2,1,1,1921,,1,2,9,,1923,,2,,1,1,0,2,,,,,,2,,1
28920,3,,1,1,2,1,2,1892,,1,2,9,,1895,,2,,1,1,1,1,2,2,1,1947,,,,1
28992,3,,4,1,2,8,1,1897,,1,2,9,,1912,,2,,1,4,3,1,3,2,2,1964,,,1963,1
29006,3,,2,1,2,1,2,1908,,1,2,8,4,1911,,1,1,1,1,2,1,1,2,2,1972,,,1969,1
29140,3,,2,1,2,1,4,1914,,1,2,1,2,1922,,1,2,1,3,1,1,2,2,1,1979,,,1978,0
29280,3,,2,1,1,8,1,1914,,1,1,8,1,1912,,2,,1,2,2,1,1,2,1,1981,,,1980,1
29286,3,,2,1,2,8,1,1901,,1,1,9,,1903,,2,,1,1,2,2,,,,,,2,,1
29288,3,,1,1,2,8,4,1936,,1,2,9,,1940,,1,3,1,1,2,2,,,,,,,2003,1
29678,3,,2,1,1,9,,1905,,1,1,9,,1911,,2,,1,3,1,2,,,,,,,1957,0
29680,3,,2,1,3,2,3,1933,,1,1,9,,1937,,2,,1,1,1,2,,,,,,,1989,0
29684,3,,2,1,3,8,4,1924,,1,2,9,,1930,,2,,1,0,1,2,,,,,,,1980,0
29737,3,,2,1,3,8,4,1911,,1,4,9,,1914,,2,,1,3,1,2,,,,,,,1984,1
29742,3,,2,1,2,1,4,1921,,1,2,9,,1921,,2,,1,6,10,1,1,2,1,1978,,,1974,1
29774,3,,1,1,1,8,4,1900,,1,1,9,,1902,,2,,1,0,1,1,3,2,2,1952,,,,1
29798,3,,1,1,2,1,1,1905,,1,1,1,1,1906,,2,,1,5,3,1,3,2,1,1961,,,1960,1
29823,3,,1,1,3,2,3,1927,,1,2,9,,1926,,1,2,1,1,1,2,,,,,,,1993,1
31066,3,,2,1,1,1,5,1910,,1,1,9,,1919,,2,,1,5,6,1,1,1,,,,,1969,0
31092,3,,4,1,4,2,3,1930,,1,4,9,,1936,,1,4,1,2,4,2,,,,,,,1991,1
31093,3,,1,1,2,1,4,1918,,1,2,9,,1926,,2,,1,1,0,2,,,,,,2,,1
31120,3,,3,1,2,1,2,1897,,1,2,9,,1901,,2,,1,3,3,1,2,2,2,1966,,,1964,1
31122,3,,1,1,2,1,1,1938,,1,2,1,1,1938,,1,3,1,1,3,2,,,,,,,1978,1
31137,3,,2,1,2,8,4,1921,,1,4,3,3,1931,,1,3,1,0,3,2,,,,,,,1982,1
31145,3,,2,1,1,1,2,1916,,1,1,9,,1924,,2,,1,3,3,1,2,1,,,,,1974,1
31161,3,,2,1,4,3,3,1920,,1,4,9,,1929,,1,2,1,2,2,2,,,,,,,1983,1
31163,3,,1,1,3,8,4,1917,,1,2,9,,1926,,1,2,1,3,6,2,,,,,,,1977,1
31191,3,,1,1,2,1,3,1900,,1,2,9,,1903,,2,,2,,,2,,,,,,,1955,1
31219,3,,4,1,1,2,4,1887,,1,1,9,,1890,,2,,2,,,1,6,2,2,1947,,,,0
31220,3,,2,1,1,1,1,1910,,1,1,1,1,1916,,2,,1,1,1,1,2,2,2,1963,,,1962,1
31221,3,,2,1,3,8,4,1910,,1,3,8,4,1912,,2,,1,0,1,2,,,,,,,,1
31246,3,,1,1,2,1,2,1913,,1,2,1,2,1914,,1,1,1,2,1,1,1,2,2,1974,,,1971,1
31281,3,,1,1,2,8,4,1921,,1,2,9,,1923,,2,,1,0,1,1,1,2,2,1965,,,,1
31304,3,,2,1,2,1,1,1913,,1,2,9,,1920,,2,,1,0,1,1,1,2,2,1969,,,1969,1
31309,3,,1,1,2,1,1,1920,,1,1,9,,1923,,1,1,1,1,0,2,,,,,,,1984,0
31387,3,,2,1,2,1,2,1931,,1,2,9,,1936,,2,,1,0,2,2,,,,,,,1982,0
31403,3,,2,1,1,8,1,1895,,1,1,9,,1891,,2,,2,,,2,,,,,,,,1
31441,3,,2,1,3,7,2,1903,,1,2,7,2,1910,,1,1,1,1,1,1,2,2,1,1969,,,1968,1
31448,3,,2,1,1,1,4,1902,,1,4,2,3,1905,,2,,2,,,1,2,2,2,1966,,,,0
31556,3,,3,1,2,2,3,1916,,1,2,9,,1913,,1,1,1,2,2,2,,,,,,,1960,1
31560,3,,2,1,2,10,,1902,,1,2,9,,1911,,2,,1,3,4,1,2,2,1,1975,,,1974,1
31561,3,,3,1,1,9,,1916,,1,1,9,,1916,,1,1,1,3,0,1,2,2,1,1968,,,1967,1
31625,3,,1,1,2,8,1,1901,,1,2,9,,1906,,2,,1,2,1,2,,,,,,,,1
31641,3,,1,1,2,1,3,1928,,1,2,9,,1929,,1,2,1,3,8,1,2,2,1,1980,,,1979,1
31652,3,,4,1,2,9,,1908,,1,2,9,,1911,,2,,1,4,3,1,1,2,1,1970,,,1969,1
31665,3,,1,1,2,2,3,1905,,1,2,9,,1914,,2,,1,0,1,1,1,2,1,1973,,,1963,1
31671,3,,1,1,2,1,2,1927,,1,2,9,,1932,,1,2,1,1,0,1,2,2,1,1974,,,,1
31695,3,,3,1,2,1,5,1925,,1,2,9,,1937,,1,2,1,0,2,2,,,,,,,1987,1
31724,3,,2,1,2,1,2,1913,,1,2,9,,1914,1,1,2,1,1,1,2,,,,,,,1985,1
31735,3,,1,1,4,2,3,1908,,1,2,9,,1906,,1,1,1,2,1,2,,,,,,,1976,1
31757,3,,2,1,4,5,2,1910,,1,4,9,,1914,,1,1,2,,,1,1,2,1,1962,,,,1
31785,3,,3,1,2,1,2,1909,,1,2,9,,1913,,1,1,1,1,0,1,1,2,2,1973,,,1972,1
31798,3,,1,1,2,1,1,1908,,1,2,9,,1908,,2,,1,1,4,1,4,2,2,1964,,,,1
31799,3,,2,1,2,1,1,1921,,1,2,9,,1925,,2,,2,,,1,2,2,2,1969,,,1968,1
31860,3,,3,1,3,4,3,1929,,1,2,9,,1931,,1,2,1,3,1,2,,,,,,,1984,1
31868,3,,2,1,1,1,2,1918,,1,1,9,,1922,,2,,1,2,4,2,,,,,,,1982,1
31869,3,,2,1,2,8,4,1923,,1,1,9,,1924,,2,,1,3,1,1,2,2,1,1983,,,1982,1
31912,3,,1,1,1,9,,1913,,1,1,9,,1916,,2,,1,0,1,1,3,2,2,1968,,,1967,1
32001,3,,1,1,2,1,2,1905,,1,2,1,2,1911,,2,,1,1,0,1,1,2,2,1966,,,1965,1
32028,3,,1,1,4,6,4,1925,,1,2,9,,1926,,2,,2,,,2,,,,,,,1980,1
32033,3,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1983,1
32034,3,,1,1,1,1,1,1916,,1,1,1,1,1918,,2,,2,,,2,,,,,,,1965,1
32041,3,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1970,1
32044,3,,1,1,2,1,2,1911,,1,2,1,2,1913,,2,,1,0,3,1,3,2,2,1954,,,,1
32047,3,,4,1,2,1,2,1906,,1,2,9,,1907,,1,2,1,2,5,2,,,,,,,1980,1
32052,3,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,1976,1
32057,3,,1,1,2,9,,1892,,1,2,9,,1900,,2,,1,0,1,2,,,,,,,1963,1
32066,3,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,,1
32067,3,,1,1,1,1,1,1914,,1,1,1,1,1915,,2,,1,0,1,2,,,,,,2,,1
32144,3,,1,2,,,,,,2,,,,,,2,,2,,,1,1,2,2,1977,,,1968,1
32190,3,,2,1,4,4,4,1901,,1,3,9,,1911,,2,,1,1,1,2,,,,,,2,,1
32198,3,,1,1,2,1,2,1905,,1,2,9,,1906,,2,,1,0,1,2,,,,,,2,,1
32206,3,,2,1,1,1,4,1928,,1,2,9,,1929,,1,1,1,4,1,2,,,,,,2,,1
32209,3,,3,1,1,1,4,1915,,1,2,9,,1918,,2,,1,3,8,1,2,2,2,1971,,,1970,1
32210,3,,3,1,2,1,4,1912,,1,2,9,,1922,,2,,1,2,2,1,2,2,2,1979,,,1978,1
32229,3,,2,1,1,1,1,1884,,1,1,1,1,1891,,2,,1,1,0,1,2,2,1,1946,,,,0
32288,3,,3,1,2,1,1,1927,,1,2,1,4,1939,,1,3,1,1,1,2,,,,,,,1982,1
32318,3,,2,1,2,9,,1896,,1,2,9,,1901,,2,,1,1,1,1,3,2,1,1961,,,,1
32320,3,,2,1,3,2,4,1928,,1,2,9,,1928,,1,3,1,2,2,2,,,,,,,1988,1
32328,3,,1,1,3,8,4,1880,,1,2,9,,1888,,2,,1,2,0,1,2,2,1,1955,,,,1
32438,3,,2,1,2,1,2,1925,,1,1,9,,1927,,2,,1,0,2,2,,,,,,2,,1
32464,3,,1,2,,,,,,2,,,,,,2,,2,,,2,,,,,,,,1
32470,3,,1,2,,,,,,2,,,,,,2,,1,1,3,1,1,2,2,1962,,,,1
32471,3,,2,1,1,8,1,1900,,1,1,8,1,1902,,2,,1,4,3,1,4,2,2,1964,,,,1
32524,3,,1,2,,,,,,2,,,,,,2,,1,1,0,2,,,,,,,1973,1
32556,3,,2,1,2,1,2,1913,,1,2,9,,1906,,2,,1,1,0,1,1,2,2,1975,,,,1
32668,3,,2,1,2,1,1,1908,,1,2,1,1,1911,,2,,1,3,3,2,,,,,,,1972,1
32703,3,,2,1,2,2,3,1912,,1,2,2,3,1917,,2,,1,2,6,1,1,1,,,,,1972,1
32709,3,,2,1,1,8,1,1912,,1,2,1,1,1917,,2,,1,2,1,2,,,,,,,1969,1
32713,3,,2,1,2,1,1,1912,,1,2,1,1,1912,,1,1,1,1,0,2,,,,,,,1973,1
32729,3,,2,1,2,8,4,1929,,1,1,9,,1932,,1,2,1,0,1,1,2,2,2,1979,,,1977,1
32731,3,,2,1,1,1,4,1892,,1,1,1,4,1897,,2,,2,,,1,1,2,1,1968,,,,1
32733,3,,2,1,1,1,4,1902,,1,1,1,2,1907,,2,,1,0,1,1,3,2,1,1960,,,1957,1
32734,3,,3,1,2,1,2,1924,,1,2,9,,1932,,1,2,1,0,2,2,,,,,,,1998,1
32742,3,,2,1,1,1,4,1912,,1,2,9,,1919,,2,,1,1,0,1,1,2,1,1971,,,1969,1
32751,3,,3,1,2,1,2,1905,,1,1,1,2,1912,,2,,1,1,0,1,1,2,2,1964,,,,1
32764,3,,3,1,2,8,1,1927,,1,2,8,1,1933,,1,4,1,2,3,2,,,,,,,1987,1
32765,3,,4,1,3,1,3,1930,,1,2,9,,1928,,1,3,1,2,2,2,,,,,,,1989,1
32772,3,,2,1,1,8,4,1925,,1,3,9,,1924,,1,2,1,3,2,1,2,2,1,1974,,,1973,1
32810,3,,2,1,1,1,1,1901,,1,1,1,1,1905,,2,,1,0,1,1,2,2,1,1958,,,,1
32822,3,,2,1,2,9,,1894,,1,2,9,,1897,,2,,1,1,1,1,2,2,1,1961,,,1960,1
32839,3,,2,1,2,8,4,1912,,1,2,9,,1912,,2,,1,2,5,1,2,2,1,1971,,,1970,1
32861,3,,2,1,2,9,,1909,,1,2,9,,1910,,2,,1,6,1,1,2,2,2,1976,,,1974,1
32887,3,,2,1,3,8,4,1930,,1,2,9,,1932,,1,3,1,2,1,2,,,,,,,1987,1
32962,3,,2,1,3,10,,1916,,1,3,10,,1921,,2,,1,4,3,1,3,2,2,1973,,,1971,0
32982,3,,3,1,1,8,4,1910,,1,1,8,4,1916,,2,,1,1,1,1,3,2,1,1962,,,,1
32987,3,,2,1,2,1,2,1910,,1,1,9,,1915,,2,,1,5,5,2,,,,,,,1962,1
33036,3,,1,1,1,1,1,1907,,1,1,9,,1913,,2,,1,2,2,1,1,2,2,1960,,,1959,1
33038,3,,1,1,2,1,1,1922,,1,2,9,,1924,,2,,1,1,3,2,,,,,,,1984,1
33228,3,,3,1,1,1,1,1869,,1,1,1,1,1874,,2,,1,1,0,2,,,,,,2,,1
33245,3,,1,1,1,8,1,1893,,1,1,9,,1896,,2,,1,3,1,1,3,2,2,1962,,,1960,1
33275,3,,1,1,2,9,,1896,,1,2,9,,1905,,2,,1,0,1,1,3,2,2,1972,,,1971,1
33303,3,,2,1,4,3,3,1910,,1,4,3,3,1915,,2,,1,3,2,1,2,2,2,1968,,,1967,1
33328,3,,3,1,2,1,1,,,1,2,1,1,,,1,3,1,2,1,2,,,,,,,1982,1
33335,3,,4,1,2,8,1,1932,,1,1,8,1,1935,,1,3,1,1,1,2,,,,,,,1982,1
33336,3,,4,1,2,8,4,1942,,1,2,8,4,,,2,,1,1,1,2,,,,,,2,,1
33347,3,,2,1,2,1,4,1910,,1,2,9,,1910,,2,,1,0,1,2,,,,,,2,,1
33348,3,,3,1,1,1,1,1894,,1,1,1,1,1902,,2,,1,2,4,1,2,2,1,1967,,,1966,1
33451,3,,1,1,4,5,4,1907,,1,4,9,,1914,,2,,2,,,2,,,,,,2,,1
33455,3,,3,1,2,10,,1901,,1,2,10,,1907,,2,,1,0,3,1,1,2,1,1969,,2,,0
33479,3,,1,1,3,9,,1901,,1,3,9,,1893,,2,,1,1,5,2,,,,,,2,,1
33644,3,,2,1,2,8,4,1892,,1,2,9,,1900,,2,,1,0,2,1,1,2,2,1960,,2,,0
33751,3,,1,2,,,,,,2,,,,,,1,1,1,0,3,1,3,2,1,1975,,,1973,1
33761,3,,1,2,,,,,,2,,,,,,2,,1,0,3,1,3,2,1,1969,,,1968,1
