NQUEST,DEPC,NDEPC,IDEPC,LIB,NLIB,ILIB,CTIT,NCTIT,ICTIT,UNABAN,BANCHE,ANNIBAN,PREFBA1,PREFBA2,PREFBA3,PREFBA4,PREFBA5,PREFBA6,PREFBA7,PREFBA8,PREFBA9,PREFBA10,PREFBA11,PREFBA12,PREFBA13,SERVB1,SERVB2,SERVB3,SERVB4,SERVB5,SERVB6,SERVB7,SERVB8,SERVB9,SERVB10,SERVB11,SERVB12,SERVB13,SERVB14,FIDBANC,PRIVATEB,SCOPER,UTSCOPER,FSCOPER1,FSCOPER,CARTA,CARTE,USOCART,CARTDEB1,CARTDEB,BANCOMAT,NBANCOMA,CARTAPRE,NCARTAPRE,SPESECON,COLDIS
56761,1,3,4,2,,,1,2,2,1,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,8,1,1,2,,,1,2,2,,,1,2,2,,1000,1
56762,1,1,2,1,1,1,1,1,2,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,5,2,1,2,,,2,,,,,2,,1,1,1000,2
56926,2,,,1,2,2,,,,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,,,,,2,,,,,2,,2,,1500,2
57027,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,1200,2
57042,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,700,2
57043,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,850,2
57086,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,1,1,1,,,1,1,2,,1000,1
57138,1,3,2,2,,,2,,,2,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,6,2,1,1,,10000,1,2,2,,,1,6,1,2,1500,1
57217,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1500,2
57232,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1000,2
57374,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,1,2,,800,2
57546,1,2,2,1,1,1,2,,,2,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,2,,,,1,1,2,,,1,2,1,2,1500,2
57547,1,2,2,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,1,1,2,,,1,2,2,,1000,2
57609,1,2,3,1,4,3,1,1,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,2,2,,,,1,1,2,,,1,1,2,,1000,2
57615,1,1,1,1,1,1,2,,,2,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,1,,0,2,,,,,1,1,2,,600,2
57616,1,1,2,1,1,2,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,2,2,,800,2
57621,1,1,2,1,1,2,1,1,1,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,7,2,1,1,,0,1,1,2,,,1,2,2,,2000,2
57670,1,1,2,2,,,2,,,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,3,,,,1,2,1,,,1,2,2,,1000,2
57779,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,800,2
57911,1,1,2,2,,,2,,,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,7,2,1,2,,,1,2,2,,,1,2,2,,250,1
57962,1,1,2,2,,,2,,,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,2,,,1,1,2,,,1,1,2,,1200,2
58042,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,,,,1,1,2,,,1,1,2,,800,2
58053,1,1,1,2,,,2,,,1,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,,,,1,1,2,,,1,1,2,,1000,2
58055,1,1,2,2,,,2,,,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,2,,,,1,1,2,,,1,2,2,,1800,2
58366,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,450,2
60078,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,500,2
91008,1,1,2,2,,,1,1,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,7,2,1,1,,2000,1,2,2,,,1,2,2,,1000,2
91010,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,1000,2
91043,1,1,2,2,,,2,,,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,3,,,,1,1,2,,,1,1,2,,600,2
91067,1,1,1,1,1,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,1000,2
91068,1,1,1,2,,,2,,,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,1,2,,,2,,,,,1,1,2,,1000,2
91071,1,2,2,1,3,3,2,,,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,8,1,3,,,,2,,,,,1,2,2,,500,1
91074,1,2,2,2,,,2,,,1,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,8,2,1,2,,,2,,,,,1,2,1,2,1000,2
91079,1,2,2,2,,,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,7,2,2,,,,1,1,2,,,1,2,2,,800,1
91081,1,2,2,2,,,2,,,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,2,,2,,900,2
91095,1,2,2,2,,,1,1,1,1,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,8,1,1,2,,,1,2,1,,,1,2,2,,500,1
104002,1,2,2,1,2,2,2,,,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,1000,2
111052,1,2,3,2,,,2,,,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,2,1,2,,,2,,,,,1,2,1,1,800,2
121067,1,1,1,2,,,1,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,10,2,2,,,,2,,,,,2,,2,,400,2
138091,1,1,2,2,,,2,,,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8,2,2,,,,1,1,2,,,1,1,2,,1300,2
138399,1,1,2,2,,,2,,,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,1200,2
145007,1,5,4,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,2,1,1,,10000,1,7,2,,,1,2,1,1,700,2
145012,1,1,2,2,,,2,,,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,300,2
176011,1,1,3,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,1000,2
176019,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,2,,2,,500,2
176057,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,1,2,,650,2
176061,1,1,2,2,,,2,,,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,2,,2,,600,2
176068,1,1,3,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5,2,1,2,,,1,2,1,,,1,2,2,,1100,2
178001,1,1,1,2,,,2,,,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,2,,,,,1,1,2,,500,2
178058,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,3,,,,2,,,,,1,1,2,,950,2
188054,1,1,2,2,,,2,,,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,2,,2,,1000,2
193016,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,2,,2,,600,2
193026,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,8,2,1,2,,,1,2,2,,,1,1,2,,2000,1
193082,1,1,2,1,1,,2,,,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,8,2,1,2,,,1,1,2,,,1,1,1,2,2800,1
213440,1,1,1,2,,,2,,,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,2,,,,1,2,3,2,,1,3,2,,750,1
215011,2,,,1,1,1,,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,,,,,2,,,,,2,,2,,650,2
215018,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,,,,2,,,,,2,,2,,1000,2
216022,1,2,2,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,2,,,,2,,,,,1,1,2,,300,2
217081,1,1,2,1,2,4,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,2,1,1,,0,1,1,2,,,1,2,2,,600,2
224028,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,1,2,2,,,1,2,2,,1500,2
224048,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,2,,2,,400,2
230003,1,2,3,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,2,,,1,1,2,,,1,1,2,,1300,2
230029,1,1,2,2,,,2,,,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6,2,2,,,,2,,,,,1,1,2,,700,2
230030,2,,,1,1,1,,,,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,,,,,2,,,,,2,,2,,700,2
230037,1,1,2,1,1,3,1,1,2,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,8,2,1,1,,3500,2,,,,,2,,2,,2800,2
230039,1,2,2,1,1,1,2,,,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2,3,,,,2,,,,,1,2,2,,700,2
230043,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,920,2
230048,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,300,2
237003,1,1,2,2,,,2,,,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,2000,2
238055,1,2,3,2,,,2,,,1,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,2,2,,1000,2
243067,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,1,1,1,2000,2
244013,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,700,2
244058,1,1,2,2,,,2,,,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,500,2
244064,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1200,2
250005,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,450,2
250010,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,450,2
250037,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,500,2
250039,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,450,2
250056,1,1,1,2,,,2,,,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,1,2,,750,2
256015,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,2,2,,700,2
279054,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1200,2
282083,2,,,1,1,1,,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,,,,,2,,,,,2,,2,,600,2
282089,1,3,3,2,,,2,,,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,2,,,,2,,,,,1,1,2,,600,2
284086,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,1,2,,1250,2
294039,1,1,2,2,,,2,,,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,700,2
310002,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,3,,,,2,,,,,2,,2,,800,2
310005,1,1,2,1,1,2,2,,,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,2,2,,800,2
310051,1,1,2,2,,,1,1,2,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8,2,1,2,,,1,1,1,,,1,2,1,1,1000,2
310066,1,2,1,2,,,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,7,2,1,2,,,2,,,,,1,1,2,,1000,2
321009,1,1,1,2,,,2,,,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,2,,,,2,,,,,2,,2,,800,2
330057,1,1,1,1,1,1,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,,,,2,,,,,2,,2,,550,2
332080,1,2,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,3,,,,2,,,,,2,,2,,1200,2
333081,1,1,2,2,,,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,7,2,1,2,,,1,2,2,,,1,1,1,1,1200,1
350035,1,1,2,2,,,2,,,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,2,,,,2,,,,,1,1,2,,1300,2
350068,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,1,1,1,,,1,1,2,,200,1
355063,1,2,2,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,10,2,2,,,,1,1,2,,,1,1,2,,300,2
365034,1,1,2,2,,,2,,,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,,,,2,,,,,1,1,2,,1200,2
387029,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,6,2,1,1,,7000,1,2,2,,,1,1,2,,1500,1
389029,1,1,2,2,,,2,,,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,1,1,700,2
389045,1,1,2,2,,,2,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,700,2
389084,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,600,2
500001,1,1,2,1,1,,2,,,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,2,2,,950,2
500004,2,,,1,1,4,,,,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,,,,,2,,,,,2,,2,,1000,2
500026,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,2,2,,,1,2,2,,400,2
500088,1,1,2,1,1,,2,,,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,2,,,,2,,,,,1,1,2,,1000,2
500090,1,2,2,2,,,2,,,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,1,2,,,2,,,,,2,,2,,550,2
500160,1,2,3,2,,,2,,,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,2300,2
500176,1,2,2,2,,,2,,,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,1000,2
500180,1,1,2,2,,,2,,,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,2,2,,800,2
500328,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,,,,2,,,,,1,1,2,,800,2
500356,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,400,2
500388,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,,,,2,,,,,1,1,2,,700,2
500412,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,2,,2,,500,2
500477,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,,,,1,1,2,,,1,1,2,,1000,1
500573,1,1,3,1,1,1,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,2,2,,,1,2,2,,1000,2
500575,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,2,,,,,1,1,2,,1000,2
500576,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2,,,,2,,,,,2,,2,,500,2
500584,1,1,3,2,,,2,,,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,1,3,2,,,1,3,2,,700,1
500586,1,1,3,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,1,2,,,1,3,2,,500,1
500594,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,300,2
500620,1,1,1,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,2,,,,,1,1,2,,300,2
500669,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,1,2,2,,,1,2,2,,500,2
500674,1,1,2,2,,,2,,,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9,2,2,,,,1,2,2,,,1,2,2,,500,2
500682,1,2,2,2,,,2,,,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,2,2,,1500,1
500726,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,2,,,,1,2,2,,,1,2,2,,500,2
500751,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,,,1,1,1,,,1,2,2,,1000,2
500784,1,1,1,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,6,2,1,2,,,1,1,1,,,1,1,2,,1200,1
501048,1,1,2,2,,,2,,,1,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,1,2,2,,750,2
501059,1,2,2,2,,,2,,,2,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,9,2,1,2,,,1,1,1,,,1,2,2,,1300,2
501068,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,1,1,,,1,1,2,,800,2
501082,1,2,3,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,2,,,,2,,,,,1,3,2,,900,2
501374,1,1,2,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7,2,2,,,,2,,,,,2,,2,,800,2
501444,1,2,3,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,8,2,1,2,,,1,1,1,,,1,2,2,,1300,1
501485,1,1,3,2,,,2,,,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,2,,,,1,1,2,,,1,2,2,,400,2
