NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
375,6,10,10,10,7,8,7,8,8,6,7,6,7,6,6,7,7,6,7,7,6,6,2,1,,
629,6,10,6,5,6,5,5,4,7,4,8,9,8,7,6,7,8,9,9,9,8,7,2,1,,
1238,5,9,7,4,4,4,3,3,6,6,5,6,6,8,6,6,7,6,6,6,6,6,2,1,,
1367,3,10,3,4,3,5,5,3,1,10,7,3,1,5,4,2,3,2,1,6,5,1,2,1,,
1763,6,7,6,6,6,6,6,6,2,6,5,5,5,9,5,5,6,5,5,6,5,5,2,1,,
1927,7,9,7,6,6,7,6,5,6,5,7,8,9,9,8,8,9,9,9,9,9,8,2,,2000,
1946,8,10,8,8,8,8,8,7,7,1,10,10,10,10,8,8,10,10,10,8,8,8,2,,2000,
2178,5,8,6,5,6,5,6,6,6,6,8,9,10,9,8,8,7,8,9,8,8,7,2,,5000,
2447,8,10,10,10,10,10,10,10,10,1,10,10,10,10,7,10,10,10,10,10,8,10,2,1,,
2485,3,10,5,6,5,5,7,6,6,2,8,8,9,10,8,7,9,9,9,10,9,9,2,1,,
2886,7,10,10,10,8,8,8,8,8,1,10,10,10,10,10,10,10,10,10,10,10,10,1,,10000,
20174,5,10,10,9,9,8,7,4,6,1,5,10,10,10,8,7,5,10,10,10,8,7,2,,10000,7
20231,5,10,8,5,5,5,5,1,3,5,7,8,10,8,9,9,8,9,10,9,9,9,2,,5000,5
20372,6,10,7,6,6,6,5,5,6,5,8,8,10,7,8,7,8,8,10,8,7,7,2,,5000,
20711,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
20837,6,8,8,6,6,6,5,5,7,1,10,10,10,10,10,10,10,10,10,10,10,10,2,,20000,
22074,4,8,7,6,7,8,8,8,7,6,5,5,4,5,6,7,6,7,8,8,7,6,2,1,,
22208,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,1,1,1,1,1,2,1,,
22222,6,8,10,9,7,7,7,8,9,1,10,10,10,10,8,9,6,7,8,8,7,9,2,1,,
22262,5,10,7,5,5,5,4,3,7,1,10,8,10,10,8,8,10,8,10,10,8,8,2,,100000,8
22263,8,10,10,8,8,8,8,8,6,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,8
22276,8,10,8,8,7,6,6,5,8,6,6,10,10,9,6,8,7,8,9,8,9,8,2,,10000,
22277,5,9,9,9,7,7,7,6,5,8,9,7,8,9,8,8,10,8,9,10,6,9,2,,5000,
22292,6,10,9,8,8,8,7,7,6,8,7,8,9,8,5,8,8,8,10,9,6,7,2,,5000,
22516,3,8,5,3,1,1,1,1,3,10,10,8,8,10,10,10,10,8,8,10,10,10,2,,10000,7
22624,7,9,6,2,2,3,5,5,1,7,5,10,10,10,4,4,7,7,7,7,7,7,1,1,,
22657,5,8,7,6,5,5,5,5,1,3,8,7,7,7,6,6,9,7,7,7,8,7,2,,15000,
22850,8,10,9,9,8,8,8,7,7,1,8,10,10,6,8,9,9,10,10,6,8,9,2,,20000,
22995,1,10,10,8,8,8,8,8,7,1,10,10,10,10,8,10,10,10,10,10,8,10,2,,20000,
23384,5,8,6,7,7,6,5,2,3,3,6,7,8,7,6,6,6,8,8,7,6,6,2,1,,8
23490,8,10,8,8,8,6,6,6,7,2,10,9,9,8,8,7,10,9,9,8,8,7,2,1,,8
23797,1,10,5,4,3,1,1,1,1,5,6,8,8,8,7,6,7,8,9,8,8,7,2,,10000,
23798,5,10,6,6,5,4,3,3,3,4,8,10,10,10,9,9,9,10,10,10,9,9,2,1,,
23823,5,8,5,4,5,4,4,4,6,6,10,10,10,10,3,4,10,10,10,10,8,8,2,1,,
23986,5,8,5,6,6,5,4,4,3,3,4,4,6,7,4,4,4,4,6,4,5,5,2,2,,
24149,7,9,9,7,7,6,6,6,7,7,7,7,7,8,8,8,7,7,7,8,8,8,2,1,,
24158,5,10,8,8,8,4,1,1,6,10,10,10,10,10,7,6,10,10,10,10,8,7,2,1,,
24171,8,10,8,7,8,8,8,8,8,10,10,10,10,10,10,8,10,10,10,10,10,8,2,,100000,
24374,1,8,5,1,8,8,5,3,1,10,10,10,10,10,10,8,10,10,10,10,10,10,1,,50000,
24379,5,10,10,10,5,5,5,5,3,1,9,10,10,10,5,5,9,10,10,10,5,9,2,,1,
24393,1,10,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
24529,4,9,9,8,6,2,2,2,1,1,10,8,8,10,6,4,10,8,10,10,6,6,1,1,,
24616,6,10,5,7,5,6,8,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,1,,20000,
24809,7,8,8,8,8,5,7,7,7,8,8,10,9,9,9,9,8,8,9,9,9,9,2,1,,
24853,1,10,6,6,6,6,4,4,6,1,8,10,10,10,10,10,8,10,10,10,10,10,2,1,,
24885,8,10,8,7,6,5,2,2,5,4,7,10,8,10,6,7,10,10,10,10,10,10,2,1,,
25245,1,10,5,10,5,5,5,5,5,10,1,10,10,10,5,5,10,10,10,10,10,10,2,,5000,
25625,7,9,7,6,6,6,3,2,3,8,8,8,9,9,7,7,8,8,8,8,7,5,2,1,,
25968,8,10,8,8,7,7,7,7,8,10,9,10,10,10,9,10,9,10,10,10,9,10,2,2,,
25970,5,10,10,7,7,7,6,6,6,1,8,10,10,10,9,6,8,10,10,10,9,6,2,1,,
26310,1,10,8,7,8,3,7,5,3,9,4,9,9,9,8,8,7,9,9,9,9,9,2,2,,
26653,9,10,10,8,8,8,8,8,9,1,9,9,9,9,8,9,8,9,9,9,9,8,2,,100,
27109,7,10,10,10,7,6,5,5,5,6,7,8,8,7,7,8,8,7,7,8,8,7,2,1,,5
27116,7,10,8,8,8,6,5,5,7,2,7,8,7,7,8,8,7,8,8,7,7,8,2,1,,7
27123,5,9,9,5,5,5,6,3,7,3,4,8,6,10,10,7,7,6,6,5,6,7,2,1,,7
27155,6,6,6,5,5,5,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,2,,15000,6
27505,6,10,7,5,5,5,4,1,5,3,5,10,10,8,9,8,6,10,10,10,8,8,2,,5000,7
27730,5,9,8,8,6,5,5,5,5,1,7,10,9,9,6,6,9,8,8,7,8,7,2,,10000,
27734,5,9,8,7,7,6,6,5,4,1,7,8,7,7,7,7,8,8,8,7,8,6,1,1,,
27744,7,9,7,5,6,5,5,5,6,1,6,8,8,8,8,7,8,7,8,8,9,8,2,1,,
27923,6,10,8,7,7,6,6,5,6,1,7,9,9,9,9,9,9,8,9,9,8,9,2,1,,
27930,5,10,8,7,6,5,4,4,5,1,7,9,9,8,7,8,8,8,9,9,8,9,1,,1000,
27947,9,10,9,8,7,7,7,6,6,2,9,10,10,9,9,9,9,9,10,9,8,8,2,1,,
28100,7,9,8,9,8,9,9,9,8,8,8,9,8,8,8,8,8,9,8,8,8,8,2,1,,
28221,7,8,5,5,5,5,5,5,5,8,8,8,8,9,8,8,8,9,8,9,8,8,2,1,,
28331,7,10,7,7,7,7,7,7,8,1,5,8,9,9,9,8,6,9,9,9,9,9,2,1,,
28897,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,,
28992,7,10,7,6,6,6,6,6,6,1,7,8,8,8,8,8,8,8,8,8,9,7,2,1,,
29140,6,9,8,7,6,6,5,3,7,9,9,9,9,8,7,8,9,9,9,8,7,8,2,,5000,7
29286,3,8,7,6,5,5,4,3,1,1,6,9,8,8,7,8,8,8,9,8,8,8,2,1,,
29678,4,8,7,6,7,6,6,1,1,6,6,8,8,8,6,7,7,8,8,7,7,6,2,,8000,7
29684,6,6,7,6,6,6,6,3,5,5,6,7,7,7,7,6,7,7,7,7,7,7,2,1,,7
29737,7,10,9,5,6,6,6,6,4,1,7,6,6,8,7,6,8,6,10,9,8,8,2,1,,
29798,5,10,7,6,5,5,5,5,7,10,8,10,10,10,8,8,9,10,10,10,9,8,2,1,,
31163,8,10,8,6,6,5,5,2,6,2,6,6,6,7,7,6,7,7,7,7,8,6,2,1,,
31191,1,10,9,7,7,7,7,7,7,1,9,9,9,9,7,9,9,9,9,9,9,9,2,,10000,
31219,7,8,8,7,7,7,7,5,6,2,8,10,8,10,8,10,10,10,10,10,10,10,2,1,,8
31304,8,8,8,8,8,8,8,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,2,,30000,
31309,8,7,6,6,6,5,5,5,5,2,6,10,9,9,7,7,6,7,9,9,8,7,2,1,,6
31387,5,10,5,10,7,7,7,1,8,1,8,10,10,10,7,7,10,10,10,8,8,8,2,1,,10
31448,1,10,8,8,6,5,5,5,6,1,8,8,10,10,9,10,9,9,9,9,9,9,1,1,,7
31556,10,10,10,10,5,5,5,5,6,1,10,10,10,10,10,10,10,10,10,10,9,9,2,1,,
31560,5,6,5,5,5,5,4,2,5,1,5,7,10,10,6,7,8,8,10,10,6,8,2,,3000,
31625,7,10,10,8,5,5,5,5,2,1,10,6,10,8,4,6,8,8,8,6,5,7,2,1,,
31641,9,10,9,8,8,8,7,7,9,1,8,9,9,9,8,8,9,9,9,8,8,8,2,,500,
31652,7,10,9,8,8,8,8,5,7,1,10,10,10,10,10,10,10,10,10,10,10,10,2,,50000,
31665,1,10,7,7,7,7,5,5,7,1,8,10,10,10,10,10,8,10,10,10,10,10,2,1,,
31695,8,8,8,8,8,8,5,6,6,7,7,7,7,7,7,7,8,8,7,7,7,8,2,1,,
31757,5,9,9,5,5,5,5,5,4,1,8,7,8,8,8,7,8,8,8,7,6,7,2,,10000,
31869,5,5,6,3,5,5,5,5,3,4,7,10,10,10,8,7,9,10,10,9,10,7,2,,5000,
32044,9,10,8,7,7,7,7,7,8,1,8,8,8,8,8,8,8,8,8,8,8,8,2,,1000,
32047,1,10,10,10,8,8,5,5,7,1,7,10,10,10,10,10,7,10,10,10,10,10,2,1,,
32052,7,9,8,7,7,7,6,5,7,3,7,7,7,7,7,7,7,7,7,7,7,7,2,1,,
32066,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
32067,7,9,9,9,9,9,9,9,9,1,7,7,7,7,7,7,7,7,7,7,7,7,2,1,,
32144,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
32190,7,9,7,6,6,6,7,7,6,7,8,8,8,8,7,7,1,1,1,1,1,1,2,2,,
32206,5,7,6,6,6,5,5,5,4,1,7,8,8,8,7,8,9,8,8,8,9,8,2,,3000,
32328,7,10,9,9,7,7,7,7,6,1,7,9,9,7,8,7,8,8,8,8,8,8,2,1,,
32464,1,8,5,4,4,2,2,1,1,1,10,10,10,10,8,8,10,10,10,10,10,10,2,1,,
32470,5,10,10,9,5,5,5,5,4,1,10,10,10,10,7,7,10,10,10,10,10,8,2,1,,
32471,3,10,9,9,5,5,5,4,7,10,9,10,10,10,9,6,8,10,10,10,10,8,2,1,,
32524,5,10,8,6,6,5,6,6,7,1,7,10,10,10,8,8,8,10,10,10,7,6,2,,50000,
32556,5,10,8,5,5,5,5,1,5,1,10,10,8,10,8,7,8,10,10,10,8,10,2,1,,
32668,5,8,7,7,6,6,7,5,6,1,7,10,10,10,10,7,8,8,10,10,8,6,1,,20000,
32731,6,10,10,10,7,7,6,6,4,10,7,10,10,10,8,7,7,10,10,10,7,6,2,,100000,
32733,3,10,10,8,6,5,5,5,5,10,10,10,10,10,8,8,9,10,10,10,8,8,2,1,,
32734,7,10,9,8,7,7,6,6,8,10,9,9,9,9,8,8,9,9,9,9,8,8,2,,3000,
32751,6,8,7,7,7,6,6,4,6,1,8,10,10,10,8,8,8,8,10,8,8,8,2,,10000,
32822,6,10,7,8,6,7,6,6,7,5,8,10,10,10,10,7,10,10,10,10,10,8,2,,20000,
32839,5,10,6,8,6,3,4,1,1,1,8,10,8,8,8,10,7,10,8,8,8,10,2,,30000,
32962,8,10,9,8,8,8,7,6,6,3,10,10,10,10,7,8,10,10,10,10,8,8,2,,4000,7
32987,4,8,7,7,7,7,7,7,6,1,7,10,10,6,6,6,10,10,10,7,7,7,2,1,,
33038,5,7,3,3,4,4,5,4,4,6,6,5,6,6,6,5,5,5,5,5,5,5,2,1,,
33228,5,7,7,6,6,6,5,4,5,1,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
33245,5,8,7,6,6,6,6,2,6,1,6,8,8,8,8,9,7,8,8,8,8,10,2,1,,
33303,5,8,7,1,6,5,1,1,6,1,7,8,8,8,7,7,8,8,7,7,7,7,2,,20000,
33328,2,9,8,8,7,7,7,5,6,1,10,10,8,10,10,8,9,10,9,10,10,8,2,,10000,
33347,5,5,2,4,2,2,1,1,1,1,10,10,10,10,8,8,10,10,10,10,9,8,2,1,,
33348,1,10,6,6,6,6,5,3,1,1,10,9,10,7,6,7,10,10,10,10,10,7,2,,20000,
33451,7,9,9,7,7,7,7,7,8,8,9,9,9,9,9,8,9,9,9,9,9,8,2,1,,
33644,8,8,9,6,6,6,6,6,6,1,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,8
33761,5,9,9,7,7,7,7,4,9,1,9,9,10,10,10,5,9,9,10,10,10,5,2,2,,
33773,7,9,8,6,6,6,6,6,6,5,8,9,9,9,9,8,9,9,9,9,9,8,2,1,,
33781,8,10,8,9,5,5,5,4,4,8,8,8,8,8,8,7,8,7,6,7,6,7,2,1,,
33823,10,10,10,8,8,8,8,6,6,10,10,10,10,10,7,8,10,10,10,10,8,7,2,1,,
33877,7,7,8,8,7,6,6,7,8,10,6,6,9,8,7,7,7,8,7,6,6,7,2,2,,
33882,8,9,7,7,6,6,6,4,5,8,8,7,7,8,7,7,9,7,8,8,6,8,2,,5000,
33888,6,9,7,8,7,6,6,4,4,9,8,9,9,8,5,8,8,9,9,9,6,6,2,,1000,
33889,5,10,8,8,7,7,5,5,6,6,5,8,9,7,6,6,8,7,9,7,8,6,2,,5000,
33937,3,10,8,4,6,6,6,4,6,1,6,10,10,10,10,10,10,10,10,10,10,10,2,,5000,
33941,6,10,7,5,6,6,6,5,7,1,6,7,7,6,6,6,7,5,8,7,6,6,2,,10000,
33985,8,10,8,7,7,7,7,6,7,2,7,8,7,9,8,7,7,6,9,8,8,9,2,1,,
34059,8,10,10,5,7,7,7,7,6,1,10,7,7,8,8,7,10,8,7,8,8,6,2,,10000,
34199,7,9,8,7,7,7,7,7,7,5,9,9,9,9,9,8,9,9,9,9,9,8,2,1,,
34396,10,10,10,6,6,3,6,6,1,1,10,10,10,10,10,10,10,10,10,10,10,10,1,,5000,
34513,6,10,8,8,6,4,4,4,5,10,10,10,10,10,7,10,10,10,10,10,10,10,2,,5000,
34738,6,9,6,6,5,6,6,6,5,9,8,8,9,9,7,8,8,7,9,9,7,8,2,1,,9
34778,4,10,7,6,5,4,3,3,4,5,7,9,9,9,6,6,6,8,9,8,7,8,2,1,,
34825,5,10,6,5,6,6,6,6,4,5,5,7,7,7,7,7,6,7,7,7,7,7,1,,20000,
34886,5,10,8,6,8,7,6,6,7,1,7,10,10,10,10,6,8,10,10,8,8,7,2,,10000,
34900,6,6,5,6,5,4,4,4,4,2,8,8,8,8,8,8,8,8,8,9,9,8,2,1,,
35005,8,8,8,6,7,7,6,7,6,4,6,8,8,8,6,7,7,8,8,8,7,7,2,1,,
35234,7,7,5,6,7,7,7,7,1,1,7,8,8,10,7,7,7,8,8,8,7,7,2,1,,
35319,7,10,7,7,5,6,7,7,6,7,6,5,6,7,7,6,6,7,7,7,7,8,2,1,,
35322,6,10,6,6,8,7,5,4,4,7,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
35323,4,10,6,6,6,5,5,5,4,6,7,10,10,10,6,6,7,10,10,10,6,6,2,1,,
35340,5,9,5,4,4,4,2,2,5,7,6,9,9,10,6,8,6,8,8,9,7,7,2,,15000,
35355,6,9,4,5,6,6,6,6,5,7,8,9,9,9,6,7,8,8,8,9,7,8,2,1,,
35372,7,9,5,4,4,5,4,4,6,7,7,7,8,7,7,7,7,7,7,6,6,6,2,1,,
35374,7,8,4,4,5,5,4,4,3,8,7,7,7,7,8,5,7,7,7,8,8,7,2,1,,
35379,3,7,4,4,6,4,5,5,4,5,9,10,8,9,8,8,9,9,9,9,9,8,2,,10000,
35498,5,10,9,8,5,5,5,5,5,1,10,10,10,10,9,9,10,10,10,5,9,10,2,1,,7
35500,4,10,10,4,5,5,5,4,4,1,10,10,10,10,10,10,10,10,10,10,10,10,1,1,,9
35502,5,8,7,7,6,6,6,5,7,4,7,8,8,10,8,8,7,8,8,10,8,10,2,1,,8
35507,6,10,7,5,5,5,5,5,5,3,7,10,10,10,10,10,10,10,10,10,10,10,2,1,,7
35508,5,9,7,5,5,5,5,5,6,4,8,10,8,10,8,10,8,10,8,10,8,10,2,1,,7
35512,6,10,8,5,5,5,5,5,6,2,7,10,10,8,7,9,8,8,8,8,8,8,2,1,,8
35520,10,10,8,7,7,6,6,5,7,4,7,10,8,10,8,10,7,10,8,10,8,10,2,1,,7
35682,8,10,9,9,8,8,8,8,5,8,9,9,10,10,8,8,10,8,8,8,8,8,2,2,,8
35735,5,10,8,7,6,6,6,6,7,1,8,10,10,10,8,8,8,10,10,10,7,7,2,1,,
35788,6,10,9,9,7,7,6,5,7,1,8,10,10,10,8,10,10,10,10,9,9,10,2,1,,
35968,8,10,8,8,8,7,7,4,6,1,9,10,10,10,10,10,8,10,10,10,9,10,2,1,,
36106,8,10,8,7,7,7,7,7,5,3,9,9,8,8,9,7,10,9,8,8,9,7,2,1,,
36120,5,9,7,5,5,5,4,4,4,2,8,9,8,7,8,8,9,7,8,6,8,7,2,,10000,
36130,7,10,8,6,6,6,7,6,5,8,8,9,9,10,9,8,9,9,8,9,7,9,2,,30000,9
36131,8,10,10,8,7,7,7,7,7,1,8,8,9,7,7,7,10,8,10,6,7,7,2,,50000,8
36146,7,10,5,2,2,2,2,1,1,1,8,8,10,9,7,7,8,8,10,8,8,7,2,,10000,6
36148,7,10,8,1,8,6,5,4,2,2,10,10,9,9,8,7,10,10,10,10,10,10,2,1,,10
36164,1,8,6,7,9,5,7,3,5,1,9,10,10,10,10,10,9,10,10,10,8,8,2,1,,
36186,7,6,5,4,5,4,5,4,5,5,5,4,4,5,5,4,5,4,4,4,4,5,2,1,,
36249,6,4,5,3,4,3,4,3,3,1,6,6,6,6,9,6,6,6,6,6,6,6,2,1,,
36250,8,9,6,6,6,6,6,6,6,5,9,9,9,9,9,9,9,9,9,9,9,9,2,1,,
36427,6,10,8,7,8,6,7,2,5,10,10,10,10,10,8,8,10,10,10,10,8,8,2,,10000,
36443,5,8,7,7,7,5,5,4,4,2,7,7,8,7,5,6,8,8,9,7,7,8,2,,15000,
36494,6,10,8,7,8,8,8,8,7,1,6,8,8,10,8,8,10,10,10,10,10,8,2,,5000,10
36522,7,10,9,5,5,5,5,2,4,10,9,10,10,10,10,8,10,10,10,8,10,8,1,,10000,
36697,8,8,8,7,9,7,5,6,6,4,5,6,7,7,5,6,7,8,7,6,5,7,2,,2000,
36774,8,10,10,8,7,7,7,6,7,2,10,10,10,10,8,8,8,9,9,10,10,8,2,,5000,6
36893,9,10,9,8,8,8,8,8,6,1,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
37011,8,10,8,8,7,7,6,5,7,1,8,10,10,9,10,8,9,9,10,10,10,9,2,,10000,
37042,8,10,10,8,6,6,5,5,7,8,9,9,10,10,9,9,10,10,10,10,10,10,2,,10000,8
37286,2,9,6,5,5,6,7,7,8,6,7,8,8,9,8,7,7,8,7,8,7,7,2,1,,
37299,2,7,6,5,6,7,7,6,6,7,8,8,8,7,7,7,7,6,7,8,8,7,2,1,,
37504,7,9,8,7,7,7,6,6,7,1,8,9,9,9,9,9,9,9,9,9,9,9,2,,1000,
37677,6,10,9,9,8,8,8,7,9,1,9,10,10,10,9,5,9,10,10,10,8,5,2,1,,
37808,1,8,6,5,5,5,5,4,6,5,6,10,10,7,5,5,7,10,10,5,8,8,2,,5000,
38016,7,7,7,6,6,6,5,5,5,4,7,7,7,7,7,7,7,7,8,7,7,7,2,1,,
38018,4,10,8,8,6,4,5,4,3,4,10,8,10,10,10,10,10,8,10,10,10,10,2,2,,
38095,1,10,10,9,9,9,9,9,7,1,10,10,10,8,8,10,10,10,10,8,8,10,2,,12000,
38112,7,10,10,8,8,7,7,6,8,1,9,10,10,10,9,8,9,10,10,10,9,8,2,1,,
38128,6,8,6,6,6,6,6,6,6,6,8,8,8,8,8,6,8,8,8,7,8,7,2,1,,
38135,7,10,7,7,6,6,5,1,8,10,10,10,9,10,9,10,1,1,1,1,1,1,2,,50000,
38255,5,10,5,4,5,5,5,5,3,5,8,8,9,10,7,7,8,7,9,9,8,8,2,,5000,
38316,7,9,8,6,7,6,6,6,6,1,8,6,9,10,9,7,8,9,9,10,10,7,2,2,,
38349,5,7,5,3,5,4,4,1,6,4,4,10,10,10,10,7,8,10,10,10,10,10,2,,20000,7
38493,5,10,9,8,6,4,6,4,5,10,7,10,10,10,10,6,7,10,10,10,10,6,2,,50000,
38499,4,10,6,5,8,7,7,5,4,10,10,10,10,10,7,6,10,10,10,10,7,6,2,1,,
38554,6,10,8,8,7,7,7,5,4,1,8,10,10,10,8,8,9,10,10,10,9,9,2,,60000,9
38800,10,10,10,10,10,8,8,5,2,1,8,10,10,8,8,8,9,10,10,8,8,8,1,,1000,
38877,8,10,9,8,8,7,6,4,5,2,7,10,10,9,9,9,8,8,10,9,9,9,2,,6000,
38913,5,10,8,8,6,3,7,1,4,1,8,10,10,10,8,10,6,7,7,8,7,10,2,,10000,
38957,4,9,9,8,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,2,1,,
38964,5,10,10,10,10,10,10,10,10,5,8,10,10,10,2,9,10,10,10,10,2,2,2,1,,
38979,7,9,7,6,7,7,7,7,6,8,7,7,7,8,7,8,7,8,8,7,7,8,2,1,,
39058,6,10,8,7,7,7,7,6,8,8,8,10,10,10,9,10,8,10,10,10,9,10,2,1,,
39061,8,10,9,8,8,8,8,8,7,1,9,10,10,10,9,8,9,10,10,10,9,8,2,1,,
39083,1,10,10,10,8,6,7,6,6,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
39086,5,10,8,8,8,8,8,6,4,1,10,6,10,10,8,10,8,10,10,1,5,10,2,,50,
39111,5,10,8,8,6,4,4,3,8,1,6,10,10,10,8,8,6,10,10,10,6,5,2,,10000,
39284,7,7,7,7,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,2,,10000,
39356,8,10,10,8,8,7,7,7,8,7,6,5,5,6,7,7,7,8,9,8,8,8,2,,5000,
39433,6,10,7,10,9,7,5,5,6,10,10,10,10,10,10,7,10,10,10,10,10,8,2,1,,
39436,5,10,7,7,5,5,5,5,3,10,8,10,10,10,8,7,10,8,10,10,10,7,2,1,,
39485,4,6,5,3,1,2,2,3,1,5,8,8,10,8,7,7,10,6,10,5,7,6,1,,5000,
39488,1,10,6,6,5,2,1,1,3,10,7,9,10,10,10,7,8,5,10,10,10,10,2,,10000,
39907,9,10,9,8,8,8,8,7,8,1,8,9,9,9,9,8,8,9,9,9,9,8,2,,1000,
50052,8,10,10,5,5,4,6,4,5,10,6,10,10,6,7,7,10,6,7,7,8,9,2,1,,
50060,6,10,8,5,5,5,4,3,6,10,4,6,6,5,7,7,9,9,8,8,9,8,2,,20000,
50085,4,6,6,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,2,1,,
50150,8,10,8,7,6,6,5,5,6,1,7,8,8,8,7,8,8,8,8,8,8,7,2,1,,
50178,1,10,1,2,2,4,1,1,1,3,10,10,10,8,10,10,7,8,8,8,10,10,1,,1000,
50231,7,7,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,2,1,,
50618,7,10,7,7,7,7,2,2,9,1,6,10,10,10,7,10,6,10,10,10,7,10,2,1,,
50674,1,10,10,10,7,7,7,7,7,1,10,10,10,10,10,10,10,10,10,10,10,10,2,1,,
51013,8,9,3,2,3,4,2,2,1,7,7,8,8,9,10,7,7,8,8,9,9,7,2,,18000,7
51185,7,9,6,6,6,6,6,6,5,8,7,8,9,9,8,8,8,8,8,8,8,8,2,1,,
51297,8,8,8,8,8,7,7,7,5,1,8,10,10,10,9,8,8,9,10,8,8,8,2,,20000,7
51352,6,10,6,6,5,6,6,6,6,1,8,10,10,10,8,8,8,10,10,10,10,8,2,,2000,8
51363,5,10,5,6,5,4,5,1,7,1,8,10,6,6,2,2,7,7,7,5,8,8,2,,10000,7
51895,8,10,10,10,10,6,2,2,8,1,8,10,10,10,10,9,10,10,10,10,10,9,2,1,,
52478,7,9,9,8,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,,
52505,7,9,6,5,4,5,5,5,3,6,5,6,7,8,5,5,5,7,5,9,5,6,2,1,,
52716,6,10,7,7,7,6,6,3,4,1,6,10,10,10,8,8,7,10,10,10,8,8,2,1,,
52736,7,9,9,9,8,8,8,2,9,5,10,10,10,10,7,6,10,10,10,10,8,8,2,,5000,
53006,5,9,7,5,6,6,4,4,6,1,5,9,7,8,8,5,1,9,8,8,8,7,2,,10000,
53225,7,7,8,7,6,7,8,7,8,9,9,8,7,6,7,7,7,8,7,6,7,7,2,1,,
53373,2,10,7,7,7,7,6,2,9,1,9,10,10,10,10,10,9,10,10,10,10,10,2,2,,
53549,7,10,8,6,6,6,6,6,6,10,8,10,10,10,10,8,9,10,10,10,10,9,2,1,,
53552,7,7,6,6,6,5,5,5,4,1,6,6,6,6,6,6,7,8,7,7,6,5,2,1,,
53751,8,6,8,7,7,6,6,6,8,1,8,6,8,8,8,8,8,6,8,5,6,7,2,,1000,
53849,6,10,8,8,8,3,6,5,6,5,8,10,10,10,8,8,10,10,10,10,10,8,2,,250000,
54143,5,10,8,10,7,5,5,1,3,5,8,10,10,10,6,6,8,10,10,8,6,6,2,1,,
54683,6,9,9,7,6,5,4,3,6,8,9,9,9,9,7,8,9,9,9,8,7,8,2,1,,8
54763,1,10,9,9,9,9,7,7,8,1,8,10,10,10,10,10,8,10,10,10,10,10,2,1,,
55147,6,10,5,5,5,5,5,5,1,1,10,10,8,10,10,10,10,10,10,10,10,10,2,1,,
55209,8,10,9,9,8,7,7,7,4,1,8,10,10,10,8,8,8,10,10,10,9,8,2,1,,
55349,6,8,8,6,6,4,5,5,6,6,7,6,7,8,5,6,6,7,7,7,7,7,2,1,,
55425,1,8,7,7,1,2,8,5,1,2,8,8,10,8,7,8,8,8,8,8,8,10,1,,5000,
55636,6,10,7,1,5,5,4,3,1,1,4,8,7,10,10,5,5,10,10,10,8,4,2,,5000,
55774,9,10,9,8,8,8,4,4,6,1,6,10,10,10,9,8,8,10,10,10,8,8,2,1,,
55799,7,8,6,6,6,6,6,6,5,1,8,8,8,8,7,7,9,9,9,9,7,8,2,,20000,
56262,1,10,8,6,8,8,7,1,6,1,6,7,8,10,10,6,7,10,10,10,10,6,2,,2000,
56270,4,10,5,5,5,5,5,5,5,1,4,10,10,10,10,6,10,10,10,10,10,10,2,,5000,
56563,3,10,2,2,5,5,5,2,2,6,10,10,10,8,8,8,10,10,10,6,7,8,2,1,,8
56572,3,10,4,4,4,5,5,2,5,1,10,10,10,10,8,8,10,10,10,8,8,8,2,1,,7
56577,4,10,7,6,6,6,5,1,1,1,10,10,10,10,10,6,10,10,10,8,8,8,2,,10000,8
56582,8,10,9,6,7,7,7,7,8,1,10,10,10,10,7,10,10,10,10,10,10,6,2,,10000,9
