NQUEST,FIDGEN,FID1,FID2,FID3,FID4,FID5,FID6,FID7,FID8,SOCGEN,SOC1,SOC2,SOC3,SOC4,SOC5,SOC6,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,EDUC6,GIUSTIZ1,NSGIUSTIZ2,GIUSTIZ2,HAPPY
682118,5,9,7,7,4,4,4,3,6,1,6,9,9,10,9,8,7,8,9,10,7,7,2,1,,2
682121,6,10,7,5,5,5,5,5,5,3,8,9,9,9,8,8,9,9,9,9,9,9,2,,1000,
682125,9,10,6,3,6,6,3,3,9,1,8,9,9,9,9,9,9,9,9,9,9,9,2,,3000,
682154,6,10,10,7,6,6,1,1,6,1,5,10,10,10,5,8,10,10,10,10,8,8,2,,10000,10
682169,6,9,9,8,9,8,7,7,7,1,5,10,9,10,6,7,8,8,9,7,6,8,2,1,,
682170,9,10,8,8,7,8,7,7,5,5,1,9,9,5,4,6,9,7,8,8,9,8,2,,10000,
682191,6,9,7,6,6,6,5,5,4,6,7,7,6,7,8,7,7,7,6,7,7,6,1,,10000,
682192,7,10,7,8,6,6,6,6,5,1,7,7,7,7,7,7,7,9,8,9,8,9,2,1,,
682204,6,7,7,7,5,5,5,4,2,5,4,7,8,7,7,7,7,7,7,7,7,7,2,,15000,
682210,5,8,6,5,5,5,1,1,5,1,9,4,8,6,8,8,6,6,6,6,6,6,2,,5000,
682259,7,10,7,5,5,5,3,3,4,2,5,10,10,8,7,6,8,8,10,7,7,6,2,,30000,7
682263,8,10,8,7,7,7,6,6,9,1,8,9,9,9,9,8,8,9,9,9,9,8,2,,1000,
682281,1,10,10,8,8,8,5,5,6,1,7,10,10,10,8,10,7,10,10,10,8,10,2,,16000,
682297,6,10,10,5,6,6,6,4,6,10,8,8,10,10,9,7,8,10,10,10,9,7,2,2,,
682298,6,10,8,9,6,7,2,9,2,10,5,10,10,10,10,10,5,10,10,10,10,10,2,1,,
682311,7,10,8,8,8,8,7,7,6,5,7,9,10,10,7,7,8,10,10,10,8,8,2,,10000,8
682359,7,10,9,7,10,7,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,2,,1000,
682360,7,7,6,4,4,4,6,5,7,3,10,10,10,10,6,6,10,10,10,10,10,10,2,,5000,
682400,7,10,9,8,7,6,6,5,4,4,8,9,9,9,7,7,9,9,9,8,8,6,2,,6000,
