nquest,pro1,pro2,pro3,pro4,pro5,pro6,tipoimm,quopro,pro7,pro8,pro9,pro10,anposs,supab,ancostr,supte,suptm,usoimm,valabit,affitto,affeff,affimp,poss,immdove,immreg,immest
675315,2,,,,,,7,20,0,0,0,0,,,,,6000,11,45000,2,0,2400,3,1,,
675404,1,,,,,,4,50,0,0,0,0,2005,180,1400,,,2,170000,2,0,15000,1,1,,
675472,1,2,,,,,1,100,0,0,0,0,1980,60,1940,,,3,130000,2,0,250,3,2,19,
675480,2,,,,,,7,50,0,0,0,0,,,,1,,10,20000,2,0,1000,1,1,,
675480,2,,,,,,7,50,0,0,0,0,,,,1,,10,20000,2,0,1000,1,1,,
675482,1,2,,,,,1,100,0,0,0,0,1977,180,1800,,,1,100000,2,0,200,1,1,,
675543,1,,,,,,7,100,0,0,0,0,,,,,3000,10,40000,2,0,480,3,1,,
675543,1,,,,,,1,100,0,0,0,0,1995,70,1967,,,13,55000,2,0,350,3,1,,
675543,1,,,,,,1,100,0,0,0,0,1995,100,1967,,,8,130000,2,0,500,3,1,,
675678,1,2,,,,,1,100,0,0,0,0,2005,140,1980,,,4,200000,1,5000,,1,1,,
675695,1,,,,,,1,22,0,0,0,0,2004,80,1975,,,4,120000,1,,,3,1,,
675739,1,,,,,,1,33,0,0,0,0,1993,105,1967,,,4,180000,1,4200,,3,1,,
675739,1,,,,,,1,100,0,0,0,0,1998,45,1980,,,1,300000,2,0,7000,1,2,,215
675746,1,,,,,,1,75,0,0,0,0,1985,120,1900,,,1,100000,2,0,5000,2,2,1,
675776,1,,,,,,1,100,0,0,0,0,2007,100,2007,,,14,15000,2,0,600,6,1,,
675776,1,,,,,,1,100,0,0,0,0,1970,70,1965,,,14,50000,2,0,400,5,1,,
675776,1,,,,,,1,100,0,0,0,0,1950,70,1950,,,13,70000,2,0,300,3,1,,
675776,1,,,,,,1,100,0,0,0,0,1950,70,1950,,,13,70000,2,0,500,5,1,,
675776,1,,,,,,1,100,0,0,0,0,1980,70,1980,,,13,70000,2,0,600,6,1,,
675904,1,,,,,,7,100,0,0,0,0,,,,,3000,9,10000,2,0,500,3,1,,
675905,1,2,,,,,7,100,0,0,0,0,,,,,750,10,50000,2,0,1000,1,1,,
675906,1,2,,,,,1,100,0,0,0,0,1983,60,1850,,,15,20000,2,0,100,1,1,,
675953,2,,,,,,1,50,0,0,0,0,1965,110,1911,,,13,250000,2,0,1000,3,1,,
675953,2,,,,,,4,50,0,0,0,0,1965,60,1920,,,5,250000,1,4800,,3,1,,
675953,2,,,,,,4,50,0,0,0,0,1965,60,1910,,,5,250000,1,4000,,3,1,,
676000,1,,,,,,1,100,0,0,0,0,2011,210,1965,,,4,400000,1,6000,,3,2,5,
676060,1,,,,,,1,100,0,0,0,0,1958,70,1958,,,14,180000,2,0,400,3,1,,
676282,1,2,,,,,4,100,0,0,0,0,2005,25,1950,,,2,80000,2,0,300,1,1,,
676470,1,,,,,,1,25,0,0,0,0,1990,150,1800,,,8,100000,2,0,2400,3,2,1,
676470,1,,,,,,1,50,0,0,0,0,1990,90,1954,,,14,350000,2,0,1000,4,1,,
676497,1,2,,,,,1,100,0,0,0,0,2009,50,2009,,,1,200000,2,0,500,2,1,,
676497,1,2,,,,,3,100,0,0,0,0,2008,200,2008,,,3,200000,2,0,1000,2,1,,
676500,1,,,,,,7,100,0,0,0,0,,,,,2200,11,20000,2,0,1000,5,1,,
676500,1,,,,,,7,100,0,0,0,0,,,,,500,9,30000,2,0,3000,5,1,,
676500,1,,,,,,7,100,0,0,0,0,,,,,500,9,30000,2,0,3000,5,1,,
676500,1,,,,,,7,100,0,0,0,0,,,,,1800,9,50000,2,0,5000,5,1,,
676500,1,,,,,,4,100,0,0,0,0,2005,40,1880,,,5,100000,1,3600,,5,1,,
676500,1,,,,,,4,100,0,0,0,0,2005,90,1880,,,5,180000,1,12000,,5,1,,
676500,1,,,,,,4,100,0,0,0,0,2005,160,1880,,,2,500000,2,0,13000,5,1,,
676807,1,,,,,,4,100,0,0,0,0,2006,40,1970,,,2,50000,2,0,300,3,1,,
676941,1,,,,,,7,100,0,0,0,0,,,,,4800,12,4500,2,0,100,3,1,,
676944,2,,,,,,7,100,0,0,0,0,,,,,3000,10,20000,2,0,1200,3,1,,
676944,2,,,,,,3,100,0,0,0,0,1998,300,1995,,,2,40000,2,0,3500,6,1,,
676944,1,2,,,,,1,100,0,0,0,0,1999,60,1999,,,2,45000,2,0,1200,6,1,,
676944,1,2,,,,,7,100,0,0,0,0,,,,30,,10,50000,2,0,2400,3,1,,
676944,2,,,,,,1,100,0,0,0,0,1980,80,1978,,,4,100000,1,2700,,3,1,,
677079,2,,,,,,7,50,0,0,0,0,,,,,5000,9,3500,2,0,1200,5,1,,
677079,3,,,,,,4,100,0,0,0,0,1987,45,1987,,,2,8000,2,0,3600,6,1,,
677079,1,,,,,,1,50,0,0,0,0,1982,120,1400,,,3,200000,2,0,4800,5,1,,
677112,1,,,,,,1,50,0,0,0,0,1989,40,1989,,,1,200000,2,0,6000,5,1,,
677130,2,,,,,,7,100,0,0,0,0,,,,,5000,9,10000,2,0,1000,3,1,,
677130,2,,,,,,1,100,0,0,0,0,1998,50,1700,,,1,30000,2,0,1800,3,1,,
677130,1,,,,,,1,100,0,0,0,0,1977,90,1976,,,4,100000,1,3000,,6,1,,
677130,1,,,,,,1,100,0,0,0,0,1977,90,1976,,,4,100000,1,3000,,6,1,,
677130,1,,,,,,1,100,0,0,0,0,1977,90,1976,,,4,100000,1,3000,,6,1,,
677130,1,,,,,,1,100,0,0,0,0,1977,90,1976,,,4,100000,1,3000,,6,1,,
677130,1,,,,,,1,100,0,0,0,0,1977,100,1976,,,4,130000,1,3600,,6,1,,
677130,1,,,,,,8,100,0,0,0,0,,,,,3000,3,150000,2,0,10000,1,1,,
677195,1,2,,,,,1,100,0,0,0,0,2002,70,1900,,,8,100000,2,0,300,1,2,,244
677195,1,2,,,,,1,100,0,0,0,0,2008,110,1950,,,4,110000,2,0,500,3,1,,
677195,1,2,,,,,1,100,0,0,0,0,2005,55,1900,,,8,150000,2,0,400,1,2,,244
677230,1,,,,,,1,50,0,0,0,0,1971,100,1880,,,8,30000,2,0,100,3,1,,
677280,2,,,,,,7,15,0,0,0,0,,,,,1500,9,4500,2,0,200,3,1,,
677280,1,,,,,,7,10,0,0,0,0,,,,,2000,11,10000,2,0,500,3,1,,
677280,1,,,,,,8,10,0,0,0,0,,,,,300,3,15000,2,0,400,3,1,,
677280,1,,,,,,1,50,0,0,0,0,1995,90,1800,,,1,80000,2,0,3000,3,1,,
677280,2,,,,,,1,33,0,0,0,0,1998,90,1965,,,14,90000,2,0,4200,3,1,,
677280,1,,,,,,1,10,0,0,0,0,1995,90,1966,,,14,130000,2,0,5400,3,1,,
677287,1,,,,,,1,50,0,0,0,0,2011,15,1900,,,8,20000,2,0,500,3,1,,
677287,1,,,,,,8,50,0,0,0,0,,,,,500,3,100000,2,0,2000,3,1,,
677440,1,2,,,,,1,100,0,0,0,0,1994,100,1990,,,14,150000,2,0,300,1,1,,
677474,2,,,,,,1,100,0,0,0,0,2002,70,1967,,,8,70000,2,0,3500,1,1,,
677474,2,,,,,,1,100,0,0,0,0,1998,80,1980,,,14,100000,2,0,4500,6,1,,
677475,2,,,,,,7,100,0,0,0,0,,,,,7000,8,7500,2,0,500,3,1,,
677489,1,,,,,,7,100,0,0,0,0,,,,,3000,14,6000,2,0,800,3,1,,
677489,1,,,,,,1,100,0,0,0,0,1984,130,1984,,,14,200000,2,0,7200,6,1,,
677570,1,,,,,,1,100,0,0,0,0,2010,80,1962,,,6,100000,1,2500,,3,1,,
677709,1,,,,,,1,100,0,0,0,0,1971,140,1965,,,1,250000,2,0,7000,1,1,,
677763,1,,,,,,1,50,0,0,0,0,2012,50,1950,,,1,15000,2,0,600,3,2,18,
677766,2,,,,,,1,100,0,0,0,0,1996,45,1900,,,14,50000,2,0,2500,5,1,,
677881,1,,,,,,1,30,0,0,0,0,1995,50,1900,,,6,50000,1,2000,,3,1,,
678132,1,,,,,,7,100,0,0,0,0,,,,,1000,9,10000,2,0,1200,3,1,,
678132,1,,,,,,1,100,0,0,0,0,2005,70,1974,,,8,30000,2,0,4000,3,1,,
678190,1,2,,,,,1,100,0,0,0,0,1990,90,1990,,,1,25000,2,0,1000,6,2,8,
678347,1,,,,,,1,33,0,0,0,0,1971,80,1957,,,13,62000,2,0,4800,3,1,,
680239,2,,,,,,1,50,0,0,0,0,1971,80,1900,,,8,60000,2,0,100,3,2,17,
680274,1,,,,,,1,100,0,0,0,0,2000,80,1980,,,1,180000,2,0,5000,1,1,,
680274,1,,,,,,2,100,0,0,0,0,2008,70,1960,,,14,300000,2,0,6000,1,1,,
680341,1,,,,,,1,100,0,0,0,0,2001,120,1905,,,4,600000,1,17000,,3,2,9,
680407,1,,,,,,6,100,0,0,0,0,1979,15,1960,,,3,20000,2,0,1500,3,1,,
680407,1,,,,,,1,100,0,0,0,0,2002,65,1980,,,4,150000,1,5000,,1,1,,
680407,1,,,,,,1,100,0,0,0,0,1981,45,1981,,,1,200000,2,0,10000,2,2,4,
680437,1,,,,,,1,100,0,0,0,0,1970,70,1933,,,4,40000,1,3500,,3,1,,
680501,1,2,,,,,1,100,0,0,0,0,2002,90,1982,,,14,100000,2,0,6000,7,1,,
680595,1,,,,,,6,100,0,0,0,0,1985,15,1985,,,3,10000,2,0,700,6,1,,
680595,1,2,,,,,1,100,0,0,0,0,2005,100,2005,,,14,300000,2,0,10000,6,1,,
680601,1,2,,,,,6,100,0,0,0,0,2000,15,1995,,,3,20000,2,0,1300,1,1,,
680607,1,,,,,,1,100,0,0,0,0,2006,200,1800,,,8,60000,2,0,1000,4,1,,
680612,1,,,,,,1,50,0,0,0,0,1970,80,1970,,,1,170000,2,0,1500,1,2,8,
680746,2,,,,,,7,33,0,0,0,0,,,,,3500,11,1000,2,0,100,3,1,,
680861,2,,,,,,7,50,0,0,0,0,,,,,2400,11,1000,2,0,,3,1,,
680861,2,,,,,,1,100,0,0,0,0,2011,140,1960,,,8,110000,2,0,6000,3,1,,
680861,1,,,,,,3,100,0,0,0,0,1974,380,1973,,,2,150000,2,0,1800,6,1,,
680868,1,,,,,,7,50,0,0,0,0,,,,,2000,11,1000,2,0,100,3,1,,
680896,1,,,,,,1,50,0,0,0,0,2011,200,1600,,,3,200000,2,0,1000,3,1,,
680911,1,,,,,,1,100,0,0,0,0,1990,200,1990,,,8,160000,2,0,300,6,1,,
680938,1,2,,,,,6,100,0,0,0,0,2007,25,1982,,,3,25000,2,0,1500,1,1,,
680971,1,,,,,,6,100,0,0,0,0,2003,17,2000,,,3,50000,2,0,200,2,1,,
680997,1,2,,,,,1,100,0,0,0,0,2000,95,1999,,,8,150000,2,0,4000,1,1,,
681097,2,,,,,,7,100,0,0,0,0,,,,,5000,9,4000,2,0,100,3,1,,
681097,1,2,,,,,1,100,0,0,0,0,1990,55,1910,,,3,10000,2,0,300,3,1,,
681158,2,,,,,,1,100,0,0,0,0,2003,100,1972,,,4,180000,1,6600,,3,1,,
681158,2,,,,,,1,100,0,0,0,0,2003,70,1972,,,4,200000,1,6000,,3,1,,
681244,1,,,,,,1,100,0,0,0,0,1996,100,1973,,,8,150000,2,0,3000,3,2,20,
681329,2,,,,,,7,100,0,0,0,0,,,,3,,9,40000,2,0,300,3,1,,
681371,2,,,,,,4,100,0,0,0,0,1981,50,1978,,,3,40000,2,0,300,1,1,,
681371,1,2,,,,,1,100,0,0,0,0,1983,100,1970,,,4,75000,1,6450,,3,1,,
681433,1,2,,,,,7,100,0,0,0,0,,,,,500,3,10000,2,0,100,3,1,,
681433,1,,,,,,1,100,0,0,0,0,2010,60,1970,,,8,200000,2,0,6000,3,1,,
681441,1,,,,,,1,100,0,0,0,0,2006,40,1916,,,1,80000,2,0,400,3,1,,
681441,1,,,,,,1,100,0,0,0,0,1996,50,1970,,,14,100000,2,0,400,3,1,,
681499,1,,,,,,8,25,0,0,0,0,,,,,2000,11,100000,2,0,3000,3,1,,
681528,1,,,,,,1,100,0,0,0,0,1992,70,1940,,,1,90000,2,0,350,1,2,7,
681528,1,,,,,,1,100,0,0,0,0,1995,70,1930,,,1,100000,2,0,300,1,1,,
681658,1,,,,,,1,35,0,0,0,0,1980,70,1980,,,1,70000,2,0,300,6,1,,
681673,2,,,,,,7,100,0,0,0,0,,,,1,,9,35000,2,0,1500,3,1,,
681711,1,,,,,,1,20,0,0,0,0,2006,135,1900,,,6,40000,2,0,2400,3,2,18,
681713,1,2,,,,,1,100,0,0,0,0,1991,100,1989,,,14,180000,2,0,8000,2,1,,
681790,2,,,,,,7,30,0,0,0,0,,,,,200,9,1000,2,0,500,7,1,,
681804,1,,,,,,7,100,0,0,0,0,,,,4,,9,48000,2,0,300,1,1,,
681844,1,,,,,,1,100,0,0,0,0,1999,60,1963,,,8,70000,2,0,4800,1,1,,
681887,2,,,,,,7,100,0,0,0,0,,,,5,,8,10000,2,0,100,4,1,,
682006,1,,,,,,1,100,0,0,0,0,1966,90,1966,,,8,100000,2,0,5400,3,1,,
682006,1,,,,,,1,100,0,0,0,0,1966,95,1966,,,14,110000,2,0,6000,3,1,,
682165,1,2,,,,,1,100,0,0,0,0,2009,120,1890,,,8,100000,2,0,300,1,1,,
682170,1,,,,,,7,100,0,0,0,0,,,,,1000,9,2500,2,0,100,1,1,,
682170,1,,,,,,7,100,0,0,0,0,,,,,5000,9,5000,2,0,100,1,1,,
682259,2,,,,,,1,80,0,0,0,0,2006,55,1983,,,1,50000,2,0,250,5,2,14,
682263,1,,,,,,1,17,0,0,0,0,2011,150,1955,,,13,500000,2,0,12000,3,2,12,
682263,2,,,,,,1,25,0,0,0,0,2003,150,2002,,,13,900000,2,0,12000,3,1,,
682363,1,,,,,,8,10,0,0,0,0,,,,1,,3,30000,2,0,100,3,1,,
682363,1,,,,,,1,50,0,0,0,0,1993,120,1993,,,1,200000,2,0,300,6,1,,
682491,1,2,,,,,1,100,0,0,0,0,1985,60,1983,,,1,35000,2,0,2000,1,2,18,
682532,2,3,,,,,1,100,0,0,0,0,1997,98,1973,,,4,120000,1,7200,,3,1,,
682593,1,,,,,,1,100,0,0,0,0,1988,75,1988,,,8,75000,2,0,3500,6,1,,
682704,1,,,,,,7,100,0,0,0,0,,,,,2000,9,10000,2,0,600,3,1,,
682737,1,,,,,,1,25,0,0,0,0,2010,120,1980,,,4,170000,1,5400,,3,1,,
682782,2,,,,,,7,100,0,0,0,0,,,,,400,9,10000,2,0,250,5,1,,
682783,2,,,,,,7,100,0,0,0,0,,,,,800,9,14000,2,0,600,3,1,,
682783,2,,,,,,1,100,0,0,0,0,1995,130,1900,,,4,140000,1,2000,,3,1,,
682791,2,,,,,,1,100,0,0,0,0,1960,110,1958,,,4,90000,1,3800,,5,1,,
682791,1,2,,,,,1,100,0,0,0,0,1991,150,1989,,,4,230000,1,6600,,2,1,,
682812,2,,,,,,1,100,0,0,0,0,1988,65,1800,,,1,80000,2,0,2200,1,1,,
682812,1,2,,,,,1,100,0,0,0,0,2000,65,1930,,,2,150000,2,0,6000,1,1,,
682812,1,2,,,,,1,100,0,0,0,0,2011,75,2010,,,14,300000,2,0,600,2,1,,
682829,1,,,,,,1,100,0,0,0,0,1982,30,1600,,,1,50000,2,0,400,1,1,,
682829,1,,,,,,1,100,0,0,0,0,1980,80,1938,,,3,150000,2,0,5000,5,1,,
682906,1,2,,,,,8,100,0,0,0,0,,,,3,,13,8000,2,0,500,1,1,,
682906,1,2,,,,,7,100,0,0,0,0,,,,2,,13,20000,2,0,1200,1,1,,
682906,1,2,,,,,1,100,0,0,0,0,1978,130,1978,,,14,150000,2,0,6000,6,1,,
682972,2,,,,,,7,100,0,0,0,0,,,,,5000,10,10000,2,0,200,3,1,,
683034,1,,,,,,1,100,0,0,0,0,2000,50,1995,,,1,150000,2,0,3000,1,1,,
683159,2,,,,,,1,100,0,0,0,0,2000,60,2000,,,8,100000,2,0,300,2,1,,
683164,1,,,,,,7,100,0,0,0,0,,,,,2500,9,10000,2,0,500,1,1,,
683164,1,,,,,,7,100,0,0,0,0,,,,,2500,9,10000,2,0,500,1,1,,
683164,1,,,,,,1,33,0,0,0,0,2002,140,1950,,,13,400000,2,0,6000,3,1,,
683240,1,,,,,,7,100,0,0,0,0,,,,1,,9,12000,2,0,150,3,1,,
683240,1,2,,,,,1,100,0,0,0,0,1990,60,1990,,,3,80000,2,0,250,3,1,,
683358,1,,,,,,3,12,0,0,0,0,2012,150,1958,,,8,350000,2,0,2000,3,1,,
683373,1,2,,,,,4,100,0,0,0,0,2003,40,1900,,,2,50000,2,0,3000,1,1,,
683377,1,,,,,,1,30,0,0,0,0,2011,60,1950,,,1,60000,2,0,400,3,1,,
683399,1,,,,,,1,100,0,0,0,0,1990,25,1970,,,1,50000,2,0,300,1,1,,
683418,1,,,,,,7,100,0,0,0,0,,,,2,,9,10000,2,0,500,3,1,,
683438,1,,,,,,1,50,0,0,0,0,2010,200,1919,,,8,550000,2,0,1000,3,1,,
683645,1,,,,,,1,25,0,0,0,0,1980,100,1960,,,8,70000,2,0,3500,3,1,,
683652,1,2,,,,,8,50,0,0,0,0,,,,1,,11,50000,2,0,1000,1,1,,
683653,2,,,,,,1,100,0,0,0,0,2006,80,1991,,,8,120000,2,0,250,1,1,,
683661,1,2,,,,,6,100,0,0,0,0,2001,12,1977,,,14,35000,2,0,2000,1,1,,
683661,1,,,,,,1,100,0,0,0,0,2005,60,1970,,,1,130000,2,0,3500,1,1,,
683661,1,2,,,,,1,100,0,0,0,0,1998,50,1968,,,1,150000,2,0,3500,1,1,,
683696,1,,,,,,7,50,0,0,0,0,,,,35,,11,18000,2,0,2000,3,1,,
683696,1,,,,,,1,100,0,0,0,0,1995,70,1940,,,8,60000,2,0,3000,3,1,,
683707,1,,,,,,7,100,0,0,0,0,,,,,2500,9,10000,2,0,1000,3,1,,
683707,1,2,,,,,1,100,0,0,0,0,1980,75,1978,,,14,70000,2,0,2400,3,1,,
683767,2,,,,,,1,100,0,0,0,0,1978,75,1940,,,1,150000,2,0,7000,3,2,4,
683785,1,,,,,,3,100,0,0,0,0,2007,80,1960,,,3,20000,2,0,1200,5,1,,
683785,1,,,,,,7,100,0,0,0,0,,,,2,,3,30000,2,0,100,5,1,,
683785,2,,,,,,1,100,0,0,0,0,2007,80,1960,,,14,90000,2,0,7000,4,1,,
683812,1,2,,,,,1,100,0,0,0,0,1998,75,1997,,,1,210000,2,0,3500,1,1,,
683896,1,,,,,,7,100,0,0,0,0,,,,1,,11,20000,2,0,3000,3,1,,
683896,2,,,,,,7,100,0,0,0,0,,,,2,,9,50000,2,0,3500,3,1,,
683896,2,,,,,,1,100,0,0,0,0,2011,80,1800,,,15,200000,2,0,4500,3,1,,
683897,1,,,,,,1,100,0,0,0,0,2009,90,1970,,,4,250000,1,5000,,3,1,,
683897,1,,,,,,1,100,0,0,0,0,2009,110,1972,,,4,350000,1,7000,,3,1,,
683910,2,,,,,,1,100,0,0,0,0,2005,80,1972,,,8,150000,2,0,4800,3,1,,
683970,1,,,,,,1,100,0,0,0,0,1980,50,1960,,,8,60000,2,0,200,3,1,,
683970,1,,,,,,1,100,0,0,0,0,1980,40,1960,,,14,70000,2,0,400,3,1,,
684035,1,,,,,,1,100,0,0,0,0,1980,30,1970,,,1,50000,2,0,1500,1,1,,
684130,1,,,,,,1,100,0,0,0,0,1986,90,1945,,,14,300000,2,0,700,1,1,,
684228,1,,,,,,1,100,0,0,0,0,1993,80,1900,,,1,250000,2,0,4000,3,1,,
684229,1,,,,,,1,100,0,0,0,0,2005,39,2005,,,8,135000,2,0,600,2,1,,
684234,1,,,,,,6,100,0,0,0,0,2000,15,1995,,,3,35000,2,0,2500,2,1,,
684293,2,,,,,,1,100,0,0,0,0,1999,25,1960,,,1,20000,2,0,100,3,1,,
684293,2,,,,,,1,50,0,0,0,0,2012,75,1940,,,1,35000,2,0,150,3,1,,
684326,1,2,,,,,1,100,0,0,0,0,2003,70,2003,,,1,150000,2,0,6000,2,2,4,
684330,1,,,,,,1,100,0,0,0,0,1996,50,1962,,,14,220000,2,0,9000,1,1,,
684333,2,,,,,,1,100,0,0,0,0,2011,55,1982,,,8,160000,2,0,7000,3,1,,
684442,1,,,,,,8,100,0,0,0,0,,,,,90,3,20000,2,0,250,3,1,,
684454,2,,,,,,8,100,0,0,0,0,,,,,500,8,20000,2,0,100,3,1,,
684454,1,,,,,,7,100,0,0,0,0,,,,,1000,11,30000,2,0,1000,3,1,,
684454,1,,,,,,1,100,0,0,0,0,1958,70,1958,,,8,70000,2,0,3500,3,1,,
684454,1,,,,,,3,100,0,0,0,0,1958,90,1958,,,8,90000,2,0,5000,3,1,,
684496,2,,,,,,4,100,0,0,0,0,1982,120,1982,,,2,150000,2,0,12000,6,1,,
684503,1,2,,,,,1,100,0,0,0,0,1999,30,1999,,,3,50000,2,0,200,5,2,2,
684503,1,2,,,,,1,100,0,0,0,0,1995,50,1960,,,1,150000,2,0,290,1,2,7,
684525,1,,,,,,1,100,0,0,0,0,1980,100,1970,,,6,200000,1,6000,,5,1,,
684557,1,,,,,,1,100,0,0,0,0,2007,90,2003,,,14,400000,2,0,12000,6,1,,
684592,1,2,,,,,1,100,0,0,0,0,2011,100,1980,,,6,150000,1,1800,,1,1,,
684594,1,,,,,,1,100,0,0,0,0,2011,50,1995,,,1,70000,2,0,3000,1,1,,
684594,1,,,,,,2,100,0,0,0,0,1990,32,1380,,,5,80000,1,5800,,5,1,,
684594,1,,,,,,4,100,0,0,0,0,1990,130,1958,,,4,250000,1,11700,,5,1,,
684609,1,,,,,,7,100,0,0,0,0,,,,,3000,9,100000,2,0,1000,1,1,,
684609,1,,,,,,1,100,0,0,0,0,1983,70,1970,,,1,200000,1,3000,,1,1,,
684642,2,,,,,,1,100,0,0,0,0,2010,60,1955,,,4,220000,1,7000,,3,1,,
684649,1,,,,,,1,100,0,0,0,0,1985,160,1974,,,1,140000,2,0,500,1,1,,
684664,1,,,,,,7,100,0,0,0,0,,,,3,,13,15000,2,0,2000,3,1,,
684665,1,,,,,,7,100,0,0,0,0,,,,2,,8,20000,2,0,1000,3,1,,
684665,1,,,,,,4,100,0,0,0,0,2004,80,1940,,,2,70000,2,0,2500,1,1,,
684727,2,,,,,,1,100,0,0,0,0,1976,70,1976,,,1,40000,2,0,1200,6,2,8,
684727,1,,,,,,3,50,0,0,0,0,2002,1000,1975,,,2,1000000,2,0,50000,2,1,,
684973,1,,,,,,1,50,0,0,0,0,2008,50,1940,,,1,40000,2,0,300,3,2,15,
685068,2,,,,,,7,100,0,0,0,0,,,,1,,5,3000,1,300,,3,1,,
685068,2,,,,,,6,100,0,0,0,0,2005,15,1980,,,3,15000,1,1000,,1,1,,
685068,2,,,,,,1,100,0,0,0,0,2007,65,1960,,,4,130000,1,4800,,7,1,,
685068,2,,,,,,1,100,0,0,0,0,1991,90,1960,,,3,130000,2,0,300,3,1,,
685103,1,,,,,,1,100,0,0,0,0,2000,80,1950,,,4,330000,1,9000,,1,1,,
685124,2,,,,,,4,100,0,0,0,0,1987,60,1954,,,2,120000,2,0,5000,1,1,,
685129,1,,,,,,1,20,0,0,0,0,2006,45,1990,,,8,70000,2,0,4000,3,1,,
685258,1,2,,,,,8,100,0,0,0,0,,,,,2400,11,5000,2,0,100,1,1,,
685258,1,2,,,,,1,100,0,0,0,0,2003,70,1800,,,1,50000,2,0,150,1,1,,
685296,2,,,,,,3,33,0,0,0,0,2001,300,1970,,,2,600000,2,0,24000,1,1,,
685423,1,2,,,,,1,100,0,0,0,0,1980,55,1980,,,8,90000,2,0,3000,2,1,,
685466,1,,,,,,4,100,0,0,0,0,1990,20,1980,,,8,20000,1,4000,,1,1,,
685466,1,2,,,,,1,100,0,0,0,0,1972,50,1972,,,6,80000,1,5000,,1,1,,
685466,1,,,,,,7,100,0,0,0,0,,,,3,,9,90000,2,0,2000,3,1,,
685466,1,,,,,,8,100,0,0,0,0,,,,,1500,8,150000,2,0,1000,3,1,,
685466,2,,,,,,1,50,0,0,0,0,1982,100,1942,,,14,170000,2,0,6000,3,1,,
685466,1,,,,,,1,100,0,0,0,0,1982,70,1965,,,8,250000,2,0,10000,3,1,,
685528,1,,,,,,7,100,0,0,0,0,,,,1,,9,10000,2,0,1000,3,1,,
685528,1,,,,,,8,33,0,0,0,0,,,,,1400,11,10000,2,0,500,3,1,,
685588,1,2,,,,,1,100,0,0,0,0,1983,50,1980,,,1,40000,2,0,2000,2,1,,
685588,1,2,,,,,1,100,0,0,0,0,2001,110,1985,,,1,200000,2,0,6000,1,1,,
685589,1,2,,,,,1,100,0,0,0,0,1968,85,1964,,,14,130000,2,0,6000,1,1,,
685589,1,,,,,,1,10,0,0,0,0,2012,100,1960,,,8,180000,2,0,7000,3,1,,
685630,1,2,,,,,1,100,0,0,0,0,2005,80,1980,,,8,15000,2,0,1200,1,2,,251
685664,1,,,,,,4,33,0,0,0,0,2008,90,2007,,,3,20000,2,0,700,1,1,,
685734,1,,,,,,3,100,0,0,0,0,1990,150,1982,,,8,50000,2,0,6500,4,1,,
685747,1,2,,,,,7,100,0,0,0,0,,,,,3500,9,2000,2,0,200,4,1,,
685747,2,,,,,,4,100,0,0,0,0,1975,90,1975,,,14,20000,2,0,200,6,1,,
685747,2,,,,,,1,100,0,0,0,0,1983,70,1983,,,8,40000,2,0,200,6,1,,
685747,2,,,,,,1,100,0,0,0,0,1983,100,1983,,,15,60000,2,0,300,6,1,,
685747,2,,,,,,1,100,0,0,0,0,1983,100,1983,,,14,60000,2,0,300,6,1,,
685780,1,,,,,,1,100,0,0,0,0,1998,100,1960,,,14,250000,2,0,6000,3,1,,
685793,1,,,,,,1,100,0,0,0,0,2011,90,1980,,,3,120000,2,0,6000,1,2,14,
685854,1,2,,,,,7,100,0,0,0,0,,,,,700,9,100,2,0,100,3,1,,
685895,2,,,,,,7,100,0,0,0,0,,,,,400,9,12000,2,0,400,3,1,,
685905,1,,,,,,7,100,0,0,0,0,,,,,1000,9,2000,2,0,100,3,1,,
685906,2,,,,,,7,100,0,0,0,0,,,,,3000,9,10000,2,0,200,3,1,,
686006,1,,,,,,7,100,0,0,0,0,,,,,6950,9,30000,2,0,300,1,1,,
686006,2,,,,,,1,100,0,0,0,0,2006,120,1942,,,4,120000,1,4000,,1,1,,
686019,1,2,,,,,2,100,0,0,0,0,2000,55,1920,,,8,60000,2,0,2400,1,1,,
686019,1,2,,,,,4,100,0,0,0,0,1985,60,1970,,,5,80000,1,3600,,1,1,,
686032,1,2,,,,,1,50,0,0,0,0,1990,150,1920,,,1,130000,2,0,2400,3,2,19,
686032,1,2,,,,,1,100,0,0,0,0,2006,80,1960,,,1,150000,2,0,400,1,1,,
686133,1,,,,,,1,100,0,0,0,0,2009,54,2009,,,1,120000,2,0,3000,1,2,15,
686133,1,,,,,,1,60,0,0,0,0,1985,40,1973,,,4,150000,1,6000,,1,1,,
686135,1,,,,,,1,33,0,0,0,0,1982,100,1920,,,14,80000,2,0,300,3,2,12,
686172,1,,,,,,1,100,0,0,0,0,2006,80,1985,,,1,250000,2,0,4000,2,1,,
686172,1,,,,,,1,100,0,0,0,0,1987,140,1964,,,14,500000,2,0,8000,3,1,,
686173,1,,,,,,1,100,0,0,0,0,2002,30,1940,,,1,40000,2,0,3600,1,1,,
686185,2,,,,,,1,100,0,0,0,0,2011,60,1900,,,15,120000,2,0,300,1,1,,
686259,1,,,,,,7,33,0,0,0,0,,,,,4000,8,6000,2,0,500,3,1,,
686289,2,,,,,,7,100,0,0,0,0,,,,7,,9,50000,2,0,1000,4,1,,
686314,1,,,,,,6,100,0,0,0,0,1975,32,1960,,,3,50000,2,0,1200,1,1,,
