nquest,nordp,motusc,annoenus
711022,2,1,2011
711479,2,1,2011
712022,2,1,2011
712244,3,4,2011
712908,2,4,2011
713247,2,4,2012
713359,2,6,2011
713811,3,4,2012
713839,2,4,2011
713854,1,1,2012
713854,2,2,2012
714110,2,6,2011
714734,1,1,2011
714825,3,4,2011
715004,2,1,2012
715508,1,1,2012
715632,1,3,2011
716204,3,4,2011
716204,4,4,2011
716910,3,1,2012
717312,3,4,2011
717809,1,98,
717809,3,4,2011
717809,4,4,2011
718674,3,4,2012
718767,3,4,2012
718832,3,4,2011
719565,3,4,2011
719565,4,4,2011
719611,3,6,2011
719615,3,4,2011
719615,4,4,2011
719666,1,1,2011
720209,4,6,2011
720416,3,3,2012
721631,1,1,2012
722324,1,1,2012
723480,2,1,2011
723536,3,1,2011
724509,3,4,2012
725726,2,4,2012
726743,2,6,2012
726743,3,6,2012
726743,4,6,2012
726867,3,4,2012
727520,2,4,2012
727604,3,4,2011
727842,2,1,2012
730105,2,6,2011
731827,2,4,2011
731827,3,4,2012
733145,3,4,2012
733811,2,6,2011
735103,3,4,2011
736010,3,4,2011
736010,4,3,2011
736212,3,4,2011
736917,5,6,2011
737436,3,6,2011
737531,2,1,2011
800308,2,1,2011
800308,3,1,2012
800546,3,4,2012
800569,1,1,2012
800832,3,4,2012
800901,3,1,2011
801541,2,6,2011
801541,3,6,2011
801806,3,4,2011
801833,2,3,2011
801878,4,4,2012
801966,3,4,2011
802001,3,4,2011
802675,3,6,2012
802905,2,4,2012
803552,1,1,2012
803915,2,6,2011
804214,3,6,2011
804439,4,4,2011
804457,1,1,2012
805330,4,4,2012
805932,3,4,2011
805981,2,1,2011
806629,2,6,2012
806650,3,4,2012
806700,1,1,2012
807054,4,4,2012
807968,2,1,2011
808309,3,4,2011
809644,4,4,2012
809918,4,4,2011
810365,2,4,2011
811187,1,6,2011
811187,2,6,2011
811187,3,6,2011
811828,3,6,2011
811858,3,3,2012
811903,3,4,2011
812035,1,1,2012
812450,1,1,2012
812777,1,1,2012
812849,3,6,2012
813246,2,4,2012
813349,3,4,2012
813379,3,4,2011
813379,4,4,2012
813713,2,6,2011
813932,2,3,2011
813932,3,4,2012
814102,2,1,2011
814103,3,4,2012
814735,3,4,2011
814862,2,1,2011
815195,4,4,2011
815416,3,4,2011
816097,2,3,2011
816383,2,4,2011
816433,4,4,2012
816585,4,4,2011
817169,4,4,2011
817169,5,4,2011
817248,2,1,2011
817534,1,4,2012
818290,4,4,2011
818768,3,4,2011
819433,1,1,2012
819972,3,4,2012
820037,2,4,2011
820552,2,3,2012
820967,3,4,2012
821217,3,3,2011
821713,1,1,2012
821844,2,1,2012
822151,2,1,2011
823477,1,1,2012
823506,7,5,
823918,3,4,2011
824637,2,1,2011
824846,3,4,2011
824846,4,4,2012
824887,2,4,2012
825513,2,6,2011
825513,3,6,2011
825824,7,5,
825849,2,4,2011
825849,3,2,2011
825849,4,2,2012
825951,3,4,2011
826242,2,4,2011
826362,2,1,2012
826687,3,4,2012
827036,2,6,2012
827036,3,6,2012
851110,2,6,2012
851281,3,4,2011
851322,1,4,2011
851693,2,1,2011
851699,3,3,2012
851911,4,4,2011
851982,3,3,2011
851982,4,3,2011
851982,5,3,2012
852130,3,4,2012
852223,2,1,2012
852232,2,4,2012
852391,2,4,2011
852391,3,4,2012
852410,6,5,
852595,2,1,2012
852754,3,4,2011
852951,2,4,2011
853875,3,4,2011
854070,2,4,2011
854074,3,4,2011
854093,1,1,2011
854202,3,3,2011
854346,3,4,2012
854561,2,4,2012
854593,1,1,2012
854607,4,4,2012
854611,3,4,2011
854611,4,4,2011
854611,5,4,2011
854611,6,4,2011
854762,2,4,2012
855372,3,4,2012
855681,3,2,2011
855752,3,1,2012
855790,3,4,2011
855790,4,4,2011
855792,3,4,2012
855861,3,1,2011
856177,3,1,2011
856490,1,1,2011
856674,3,3,2011
856742,3,4,2011
857019,2,6,2011
857048,2,6,2011
857107,3,6,2011
857470,2,4,2012
857549,1,1,2011
857840,3,6,2011
857866,3,4,2012
858047,2,4,2012
858238,2,6,2011
858238,3,6,2011
858359,3,4,2011
858735,3,4,2011
859381,3,4,2011
859573,5,3,2011
859573,6,3,2011
859616,2,4,2011
859616,3,4,2011
859616,4,4,2011
859754,5,4,2011
859856,4,4,2011
859985,3,4,2012
859993,3,4,2011
860042,3,3,2011
860042,4,4,2011
860042,5,4,2012
860677,1,1,2012
860787,2,4,2011
860893,2,6,2012
860893,3,6,2011
860940,3,1,2012
861260,3,4,2011
861272,4,4,2011
861345,2,1,2011
861476,4,4,2011
861476,5,4,2011
861502,2,1,2012
861578,4,4,2011
861752,2,1,2011
861778,2,1,2011
861979,1,1,2012
862003,3,4,2011
862080,3,4,2012
862303,2,4,2011
862358,3,6,2011
862416,2,6,2011
862416,3,6,2011
862830,2,4,2012
862939,2,1,2011
863191,3,6,2012
863223,3,4,2011
863331,3,4,2011
863397,3,4,2012
863425,3,4,2011
863425,4,4,2012
863860,2,6,2012
864156,3,4,2011
864595,3,4,2011
864595,4,4,2012
864595,5,6,2011
864608,3,4,2012
864709,4,4,2011
865094,2,6,2011
865094,3,6,2011
865094,4,6,2011
865169,3,4,2012
865169,4,4,2012
865559,4,1,2011
865571,3,4,2012
865695,2,4,2012
865983,3,4,2011
865999,1,4,2011
866190,3,4,2011
866209,2,6,2011
866209,3,6,2011
866249,2,6,2011
866249,3,6,2011
866511,2,3,2012
866597,3,4,2012
866608,2,1,2012
866980,4,4,2012
867004,2,4,2012
867104,2,4,2012
867104,4,4,2012
867104,5,4,2012
867201,3,4,2012
867275,3,4,2011
867462,3,3,2012
867498,3,4,2011
867674,2,4,2012
867736,2,4,2012
867993,1,6,2011
867993,2,4,2011
867993,3,98,
868164,3,4,2011
868165,5,4,2012
868180,4,4,2011
868251,3,4,2012
868500,2,1,2012
868614,3,4,2011
868693,1,1,2011
868693,6,3,2012
868823,2,1,2011
868833,1,1,2011
868843,2,1,2012
889700,1,6,2011
889700,2,6,2011
889701,1,4,2011
889701,3,4,2011
