nquest,debm31,tdebita31,mutuodu31,mutuoin31,tmutuoab31,debgar31_1,debgar31_2,debgar31_3,debgar31_4,debgar31_5,DEBPERS31,debrf31,debm32,tdebita32,mutuodu32,mutuoin32,tmutuoab32,debgar32_1,debgar32_2,debgar32_3,debgar32_4,debgar32_5,DEBPERS32,debrf32,debm33,tdebita33,mutuodu33,mutuoin33,tmutuoab33,debgar33_1,debgar33_2,debgar33_3,debgar33_4,debgar33_5,DEBPERS33,debrf33,taeg11,taeg12,taeg13
501978,1,9000,4,14000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
503560,1,6000,4,16000,4000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
503950,2,60,1,700,780,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,20.09,,
504363,1,3500,5,10000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,
504490,1,6000,7,10500,1680,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
504886,1,8000,5,9000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
505243,1,3988,3,5000,1012,1,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,
505768,1,3000,3,9000,1300,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
505820,1,5500,4,10000,3000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,
506458,1,13000,10,15000,2000,0,0,0,1,0,1,2,2,300,1,500,60,0,0,0,1,0,1,2,,,,,,,,,,,,,6,5,
506738,1,50,3,2300,700,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,
507287,1,5000,6,10000,2568,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
507329,2,2800,5,4000,1000,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
507542,1,2000,10,10000,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
507544,4,12500,5,12500,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
507663,1,20000,7,27000,4296,1,0,0,0,0,,2,1,2300,3,6000,2760,1,0,0,0,0,,2,4,200,1,400,492,1,0,0,0,0,,2,4,4,0.1
507913,4,23000,4,15000,2748,0,0,0,1,0,1,1,4,15000,4,15000,9600,0,0,0,1,0,1,1,,,,,,,,,,,,,10.11,11.1,
508861,2,1100,2,12000,7000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
509069,4,4500,7,7000,2500,0,0,0,1,0,1,1,4,6500,10,7000,800,0,0,0,1,0,2,1,,,,,,,,,,,,,5,5,
509512,4,5500,7,7000,1600,0,0,0,1,0,1,2,4,12000,10,15000,4000,0,0,0,1,0,1,2,,,,,,,,,,,,,12,9,
509869,2,108,2,460,360,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
510433,2,1800,1,4000,2900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
511147,1,3800,4,7000,1900,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
511165,4,15000,20,26000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
511170,5,3500,5,15000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
511365,1,10000,5,10000,2940,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
511525,1,1200,5,10000,200,0,0,0,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,
511624,4,26000,7,57000,5220,0,0,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,
512547,2,3000,3,10000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
512768,4,5500,5,7000,1800,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
512784,1,9300,7,13400,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,
512928,3,2000,5,5000,1300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
513113,1,2000,2,6000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
513430,1,5000,15,33000,3800,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
611614,1,2500,2,4000,1500,0,0,0,1,0,1,2,1,8600,5,10000,1600,0,0,0,1,0,1,2,,,,,,,,,,,,,0,0,
611699,4,1500,2,3000,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,
614660,1,2200,4,10000,2900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
617019,1,9000,6,18000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
618164,2,1100,4,10000,1800,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,15,,
620481,1,8000,5,12000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
620649,1,13000,3,15000,4800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
622915,1,3000,4,7000,3000,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7.05,,
623277,1,800,5,22000,4800,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
623300,1,5600,5,18000,2640,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
623305,2,50,1,700,60,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,
624389,4,7000,3,8200,2724,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,
626001,2,1200,12,1200,100,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
626178,1,930,3,6000,2232,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
626688,2,1800,4,3550,900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
627096,1,8000,4,8500,420,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
629555,1,2000,2,5000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
631712,1,3000,24,5000,300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
632347,1,2040,2,4000,2040,0,0,0,1,0,1,2,1,6624,4,12000,3312,1,0,0,0,0,,2,,,,,,,,,,,,,2,1.04,
633654,4,13000,10,15000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,
635112,4,2200,2,3000,1000,0,0,0,1,0,1,2,2,100,1,1200,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,3,4,
636407,1,6000,10,10000,1200,0,0,0,1,0,1,2,1,6000,10,10000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,6,6,
638395,1,5000,5,6000,800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
639013,4,7500,5,10000,2700,0,0,0,1,0,1,1,4,4500,5,8000,2560,0,0,0,1,0,1,1,,,,,,,,,,,,,5,4,
640250,1,8000,5,18000,4200,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,7.05,,
640821,1,1500,4,6000,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
642007,1,2130,6,6000,1700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,11.98,,
648889,1,10000,4,11000,1000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,
650023,4,3000,5,5000,2040,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,
671480,1,3000,5,6000,1700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
671520,1,8500,3,10000,1500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,
671893,4,5500,4,12000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
672572,4,2000,10,15000,590,0,0,1,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,
672580,1,11000,5,22000,4500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
673454,1,4000,4,32000,8000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
673540,4,5500,6,6000,500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
673858,4,8000,15,65000,7200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
674019,1,10000,6,14000,3600,1,0,0,0,0,,2,4,12000,8,20000,3600,0,0,0,1,0,1,2,4,18000,7,19000,3300,0,0,0,1,0,1,1,0,3,9
674105,1,3500,4,5600,3650,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
674379,1,10000,3,12600,2250,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
