nquest,debm31,tdebita31,mutuodu31,mutuoin31,tmutuoab31,debgar31_1,debgar31_2,debgar31_3,debgar31_4,debgar31_5,DEBPERS31,debrf31,debm32,tdebita32,mutuodu32,mutuoin32,tmutuoab32,debgar32_1,debgar32_2,debgar32_3,debgar32_4,debgar32_5,DEBPERS32,debrf32,debm33,tdebita33,mutuodu33,mutuoin33,tmutuoab33,debgar33_1,debgar33_2,debgar33_3,debgar33_4,debgar33_5,DEBPERS33,debrf33,taeg11,taeg12,taeg13
707601,1,13000,4,18000,5000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
709442,1,7500,4,15800,3850,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
709449,1,20000,3,30000,9600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
710413,4,2000,5,4000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
710624,1,8400,5,14000,2880,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,
710944,3,8000,7,8000,1595,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
712127,1,10000,4,14000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
712148,2,6000,5,8000,2260,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
712525,2,500,10,500,50,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
712707,1,12000,5,13000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.05,,
712869,1,4000,5,7000,2040,0,0,0,1,0,1,2,4,1000,1,2000,1000,0,0,0,1,0,1,2,,,,,,,,,,,,,0,0,
713222,2,600,1,1000,100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
713250,1,4000,5,8000,1920,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,
713359,2,500,1,1500,2000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
713854,1,2700,5,9000,2700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,
714574,1,10000,4,20000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
715027,4,2000,3,8000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
716023,1,14000,6,15800,2880,0,0,0,0,1,,2,2,160,1,1000,800,0,0,0,1,0,1,2,,,,,,,,,,,,,4,8,
716937,1,1000,5,9000,200,1,0,0,0,0,,2,1,4000,5,20000,400,1,0,0,0,0,,2,,,,,,,,,,,,,4.2,4.2,
717014,1,50,3,2800,1100,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,
717409,1,1500,2,2000,1920,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
717414,1,11000,5,16000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
717605,1,5000,8,10000,3000,1,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,8.83,,
718674,1,17000,4,48000,6000,1,0,0,0,0,,3,1,26000,4,36000,5600,1,0,0,0,0,,3,,,,,,,,,,,,,6,6,
718764,1,350,6,6000,1300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
720110,1,14000,5,14500,500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,
720163,1,10000,5,12000,2000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
720566,1,9500,3,13000,3480,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
721548,4,4500,4,5000,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
721843,1,1200,5,10000,2568,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
721871,1,8000,5,10000,2280,0,0,0,1,0,1,2,2,600,1,2400,2000,0,0,0,1,0,1,2,,,,,,,,,,,,,0,0,
722608,1,10000,5,21000,4680,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
723200,2,200,2,200,500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,19,,
724132,5,2300,5,8000,1860,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
724867,1,10000,10,20000,3600,0,0,0,1,0,2,2,1,300,4,11000,3600,0,0,0,1,0,2,2,,,,,,,,,,,,,9,9,
725602,1,8000,4,13000,2160,1,0,0,0,0,,2,2,1400,2,2200,1200,1,0,0,0,0,,2,,,,,,,,,,,,,3,6,
725643,4,10000,7,10000,2880,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,
725716,2,900,1,900,50,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
725902,5,5000,5,5000,1800,0,0,0,1,0,1,1,2,1500,2,1500,150,0,0,0,1,0,1,1,,,,,,,,,,,,,8.05,7.02,
726161,1,10000,6,20000,3500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
727001,1,7000,5,15000,4320,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
727138,1,2400,10,5000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
727267,4,10000,5,20000,5000,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,9,,
727567,1,9000,5,29000,6000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,
727922,1,18500,14,20000,2100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
728306,1,2200,3,7000,2916,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
728493,2,300,1,7000,7000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
730105,1,15500,5,15500,500,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
730815,1,15000,5,15000,900,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
731344,1,800,4,12000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.09,,
731810,1,7500,7,17000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
731827,1,4850,4,9000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
731839,1,5000,3,7000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
732369,1,15000,10,17000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
733954,1,3600,3,12960,4320,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
736010,1,4000,3,4000,1600,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
736917,1,3600,5,13000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
800003,1,1800,3,5000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
800013,1,2000,3,4000,1400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
800336,1,4200,7,15000,2200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.08,,
800999,1,15000,5,20000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,11,,
801221,1,4000,7,7500,1680,0,0,0,1,0,1,2,1,1000,4,5000,1500,0,0,0,1,0,1,2,2,360,2,500,250,0,0,0,1,0,1,2,3,3,5
801238,1,270,4,5000,1350,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
801486,1,1200,4,12000,3600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
801875,1,8000,5,17000,4000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
801948,2,3500,2,4000,2040,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,
801966,4,13500,5,16800,3360,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,
801972,4,4300,7,7000,2100,0,0,0,1,0,2,2,4,6000,6,7000,2200,0,0,0,1,0,2,1,,,,,,,,,,,,,8,8,
803661,1,7000,4,13000,4284,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
804324,2,1200,2,1600,400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
805227,1,12000,5,17000,4800,1,0,0,0,0,,2,4,7500,5,10000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,8,7.5,
805230,2,3000,5,7000,2300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
805264,1,4000,3,11500,4000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
805330,1,2000,5,9500,2700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9.05,,
806223,1,2000,3,7500,2640,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8.06,,
806591,1,5000,3,10000,2900,1,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,
807066,1,5000,10,8000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,
807146,1,11000,5,12300,2130,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
807674,1,2000,5,12000,2700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
807965,4,5000,4,5000,1560,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,
808165,4,6000,10,12000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,
808182,2,8500,10,10000,1800,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,
808313,1,8000,1,15000,7000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.65,,
808316,4,600,1,600,400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,
808712,1,7182,5,10000,2268,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.09,,
809835,1,4000,5,7000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
812450,1,6000,5,15000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
813355,1,12000,6,20000,4700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
813393,1,300,2,20000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
813418,1,1000,7,5000,600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
813421,1,7000,7,9000,1400,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,
813493,4,2000,12,2000,200,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,
814226,1,5000,4,10000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,9.02,,
814889,2,2000,4,5000,1381,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,
815147,1,4000,4,11000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
815192,1,8400,11,11000,1680,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
815403,1,3050,6,16000,3050,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
815783,4,13500,10,30000,5500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,14,,
815946,1,7000,5,21000,5000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
816220,1,4000,4,5000,1000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
816585,2,4000,3,4000,2000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
816847,1,4000,7,6000,2280,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
816919,2,500,12,800,120,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
817059,1,2500,4,12000,3000,0,0,0,0,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,6,,
817385,1,8500,5,10000,2500,0,0,0,1,0,1,2,1,4000,5,4000,50,0,0,0,1,0,1,2,4,700,1,1100,400,0,0,0,1,0,1,2,6.5,7,0
817402,4,5640,4,6000,360,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,11,,
817656,1,4000,4,8000,2280,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
817967,1,1980,6,10000,2160,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
818113,4,1300,4,5000,600,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
818245,4,1000,3,7000,3500,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
818290,2,2000,5,5000,1500,0,0,0,1,0,1,2,1,15000,5,15000,4000,0,0,0,1,0,1,2,,,,,,,,,,,,,5,5,
818869,1,1200,1,3600,2400,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
819517,2,500,1,500,500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
820054,2,1000,1,1000,100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
820171,4,2000,2,2000,100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
820967,2,5000,5,20000,4000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
821342,1,15000,3,15000,400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
821350,1,2500,2,8000,5000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
822497,1,1500,5,12000,2400,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
822530,1,2000,5,7000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
823327,4,26000,10,30000,7200,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,8.02,,
824725,1,5000,6,8000,2040,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
825189,4,6000,3,10000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
826216,5,14500,7,15000,800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.06,,
826224,1,8000,4,11000,1400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.72,,
826744,1,5000,4,10000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,
827188,1,11000,4,11000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
827847,1,2500,4,5000,3180,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,
851015,4,4500,5,5000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.06,,
851025,1,30000,10,30000,5000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
851114,2,1500,2,1500,100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
851172,1,9000,3,15000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
851392,1,3200,3,5500,1900,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.25,,
851699,5,7000,5,12000,2800,0,0,0,0,1,,1,2,2500,6,8000,2100,0,0,0,1,0,1,2,,,,,,,,,,,,,12,11.9,
851874,1,7000,3,7000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
852134,4,17000,5,17000,100,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
852156,1,3400,5,8000,1700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
852321,1,12000,4,14000,2400,1,0,0,0,0,,2,2,1000,1,1000,120,0,0,0,0,1,,2,,,,,,,,,,,,,3.02,3.02,
852342,1,15000,5,15000,4200,1,0,0,0,0,,2,2,2000,2,3000,1700,1,0,0,0,0,,2,,,,,,,,,,,,,3.7,2.8,
853352,1,3500,4,11000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
853354,1,1000,5,6000,2400,0,0,0,1,0,1,2,1,4000,5,8000,4200,0,0,0,1,0,1,2,,,,,,,,,,,,,0,0,
853796,1,1000,3,16000,340,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
854275,2,800,2,2000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
854414,1,6000,5,13000,3100,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,
854550,1,3500,4,6000,1800,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
854764,1,5000,3,8000,2800,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,
854882,1,6000,4,7000,1500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
854912,1,7000,6,10000,2280,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,
854958,3,2000,2,3000,2000,0,0,0,1,0,2,1,3,1000,1,3000,1300,0,0,0,1,0,2,3,,,,,,,,,,,,,10,12,
855238,1,5000,5,17000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
855259,1,18000,3,21000,5800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,
855271,1,8000,2,9500,2000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
855347,1,1000,4,5500,2400,1,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,
855474,2,900,1,1200,300,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
855748,4,800,1,800,600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
855839,2,1000,1,1400,400,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
856114,1,3000,3,10000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
856134,4,4000,10,7000,700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
856236,1,30000,5,35000,6000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,
856688,4,1000,1,2000,2140,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,
856742,1,1600,3,6000,2400,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,
857353,4,30000,5,30000,6000,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,
857368,1,3120,5,8000,1872,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
857373,1,6000,7,35000,6000,0,0,0,1,0,1,2,1,26000,5,35000,7000,0,0,0,1,0,1,2,,,,,,,,,,,,,5.8,5.5,
857528,4,6000,4,10000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
857654,1,7946,5,8050,1644,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,
857892,1,19000,5,20000,4200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,
858046,1,15000,6,18000,3012,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,8.62,,
858159,1,1000,3,9000,3300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,
858178,1,4000,4,15000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.08,,
858238,2,3000,3,3600,600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
858390,2,90,1,799,709,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
858585,1,9000,6,12000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
859008,1,5000,4,9000,2640,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
859259,1,10000,5,30000,6000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
859282,1,2500,3,8000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,
859286,1,9000,4,16000,5000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,
859572,1,4000,24,9600,400,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
859587,1,3000,4,12000,560,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
859920,1,6000,9,9000,1000,0,0,0,1,0,1,2,2,11000,5,12000,1000,0,0,0,1,0,1,2,,,,,,,,,,,,,6.5,2.3,
859946,4,7500,5,8000,1700,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,
860704,2,2500,10,6000,245,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,6.01,,
860757,4,5000,4,5000,500,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,
860776,4,3000,10,5000,700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,
860787,2,1200,5,1700,420,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
860820,1,10000,5,11000,1600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
861114,1,1500,3,3100,1600,0,0,0,1,0,1,2,4,28000,5,30000,5000,0,0,0,1,0,1,2,,,,,,,,,,,,,8.05,6.25,
861272,4,1000,1,2000,1000,0,0,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
861867,4,3000,2,5000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,
861992,1,6500,2,6500,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
862080,4,585,2,14800,7500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
862314,4,56000,10,70000,7200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
862462,4,960,1,5000,1920,0,0,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,
862752,1,5000,3,9000,3500,0,0,0,1,0,1,2,4,3400,1,6900,3400,0,0,0,1,0,1,2,,,,,,,,,,,,,9.2,6.9,
862999,1,1300,4,10000,2300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,
863692,2,1000,1,1200,200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
863863,1,10000,5,15000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
864409,1,17400,7,30000,6600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
864431,1,7400,6,22000,3600,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
864474,2,400,1,1100,600,0,0,0,1,0,1,2,2,480,2,600,120,0,0,0,1,0,1,2,,,,,,,,,,,,,0,9.5,
864482,1,6000,5,8000,2800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
865032,1,19000,8,20000,3550,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
865504,1,6500,4,28000,7800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,15,,
865830,1,1176,2,4500,2352,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,8.03,,
866035,1,10000,15,15000,350,0,0,0,1,0,1,1,2,56,2,1200,800,0,0,0,1,0,1,2,,,,,,,,,,,,,7,0,
866055,1,22000,10,25000,2500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,
866200,1,6000,3,10000,3960,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,
866324,1,9000,4,18000,6000,0,0,0,1,0,1,2,4,1000,4,2000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,6.6,7.8,
866425,1,4320,5,7000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
866566,1,6400,4,8000,1600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,
866829,1,6000,7,9000,3000,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
867247,1,3000,5,5000,1800,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
867462,4,2000,5,5000,1200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,
867784,1,2600,5,11000,2700,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,6,,
867921,4,20000,10,30000,1800,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,
867929,1,17000,4,20000,5200,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
867965,2,3000,2,3000,1000,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
868109,1,3000,5,6000,1680,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
868283,1,8000,4,8000,424,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,11,,
868466,1,5000,5,12000,3500,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,
868474,5,30000,8,30000,6000,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
868583,1,4000,5,15000,3600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,
869003,1,2000,3,4000,3000,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,
869021,2,1300,5,3000,600,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
869028,1,200,1,700,780,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,
869035,1,5000,5,24000,5700,0,0,0,1,0,1,2,2,20000,7,30000,10000,0,0,0,1,0,1,2,,,,,,,,,,,,,8,8,
871012,4,3000,6,3000,300,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,10.03,,
871016,2,1000,3,3000,700,0,0,0,1,0,1,2,2,3000,3,5000,700,1,0,0,0,0,,2,,,,,,,,,,,,,10,6,
