nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
27730,2,2,1,1,1996,1480,13,2,0,80,1
27734,2,2,1,1,2003,1149,13,2,0,70,1
27739,1,1,1,5,1990,316,13,2,0,,1
27742,1,1,1,5,2005,630,13,2,0,,1
27744,1,1,1,1,1991,590,13,2,0,30,1
27744,2,1,1,1,2004,530,13,2,0,50,1
27881,1,1,1,1,1986,1000,13,2,0,80,1
27912,1,1,2,1,2008,1270,13,2,0,90,1
27923,1,1,1,1,2010,1190,13,2,0,70,1
27930,1,1,2,1,1993,1450,13,2,0,90,1
27930,2,1,2,1,1998,1300,13,2,0,80,1
27947,1,1,1,1,1993,880,13,2,0,50,1
27947,2,2,1,4,1977,605,13,2,0,,1
28331,1,1,1,1,1980,600,13,2,0,70,1
28331,1,1,1,4,2009,300,13,2,0,,3
28331,1,1,1,5,2009,300,13,2,0,,2
28346,1,1,1,1,1987,460,13,2,0,80,1
28346,1,1,1,5,1998,450,13,2,0,,2
28346,2,1,1,5,2009,500,13,2,0,,1
28362,1,1,1,1,1988,2188,13,2,0,80,1
28362,1,1,1,5,1993,137,13,2,0,,2
28441,1,1,1,1,2012,1478,1,2,0,85,1
28859,1,1,1,1,1974,600,13,2,0,60,1
28920,1,1,1,1,1975,1500,13,2,0,80,1
28920,1,1,1,5,2005,460,13,2,0,,2
28992,1,1,1,1,1991,1760,13,2,0,80,1
29006,1,1,1,1,2007,2300,13,2,0,80,1
29006,2,1,1,1,2006,650,13,2,0,25,1
29140,1,1,2,1,2009,1200,13,2,0,80,1
29678,1,1,1,1,1996,1000,13,2,0,70,1
29742,3,1,3,4,1975,250,13,2,0,,1
29774,1,1,1,5,1978,700,13,2,0,,1
29798,1,1,1,1,1994,1340,13,2,0,80,1
29798,2,1,1,3,1974,480,13,2,0,,1
29823,1,1,1,3,1978,720,13,2,0,,1
31145,1,1,2,1,2000,1300,13,2,0,90,1
31145,2,2,1,1,2002,1100,13,2,0,70,1
31219,1,1,2,1,1991,500,13,2,0,60,1
31219,1,1,4,5,1977,150,12,2,0,,2
31220,1,1,1,1,1998,1200,13,2,0,20,1
31220,2,2,1,1,1988,890,13,2,0,80,1
31221,1,1,1,1,1982,900,13,2,0,80,1
31221,1,1,1,5,1982,600,13,2,0,,2
31221,2,1,1,3,1998,300,13,2,0,,1
31221,2,1,1,3,1998,400,13,2,0,,2
31246,1,1,1,1,1996,1250,13,2,0,75,1
31246,2,1,1,1,1990,1170,13,2,0,75,1
31304,1,1,1,1,2006,1200,13,2,0,90,1
31304,2,1,1,1,2002,690,13,2,0,80,1
31309,2,1,1,1,2010,1700,13,2,0,90,1
31309,3,3,1,3,1999,700,13,2,0,,1
31403,1,1,1,4,2008,500,13,2,0,,2
31403,1,1,1,5,2002,500,13,2,0,,1
31441,1,1,1,1,2005,1880,13,2,0,90,1
31441,2,1,1,1,2001,1800,13,2,0,85,1
31448,1,1,1,1,1991,1400,13,2,0,80,1
31448,1,1,1,5,2003,600,13,2,0,,2
31561,1,1,1,1,1996,1500,13,2,0,70,1
31561,1,1,1,5,2012,,8,2,0,,2
