nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
23797,2,0,,,,,,,,,,,,,,,,1
23821,1,0,,,,,,,,,,,,,,,,2
23821,2,0,,,,,,,,,,,,,,,,2
23823,1,0,,,,,,,,,,,,,,,,2
23823,2,1,2,,,20,1,9,,,,,2,,,,,2
23865,1,1,2,,,25,1,35,,,,,,,,,,2
23865,2,0,,,,,,,,,,,,,,,,2
23986,1,0,,,,,,,,,,,,,,,,2
23986,2,1,2,,,30,1,35,,,,,,,,,,2
24147,1,1,2,,,23,1,35,,,,,,,,,,1
24147,2,1,2,,,16,1,38,,,,,2,,,,,1
24149,1,2,2,,2,14,1,45,,,,,,,,,,1
24194,1,6,1,1,1,14,1,40,,,,,,,,,,2
24194,2,3,2,,1,18,1,16,,40,65,30,2,,,,,2
24194,3,6,2,,1,21,1,4,,26,,,2,,,,,2
24194,4,6,2,,1,20,1,1,,22,,,2,,,,,2
24195,1,4,2,,3,15,1,15,,,,,,,,,,2
24195,2,2,2,,1,15,1,37,,,,,,,,,,2
24326,1,1,2,,,15,1,35,,,,,,,,,,2
24374,1,2,1,14,3,15,1,25,,,,,,,,,,2
24374,2,4,2,,1,12,1,35,,,,,,,,,,2
24374,3,2,2,,1,17,1,14,,21,,,2,,,,,2
24374,4,1,1,2,,18,1,6,,,,,,,,,,2
24379,1,0,,,,,,,,,,,,,,,,2
24382,1,2,1,2,1,13,1,29,,,,,,,,,,2
24382,2,1,2,,,40,1,24,,,66,50,2,,,,,2
24393,1,1,2,,,40,1,15,,,,,,,,,,2
24616,1,2,1,1,1,16,1,37,,,,,,,,,,2
24616,2,2,1,3,1,16,1,40,,,,,,,,,,2
24760,1,0,,,,,,,,,,,,,,,,2
24764,1,0,,,,,,,,,,,,,,,,2
24764,2,2,2,,1,18,1,31,,20,,,2,,,,,2
24764,3,0,,,,,,,,,,,,,,,,2
24764,4,,,,,,,,,,,,,,,,,2
24764,5,,,,,,,,,,,,,,,,,2
24809,1,0,,,,,,,,,,,,,,,,2
24809,2,3,2,,1,20,1,32,,,,,,,,,,2
24853,1,2,2,,1,18,1,33,,,,,,,,,,2
24853,2,1,2,,,31,1,22,,,67,50,1,,,,60,2
24853,3,0,,,,,,,,,,,,,,,,2
24924,1,1,2,,,19,1,30,,,65,70,,,,,,2
24924,2,1,2,,,23,1,30,,,65,70,,,,,,2
24924,3,1,2,,,21,1,3,,,,,2,,,,,2
24924,4,0,,,,,,,,,,,,,,,,2
24984,1,0,,,,,,,,,,,,,,,,2
24984,2,1,2,,,15,1,40,,,,,,,,,,2
24984,3,1,2,,,15,1,35,,,,,,,,,,2
25007,1,1,2,,,23,1,20,,,,,,,,,,2
25138,1,2,2,,3,12,1,40,,,,,,,,,,1
25138,2,0,,,,,,,,,,,,,,,,1
25138,3,1,1,1,,28,2,,,,,,,,,,,1
25148,1,1,2,,,26,1,36,,,63,70,1,,,,90,2
25148,2,2,2,,1,24,1,25,,26,,,2,,,,,2
25148,3,1,2,,,27,1,2,,,,,,,,,,2
25245,1,1,2,,,26,1,10,,,70,90,2,,,,,2
25245,2,7,1,10,1,16,1,10,,,,,,,,,,2
25245,3,1,2,,,18,1,6,,,,,,,,,,2
25245,4,0,,,,,,,,,,,,,,,,2
25625,1,1,2,,,42,1,15,,,,,,,,,,2
25930,1,1,2,,,21,1,37,,,,,,,,,,2
25930,2,1,2,,,15,1,15,,,,,,,,,,2
25968,1,2,2,,1,18,1,35,,,,,,,,,,2
25968,2,1,2,,,20,1,40,,,,,,,,,,2
25970,1,3,1,3,1,18,1,40,,,,,,,,,,2
25970,2,0,,,,,,,,,,,,,,,,2
26048,1,1,2,,,20,1,43,,,,,,,,,,1
26048,2,0,,,,,,,,,,,,,,,,1
26163,1,0,,,,,,,,,,,,,,,,1
26163,2,1,2,,,20,1,30,,,,,2,,,,,1
26163,3,0,,,,,,,,,,,,,,,,1
26163,4,0,,,,,,,,,,,,,,,,1
26281,1,1,2,,,22,1,8,,,,,,,,,,2
26310,1,1,1,2,,16,1,15,,,,,,,,,,2
26310,2,1,1,2,,19,1,38,,,,,,,,,,2
26349,1,2,2,,1,17,1,39,,,,,,,,,,2
26349,2,1,2,,,22,1,13,,,,,,,,,,2
26684,1,6,1,8,1,30,1,22,,,,,,,,,,2
26684,2,4,1,4,1,17,1,20,,44,,,1,,,,,2
27109,1,0,,,,,,,,,,,,,,,,2
27114,1,0,,,,,,,,,,,,,,,,2
27116,1,1,2,,,15,1,40,,,,,,,,,,2
27116,2,0,,,,,,,,,,,,,,,,2
27123,1,2,2,,1,13,1,35,,,,,,,,,,2
27123,2,1,2,,,27,1,,8,,,,,,,,,2
27155,1,1,2,,,25,1,10,,,66,40,,,,,,2
27155,2,1,1,7,,23,1,15,,,65,40,,,,,,2
27155,3,1,1,1,,23,1,1,,,66,40,3,,,,,2
27155,4,0,,,,,,,,,,,,,,,,2
27157,1,1,2,,,26,1,27,,,65,30,,,,,,2
27157,2,1,2,,,20,1,10,,,,,3,,,,,2
27157,3,0,,,,,,,,,,,,,,,,2
27157,4,0,,,,,,,,,,,,,,,,2
27224,1,1,2,,,21,1,34,,,,,,,,,,2
27224,2,3,2,,3,20,1,27,,35,,,,,,,,2
27224,3,6,2,,1,24,1,9,,30,,,2,,,,,2
27238,1,4,1,13,1,16,1,40,,,,,,,,,,2
27238,2,1,2,,,25,1,25,,,,,2,,,,,2
27505,1,2,2,,1,15,1,35,,,,,,,,,,2
27509,1,5,2,,1,14,1,30,,,,,,,,,,2
27730,1,1,2,,,37,1,5,,,,,,,,,,1
27730,2,3,2,,1,15,1,38,,,,,,,,,,1
27730,3,2,1,3,1,16,1,2,,,,,,,,,,1
27730,4,1,2,,,24,1,2,,,,,2,,,,,1
27734,1,2,2,,3,18,1,5,,,,,,,,,,1
27734,2,3,2,,1,12,1,40,,,,,,,,,,1
27734,3,4,1,6,1,16,1,4,,,,,,,,,,1
