nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,etalav2,etapen,coppu,prevcom,anprevcom,mprevcom1,mprevcom,coppip,docsezb
707938,1,7,1,1,1,20,1,26,,37,70,70,2,,,,,2
707963,1,1,2,,,26,1,25,,,60,60,,,,,,2
707963,2,2,2,,3,20,1,20,,26,,,,,,,,2
708009,1,2,2,,1,26,1,43,,50,64,85,,,,,,2
708009,2,1,2,,,17,1,40,,,,,,,,,,2
708009,3,2,2,,1,19,1,7,,19,,,2,,,,,2
708023,1,4,1,2,1,25,1,17,,33,65,70,2,,,,,2
708023,2,0,,,,,,,,,,,,,,,,2
708023,3,,,,,,,,,,,,,,,,,2
708023,4,,,,,,,,,,,,,,,,,2
708030,1,5,1,2,3,16,1,5,,30,70,50,,,,,,2
708030,2,3,1,2,1,20,1,15,,27,65,70,2,,,,,2
708030,3,0,,,,,,,,,,,,,,,,2
708030,4,0,,,,,,,,,,,,,,,,2
708043,1,2,1,1,1,27,1,18,,49,67,70,2,,,,,2
708043,2,0,,,,,,,,,,,,,,,,2
708043,3,0,,,,,,,,,,,,,,,,2
708043,4,0,,,,,,,,,,,,,,,,2
708043,5,,,,,,,,,,,,,,,,,2
708044,1,3,2,,2,20,1,30,,30,70,50,,,,,,2
708044,2,0,,,,,,,,,,,,,,,,2
708044,3,1,2,,,24,1,4,,,,,,,,,,2
708219,1,3,2,,1,22,1,38,,,,,,,,,,2
708219,2,1,2,,,20,1,41,,,,,,,,,,2
708447,1,2,2,,1,22,1,43,,,,,,,,,,2
708521,1,2,2,,1,24,1,42,,,,,,,,,,2
708521,2,2,2,,1,28,1,9,,,,,,,,,,2
708522,1,3,2,,1,16,1,18,,,,,,,,,,2
708522,2,3,1,2,1,19,1,27,,41,,,2,,,,,2
708522,3,,,,,,,,,,,,,,,,,2
708522,4,,,,,,,,,,,,,,,,,2
708700,1,2,1,1,1,23,1,5,,30,60,60,1,,,,70,2
708700,2,3,2,,1,20,1,10,,31,,,3,,,,,2
708700,3,,,,,,,,,,,,,,,,,2
708700,4,,,,,,,,,,,,,,,,,2
708747,1,5,1,3,3,16,1,12,,,,,,,,,,2
709002,1,1,1,9,,17,1,30,,,,,,,,,,2
709002,2,3,1,2,1,17,1,30,,58,,,2,,,,,2
709002,3,0,,,,,,,,,,,,,,,,2
709420,1,4,2,,1,20,1,36,,,,,,,,,,2
709420,2,2,1,2,1,17,1,37,,54,58,50,2,,,,,2
709420,3,2,1,1,1,18,1,2,,22,,,2,,,,,2
709421,1,3,2,,1,17,1,36,,,,,,,,,,2
709422,1,1,2,,,19,1,32,,,70,50,,,,,,2
709422,2,3,1,2,1,15,1,8,,48,,,2,,,,,2
709423,1,2,2,,1,15,1,39,,,,,,,,,,2
709423,2,1,2,,,15,1,39,,,,,,,,,,2
709426,1,7,2,,3,16,1,41,,46,61,80,2,,,,,2
709426,2,5,2,,1,14,1,18,,53,,,2,,,,,2
709426,3,4,2,,1,26,1,3,,28,,,2,,,,,2
709426,4,2,2,,1,19,1,6,,20,,,2,,,,,2
709438,1,2,2,,1,15,1,37,,,,,,,,,,2
709438,2,0,,,,,,,,,,,,,,,,2
709442,1,3,2,,1,22,1,27,,32,65,80,2,,,,,1
709442,2,1,2,,,17,1,9,,,,,,,,,,1
709442,3,0,,,,,,,,,,,,,,,,1
709449,1,3,2,,1,20,1,17,,,,,,,,,,2
709449,2,4,2,,3,21,1,35,,34,,,,,,,,2
709449,3,1,2,,,20,1,,2,,,,2,,,,,2
709449,4,0,,,,,,,,,,,,,,,,2
709449,5,,,,,,,,,,,,,,,,,2
709460,1,1,2,,,18,1,38,,,,,,,,,,2
709460,2,2,2,,2,19,1,2,,,,,,,,,,2
709464,1,1,2,,,20,1,35,,,,,,,,,,2
709464,2,1,2,,,15,1,40,,,,,,,,,,2
709470,1,6,1,1,3,17,1,40,,58,64,75,2,,,,,1
709470,2,4,1,1,3,18,1,36,,32,,,2,,,,,1
709803,1,1,2,,,19,1,42,,,,,,,,,,2
709803,2,1,2,,,22,1,36,,,,,,,,,,2
709830,1,2,2,,1,15,2,,,,,,,,,,,2
709830,2,2,2,,1,14,1,51,,46,,,2,,,,,2
709953,1,1,2,,,23,1,12,,,65,50,2,,,,,2
709953,2,,,,,,,,,,,,,,,,,2
710064,1,1,2,,,35,1,40,,,74,50,,,,,,2
710064,2,1,2,,,23,1,18,,,65,50,,,,,,2
710165,1,5,2,,3,18,1,13,,27,65,50,,,,,,1
710165,2,,,,,,,,,,,,,,,,,1
710170,1,1,2,,,16,1,35,,,,,,,,,,2
710170,2,1,2,,,21,1,22,,,,,2,,,,,2
710247,1,2,2,,1,22,1,24,,26,68,54,1,,,,60,1
710303,1,0,,,,,,,,,,,,,,,,2
710303,2,2,2,,1,20,1,40,,,,,,,,,,2
710303,3,2,2,,3,23,1,17,,29,68,90,,,,,,2
710413,1,1,1,20,,28,1,5,,,,,,,,,,2
710415,1,2,1,3,1,19,1,14,,35,67,70,2,,,,,2
710415,2,1,1,3,,24,2,,,,,,,,,,,2
710415,3,,,,,,,,,,,,,,,,,2
710440,1,1,1,10,,20,1,6,,,,,,,,,,2
710440,2,1,2,,,18,1,30,,,,,2,,,,,2
710440,3,0,,,,,,,,,,,,,,,,2
710507,1,5,1,10,1,20,1,15,,50,67,50,,,,,,2
710507,2,10,1,4,1,20,1,10,,43,60,60,2,,,,,2
710507,3,1,1,4,,23,1,4,,,,,,,,,,2
710507,4,1,1,3,,21,1,3,,,,,,,,,,2
710556,1,1,2,,,24,1,23,,,65,60,1,,,,80,2
710606,1,1,2,,,30,1,20,,,,,,,,,,2
710606,2,2,2,,3,19,1,26,,32,,,2,,,,,2
710624,1,3,2,,1,19,1,15,,37,60,70,3,,,,,2
710624,2,2,2,,3,20,1,30,,21,,,,,,,,2
710624,3,0,,,,,,,,,,,,,,,,2
710624,4,0,,,,,,,,,,,,,,,,2
710872,1,4,1,20,3,16,1,4,,,,,,,,,,2
710872,2,1,2,,,21,1,33,,,,,2,,,,,2
710905,1,0,,,,,,,,,,,,,,,,1
710944,1,1,2,,,38,1,10,,,65,60,2,,,,,2
710944,2,3,1,10,1,15,1,18,,,,,,,,,,2
710944,3,0,,,,,,,,,,,,,,,,2
710944,4,0,,,,,,,,,,,,,,,,2
710944,5,,,,,,,,,,,,,,,,,2
711014,1,1,2,,,15,1,42,,,63,65,,,,,,2
711014,2,1,2,,,16,1,41,,,57,85,2,,,,,2
711014,3,1,1,1,,20,1,7,,,,,2,,,,,2
711022,1,2,2,,1,18,1,34,,45,65,70,2,,,,,2
711022,2,1,2,,,14,1,37,,,,,,,,,,2
711107,1,2,2,,1,22,1,26,,22,67,60,1,,,,70,2
711107,2,1,2,,,16,1,45,,,,,,,,,,2
711153,1,1,2,,,11,1,40,,,,,,,,,,2
711153,2,1,2,,,13,1,40,,,,,,,,,,2
711312,1,2,2,,1,26,1,27,,50,65,50,2,,,,,2
711312,2,4,2,,1,21,1,31,,26,,,2,,,,,2
711312,3,,,,,,,,,,,,,,,,,2
711312,4,,,,,,,,,,,,,,,,,2
711417,1,1,2,,,16,1,16,,,65,70,2,,,,,2
711417,2,1,2,,,20,1,10,,,,,2,,,,,2
711417,3,,,,,,,,,,,,,,,,,2
711432,1,1,2,,,19,1,29,,,65,80,3,,,,,2
711432,2,2,2,,3,20,1,27,,33,65,90,,,,,,2
711432,3,1,2,,,22,1,4,,,,,3,,,,,2
711432,4,,,,,,,,,,,,,,,,,2
711467,1,0,,,,,,,,,,,,,,,,2
711467,2,,,,,,,,,,,,,,,,,2
711467,3,1,2,,,15,1,25,,,,,,,,,,2
711479,1,1,2,,,17,1,30,,,,,,,,,,2
711545,1,1,2,,,16,1,38,,,,,,,,,,2
711545,2,2,2,,1,15,1,35,,,,,,,,,,2
711545,3,1,2,,,18,1,20,,,,,3,,,,,2
711611,1,2,2,,1,16,1,40,,,,,,,,,,2
711624,1,2,2,,1,22,1,25,,22,62,80,,,,,,1
711624,2,2,2,,1,23,1,26,,23,63,80,,,,,,1
711624,3,0,,,,,,,,,,,,,,,,1
711624,4,,,,,,,,,,,,,,,,,1
711645,1,2,2,,1,15,1,35,,,,,,,,,,2
711645,2,2,2,,1,15,1,28,,,,,,,,,,2
711660,1,1,2,,,17,1,40,,,,,,,,,,1
711660,2,5,2,,1,15,1,38,,,,,,,,,,1
711829,1,2,2,,1,12,1,39,,,,,,,,,,1
711829,2,2,2,,3,16,1,37,,,,,,,,,,1
711831,1,0,,,,,,,,,,,,,,,,2
711925,1,4,1,3,3,16,1,25,,55,62,30,,,,,,2
712022,1,1,2,,,18,1,15,,,,,,,,,,2
712127,1,3,2,,1,15,1,30,,28,65,50,1,,,,60,2
712127,2,2,2,,1,20,1,30,,27,65,50,2,,,,,2
712127,3,,,,,,,,,,,,,,,,,2
712127,4,0,,,,,,,,,,,,,,,,2
712132,1,1,2,,,16,1,50,,,75,80,,,,,,2
712132,2,1,2,,,18,1,38,,,,,,,,,,2
712136,1,1,2,,,23,1,18,,,67,70,2,,,,,2
712136,2,1,2,,,24,1,22,,,,,,,,,,2
712136,3,,,,,,,,,,,,,,,,,2
712136,4,,,,,,,,,,,,,,,,,2
712141,1,4,2,,3,20,1,40,,,,,,,,,,2
712141,2,5,2,,3,17,1,42,,39,,,,,,,,2
712148,1,10,1,27,3,16,1,35,,,,,,,,,,2
712148,2,2,2,,1,15,1,40,,46,,,2,,,,,2
712219,1,5,2,,1,16,1,35,,,,,,,,,,2
712219,2,3,2,,1,18,1,3,,,,,,,,,,2
712236,1,0,,,,,,,,,,,,,,,,2
712244,1,7,1,2,3,16,1,17,,49,65,40,2,,,,,2
712244,2,3,2,,1,20,1,5,,23,,,4,,,,,2
712503,1,0,,,,,,,,,,,,,,,,2
712509,1,2,1,2,1,21,1,26,,,,,,,,,,2
712509,2,1,2,,,19,1,31,,,,,,,,,,2
712509,3,0,,,,,,,,,,,,,,,,2
712509,4,0,,,,,,,,,,,,,,,,2
712525,1,3,2,,1,16,1,25,,19,60,70,,,,,,2
712525,2,2,2,,1,15,2,,,,,,,,,,,2
712525,3,0,,,,,,,,,,,,,,,,2
712525,4,0,,,,,,,,,,,,,,,,2
712533,1,1,2,,,20,1,36,,,,,,,,,,2
712610,1,3,1,10,1,15,2,,,,,,,,,,,2
712707,1,1,2,,,22,1,18,,,67,60,2,,,,,2
712707,2,1,2,,,27,1,15,,,,,,,,,,2
712707,3,,,,,,,,,,,,,,,,,2
712707,4,,,,,,,,,,,,,,,,,2
712723,1,0,,,,,,,,,,,,,,,,2
712823,1,3,2,,1,19,1,22,,21,65,60,,,,,,2
712823,2,3,2,,1,19,1,10,,29,65,50,2,,,,,2
712823,3,,,,,,,,,,,,,,,,,2
712823,4,,,,,,,,,,,,,,,,,2
712869,1,3,2,,3,21,1,19,,38,90,50,,,,,,1
712869,2,0,,,,,,,,,,,,,,,,1
712869,3,0,,,,,,,,,,,,,,,,1
712878,1,4,2,,2,26,1,25,,48,67,40,,,,,,2
712878,2,1,2,,,24,1,39,,,,,,,,,,2
712905,1,3,2,,1,21,1,41,,,,,,,,,,2
712905,2,2,2,,1,25,1,21,,,,,,,,,,2
712908,1,1,2,,,28,1,9,,,65,60,2,,,,,2
712908,2,,,,,,,,,,,,,,,,,2
712908,3,,,,,,,,,,,,,,,,,2
712910,1,3,1,2,1,14,1,16,,,,,,,,,,1
712910,2,4,2,,1,20,1,34,,28,,,3,,,,,1
712964,1,2,2,,3,25,1,25,,50,65,60,2,,,,,1
712964,2,2,2,,1,25,1,29,,25,,,,,,,,1
712964,3,0,,,,,,,,,,,,,,,,1
712964,4,,,,,,,,,,,,,,,,,1
713044,1,0,,,,,,,,,,,,,,,,2
713044,2,0,,,,,,,,,,,,,,,,2
713057,1,0,,,,,,,,,,,,,,,,2
713134,1,2,2,,3,19,1,33,,,,,,,,,,2
713134,2,2,2,,1,16,1,2,,,,,,,,,,2
713222,1,1,1,2,,32,1,6,,,70,40,2,,,,,2
713222,2,1,1,1,,16,1,20,,,,,2,,,,,2
713222,3,,,,,,,,,,,,,,,,,2
713222,4,,,,,,,,,,,,,,,,,2
713222,5,,,,,,,,,,,,,,,,,2
713247,1,1,1,18,,42,1,18,,,,,,,,,,2
713250,1,3,1,2,1,18,1,4,,32,65,60,2,,,,,2
713250,2,4,1,1,1,16,1,10,,22,,,2,,,,,2
713250,3,,,,,,,,,,,,,,,,,2
713303,1,1,2,,,37,1,14,,,65,60,2,,,,,2
713303,2,1,2,,,24,1,30,,,,,,,,,,2
713319,1,1,1,3,,16,1,14,,,,,,,,,,2
713319,2,0,,,,,,,,,,,,,,,,2
713319,3,1,1,3,,26,1,3,,,,,,,,,,2
713319,4,1,2,,,29,1,2,,,,,,,,,,2
713319,5,,,,,,,,,,,,,,,,,2
713328,1,0,,,,,,,,,,,,,,,,2
713359,1,3,1,2,1,21,2,,,33,90,,2,,,,,2
713400,1,3,1,5,3,12,1,28,,,,,,,,,,2
713400,2,1,2,,,22,1,23,,,,,,,,,,2
713518,1,1,2,,,21,1,23,,,65,70,1,,,,70,2
713518,2,1,2,,,20,1,38,,,,,1,,,,,2
713518,3,0,,,,,,,,,,,,,,,,2
713617,1,0,,,,,,,,,,,,,,,,2
713617,2,1,2,,,17,1,35,,,,,,,,,,2
713617,3,1,2,,,28,1,5,,,,,,,,,,2
713617,4,1,1,5,,25,1,4,,,,,,,,,,2
713642,1,0,,,,,,,,,,,,,,,,2
713642,2,1,2,,,18,1,20,,,,,,,,,,2
713642,3,0,,,,,,,,,,,,,,,,2
713642,4,0,,,,,,,,,,,,,,,,2
713676,1,0,,,,,,,,,,,,,,,,2
713676,2,1,2,,,20,1,15,,,,,,,,,,2
713676,3,0,,,,,,,,,,,,,,,,2
713676,4,0,,,,,,,,,,,,,,,,2
713700,1,1,1,1,,27,1,5,,,65,30,,,,,,1
713700,2,1,2,,,23,1,12,,,,,2,,,,,1
713700,3,,,,,,,,,,,,,,,,,1
713802,1,0,,,,,,,,,,,,,,,,2
713811,1,1,2,,,14,1,40,,,,,,,,,,2
713811,2,2,2,,1,24,1,35,,,,,,,,,,2
713837,1,2,2,,1,17,1,40,,17,58,80,,,,,,1
713837,2,2,2,,1,22,1,28,,25,,,2,,,,,1
713837,3,0,,,,,,,,,,,,,,,,1
713839,1,1,2,,,22,1,34,,,,,,,,,,2
713844,1,1,2,,,26,1,39,,,,,,,,,,2
713851,1,3,1,2,1,27,1,15,,38,70,25,2,,,,,2
713851,2,3,2,,1,19,1,20,,28,,,2,,,,,2
713851,3,,,,,,,,,,,,,,,,,2
713851,4,,,,,,,,,,,,,,,,,2
713852,1,4,2,,3,24,1,34,,50,67,50,,,,,,2
713852,2,3,2,,1,26,1,20,,30,,,2,,,,,2
713852,3,0,,,,,,,,,,,,,,,,2
713854,1,1,2,,,25,1,7,,,67,40,,,,,,2
713873,1,3,2,,1,20,1,28,,21,59,70,1,,,,90,2
713873,2,2,2,,3,20,1,30,,21,,,,,,,,2
714008,1,2,2,,1,17,1,30,,,,,,,,,,2
714008,2,2,2,,1,15,1,40,,,,,,,,,,2
714021,1,3,1,1,3,15,1,38,,59,64,80,2,,,,,2
714021,2,0,,,,,,,,,,,,,,,,2
714021,3,0,,,,,,,,,,,,,,,,2
714029,1,2,2,,1,22,1,4,,34,67,40,2,,,,,2
714110,1,1,2,,,35,1,7,,,70,70,2,,,,,2
714238,1,1,1,6,,39,1,1,,,,,,,,,,2
714238,2,2,2,,3,20,1,35,,,,,,,,,,2
714238,3,1,2,,,26,1,38,,,,,,,,,,2
714248,1,3,2,,3,15,1,10,,35,70,60,,,,,,1
714248,2,0,,,,,,,,,,,,,,,,1
714248,3,,,,,,,,,,,,,,,,,1
714248,4,,,,,,,,,,,,,,,,,1
714265,1,3,2,,1,15,1,1,,61,65,50,2,,,,,2
714416,1,1,1,1,,26,2,,,,67,50,2,,,,,2
714430,1,1,2,,,18,1,40,,,,,,,,,,2
714430,2,0,,,,,,,,,,,,,,,,2
714437,1,2,1,2,2,19,1,32,,,,,,,,,,2
714437,2,0,,,,,,,,,,,,,,,,2
714437,3,1,2,,,24,1,7,,,,,2,,,,,2
714437,4,0,,,,,,,,,,,,,,,,2
714475,1,1,2,,,30,2,,,,70,40,2,,,,,2
714475,2,1,2,,,30,2,,,,,,2,,,,,2
714475,3,,,,,,,,,,,,,,,,,2
714538,1,3,2,,1,18,1,30,,25,57,80,1,,,,80,2
714538,2,3,2,,2,14,1,20,,,,,,,,,,2
714538,3,,,,,,,,,,,,,,,,,2
714538,4,,,,,,,,,,,,,,,,,2
714574,1,3,2,,1,16,1,34,,40,59,80,1,,,,85,2
714574,2,2,2,,3,16,1,29,,34,,,2,,,,,2
714574,3,0,,,,,,,,,,,,,,,,2
714602,1,5,2,,3,27,1,12,,42,67,60,1,,,,100,2
714604,1,2,1,3,1,19,2,,,,,,,,,,,2
714604,2,1,1,3,,15,1,30,,,,,2,,,,,2
714604,3,1,2,,,19,1,2,,,,,2,,,,,2
714604,4,1,1,1,,19,1,,2,,,,,,,,,2
714622,1,0,,,,,,,,,,,,,,,,2
714622,2,1,2,,,27,1,40,,,,,,,,,,2
714709,1,1,2,,,24,1,35,,,,,,,,,,2
714709,2,0,,,,,,,,,,,,,,,,2
714712,1,1,2,,,19,1,30,,,,,,,,,,2
714734,1,1,1,5,,25,1,10,,,70,60,,,,,,2
714734,2,0,,,,,,,,,,,,,,,,2
714734,3,1,2,,,20,1,15,,,,,2,,,,,2
714811,1,5,1,1,1,15,1,16,,26,67,50,2,,,,,2
714820,1,1,2,,,12,1,45,,,,,,,,,,2
714825,1,4,1,1,1,14,1,7,,27,65,50,2,,,,,2
714825,2,5,2,,1,13,1,6,,30,,,2,,,,,2
714825,3,,,,,,,,,,,,,,,,,2
714828,1,2,2,,1,32,1,38,,,,,,,,,,2
714828,2,2,2,,1,31,1,37,,,,,,,,,,2
714833,1,5,1,4,1,18,1,9,,41,65,30,2,,,,,2
714843,1,8,1,3,1,21,1,7,,33,60,40,2,,,,,2
714854,1,10,2,,1,10,1,9,,54,65,30,2,,,,,2
714863,1,5,1,2,1,17,1,12,,37,60,40,2,,,,,2
714863,2,5,1,2,1,18,1,10,,32,,,2,,,,,2
714933,1,0,,,,,,,,,,,,,,,,2
715001,1,2,2,,1,20,1,22,,,,,,,,,,2
715004,1,3,2,,1,12,1,37,,,,,,,,,,2
715014,1,2,1,3,1,15,1,8,,,,,,,,,,2
715014,2,1,1,1,,19,1,7,,,,,2,,,,,2
715014,3,2,1,2,1,18,1,,8,,,,,,,,,2
715027,1,0,,,,,,,,,,,,,,,,2
715027,2,4,1,3,3,21,1,30,,,,,,,,,,2
715065,1,1,2,,,16,1,18,,,67,70,2,,,,,2
715065,2,1,2,,,23,1,25,,,,,,,,,,2
715065,3,0,,,,,,,,,,,,,,,,2
715469,1,2,2,,1,20,1,35,,,,,,,,,,2
715469,2,0,,,,,,,,,,,,,,,,2
715499,1,3,2,,1,20,1,36,,31,58,70,2,,,,,1
715500,1,1,1,2,,30,1,5,,,65,50,3,,,,,2
715508,1,1,2,,,22,1,35,,,,,,,,,,2
715551,1,1,2,,,25,1,25,,,65,60,2,,,,,2
715572,1,3,2,,1,21,1,34,,32,65,70,2,,,,,2
715632,1,1,2,,,21,1,17,,,65,50,2,,,,,1
715776,1,1,2,,,27,1,15,,,66,50,2,,,,,1
715782,1,0,,,,,,,,,,,,,,,,1
715782,2,12,2,,1,14,1,10,,,,,,,,,,1
715821,1,2,2,,1,24,1,35,,,,,,,,,,2
715821,2,2,2,,1,28,1,30,,,,,,,,,,2
715837,1,2,2,,1,30,1,30,,30,66,70,2,,,,,2
715839,1,2,2,,1,27,1,24,,31,66,70,,,,,,2
715839,2,1,2,,,27,1,22,,,66,70,1,,,,75,2
715839,3,0,,,,,,,,,,,,,,,,2
715847,1,2,2,,2,20,1,28,,,,,,,,,,2
715847,2,2,2,,1,20,1,35,,,,,,,,,,2
715865,1,1,2,,,27,1,29,,,63,70,2,,,,,2
715865,2,1,2,,,25,1,30,,,,,,,,,,2
715872,1,2,2,,1,25,1,35,,,,,,,,,,2
715879,1,3,2,,2,20,1,22,,28,60,60,,,,,,2
715879,2,2,2,,1,22,1,20,,26,65,60,1,,,,70,2
715880,1,1,2,,,29,1,22,,,65,70,2,,,,,2
715937,1,0,,,,,,,,,,,,,,,,2
716023,1,1,2,,,20,1,36,,,63,100,2,,,,,1
716023,2,0,,,,,,,,,,,,,,,,1
716023,3,1,2,,,33,1,4,,,,,,,,,,1
716023,4,1,1,2,,26,1,4,,,66,30,,,,,,1
716105,1,6,2,,1,17,1,35,,42,61,60,2,,,,,2
716105,2,3,2,,1,19,1,28,,41,,,2,,,,,2
716105,3,0,,,,,,,,,,,,,,,,2
716105,4,,,,,,,,,,,,,,,,,2
716105,5,,,,,,,,,,,,,,,,,2
716204,1,1,2,,,20,1,42,,,,,,,,,,2
716204,2,0,,,,,,,,,,,,,,,,2
716204,3,1,2,,,24,1,12,,,,,3,,,,,2
716305,1,0,,,,,,,,,,,,,,,,2
716305,2,1,1,2,,20,2,,,,70,60,,,,,,2
716305,3,,,,,,,,,,,,,,,,,2
716305,4,,,,,,,,,,,,,,,,,2
716305,5,,,,,,,,,,,,,,,,,2
716500,1,0,,,,,,,,,,,,,,,,2
716500,2,2,1,2,2,20,1,20,,30,,,,,,,,2
716500,3,0,,,,,,,,,,,,,,,,2
716500,4,,,,,,,,,,,,,,,,,2
716500,5,,,,,,,,,,,,,,,,,2
716507,1,1,2,,,29,1,15,,,67,50,2,,,,,2
716507,2,0,,,,,,,,,,,,,,,,2
716507,3,,,,,,,,,,,,,,,,,2
716507,4,,,,,,,,,,,,,,,,,2
716512,1,1,2,,,29,1,38,,,,,,,,,,2
716512,2,1,2,,,35,1,20,,,,,2,,,,,2
716512,3,0,,,,,,,,,,,,,,,,2
716834,1,2,2,,1,20,1,40,,,,,,,,,,2
716834,2,0,,,,,,,,,,,,,,,,2
716834,3,0,,,,,,,,,,,,,,,,2
716849,1,1,1,10,,20,1,16,,,,,,,,,,2
716849,2,2,1,5,1,20,1,25,,52,,,3,,,,,2
716849,3,1,1,4,,22,1,2,,,,,,,,,,2
716849,4,2,1,5,1,20,1,1,,,,,,,,,,2
716856,1,1,1,15,,15,1,13,,,,,,,,,,2
716908,1,3,2,,3,21,1,44,,58,80,65,,,,,,2
716908,2,3,2,,3,17,1,35,,17,,,,,,,,2
716908,3,2,1,10,3,24,1,10,,27,,,,,,,,2
716910,1,2,2,,1,19,1,23,,,,,,,,,,2
716910,2,2,2,,1,20,1,35,,,,,,,,,,2
716937,1,1,2,,,20,1,30,,,62,50,2,,,,,2
716937,2,2,2,,1,26,1,34,,26,,,2,,,,,2
716937,3,4,2,,1,18,1,3,,20,70,30,,,,,,2
716937,4,0,,,,,,,,,,,,,,,,2
717014,1,1,2,,,20,1,35,,,60,90,,,,,,2
717014,2,0,,,,,,,,,,,,,,,,2
717014,3,0,,,,,,,,,,,,,,,,2
717044,1,1,2,,,22,1,40,,,,,,,,,,2
717205,1,5,1,4,1,15,1,10,,,,,,,,,,2
717205,2,3,1,5,1,15,1,7,,35,,,2,,,,,2
717205,3,0,,,,,,,,,,,,,,,,2
717205,4,,,,,,,,,,,,,,,,,2
717242,1,1,2,,,15,1,35,,,,,,,,,,2
717242,2,1,2,,,15,1,39,,,60,60,,,,,,2
717242,3,0,,,,,,,,,,,,,,,,2
717242,4,0,,,,,,,,,,,,,,,,2
717242,5,0,,,,,,,,,,,,,,,,2
717311,1,1,2,,,22,1,17,,,70,70,,,,,,2
717311,2,1,2,,,18,1,40,,,,,,,,,,2
717311,3,1,2,,,25,1,38,,,,,,,,,,2
717311,4,1,2,,,24,1,15,,,,,2,,,,,2
717311,5,,,,,,,,,,,,,,,,,2
717312,1,1,1,8,,39,1,7,,,,,,,,,,2
717312,2,1,1,5,,18,1,14,,,,,2,,,,,2
717312,3,1,1,4,,18,1,3,,,,,,,,,,2
717312,4,0,,,,,,,,,,,,,,,,2
717316,1,0,,,,,,,,,,,,,,,,2
717316,2,1,1,10,,12,2,,,,,,,,,,,2
717316,3,0,,,,,,,,,,,,,,,,2
717316,4,0,,,,,,,,,,,,,,,,2
717317,1,2,2,,1,21,1,27,,21,68,50,2,,,,,2
717317,2,0,,,,,,,,,,,,,,,,2
717317,3,0,,,,,,,,,,,,,,,,2
717317,4,0,,,,,,,,,,,,,,,,2
717317,5,,,,,,,,,,,,,,,,,2
717317,6,,,,,,,,,,,,,,,,,2
717331,1,0,,,,,,,,,,,,,,,,2
717331,2,1,2,,,15,1,35,,,,,,,,,,2
717331,3,1,2,,,18,1,35,,,,,,,,,,2
717409,1,1,2,,,16,1,36,,,60,70,2,,,,,2
717409,2,2,2,,1,21,1,23,,35,60,70,2,,,,,2
717409,3,0,,,,,,,,,,,,,,,,2
717409,4,,,,,,,,,,,,,,,,,2
717414,1,4,2,,1,16,1,32,,30,60,70,1,,,,85,2
717414,2,1,2,,,27,1,11,,,65,50,2,,,,,2
717414,3,,,,,,,,,,,,,,,,,2
717414,4,,,,,,,,,,,,,,,,,2
717414,5,,,,,,,,,,,,,,,,,2
717434,1,2,2,,1,19,1,23,,23,70,60,1,,,,70,2
717434,2,6,2,,3,22,1,15,,,,,,,,,,2
717434,3,0,,,,,,,,,,,,,,,,2
717434,4,,,,,,,,,,,,,,,,,2
717434,5,,,,,,,,,,,,,,,,,2
717434,6,,,,,,,,,,,,,,,,,2
717605,1,4,1,2,3,21,1,16,,,,,,,,,,2
717605,2,4,2,,3,19,1,17,,34,55,30,2,,,,,2
717605,3,0,,,,,,,,,,,,,,,,2
717624,1,6,2,,1,15,1,10,,33,70,40,2,,,,,2
717624,2,3,1,2,1,15,2,,,,,,,,,,,2
717624,3,,,,,,,,,,,,,,,,,2
717669,1,2,1,1,1,17,1,12,,27,67,50,2,,,,,2
717669,2,0,,,,,,,,,,,,,,,,2
717669,3,,,,,,,,,,,,,,,,,2
717669,4,,,,,,,,,,,,,,,,,2
717669,5,,,,,,,,,,,,,,,,,2
717801,1,1,1,2,,18,2,,,,65,50,2,,,,,2
717801,2,0,,,,,,,,,,,,,,,,2
717801,3,1,2,,,20,2,,,,,,2,,,,,2
717801,4,0,,,,,,,,,,,,,,,,2
717804,1,0,,,,,,,,,,,,,,,,2
717804,2,2,1,2,1,25,1,13,,40,,,2,,,,,2
717809,1,0,,,,,,,,,,,,,,,,2
717809,2,0,,,,,,,,,,,,,,,,2
717809,3,,,,,,,,,,,,,,,,,2
717809,4,,,,,,,,,,,,,,,,,2
717809,5,,,,,,,,,,,,,,,,,2
717834,1,1,2,,,30,2,,,,,,,,,,,2
717858,1,0,,,,,,,,,,,,,,,,2
717858,2,5,1,2,1,18,2,,,,,,,,,,,2
717865,1,1,1,2,,16,2,,,,70,40,2,,,,,2
717865,2,0,,,,,,,,,,,,,,,,2
717871,1,0,,,,,,,,,,,,,,,,2
717877,1,1,2,,,25,1,16,,,65,70,2,,,,,2
717885,1,0,,,,,,,,,,,,,,,,2
717885,2,1,1,10,,14,2,,,,,,,,,,,2
717885,3,0,,,,,,,,,,,,,,,,2
717885,4,,,,,,,,,,,,,,,,,2
717900,1,3,1,2,1,20,1,3,,35,66,100,2,,,,,2
717900,2,3,2,,1,24,1,6,,34,,,3,,,,,2
717900,3,,,,,,,,,,,,,,,,,2
718006,1,3,2,,1,30,1,6,,35,68,60,,,,,,2
718115,1,4,2,,1,15,1,37,,,,,,,,,,1
718115,2,2,2,,1,15,1,21,,,,,,,,,,1
718115,3,3,2,,1,19,1,12,,23,,,4,,,,,1
718506,1,2,2,,1,22,1,40,,,,,,,,,,2
718506,2,0,,,,,,,,,,,,,,,,2
