nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm
32713,2,1,1,2,1,1,12,2,2,30,2,,7200,2,0
32734,1,1,1,1,1,1,12,2,2,40,2,,22000,2,0
32734,2,1,1,2,1,1,12,2,7,35,2,,14000,2,0
32764,2,2,1,2,1,1,12,2,4,30,2,,13000,2,0
32765,1,1,1,1,1,1,12,1,,36,2,,21000,2,0
32765,2,2,1,1,1,1,12,2,5,40,1,2,28000,1,1000
32822,3,3,1,1,1,1,12,1,,36,2,,13000,2,0
32861,3,2,1,1,1,1,12,2,2,40,2,,15000,2,0
33038,2,1,1,1,2,2,8,1,,36,2,,8790,2,0
33038,3,1,1,1,1,1,12,2,7,48,1,12,17500,1,
33328,4,1,1,2,1,1,12,2,1,20,2,,7200,2,0
33328,5,1,1,1,1,1,12,2,3,40,2,,15000,2,0
33328,6,1,1,2,1,1,12,2,1,25,2,,5500,2,0
33335,1,1,1,1,1,1,12,1,,36,1,1,15500,2,0
33335,2,1,1,1,1,1,12,2,2,40,2,,13000,2,0
33335,3,1,1,2,2,2,9,2,1,25,2,,6300,2,0
33335,4,1,1,1,1,1,12,2,6,40,1,2,15000,2,0
33773,1,1,1,1,1,1,12,2,7,40,2,,15600,2,0
33777,2,1,1,2,2,1,12,1,,24,2,,8000,2,0
33778,1,1,1,1,1,1,12,2,1,40,2,,12000,2,0
33778,2,2,1,1,1,1,12,1,,36,2,,20000,2,0
33781,3,1,1,1,2,1,12,2,5,40,2,,18000,2,0
33877,1,1,1,2,1,1,12,2,1,24,2,,9100,2,0
33877,2,1,1,1,1,1,12,2,2,40,2,,40000,2,0
33882,3,1,1,1,1,1,12,2,5,39,2,,16000,2,0
33983,1,1,1,1,1,1,12,2,7,40,2,,23800,1,1000
33983,2,1,1,2,1,2,9,1,,36,2,,12000,2,0
33985,2,1,1,1,1,1,12,1,,28,2,,23000,2,0
33994,3,1,1,1,2,2,9,2,2,40,2,,11000,2,0
34269,1,1,1,2,2,1,12,2,1,30,2,,10000,2,0
34269,2,1,1,1,2,1,12,2,2,40,2,,13000,2,0
34396,2,1,1,1,1,1,12,1,,40,2,,18000,2,0
34513,4,1,1,1,1,1,12,2,2,30,2,,10000,2,0
34778,2,1,1,1,1,1,12,2,1,40,2,,15000,2,0
34793,3,1,1,2,2,1,12,2,2,40,2,,7000,2,0
34793,4,1,1,2,2,2,8,2,2,30,2,,4000,2,0
34825,1,1,1,1,1,2,11,2,7,38,2,,24000,2,0
34825,2,1,1,1,1,1,12,1,,36,2,,19500,2,0
34825,3,1,1,2,2,1,12,2,7,24,2,,11200,2,0
34900,1,1,1,2,1,1,12,2,1,20,1,10,3000,2,0
34900,2,1,1,1,1,1,12,2,6,48,1,18,30000,2,0
35022,1,1,1,1,1,2,8,2,1,40,2,,14000,2,0
35022,3,3,1,1,2,2,4,2,1,36,2,,3000,2,0
35032,1,1,1,1,1,1,12,1,,36,2,,18265,2,0
35032,2,2,1,1,1,1,12,2,6,36,2,,23268,1,10000
35372,1,1,1,1,1,1,12,1,,36,2,,21000,2,0
35502,2,1,1,1,2,3,,2,2,35,2,,3000,2,0
35507,1,1,1,1,1,1,12,1,,36,2,,18000,1,500
