nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4
686538,23550.062694,0,0,0,19890,13390,13390,0,6500,6500,0,0,0,0,0,0,0,3660.0626938,3600,0,3600,60.062693788,60.062693788,0,0,0
686543,50906.968696,36000,35000,1000,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,1906.968696,1600,0,1600,306.96869596,306.96869596,0,0,0
686558,40459.544647,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,22259.544647,22200,0,22200,59.544646692,59.544646692,0,0,0
686559,29928.65747,0,0,0,21600,15600,15600,0,6000,6000,0,0,0,0,0,0,0,8328.6574701,4200,0,4200,4128.6574701,287.69140898,0,3840.9660611,0
686571,3030.5487319,0,0,0,-1900,15600,15600,0,-17500,0,0,-17500,0,17500,0,0,0,4930.5487319,4800,0,4800,130.5487319,130.5487319,0,0,0
686579,14148.736133,0,0,0,8125,8125,8125,0,0,0,0,0,0,0,0,0,0,6023.7361331,6000,0,6000,23.736133073,23.736133073,0,0,0
686601,10200,0,0,0,7800,7800,7800,0,0,0,0,0,0,0,0,0,0,2400,2400,0,2400,0,0,0,0,0
686602,20613.120417,0,0,0,15600,15600,15600,0,0,0,0,0,0,0,0,0,0,5013.1204172,4800,0,4800,213.12041717,213.12041717,0,0,0
686634,31747.064962,26500,26500,0,1500,0,0,0,1500,1500,0,0,0,0,0,0,0,3747.0649621,4800,0,4800,-1052.935038,47.472266145,0,0,1100.4073041
686657,44046.78202,21350,21350,0,0,0,0,0,0,0,0,0,0,0,9000,9000,0,13696.78202,13300,400,12900,396.7820203,83.076465754,0,313.70555454,0
686658,14035.6042,0,0,0,10400,10400,10400,0,0,0,0,0,0,0,0,0,0,3635.6041996,3600,0,3600,35.604199609,35.604199609,0,0,0
686661,63519.495101,24700,24700,0,25480,25480,25480,0,0,0,0,0,0,0,0,0,0,13339.495101,12000,0,12000,1339.4951013,712.08399218,0,627.41110909,0
