NQUEST,anabit,godabit,unipro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,pro7,pro8,pro9,poss,impacq,fittonop,tfittonop,tfitto,tipoaff,dfittom,tfittom,propriet,tfitimp,UBIC1N,supab,ancostr,bagni,boiler,valabit,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristrut,tristrutn,tristrut,energia,tenergian,tenergia,imupricas,timupricas,imualtab,timualtab,imurip1,imurip2,imuasp,debita1,ndebita1,debita2,ndebita2,DEBITC,NDEBITC,DEBITD,NDEBITD,DEBITE,NDEBITE,DEBITF,NDEBITF,DEBITG,NDEBITG,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,fmutrif,mutuoe,mutuorif,reapmut,mutuor3,mutuoe3,mutuoric,mutuoric3,intpersezd,docsezd,ritaff,QUOPRO
513045,1997,1,1,1996,1,1,0,0,0,0,0,0,0,4,,,,,,,,,700,4,135,1890,2,1,150000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,2,,1,430,100,0,4,1,1,2,,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,2,1,1,,100
513064,1994,1,1,1994,1,1,0,0,0,0,0,0,0,1,35000,,,,,,,,500,4,115,1960,1,1,195000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,180,2,,,,25,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513113,1995,1,1,1995,1,1,0,0,0,0,0,0,0,1,33000,,,,,,,,500,3,90,1900,2,1,200000,2,,2,,2,,2,,1,20000,2,,,,,,,,,,2,,2,,,,100,2,,2,,1,1,0,,0,,0,,0,,,2,2,2,,2,,2,,,,,2,,2,2,1,2,,100
513131,1960,1,1,1960,1,1,0,0,0,0,0,0,0,2,8000,,,,,,,,1000,2,100,1960,1,2,300000,1,1,2,,1,1,2,,2,,2,,2,,,,,,,,1,250,1,150,90,10,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513140,1988,2,,,,,,,,,,,,,,,,80,6,1,250,7,,2,39,1900,1,1,40000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,10,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
513326,1989,1,1,2000,1,0,0,0,0,0,0,0,0,6,,,,,,,,,250,4,120,1970,1,1,80000,2,,1,1,1,1,2,,2,,2,,2,,,,,,,,1,90,1,100,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513329,1974,1,1,1972,1,1,0,0,0,0,0,0,0,7,5000,,,,,,,,200,4,110,1972,1,1,50000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513330,1968,1,1,1968,1,0,0,0,0,0,0,0,0,2,4300,,,,,,,,450,1,125,1966,1,1,200000,1,1,1,2,2,,2,,2,,2,,2,,,,,,,,1,250,1,1000,50,50,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,1,3,1,,1,2,,100
513335,1975,1,1,1971,1,1,0,0,0,0,0,0,0,7,4500,,,,,,,,300,4,95,1971,1,1,150000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,25,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513348,1962,1,1,1964,1,0,0,0,0,0,0,0,0,7,3000,,,,,,,,300,3,90,1962,2,2,70000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,30,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,1,,1,2,,100
513369,1956,1,1,1953,1,0,0,0,0,0,0,0,0,7,20000,,,,,,,,400,3,80,1953,2,1,100000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,1000,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513373,1969,1,1,2008,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,3,85,1952,1,1,100000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,600,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513377,1987,1,1,1987,0,1,0,0,0,0,0,0,0,4,,,,,,,,,500,3,70,1965,1,1,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,50,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513384,1960,1,1,1960,1,0,0,0,0,0,0,0,0,1,10000,,,,,,,,400,1,180,1959,2,1,300000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,700,1,300,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513386,1970,1,1,1970,1,1,0,0,0,0,0,0,0,2,18000,,,,,,,,600,3,97,1969,1,2,100000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,350,1,600,0,100,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513406,1983,1,1,1983,1,0,0,0,0,0,0,0,0,2,25000,,,,,,,,800,3,100,1983,2,2,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,450,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513411,1993,1,1,1993,1,0,0,0,0,0,0,0,0,1,30000,,,,,,,,800,1,65,1800,2,1,220000,2,,2,,2,,2,,2,,1,6000,,,2,,,2,,,1,130,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513421,1997,1,1,1994,1,1,0,0,0,0,0,0,0,1,50000,,,,,,,,550,1,85,1965,1,2,140000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,250,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513427,2000,5,,,,,,,,,,,,,,,,,,,,1,500,3,100,1956,2,1,120000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,1000,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,2,2,,
513428,1995,1,1,1993,1,0,0,0,0,0,0,0,0,6,,,,,,,,,500,2,70,1972,1,1,170000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,450,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
513430,2008,1,1,2001,1,0,0,0,0,0,0,0,0,6,,,,,,,,,800,3,160,2001,2,1,250000,2,,2,,2,,2,,2,,1,1000,,,2,,,2,,,2,,2,,,,0,1,1,2,,1,1,0,,0,,0,,0,,4,4,1,2,,2,,2,,,,,2,,2,2,2,2,,100
513437,1997,1,1,1997,0,1,0,0,0,0,0,0,0,4,,,,,,,,,700,3,300,1970,2,1,300000,1,1,2,,1,1,2,,2,,2,,2,,,,,,,,1,500,1,500,100,0,40,2,,1,1,0,,0,,0,,0,,0,,4,,2,2,,2,,2,,,,,2,,2,2,1,2,,100
513449,2007,1,1,2006,1,1,0,0,0,0,0,0,0,7,130000,,,,,,,,800,3,150,2006,2,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,0,1,1,2,,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,2,2,1,,100
610206,1990,1,1,2000,1,1,0,0,0,0,0,0,0,2,90000,,,,,,,,500,3,90,1980,1,1,130000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,400,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
610375,1967,2,,,,,,,,,,,,,,,,250,6,2,,7,,3,70,1960,1,1,50000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,0,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,1,2,3,1,2,,,,,1,2,1,
610658,1964,1,1,1964,1,0,0,0,0,0,0,0,0,4,,,,,,,,,700,3,72,1963,1,2,250000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,600,1,380,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
610980,1966,1,1,1983,1,1,0,0,0,0,0,0,0,1,19000,,,,,,,,500,2,80,1955,1,1,135000,1,1,2,,2,,2,,2,,1,2000,1,250,1,1,250,1,1,250,1,130,1,600,100,0,10,2,,2,,0,,0,,0,,0,,0,,,,,1,1500,2,,2,,,,,2,,2,2,1,2,,100
611167,1994,1,1,1994,1,0,0,0,0,0,0,0,0,1,60000,,,,,,,,500,3,70,1964,1,1,120000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,250,1,150,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
611412,1994,5,,,,,,,,,,,,,,,,,,,,1,800,2,120,1963,2,2,350000,2,,1,1,2,,2,,2,,2,,2,,,,,,,,1,230,1,700,100,0,1,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,
611441,1991,1,1,1991,1,1,0,0,0,0,0,0,0,1,75000,,,,,,,,700,3,105,1950,1,2,200000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,200,1,50,100,0,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
611453,1983,1,1,1984,1,0,0,0,0,0,0,0,0,2,10000,,,,,,,,700,2,98,1983,2,1,300000,1,1,2,,2,,2,,2,,2,,1,5000,2,,,2,,,1,471,1,1146,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
611512,1957,1,1,1950,0,1,0,0,0,0,0,0,0,1,1500,,,,,,,,500,2,100,1950,1,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,300,2,,,,20,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
611614,1989,1,1,1991,1,1,0,0,0,0,0,0,0,1,90000,,,,,,,,500,2,80,1960,1,1,280000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,200,2,,,,0,1,1,2,,1,2,0,,0,,0,,0,,1,4,2,2,,2,,1,2,1,,,,,,,1,2,,100
611699,1989,1,1,1991,1,0,0,0,0,0,0,0,0,1,31000,,,,,,,,400,2,80,1980,1,1,60000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,50,2,,,,0,2,,2,,0,,0,,0,,1,1,0,,,4,2,2,,2,,2,,,,,2,,2,2,1,2,,100
611747,1954,1,1,2010,1,0,0,0,0,0,0,0,0,6,,,,,,,,,500,3,100,1952,1,1,200000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,600,1,200,100,0,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
611774,1996,1,1,1996,1,0,0,0,0,0,0,0,0,2,200000,,,,,,,,700,3,100,1800,2,1,450000,1,2,2,,1,1,2,,2,,1,8000,2,,2,,,2,,,1,180,1,550,100,0,20,2,,1,2,0,,0,,0,,0,,0,,4,,2,2,,2,,2,,,,,1,1,2,,1,1,,100
612011,1978,1,1,1998,1,1,0,0,0,0,0,0,0,1,60000,,,,,,,,1100,2,70,1951,1,1,220000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,170,2,,,,2,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
612269,1996,2,,,,,,,,,,,,,,,,600,8,2,,4,,2,70,1970,1,1,260000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,10,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
612423,1983,1,1,1983,1,1,0,0,0,0,0,0,0,1,120000,,,,,,,,800,2,90,1970,1,1,280000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,150,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
613319,1989,1,1,1989,1,1,0,0,0,0,0,0,0,1,50000,,,,,,,,800,3,100,1958,2,1,270000,1,1,2,,2,,2,,2,,1,2000,1,1000,2,,,2,,,1,250,1,400,100,0,0,1,1,1,2,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,2,1,2,,100
613605,1978,2,,,,,,,,,,,,,,,,160,2,1,500,6,,2,105,1971,1,2,150000,2,,2,,2,,2,,2,,1,500,,,2,,,2,,,,,2,,,,0,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
613697,1966,2,,,,,,,,,,,,,,,,99,6,2,,8,,3,92,1960,1,1,80000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,50,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
613825,1957,1,1,1957,1,0,0,0,0,0,0,0,0,7,0,,,,,,,,600,3,90,1957,2,1,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,150,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
614068,1960,2,,,,,,,,,,,,,,,,60,6,1,300,7,,2,46,1955,1,1,30000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,50,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
614094,1980,1,1,1980,1,0,0,0,0,0,0,0,0,7,20000,,,,,,,,500,2,100,1979,2,1,150000,2,,1,2,2,,2,,2,,2,,2,,,,,,,,2,,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,1,2,2,,1,2,,100
614660,1987,4,,,,,,,,,,,,,,,,,,,,4,300,1,45,1972,1,2,100000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,30,2,,2,,1,1,0,,0,,0,,0,,,4,2,2,,2,,2,,,,,2,,2,1,1,2,,
614683,1987,1,1,1987,1,1,0,0,0,0,0,0,0,1,32000,,,,,,,,600,1,110,1945,2,2,230000,1,3,2,,2,,2,,2,,2,,2,,,,,,,,1,540,1,570,100,0,30,2,,1,1,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,2,1,1,,100
614783,1971,1,1,1971,1,0,0,0,0,0,0,0,0,2,30000,,,,,,,,800,1,140,1970,2,2,400000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,200,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
615309,1966,1,1,1966,1,1,0,0,0,0,0,0,0,3,27000,,,,,,,,500,1,68,1941,1,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,50,2,,,,20,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
615399,1967,1,1,2005,1,1,0,0,0,0,0,0,0,1,40000,,,,,,,,800,4,144,1940,2,1,500000,2,,2,,2,,2,,2,,1,30000,,,2,,,2,,,1,500,2,,,,50,1,1,2,,0,,0,,0,,0,,0,,4,,2,2,,2,,1,2,1,,,,,,,1,2,,100
615751,1969,1,1,1969,1,0,0,0,0,0,0,0,0,2,8000,,,,,,,,1200,3,105,1969,2,1,550000,1,1,2,,2,,2,,2,,1,1500,2,,2,,,2,,,1,200,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
616016,1971,1,1,1971,1,1,0,0,0,0,0,0,0,2,30000,,,,,,,,350,3,100,1971,1,1,60000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,600,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
616078,1986,1,1,1986,1,1,0,0,0,0,0,0,0,2,40000,,,,,,,,300,3,90,1980,1,1,60000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
616111,1960,1,1,1956,1,0,0,0,0,0,0,0,0,7,1000,,,,,,,,300,4,60,1956,1,1,80000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,400,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
616313,1986,1,1,1985,1,0,0,0,0,0,0,0,0,6,,,,,,,,,700,2,125,1965,1,1,180000,1,3,1,2,2,,2,,2,,1,1000,2,,2,,,2,,,1,500,1,1500,70,30,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
616381,1973,1,1,1992,1,1,0,0,0,0,0,0,0,3,14000,,,,,,,,450,3,96,1970,2,1,90000,2,,2,,2,,2,,2,,1,11000,,,2,,,2,,,1,216,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
617019,1988,1,1,1983,1,0,0,0,0,0,0,0,0,1,11000,,,,,,,,500,4,80,1890,1,1,200000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,2,,1,200,100,0,0,2,,2,,1,1,0,,0,,0,,0,,,2,2,2,,2,,2,,,,,2,,2,2,1,2,,100
617023,1994,1,1,1994,1,1,0,0,0,0,0,0,0,2,170000,,,,,,,,1000,4,210,1993,2,1,270000,1,3,2,,2,,2,,1,120000,2,,2,,,,,,,,1,748,1,554,100,0,80,2,,1,1,0,,0,,0,,0,,0,,1,,2,2,,2,,2,,,,,2,,2,2,1,1,,100
617089,1992,5,,,,,,,,,,,,,,,,,,,,3,300,4,60,1900,1,1,70000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,75,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,2,2,,
617231,1977,1,1,1977,0,1,0,0,0,0,0,0,0,7,40000,,,,,,,,350,4,120,1977,2,1,160000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,135,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
617398,1985,1,1,2012,1,0,0,0,0,0,0,0,0,6,,,,,,,,,1500,1,90,1600,1,2,600000,1,1,1,2,2,,2,,2,,2,,2,,,,,,,,1,700,1,500,100,0,20,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
617637,1959,1,2,1959,1,0,0,0,0,0,0,0,0,2,2200,2,,,,,,,700,3,70,1958,1,2,250000,2,,2,,2,,2,,2,,1,300,,,1,1,9,2,,,1,120,2,,,,50,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,75
617902,1989,1,1,1989,1,0,0,0,0,0,0,0,0,1,160000,,,,,,,,1500,1,140,1964,2,2,700000,1,5,2,,2,,2,,2,,2,,2,,,,,,,,1,800,1,4000,100,0,20,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
618079,1986,1,1,1986,0,1,0,0,0,0,0,0,0,8,5000,,,,,,,,700,2,92,1986,1,2,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,400,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,2,2,,100
618164,2003,1,1,1987,0,1,0,0,0,0,0,0,0,6,,,,,,,,,500,1,65,1930,1,1,140000,2,,2,,2,,2,,2,,1,250,,,2,,,2,,,1,126,2,,,,0,2,,2,,0,,1,1,0,,0,,0,,,1,2,2,,2,,2,,,,,1,1,1,,1,1,,100
618755,1972,1,1,1972,1,1,0,0,0,0,0,0,0,2,15000,,,,,,,,500,3,200,1972,2,1,250000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,452,1,309,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
619457,1991,1,1,2005,1,0,0,0,0,0,0,0,0,3,36000,,,,,,,,500,2,50,1957,1,1,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,170,2,,,,40,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
620481,1988,1,1,2005,0,1,0,0,0,0,0,0,0,4,,,,,,,,,800,2,100,1964,2,1,350000,1,4,2,,2,,2,,2,,1,1500,1,1100,2,,,2,,,1,200,1,400,100,0,0,2,,1,2,1,1,0,,0,,0,,0,,4,4,2,2,,2,,2,,,,,1,1,1,,2,1,,100
620503,1987,1,1,1985,1,1,0,0,0,0,0,0,0,1,25000,,,,,,,,300,3,130,1960,2,1,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,280,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
620649,1982,1,1,1982,1,1,0,0,0,0,0,0,0,7,33000,,,,,,,,500,3,94,1982,2,1,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,80,2,,,,50,2,,2,,1,1,0,,0,,0,,0,,,1,2,1,60000,2,,2,,,,,2,,2,2,1,2,,100
620805,1995,1,1,1995,1,1,0,0,0,0,0,0,0,5,90000,,,,,,,,500,5,166,1995,2,1,350000,1,2,2,,1,1,2,,2,,2,,2,,,,,,,,1,624,1,1077,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
620829,1995,1,1,1995,1,0,0,0,0,0,0,0,0,2,65000,,,,,,,,400,3,75,1995,1,1,160000,1,1,2,,2,,2,,2,,2,,1,600,2,,,2,,,1,148,1,286,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,1,,100
620858,2003,1,1,2003,1,1,0,0,0,0,0,0,0,2,360000,,,,,,,,700,4,100,2002,2,1,380000,1,1,2,,2,,2,,2,,2,,2,,,,,,,,1,168,1,299,100,0,10,1,1,2,,0,,0,,0,,0,,0,,4,,2,2,,2,,2,,,,,2,,2,2,2,2,,100
620862,1989,1,1,1976,0,1,0,0,0,0,0,0,0,4,,,,,,,,,1000,4,350,1870,2,1,1000000,2,,2,,1,1,1,1,2,,2,,2,,,,,,,,1,1000,1,4000,0,100,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
621685,1989,1,1,1966,1,0,0,0,0,0,0,0,0,4,,,,,,,,,700,1,110,1900,2,1,400000,1,1,1,1,2,,2,,2,,2,,2,,,,,,,,1,600,1,1000,40,60,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,1,1,2,,1,2,,100
621735,1979,1,1,1978,0,1,0,0,0,0,0,0,0,4,,,,,,,,,400,1,90,1900,1,1,130000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,140,2,,,,70,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
621762,1979,1,1,1986,1,0,0,0,0,0,0,0,0,5,70000,,,,,,,,400,1,140,1900,2,1,130000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,1,320,100,0,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
621766,1968,1,1,1968,1,0,0,0,0,0,0,0,0,4,,,,,,,,,200,1,93,1900,1,1,60000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,100,1,40,80,20,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
621773,1989,1,1,1987,0,1,0,0,0,0,0,0,0,1,25000,,,,,,,,400,1,100,1900,1,1,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,,,,100,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
621999,1925,1,1,1970,1,0,0,0,0,0,0,0,0,4,,,,,,,,,350,2,60,1890,1,2,150000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,50,2,,,,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
622031,1930,1,1,1965,1,0,0,0,0,0,0,0,0,4,,,,,,,,,400,2,90,1928,1,2,200000,2,,2,,2,,2,,2,,1,640,,,2,,,2,,,1,55,2,,,,30,2,,2,,0,,0,,0,,0,,0,,,,,1,600,2,,2,,,,,2,,2,2,1,2,,100
622034,1992,1,1,2005,1,0,0,0,0,0,0,0,0,2,70000,,,,,,,,600,1,110,1970,2,1,350000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,60,2,,,,20,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
622063,1980,1,1,1980,1,0,0,0,0,0,0,0,0,2,35000,,,,,,,,400,1,70,1979,1,2,200000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,50,2,,,,30,2,,2,,0,,0,,0,,0,,0,,,,,2,,1,650,2,,,,,2,,2,2,1,2,,100
622071,1998,1,1,1998,1,0,0,0,0,0,0,0,0,6,,,,,,,,,600,1,150,1970,2,1,350000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,60,2,,,,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
622228,1975,1,1,1975,1,1,0,0,0,0,0,0,0,5,60000,,,,,,,,500,4,200,1952,2,1,350000,2,,2,,2,,2,,2,,1,120000,,,2,,,2,,,1,1200,2,,,,10,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
622306,2011,1,1,2011,1,0,0,0,0,0,0,0,0,1,210000,,,,,,,,450,1,80,1973,1,1,250000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,134,2,,,,40,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
622707,1988,2,,,,,,,,,,,,,,,,200,6,1,350,7,,3,74,1985,1,1,190000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,30,,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,2,
622717,1980,1,1,1980,1,0,0,0,0,0,0,0,0,1,55000,,,,,,,,380,2,70,1960,1,2,230000,2,,2,,2,,2,,2,,2,,,,,,,,,,1,240,2,,,,40,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,2,,,,,2,,2,2,1,2,,100
622915,1992,2,,,,,,,,,,,,,,,,90,6,1,400,7,,3,70,1982,1,1,120000,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,,,80,,,2,,1,1,0,,0,,0,,0,,,2,2,2,,2,,2,,,,,2,,2,2,1,2,2,
623277,2003,1,1,2000,1,0,0,0,0,0,0,0,0,1,100000,,,,,,,,300,4,200,1930,2,1,150000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,1,320,1,20,80,20,100,2,,2,,1,1,0,,0,,0,,0,,,1,2,2,,2,,2,,,,,2,,2,2,2,2,,100
623281,1992,3,1,1994,1,0,0,0,0,0,0,0,0,3,25000,,,,,,,,350,3,105,1978,2,1,110000,2,,2,,1,1,2,,2,,2,,1,3000,2,,,2,,,1,312,2,,,,0,2,,2,,0,,0,,0,,0,,0,,,,,2,,2,,1,2,1,,,,,,,1,1,,100
