NQUEST,ctit,NCTIT,ictit,unaban,banche,anniban,servb1,servb2,servb3,servb4,servb5,servb6,privateb,scoper,utscoper,mesiscoper,vmscoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,DEPOSIT,NDEPOSIT
25138,2,,,1,1,4,1,1,1,0,0,0,2,1,1,10,2000,1,3000,1,1,2,,,1,1,2,,700,2,1,1
25148,2,,,1,1,4,1,1,1,0,0,0,2,1,2,,,,,1,4,2,,,1,3,1,1,400,1,1,3
25245,2,,,2,2,4,0,1,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,600,2,1,3
25625,2,,,2,3,5,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,3,2,,600,2,1,3
25930,1,1,1,1,1,4,1,0,0,1,0,0,2,1,2,,,,,1,1,2,,,1,2,2,,350,2,1,1
25968,1,1,2,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1200,2,1,1
25970,,,,1,1,4,0,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,850,2,1,2
26048,1,1,2,1,1,4,1,0,0,1,0,0,1,1,2,,,,,1,1,2,,,1,2,2,,1500,1,1,1
26163,2,,,2,2,4,0,0,0,0,0,0,2,2,,,,,,1,2,2,,,1,2,2,,1700,2,1,2
26281,2,,,1,1,4,1,0,0,0,0,0,2,3,,,,,,2,,,,,2,,2,,1000,2,1,1
26310,,,,1,1,4,1,0,0,0,0,0,2,,,,,,,2,,,,,2,,2,,1000,2,1,1
26349,2,,,1,1,4,1,0,0,0,0,1,2,1,2,,,,,1,1,2,,,1,1,2,,300,2,1,1
26684,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
27109,,,,1,1,4,0,0,0,0,0,1,2,,,,,,,2,,,,,2,,2,,850,2,1,1
27114,,,,1,1,4,0,0,0,0,0,1,2,,,,,,,2,,,,,2,,2,,1200,2,1,1
27116,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1000,2,1,1
27123,2,,,1,1,1,1,0,0,0,0,0,2,1,2,,,,,1,1,2,,,1,1,1,1,500,2,1,2
27155,2,,,2,2,1,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,1,1,700,2,1,2
27157,2,,,2,2,4,1,0,0,0,0,0,1,1,1,12,3000,1,3000,1,1,2,,,2,,1,1,800,2,1,2
27224,2,,,2,2,4,1,1,0,0,0,0,2,1,2,,,,,1,1,3,1,700,1,2,2,,1500,2,1,2
27238,2,,,1,1,3,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,2,2,,1000,2,1,1
27505,2,,,1,1,4,1,0,0,0,0,0,2,3,,,,,,1,1,1,,,1,1,2,,1000,2,1,1
27509,2,,,1,1,4,1,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,2,,500,2,1,1
27730,2,,,2,2,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,3,1,1,800,2,1,2
27734,2,,,1,1,4,1,0,1,1,0,0,2,1,2,,,,,2,,,,,1,2,1,1,500,2,1,1
27739,2,,,1,1,4,0,0,0,0,0,1,2,3,,,,,,2,,,,,1,1,2,,800,2,1,1
27742,2,,,2,2,1,0,0,0,0,0,0,2,2,,,,,,1,1,1,,,1,1,2,,700,1,1,3
27744,2,,,1,1,4,1,0,0,1,0,0,2,1,2,,,,,2,,,,,1,1,2,,800,2,1,2
27881,2,,,1,1,3,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,120,2,1,1
27912,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,1800,2,1,2
27923,2,,,2,2,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,1300,2,1,2
27930,2,,,1,1,4,1,0,0,0,0,0,2,1,2,,,,,2,,,,,1,1,2,,1600,2,1,1
27947,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,2,,2,,1600,2,1,2
28100,2,,,1,1,4,1,0,0,0,0,0,2,2,,,,,,2,,,,,1,2,2,,2000,2,1,1
28331,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,2,,,,,1,1,2,,200,2,1,1
28346,2,,,1,1,4,0,0,0,0,0,1,2,2,,,,,,2,,,,,1,1,2,,1300,2,1,1
28362,2,,,1,1,4,1,0,0,0,0,0,2,3,,,,,,2,,,,,1,1,2,,1000,2,1,1
28441,1,1,2,2,3,4,0,0,0,1,1,0,2,3,,,,,,2,,,,,1,1,2,,1000,2,1,4
28802,2,,,1,1,4,0,0,0,0,0,0,2,2,,,,,,1,1,2,,,1,1,2,,1000,2,1,1
