nquest,numadd,numdip,quopro,forgiu,fatlor,ym,debatt1,ndebatt1,debatt2,ndebatt2,debcom,tdebcom,credcom,tcredcom,tfr,immob,valaz,ind1,ind2,ind3,ind4,ind5,ind6,attivp1,attivp2,attivp3,attivp4,attivp5,attivp6,mesilav1,mesilav2,mesilav3,mesilav4,mesilav5,mesilav6,oretot1,oretot2,oretot3,oretot4,oretot5,oretot6
856297,10,8,40,8,80000,60000,2,,2,,2,,2,,25000,1,3000000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
856800,5,4,100,8,680000,190000,2,,2,,2,,2,,,2,2400000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
857519,1,0,100,8,25000,18000,2,,2,,2,,1,5000,,2,200000,2,,,,,,1,,,,,,12,,,,,,60,,,,,
858090,1,0,100,8,5000,2000,2,,2,,2,,2,,,1,150000,2,,,,,,1,,,,,,2,,,,,,8,,,,,
859464,2,0,50,8,25000,10000,2,,2,,2,,2,,,1,200000,1,,,,,,1,,,,,,12,,,,,,30,,,,,
860940,9,7,100,8,52000,35000,2,,2,,1,10000,1,50000,12000,2,60000,1,2,,,,,1,1,,,,,12,12,,,,,70,50,,,,
862604,2,1,100,8,34000,22000,2,,2,,2,,2,,4500,1,100000,2,,,,,,1,,,,,,12,,,,,,60,,,,,
863705,3,2,100,8,40000,25000,2,,2,,1,3000,1,5000,2000,2,50000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
864621,38,35,70,1,40000,25000,2,,2,,2,,2,,65000,2,350000,1,2,,,,,1,1,,,,,12,12,,,,,60,45,,,,
864875,2,0,100,9,100000,25000,2,,2,,2,,2,,,2,30000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
866575,8,3,33,7,,,1,2,2,,2,,1,10000,45000,1,500000,1,2,,,,,1,1,,,,,12,12,,,,,60,25,,,,
868251,2,1,100,9,35000,12000,1,1,1,1,2,,2,,,1,60000,1,2,,,,,1,1,,,,,12,1,,,,,70,2,,,,
871191,1,1,100,8,100000,5000,2,,2,,2,,2,,1000,2,0,2,,,,,,1,,,,,,4,,,,,,24,,,,,
871291,4,0,100,7,100000,55000,2,,2,,2,,2,,,1,50000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
871412,1,0,100,8,40000,20000,2,,2,,2,,2,,,1,500000,3,,,,,,1,,,,,,12,,,,,,40,,,,,
871995,5,0,100,8,100000,50000,1,3,2,,1,30000,1,20000,6000,1,150000,1,2,,,,,1,1,,,,,12,12,,,,,50,60,,,,
872296,2,0,100,8,70000,42000,2,,2,,2,,1,4000,,1,550000,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
872713,1,1,100,8,17000,12000,2,,2,,2,,2,,20000,2,45000,2,,,,,,1,,,,,,12,,,,,,45,,,,,
873172,6,2,60,7,100000,60000,2,,1,3,1,70000,1,80000,15000,1,200000,1,2,,,,,1,1,,,,,12,12,,,,,50,40,,,,
873562,1,0,100,8,7000,0,2,,2,,2,,2,,,2,50000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
874681,4,0,50,7,40000,25000,2,,2,,2,,2,,,2,100000,1,3,,,,,1,1,,,,,12,12,,,,,60,30,,,,
874847,1,0,100,8,10000,5000,2,,2,,1,4000,2,,,2,15000,3,,,,,,1,,,,,,12,,,,,,40,,,,,
874891,6,4,100,8,120000,30000,2,,2,,1,25000,1,10000,36000,1,150000,1,2,,,,,1,1,,,,,12,12,,,,,55,55,,,,
875649,2,0,30,7,60000,40000,2,,2,,2,,2,,,2,0,1,4,,,,,1,1,,,,,12,12,,,,,40,40,,,,
875909,10,8,25,1,200000,40000,2,,2,,2,,1,15000,70000,1,300000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
876079,1,0,100,8,20000,10000,2,,2,,2,,2,,,1,500000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
876520,2,1,100,9,50000,20000,2,,2,,1,5000,1,200,15000,2,50000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
876524,3,2,100,9,45000,25000,2,,2,,1,10000,1,10000,10000,1,70000,1,3,,,,,1,1,,,,,6,12,,,,,10,40,,,,
876581,2,0,50,7,13000,10000,2,,2,,2,,2,,,2,15000,1,,,,,,1,,,,,,11,,,,,,40,,,,,
877124,5,2,30,9,41000,30000,2,,2,,2,,2,,,1,40000,1,,,,,,1,,,,,,12,,,,,,38,,,,,
877821,1,0,100,8,4000,2000,2,,2,,2,,1,6000,,2,10000,3,,,,,,2,,,,,,3,,,,,,10,,,,,
878683,1,0,100,8,15000,2000,1,1,2,,1,2500,1,1500,,1,400000,1,,,,,,1,,,,,,12,,,,,,56,,,,,
878981,4,0,30,6,30000,10000,2,,2,,2,,2,,,2,100000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
879106,1,0,100,8,30000,18000,2,,2,,2,,2,,,1,100000,2,,,,,,1,,,,,,12,,,,,,50,,,,,
879112,2,1,10,8,40000,25000,2,,2,,2,,2,,12000,2,150000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
879638,14,13,50,1,85000,49000,2,,1,3,1,140000,1,930000,150000,2,3000,1,,,,,,1,,,,,,12,,,,,,70,,,,,
879703,2,0,49,8,17000,14000,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,12,,,,,,40,,,,,
879875,6,5,100,1,200000,120000,2,,2,,2,,2,,20000,2,10000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
880191,8,4,25,1,30000,15000,2,,2,,2,,1,20000,16000,2,100000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
880195,3,1,50,9,35000,15000,2,,2,,2,,1,4000,7000,1,150000,1,,,,,,1,,,,,,10,,,,,,50,,,,,
