NQUEST,comprens,ita,veroaf,veroab,verored,klima,facil,durata
32206,9,8,8,9,8,9,9,89
32209,9,9,10,10,9,10,10,62
32210,9,7,6,8,8,10,9,82
32229,8,9,9,9,9,10,7,41
32288,8,8,8,8,6,7,7,54
32318,10,10,10,10,10,10,10,28
32320,10,10,10,10,10,10,10,62
32328,7,9,9,8,8,10,10,27
32470,8,8,9,10,10,8,8,49
32471,10,10,10,10,10,10,10,41
32524,10,10,10,10,10,10,8,79
32556,10,10,10,10,10,10,10,42
32668,9,9,9,9,9,9,9,44
32703,9,8,10,10,10,10,9,64
32709,10,9,10,10,10,10,10,73
32713,10,10,7,10,7,10,10,59
32729,7,7,6,9,6,10,7,74
32733,5,6,6,9,7,10,6,57
32734,7,7,7,9,7,10,7,58
32742,7,7,6,8,6,10,7,53
32751,7,7,6,8,8,7,7,60
32764,7,7,6,7,6,6,6,49
32765,8,8,6,8,8,8,8,44
32772,8,8,8,8,8,8,8,65
32810,7,8,10,10,10,10,10,42
32822,7,8,7,8,8,8,8,47
32839,9,10,8,9,8,9,9,50
32861,9,9,8,9,9,9,9,34
32887,9,10,8,8,6,8,9,47
32962,10,10,10,10,10,10,7,73
32982,9,9,9,10,10,10,8,35
32987,8,7,10,10,10,8,7,53
33036,10,10,10,10,10,10,10,38
33038,9,8,9,8,8,9,9,65
33228,7,7,8,8,8,8,6,66
33245,7,7,6,7,7,6,6,54
33275,10,10,10,10,10,10,10,34
33303,7,7,6,8,8,6,6,49
33328,10,10,10,10,10,10,10,85
33335,10,10,10,10,10,10,10,80
33336,10,10,10,10,10,10,10,40
33348,10,10,10,10,10,10,10,49
33451,9,9,8,9,8,10,9,30
33455,8,10,8,8,8,10,8,45
33479,8,8,8,9,9,10,8,28
33644,6,6,4,6,6,7,6,36
33751,10,10,8,9,9,9,9,39
33761,10,9,8,9,9,8,8,38
33773,9,8,8,9,8,8,8,29
33777,9,9,9,9,9,9,9,44
33778,9,9,9,9,9,9,9,48
33781,9,9,9,9,9,9,9,47
33823,6,8,8,8,8,8,8,39
33839,7,8,8,9,8,9,9,45
33877,8,9,9,9,9,9,9,50
33882,8,9,9,9,9,9,9,48
33888,4,6,8,7,8,9,5,22
33889,9,9,9,9,9,9,9,44
33937,7,7,6,6,6,8,8,68
33941,8,8,9,10,9,9,9,113
33983,10,10,10,10,10,10,10,68
33985,10,10,10,10,10,10,10,75
33994,10,10,10,10,10,10,10,99
34059,10,10,10,10,10,10,9,42
34230,10,10,10,10,10,10,10,30
