nquest,nord,SEX,PARENT,ANASC,CIT,ANINGR,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,NORDP,MOTENT,APQUAL,ASNONOC,NACE,motiv,annoenus,tipolau,tipodip,NASCREG,NASCAREA,ireg,NCOMP,ETA,CLETA5,QUAL,Q,APSETT,SETT,CFRED,PERC,NPERC,AREA3,AREA5,ACOM4C,pesofit
7886,1,1,1,1950,1,,1,5,36,60,2,1969,2,1,,15,2,11,,,,2,9,2,9,2,62,4,6,3,11,5,1,1,2,2,3,0,0.7845893114
7886,2,2,2,1953,1,,1,5,36,60,2,1974,2,2,,2,,15,,,,2,9,2,9,2,59,4,2,1,15,3,0,1,2,2,3,0,0.7845893114
11972,1,2,1,1948,1,,1,2,,,,,,1,,9,,7,,,,,16,3,17,2,64,4,5,2,7,4,1,1,2,3,4,2,0.2169786776
11972,2,1,2,1938,1,,1,2,,,,,,2,,15,9,7,,,,,16,3,17,2,74,5,6,3,7,5,0,1,2,3,4,2,0.2169786776
20174,1,1,1,1941,1,,1,5,7,10,2,1962,2,1,,15,2,11,,,,2,8,1,8,2,71,5,6,3,11,5,1,1,2,1,2,2,0.4647137601
20174,2,2,2,1942,1,,1,3,,,,,,2,,15,1,7,,,,,8,1,8,2,70,5,6,3,7,5,0,1,2,1,2,2,0.4647137601
20223,1,2,1,1938,1,,1,5,50,60,2,1965,2,1,,15,2,3,,,,2,3,1,3,3,74,5,6,3,3,5,0,1,3,1,1,2,0.2346955866
20223,2,1,2,1939,1,,1,4,,,,,,2,,15,8,3,,,,,16,3,3,3,73,5,6,3,3,5,1,1,3,1,1,2,0.2346955866
20223,3,1,6,1971,1,1975,2,8,110,110,2,1998,,3,,8,,7,,,10,2,,,3,3,41,2,5,2,7,4,0,1,3,1,1,2,0.2346955866
20297,1,1,1,1960,1,,1,3,,,,,,1,,1,,6,,,,,5,1,5,2,52,3,1,1,6,4,1,1,2,1,2,2,2.44064681
20297,2,2,2,1979,2,2007,1,3,,,,,,2,,1,,9,2,,,,,,5,2,33,1,1,1,9,4,0,1,2,1,2,2,2.44064681
20711,1,2,1,1945,1,,1,3,,,,,,1,,13,,,,,,,4,1,4,2,67,5,7,3,,5,0,0,1,1,2,0,1.0094102203
20711,2,1,2,1944,1,,1,2,,,,,,2,,15,1,6,,,,,4,1,4,2,68,5,6,3,6,5,1,1,1,1,2,0,1.0094102203
20837,1,1,1,1931,1,,1,4,,,,,,1,,15,2,11,,,,,8,1,8,2,81,5,6,3,11,5,1,1,2,1,2,2,0.1709799955
20837,2,2,2,1928,1,,1,2,,,,,,2,,15,1,7,,,,,8,1,8,2,84,5,6,3,7,5,0,1,2,1,2,2,0.1709799955
21384,1,1,1,1958,1,,1,3,,,,,,1,,8,,19,,,,,19,3,19,4,54,3,5,2,19,4,1,1,2,3,5,2,0.2534754867
21384,2,2,2,1962,1,,1,3,,,,,,2,,13,,,,,,,19,3,19,4,50,3,7,3,,5,0,0,2,3,5,2,0.2534754867
21384,3,1,6,1982,1,,2,3,,,,,,3,,1,,19,,,,,19,3,19,4,30,1,1,1,19,4,0,1,2,3,5,2,0.2534754867
21384,4,2,6,1989,1,,2,5,75,100,2,2008,1,4,,17,,,,,,2,19,3,19,4,23,1,7,3,,5,0,0,2,3,5,2,0.2534754867
