nquest,debm21,debrf21,tdebita21,mutuodu21,mutuoin21,anmutuo21,tmutuoab21,tipotax21,debgar21_1,debgar21_2,debgar21_3,debpers21,debm22,debrf22,tdebita22,mutuodu22,mutuoin22,anmutuo22,tmutuoab22,tipotax22,debgar22_1,debgar22_2,debgar22_3,debpers22,debm23,debrf23,tdebita23,mutuodu23,mutuoin23,anmutuo23,tmutuoab23,tipotax23,debgar23_1,debgar23_2,debgar23_3,debpers23,taxfis21,taxvar21,taxfis22,taxvar22,taxfis23,taxvar23
684326,1,2,7000,10,70000,2003,8000,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,
684727,1,2,175000,15,800000,2002,24000,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
684973,3,3,4000,5,8000,2010,600,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
686006,1,2,110000,25,135000,2006,5500,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
686185,1,2,40000,20,50000,2011,4800,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
687164,2,1,4500,8,28500,2005,5400,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
687327,2,2,32000,10,60000,2008,5820,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
688009,1,2,45000,20,100000,2003,600,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
688287,1,2,25000,15,75000,2002,6000,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
701579,1,2,30000,3,35000,2012,7760,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
706832,1,2,103000,20,110000,2011,9200,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,
707344,1,3,32000,15,40000,2007,500,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
709442,1,2,70000,15,110000,2007,8750,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,
710303,1,2,26000,5,50000,2010,12000,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
712136,1,2,30000,10,60000,2009,6000,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.45,,,,,
