Variabile;Modalita;freq_pond;n_indeb_imm_pond;n_indeb_cons_pond;n_indeb_carte_pond;n_indeb_az_pond;n_indeb_CC_pond;n_indeb_3_pond;n_indeb_fam_pond;n_indeb_compl_pond;sum_PFIMM_pond;sum_PFCONS_pond;sum_PFCARTE_pond;sum_PFAZ_pond;sum_PFCC_pond;sum_PF3_pond;Deb_tot_pond;sum_W_indeb_pond;sum_Y_FAM_indeb_pond;sum_MUTUOIN1_pond;sum_TDEBITA1_pond;Durata_Ori_pond_MUTUOIN1;Durata_Res_pond_TDEBITA1;LTV1_pond_MUTUOIN1;Tasso_pond1;sum_MUTUOIN1_SOSPENS1;sum_MUTUOIN2_pond;sum_TDEBITA2_pond;Durata_Ori_pond_MUTUOIN2;Durata_Res_pond_TDEBITA2;LTV1_pond_MUTUOIN2;Tasso_pond2;sum_MUTUOIN3_pond;sum_TDEBITA3_pond;Durata_Ori_pond_MUTUOIN3;TAEG_pond3;sum_MUTUOIN4_pond;sum_TDEBITA4_pond;Durata_Ori_pond_MUTUOIN4;Tasso_pond4;sum_TDEBITA3_1_pond;sum_TDEBITA3_2_pond;sum_TDEBITA3_3_pond;sum_TDEBITA3_4_pond;sum_TDEBITA3_5_pond
IREG;7;281.28472001;19.631830578;13.767397904;3.1342983141;7.3297798736;11.301778247;3.0355994766;37.753024149;44.604358028;1390173.853;119160.60974;5140.5939552;298717.37922;39314.159311;278071.15947;2130577.7547;14426526.126;1995378.8747;2425586.153;1326549.6662;22.168164485;15.297765087;65.798334643;2.9609644568;0;299352.44473;63624.186829;16.050673732;6.6624750183;80.506737319;2.069736247;167433.95739;119160.60974;5.7623647838;3.2361941724;118471.54856;44814.829712;17.163576429;3.9437057651;101063.06345;3573.3384258;0;14524.207859;0
IREG;8;549.7159756;70.783995259;72.332962655;11.808163106;17.183099958;24.235400175;12.010403673;141.83020059;150.96255;6333795.0806;570588.33786;19399.347481;537302.48791;80011.480057;315342.10214;7856438.8361;43479469.99;6582494.7208;8384484.6748;6037814.727;25.583487329;21.087385081;76.594393714;2.3495359274;1083176.5769;872378.3057;295980.3536;12.912521461;8.5858983716;57.783392343;3.259157919;968318.29759;570588.33786;6.5536556377;3.5991329463;697528.24959;402445.0459;11.77032973;4.394519028;410225.64013;25329.956125;13943.697322;118851.23885;0
IREG;9;412.56367288;43.577597881;33.591111559;7.6317177313;6.3786692671;7.1788303831;1.8269076671;83.101808744;86.189055159;3410591.1298;230728.39269;10786.329787;183939.95111;15070.214713;76574.250779;3927690.2689;23966324.354;3712743.4348;4737502.0186;3058205.3026;22.079929885;16.655243915;64.105682199;3.4583349283;104693.89265;492087.812;352385.82714;14.474841027;10.715708007;42.147269181;1.8810090519;387402.6275;230728.39269;5.1349922529;5.2193212809;150196.36129;118939.386;15.245131334;2.4820582679;212304.0997;12720.70661;82.502873365;5621.0835027;0
IREG;10;132.84663766;16.683080088;11.363748397;0.4796901194;4.735586052;8.9766475342;3.0261651576;31.629412961;34.191200996;1524897.3697;58116.591349;239.8450597;65777.863258;39989.790302;49221.830927;1738243.2905;7889540.8961;1356614.7343;1878284.2302;1439077.583;24.963150231;18.48460682;67.976429865;2.8757293063;123028.11433;144607.40017;85819.786655;13.018026757;6.0217017232;85.258631496;3.4887929732;100739.51779;58116.591349;4.8162860059;5.0124140932;97964.174822;43558.515475;8.3849293546;5.1941794168;49199.178847;721.05243473;0;8196.3600671;0
IREG;11;273.85365638;27.499732118;16.394019496;0.3620620643;19.802740627;8.2996714469;9.9274976241;56.487436525;71.119770833;1719256.1915;151534.10316;362.0620643;201585.38423;22849.211924;78843.974933;2174430.9278;13939252.378;2271817.4749;2384151.1644;1716600.7726;24.995703959;17.261166778;78.037832572;3.5825185241;0;5310.8376943;2655.4188472;5;5;10;7;191297.93681;151534.10316;5.1739425883;2.8321420331;65644.296462;23273.886927;6.3636363636;3.6153846154;150227.04344;1307.0597141;0;0;0
IREG;12;701.22989813;76.773438034;37.393303527;20.181322794;10.401716991;11.509175222;22.041367763;140.30460484;141.615208;10965785.612;307198.67593;42735.825862;1561133.9974;44742.773076;194429.78992;13116026.675;30470207.624;5962239.9284;11471851.978;8168288.0057;26.283113451;20.271055573;80.115259985;2.2735510227;39657.988717;3445293.8806;2797497.6067;24.743194621;23.526995844;63.619083487;1.5740831726;484076.10331;307198.67593;6.4888471918;5.5433493057;2310143.9691;1558852.5833;21.896704355;2.7428734934;250801.6343;8224.4984989;3669.8962198;44502.646917;0
IREG;13;115.48410825;14.613086991;16.413724738;4.7504841664;6.8074837472;3.1958275631;9.1397260963;40.227587977;40.991939644;1123314.1156;85012.075213;5720.0804471;138606.19858;9839.4670937;60578.551801;1423070.4888;8725210.0816;1353796.9632;989061.94443;796864.38593;20.321598128;18.118327229;74.885375102;2.7818946865;0;550876.59219;326449.7297;22.62757342;15.084327365;81.111065994;3.1441875687;165000.31284;85012.075213;5.8351764768;3.9275108802;322846.05823;122820.40483;19.127391949;3.3003858065;54856.143871;5451.9510258;0;24703.980316;0
IREG;14;116.63844484;2.7254544679;8.3724333005;4.8334038406;9.4089376753;5.2812704368;1.9516050011;13.820239075;18.562308247;4088.1817018;155046.97682;4464.9792557;81868.465091;9741.5931771;1951.6050011;257161.80104;5437466.3175;698909.37304;81763.634037;4088.1817018;10;1;50;2.5;0;;;;;;;173938.77927;155046.97682;7.055236693;4.9589026158;80427.029719;71093.292713;7.9013060158;6.8358331939;749.16781077;1430.3540931;0;152867.45491;0
IREG;15;616.40414859;17.181737103;54.513933808;8.9540795157;7.8525456416;11.624376385;35.243047312;113.7256106;120.43676313;1236736.3923;382015.50693;4798.4696896;99256.373122;30780.302244;164238.88454;1917825.9289;27599800.552;3316816.9532;1342764.387;925533.8064;21.805744104;14.132408278;91.329395835;5.4458941094;0;406717.67354;311202.58593;10.352954685;9.5340045673;99.29409063;1.3471029687;809833.18188;382015.50693;6.6211574895;7.0251394256;42843.941925;37488.449184;8;7;226978.20575;14064.999235;0;136334.81677;4637.4851816
IREG;16;487.03699152;21.933595347;37.050109265;4.1876779001;20.386119783;31.901295177;6.019809483;72.984057209;83.443573132;1788180.8696;203423.67834;10747.107607;461398.15438;65410.14111;13762.931085;2542922.8821;18115403.207;2658436.5788;2511137.7654;1749481.8559;24.008652704;16.890263798;65.693148031;4.1862363308;190940.11693;44116.875561;38699.01365;20;18;100;7.5;351612.60127;203423.67834;4.7374554012;6.7482211153;845960.50818;330786.43951;10.75160926;6.6105102562;82225.909052;36394.451736;0;84803.317552;0
IREG;17;190.62136704;20.817865422;10.078008359;5.2825960873;14.746409803;15.776714247;12.64378338;51.21556991;59.207516662;628092.02649;140989.12284;7902.9026084;254887.0701;61562.151754;387841.5114;1481274.7852;9442258.005;1639473.9209;1080848.6311;628092.02649;21.086964563;13.543967036;65.25251555;3.6100472772;0;;;;;;;233043.51614;140989.12284;10.353981173;5.7874635635;296447.29985;107534.09254;11.885967736;3.8425151098;12234.22077;48288.191503;0;74546.860205;5919.8503655
IREG;18;287.58011372;4.1451448088;12.635137398;0;0;14.182766326;5.1430043025;32.283288062;32.283288062;132112.70307;118202.13803;0;0;25466.779688;55112.435743;330894.05653;2026525.2785;633032.58103;191733.29456;132112.70307;18.623781056;11.365083768;63.907324176;4.6592828288;0;;;;;;;223982.87261;118202.13803;10.647464603;1.5004774368;;;;;92612.587598;6118.1142903;0;19471.436146;0
IREG;19;390.95552074;21.589267994;44.830690002;3.7232812889;9.5226616663;5.3056891114;29.147740593;96.475338909;98.908915371;859007.15814;314306.10676;6327.3762232;316235.38138;91582.735517;141681.94374;1729140.7018;14736265.964;2556529.1063;1404934.4618;800939.29379;19.254432918;13.137122223;76.112990558;3.9982704047;0;131179.71096;58067.864341;11.561346031;3.2524463056;53.104342403;3.7247032925;615062.51278;314306.10676;5.8483914461;3.8991777923;437505.14451;301345.0598;13.207740376;4.4362994491;248436.98564;9215.3736987;196.5236267;56457.223788;0
IREG;20;173.8241252;14.295618659;9.9863531882;1.2139665196;3.7364946991;3.6950108304;2.5015971538;29.594908268;32.355297609;843497.85905;50191.653672;904.41861204;191024.56159;2470.0769801;6007.9895311;1094096.5594;6977622.0649;1185129.4556;1063383.868;777958.27771;22.46638507;16.901313388;76.189802236;4.1182210473;0;77302.086007;65539.581345;13.912212726;9;89.122127257;2.7690574113;91908.171593;50191.653672;4.1266853563;3.9125934061;253549.24038;175367.29153;9.9341392679;6.39344393;34909.358715;7628.886652;2302.4922179;5350.916087;0
ACOM5;1;1497.2128966;70.595834445;82.91160953;14.018893588;36.930131464;45.009381513;28.40818682;204.96417802;224.18036747;3979543.816;473692.73644;12900.015558;4950506.793;147014.38125;453657.41607;10017315.158;47075364.43;7208357.6755;7387950.3851;3867726.0681;22.124367228;13.122422403;72.866110056;3.040379581;123028.11433;173823.18609;111817.74788;14.694406195;14.334281731;50.157427331;3.8346189638;1017144.42;473692.73644;5.2876641285;5.7933275087;5055033.985;4673101.7568;15.476949985;3.1956208628;393691.4048;12577.626059;13943.697322;48842.523081;4637.4851816
ACOM5;2;1934.6126185;207.28552545;176.45873006;35.597256379;59.515175873;75.41995209;37.322649249;421.74241724;449.40547232;14338844.332;1500052.9284;54948.397712;1797738.5585;231770.29776;688555.48598;18611910;96062290.311;17120678.095;19937541.51;13189205.193;22.841533485;16.478839181;76.502685354;2.9880100355;1355958.1722;1979622.0334;1149639.1389;16.61038103;11.783353577;83.89569966;2.6537265724;2276475.1319;1500052.9284;7.1932063042;4.6458361785;1745506.173;880577.66388;13.632317455;5.4663334088;878979.97899;72749.924247;0;479819.14369;68503.881504
ACOM5;3;1390.6381737;119.70243087;101.81784099;21.831333092;31.71593119;43.414311272;53.523911573;277.28435823;296.22032852;8150189.4067;805539.21722;50643.291363;1006133.9124;139143.63465;387819.00094;10539468.463;67205487.499;10482642.006;12256716.411;7629653.4608;22.77075421;16.536733236;75.288126374;3.0348272126;475182.9021;695282.72773;520535.94588;15.919804334;14.172550809;74.841163194;2.4099244939;1425748.8887;805539.21722;5.8842516743;4.4058080375;1275619.4019;665597.60439;11.492172022;4.0719105867;588639.13253;59252.103926;82.502873365;145638.02582;11927.452069
ACOM5;4;1338.7416922;136.36256625;106.95665763;18.651222047;25.94325783;46.346569043;41.457692639;282.74649151;294.90680918;10345255.665;925475.18285;26851.088206;942976.97014;155898.74211;336008.96258;12732466.611;61108266.881;11088526.176;14088527.096;9438425.7744;24.164082173;19.157728561;72.807382003;2.9361968111;106193.9772;1605653.9819;906829.89104;15.744582774;11.288038308;60.571228611;2.8612389721;1426160.892;925475.18285;5.8965941655;4.6901559054;1211392.129;746806.97426;16.201624403;4.5694383264;649450.6291;64645.410725;6168.9120644;199290.38059;5919.8503655
ACOM5;5;1258.7946248;154.40008237;113.02928699;25.666275398;26.580711885;44.893044778;47.584507013;308.95242558;314.80860648;20351723.186;983897.89374;47293.414246;3259130.5503;198645.5662;1217014.2719;26057704.882;87290226.278;13250099.703;22053685.425;15941971.962;25.432647964;20.391443501;75.005788107;2.1288910935;190940.11693;5734814.0365;4409751.2233;22.718762931;21.045913565;63.281508155;1.8411328508;1548749.8936;983897.89374;5.661229911;4.4407836156;4208846.5874;3064996.8552;17.158472578;2.6952326913;775034.03806;62899.36162;0;116821.81274;26904.875877
NCOMP;1;2497.6983299;127.19685946;109.93567217;31.615645233;26.539973182;33.34157187;60.182141664;286.69733253;296.13767579;10426656.93;747052.25037;30552.045707;1257280.9795;80760.379496;1514111.8158;14056414.401;50060602.196;7144989.6646;12621372.778;9005979.1873;24.205379306;20.343761297;73.609577031;2.7800894369;190940.11693;2257859.6124;1420677.7424;18.209205462;10.964301517;57.201285259;2.1386185104;1374147.8167;747052.25037;6.2171504082;4.832041159;1604804.2508;1008990.0127;13.547669391;2.8156946865;637686.29406;25565.950288;0;83800.006022;0
NCOMP;2;1980.9157358;130.07017874;126.0272343;32.548673181;36.417271298;53.166361521;48.357668609;324.55968058;345.61209971;11754976.378;1002364.5348;56062.258278;6469190.1608;166453.54541;592783.05949;20041829.937;82146561.074;12456718.038;13509062.947;9069935.1066;24.784338253;18.080872894;74.738849268;2.4329952608;164698.50552;3299298.8605;2685041.2712;25.680587377;25.669046276;68.375681195;2.0774384494;1811510.7974;1002364.5348;7.1551025444;5.4388390528;7317063.0272;6306014.7294;18.112289758;2.865151239;609947.45396;106177.26748;6251.4149378;279174.79229;813.60609782
NCOMP;3;1305.0097319;155.37947721;163.42996257;17.547519645;48.669593314;56.730134944;41.329412293;365.24382398;395.96515799;11030684.273;1277445.2728;42756.994765;921947.04412;195049.75598;170795.56034;13638678.901;82971910.37;15318348.472;16377313.425;10375646.541;21.966701217;15.424530013;71.828203505;2.9772904747;122504.07527;975536.21668;655037.73172;20.731719716;13.910211169;82.225538404;3.3356884735;2009206.1059;1277445.2728;5.5030557904;4.2405906443;623403.66911;345124.47291;9.3445375875;4.391795879;869873.73942;85839.492024;13943.697322;256974.48121;48576.057395
NCOMP;4;1189.5391792;209.42843713;136.75680967;22.731043688;63.248419048;71.058937675;35.891894412;377.78993763;399.79810095;16611724.103;1189674.4244;34313.046901;3063364.5622;274874.65154;660306.36505;21834257.153;103359273.09;17785074.465;23665379.244;14934887.652;23.684162321;17.434461113;76.818802115;2.7657154418;801526.67585;2420351.9956;1676836.4509;16.384046441;13.685129508;68.07395314;2.0771175167;1740491.7776;1189674.4244;5.8164095081;4.2057540025;3545658.9526;2141626.8779;11.165032787;5.1565494639;834036.79507;30731.633021;0;324905.99634;0
NCOMP;5;349.44973717;58.112884531;40.626543459;7.670371197;3.0577899046;32.315019045;14.402308701;115.30455876;115.91401242;6391679.9389;440534.399;25522.518859;38963.913504;105632.32345;87647.919392;7089981.0132;36931074.682;5391851.4669;8533020.6301;5889944.3122;25.078688541;20.172892422;75.858819257;2.4303478098;913579.37864;1059289.0375;501735.62672;12.268564478;12.219757128;66.228857892;2.0013021488;711139.84639;440534.399;6.0801158653;5.062221964;29761.948795;26785.753916;5;1.1;303954.63643;22519.271009;0;45556.610064;68503.881504
NCOMP;6;64.264601165;4.2920331181;2.2809074311;1.3682758083;2.7521614966;3.5812956149;5.5000407263;11.516214049;11.516214049;560832.65152;11475.618927;1830.9263489;205740.12418;19241.083656;36342.570254;835462.97489;1494873.8782;347553.42492;491757.51609;401587.52745;25.087679666;21.815417807;88.463062564;3.7277080541;0;176860.24293;159245.12407;18.975894426;18.089187449;96.819284459;1;26612.925935;11475.618927;7.7248927076;8.1140691;375706.4278;202539.00775;23.165929686;3.1269799069;10184.806176;1290.8127515;0;0;0
NCOMP;7;23.524012402;1.524154949;2.1169956173;2.2834517514;0;4.8899380258;0;9.6024279072;9.6024279072;248457.27623;20111.458364;1598.416226;0;30460.882431;0;300628.03325;1262057.5608;528614.99558;339121.14617;248457.27623;25.424397058;14.863519468;70.014323019;2.9045300963;58054.530577;;;;;;;21169.956173;20111.458364;5;8.3;;;;;20111.458364;0;0;0;0
NCOMP;8;6.8286564402;0;0;0;0;0;2.6334808888;2.6334808888;2.6334808888;0;0;0;0;0;21067.847111;21067.847111;505628.33065;75185.879376;;;;;;;;;;;;;;;;;;;;;;;;;;
NCOMP;9;0.4276074237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;
NCOMP;11;2.3424142501;2.3424142501;0;0;0;0;0;2.3424142501;2.3424142501;140544.855;0;0;0;0;0;140544.855;9654.2121765;101967.24922;187393.14001;140544.855;20;9;100;1;0;;;;;;;;;;;;;;;;;;;
