"","area_geografica","mean","median","sd"
"1","1",124002.589484676,54582.7255491187,192909.548063756
"2","2",104643.229478237,33416.8430319,207217.632350003
"3","3",75646.6701395681,24047.502498,123551.321973731
"4","4",41691.0311230216,8425.34458272,90198.4573083259
"5","5",31543.9071608804,12837.114317,43268.6706803832
