nquest,quest,nquestp,contint,nopcf,stupcf,conpcf,setpcf,anapcf,citpcf,vitpcf,nompcf,anmortpcf,itpcf,nomcf,stumcf,conmcf,setmcf,anamcf,citmcf,vitmcf,nommcf,anmortmcf,itmcf,vitfcf,nfratcf,nsorecf,vitfco,nfratco,nsoreco,figlicf,nfiglicf,nfiglinoit,parnoit,anconv,motivpcf,motivmcf,NCOMP,CAPI
173,3,,2,1,2,2,3,1924,,2,1,2000,,1,2,8,4,1925,,1,,,,1,1,0,1,1,7,1,2,,,1974,,,2,1
375,3,,2,1,3,1,3,1892,,2,1,1969,,2,,,,,,2,1,1975,,1,0,3,,,,1,2,,,,,,1,1
465,3,,2,1,2,8,1,1930,,1,,,,1,2,8,1,1930,,2,1,1992,,2,,,1,0,1,2,,,,1976,,,4,1
629,3,,2,2,,,,,,3,,,,1,2,1,1,1915,,2,1,2006,,2,,,,,,1,1,,,,,,2,0
632,3,,2,1,2,2,3,1911,,2,1,1983,,1,2,9,,1918,,2,1,1984,,1,5,2,1,1,1,1,1,,,1974,,,3,0
633,3,,2,1,2,8,1,1894,,2,1,1963,,1,2,9,,1899,,2,1,1974,,2,,,,,,1,1,,,,,,1,0
923,3,,2,1,2,1,4,1896,,2,1,1970,,1,2,9,,1900,,2,1,1995,,1,1,0,,,,1,4,,,,,,1,1
1238,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,2,,,,1,3,,,,,,1,1
1367,3,,3,1,1,9,,1901,,2,1,1979,,1,1,9,,1907,,2,1,1936,,1,1,1,1,0,2,1,3,,,1953,,,2,1
1763,3,,3,1,1,1,1,1917,,2,1,1998,,1,2,1,1,1928,,1,,,,1,2,0,2,,,1,2,,,1978,,,2,1
1826,3,,2,1,2,1,4,1900,,2,1,1988,,1,2,1,1,1899,,2,1,1969,,2,,,1,2,2,1,2,,,1955,,,2,0
1927,3,,2,1,3,2,3,1901,,2,1,1975,,1,2,9,,1904,,2,1,2000,,1,0,2,,,,1,2,,,,,,1,1
1946,3,,2,1,4,2,3,1919,,2,1,1985,,1,2,9,,1920,,2,1,2007,,1,3,3,,,,2,,,2,,,,2,1
2178,3,,3,1,2,1,3,1891,,2,1,1978,,1,2,9,,1890,,2,1,1984,,1,0,1,1,1,0,1,2,,,1950,,,2,0
2274,3,,1,1,1,8,1,1903,,2,2,,,1,1,8,1,1886,,2,1,1960,,1,1,0,1,5,1,1,2,,,1954,,,2,1
2447,3,,2,1,1,1,2,1929,,2,1,2002,,1,1,9,,1933,,2,1,2007,,1,2,1,1,1,1,2,,,,1977,,,4,1
2485,3,,2,1,1,8,1,1904,,2,2,,,1,1,9,,1908,,2,2,,,1,1,4,,,,1,4,,,,,,1,1
2886,3,,1,1,2,1,4,1926,,2,1,1991,,1,2,2,3,1924,,1,,,,1,1,0,1,0,4,1,1,,,1976,,,4,1
3717,3,,1,1,3,2,3,1916,,2,1,1997,,1,2,9,,1922,,2,1,1978,,1,0,1,,,,2,,,2,,,,1,1
4732,3,,4,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,2,,,,1,0
5416,3,,3,1,2,1,4,1929,,1,,,,1,2,9,,1933,,1,,,,1,2,7,,,,2,,,2,,,,4,0
7097,3,,2,1,2,1,5,1930,,1,,,,1,2,9,,1936,,2,1,2005,,1,0,1,1,1,0,2,,,,1979,,,4,0
7098,3,,2,1,2,1,4,1909,,2,1,1985,,1,7,9,,1912,,2,1,1992,,1,0,1,,,,2,,,,,,,2,0
7165,3,,2,1,2,1,2,1909,,2,1,1971,,1,2,9,,1917,,1,,,,1,0,2,2,,,2,,,,1979,,,3,1
7886,3,,2,1,2,2,3,1910,,2,1,1985,,1,2,9,,1918,,2,1,2004,,1,1,0,1,1,0,1,2,,,1974,,,2,0
8954,3,,2,1,2,8,4,1927,,1,,,,1,2,8,4,1927,,1,,,,1,1,1,1,1,1,2,,,,1985,,,4,1
11940,3,,1,1,2,1,2,1907,,2,1,1985,,1,2,9,,1910,,2,1,2002,,1,1,1,1,0,3,1,2,,,1968,,,2,1
11972,3,,1,1,1,8,1,1921,,2,1,2002,,1,1,9,,1915,,1,,,,1,0,1,2,,,2,,,,1966,,,2,1
20174,3,,2,1,2,1,4,1909,,2,2,,,1,2,9,,1912,,2,2,,,1,2,0,2,,,2,,,,1966,,,2,0
20179,3,,2,1,3,4,3,1923,,2,2,,,1,4,3,3,1926,,1,,,,1,1,0,1,1,1,1,2,,,1976,,,3,0
20223,3,,3,2,,,,,,2,1,1974,,2,,,,,,2,1,1994,,2,,,1,1,2,2,,,,1966,,,3,1
20231,3,,2,1,2,1,4,1913,,2,1,1981,,1,2,9,,1919,,2,1,1999,,1,2,0,1,3,2,1,1,,,1977,,,2,0
20297,3,,2,1,3,1,4,1924,,2,1,1982,,1,2,9,,1927,,2,1,2004,,1,2,1,1,1,2,1,2,2,,2007,,,2,0
20372,3,,3,1,2,1,4,1929,,2,2,,,1,2,9,,1926,,2,2,,,1,0,2,1,0,2,1,1,,,1968,,,3,0
20711,3,,2,1,1,1,2,1899,,2,1,1973,,1,2,9,,1908,,2,1,1991,,1,2,3,1,2,3,1,2,,,1970,,,2,1
20767,3,,1,1,2,1,2,1914,,2,1,1993,,1,2,2,3,1920,,2,1,2008,,2,,,1,1,0,2,,,,1977,,,4,1
20837,3,,2,1,2,9,,1903,,2,2,,,1,4,9,,1904,,2,2,,,2,,,1,0,1,1,3,,,1957,,,2,0
20839,3,,2,1,3,8,4,1920,,2,1,1990,,1,2,8,4,1924,,1,,,,1,0,1,1,2,0,1,1,,,1981,,,2,0
20944,3,,2,1,3,1,2,1930,,2,1,1986,,1,3,9,,1929,,1,,,,1,1,0,2,,,2,,,,1986,,,3,0
21384,3,,3,1,2,8,4,1928,,2,1,1999,,1,2,9,,1934,,2,1,1981,,1,0,2,1,1,2,2,,,,1981,,,4,1
21461,3,,3,1,1,8,1,1877,,2,1,1923,,1,1,8,1,1880,,2,1,1957,,2,,,,,,1,2,,,,,,1,1
22074,3,,3,1,2,2,4,1916,,2,2,,,2,,,,,,2,2,,,1,1,0,1,1,2,2,,,,1983,,,4,1
22099,3,,1,2,,,,,,1,,,,2,,,,,,1,,,,1,1,1,1,1,1,2,,,,1980,,,5,1
22168,3,,1,1,1,1,1,1933,,2,2,,,1,1,9,,1938,,1,,,,1,3,6,2,,,1,3,,,1978,,,3,1
22169,3,,1,1,1,1,1,1921,,2,2,,,1,1,9,,1927,,2,2,,,1,3,2,1,4,3,1,3,,,1962,,,3,1
22173,3,,1,1,1,1,4,1896,,2,2,,,1,1,9,,1897,,2,2,,,1,5,0,1,1,0,2,,,,1955,,,3,1
22208,3,,1,1,2,9,,1904,,2,1,1967,,1,2,9,,1909,,2,1,1969,,1,0,2,,,,2,,,,,,,1,1
22222,3,,1,1,2,7,1,1899,,2,1,1936,,1,2,9,,1904,,2,1,1974,,1,0,1,,,,1,4,,,,,,1,1
22251,3,,1,1,2,1,2,1888,,2,1,1938,,1,2,9,,1900,,2,1,1980,,1,0,2,1,1,0,1,3,,,1949,,,2,0
22262,3,,2,1,2,1,2,1914,1,2,1,1998,,1,2,9,,1919,1,2,1,2005,,1,1,0,2,,,1,3,,,1970,,,2,0
22263,3,,2,1,2,1,2,1888,1,2,1,1966,,1,2,9,,1902,1,2,1,1995,,1,1,1,,,,1,1,,,,,,2,0
22266,3,,2,1,2,8,4,1900,,2,1,1984,,1,2,8,4,1903,,2,1,1973,,2,,,2,,,1,2,0,,1949,,,2,0
22272,3,,4,1,2,8,1,1910,,2,1,1968,,1,2,8,1,1919,,1,,,,1,1,1,1,0,1,1,2,,,1965,,,2,0
22273,3,,2,1,2,8,1,1894,,2,1,1968,,1,2,9,,1901,,2,1,1975,,1,1,0,1,1,1,1,1,,,1943,,,2,0
22274,3,,3,1,4,8,4,1911,1,2,1,1980,,1,3,8,4,1913,,2,1,1983,,1,0,2,1,1,0,1,2,,,1969,,,2,0
22276,3,,2,1,2,1,2,1922,,2,1,2005,,1,2,9,,,,,,,,2,,,,,,2,,,2,,,,2,1
22277,3,,2,1,2,1,1,1920,,2,1,1999,,1,2,9,,1923,,1,,,,2,,,1,2,2,2,,,,1986,,,3,1
22279,3,,2,1,2,4,3,1924,,2,1,1985,,1,2,8,4,1922,,2,1,1998,,1,1,0,,,,2,,,2,,,,3,1
22286,3,,1,1,2,2,3,1921,,2,1,1991,,1,2,8,4,1922,,2,1,1995,,1,0,1,1,0,1,1,1,,,1975,,,2,1
22292,3,,2,1,1,8,1,1886,,2,1,1959,,1,1,8,1,1891,,2,1,1958,,1,3,1,1,0,2,1,2,,,1957,,,2,1
22353,3,,3,1,1,1,2,1922,,2,1,2002,,1,2,1,4,1923,,2,1,1985,,1,1,1,1,1,1,1,3,,,1966,,,3,1
22516,3,,2,1,2,1,2,1911,,2,1,1988,,1,2,9,,1913,,1,,,,1,0,4,1,2,2,1,1,,,1975,,,2,0
22624,3,,2,1,1,1,2,1920,,2,1,1982,,1,1,9,,1922,,2,1,1997,,1,1,1,1,4,0,2,,,,1978,,,6,1
22657,3,,3,1,3,2,3,1922,,2,1,1982,,1,3,1,4,1930,,1,,,,1,3,0,1,1,2,1,1,,,1973,,,2,1
22850,3,,2,1,2,1,2,1909,,2,1,1991,,1,2,1,4,,,,,,,1,1,0,,,,2,,,2,,,,2,1
22891,3,,2,1,3,2,4,1900,,2,2,,,1,1,9,,1900,,2,2,,,2,,,,,,2,,,,,,,1,1
22995,3,,2,1,1,8,1,1909,,2,1,1995,,1,1,9,,1911,,2,1,1995,,1,2,3,2,,,1,1,,,1963,,,2,1
22996,3,,1,1,2,1,1,1893,,2,1,1969,,1,2,9,,1906,,2,1,1977,,2,,,2,,,1,2,,,1964,,,2,1
23193,3,,1,1,2,2,2,1904,,2,1,1969,,1,2,9,,1905,,2,1,1974,,1,1,0,,,,2,,,2,,,,1,1
23370,3,,3,1,3,8,4,1919,,2,1,2007,,1,2,9,,1922,,2,1,2004,,1,2,1,1,0,1,1,3,,,1963,,,2,1
23384,3,,1,1,3,8,4,1900,,2,1,1981,,1,2,9,,1904,,2,1,2001,,1,0,2,,,,2,,,,,,,1,0
23386,3,,4,1,2,1,3,1926,,1,,,,1,2,9,,1927,,1,,,,1,1,1,1,0,2,2,,,,1981,,,4,1
23490,3,,2,1,2,1,2,1908,,2,1,1946,,1,2,9,,1913,,2,1,1997,,1,0,1,,,,2,,,2,,,,1,0
23797,3,,1,1,1,1,1,1922,,2,2,,,1,1,9,,1926,,1,,,,1,4,0,2,,,2,,,,1980,,,4,1
23798,3,,1,1,1,1,4,1903,,2,2,,,1,1,9,,1907,,2,2,,,1,3,0,2,,,1,1,,,1970,,,2,1
23821,3,,2,1,1,1,1,1906,,2,1,1973,,1,1,9,,1908,,2,1,1985,,1,2,4,,,,1,4,,,,,,2,1
23823,3,,2,1,2,1,2,1906,,2,1,1974,,1,2,9,,1907,,2,1,1974,,1,2,2,,,,1,2,,,,,,2,1
23865,3,,2,1,3,2,4,1917,,2,1,1990,,1,2,9,,1922,,2,1,1982,,1,0,1,1,2,0,1,1,,,1971,,,6,1
23986,3,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,1,3,2,1,3,,,1959,,,2,1
24010,3,,3,1,2,8,4,1901,,2,1,1993,,1,2,9,,1900,,2,1,1998,,2,,,1,1,2,1,2,,,1966,,,2,1
24080,3,,2,1,3,2,3,1938,,1,,,,1,3,9,,1937,,1,,,,1,0,1,2,,,2,,,,1986,,,4,1
24085,3,,2,1,2,7,1,1907,,2,1,1998,,1,1,9,,1910,,2,1,1997,,1,1,2,,,,2,,,2,,,,1,1
24147,3,,3,1,4,7,4,1916,,2,1,1981,,1,4,9,,1926,,2,1,2004,,1,0,2,1,1,0,1,2,,,1978,,,2,1
24149,3,,4,1,2,1,4,1895,,2,1,1973,,1,2,9,,1894,,2,1,1938,,1,1,0,,,,1,2,,2,,,,1,1
24158,3,,2,1,2,1,1,1913,,2,1,1993,,1,1,1,1,1914,,1,,,,1,1,1,,,,2,,,,,,,1,1
24171,3,,2,1,2,8,4,1921,,1,,,,1,2,9,,1923,,2,1,1993,,1,3,0,,,,1,1,0,,,,,1,1
24194,3,,3,1,1,2,3,1915,,2,1,1972,,1,1,1,1,1926,,1,,,,1,2,1,1,0,1,2,,,,1980,,,4,1
24195,3,,3,1,1,1,1,1927,,2,1,2008,,1,1,9,,1931,,1,,,,1,3,2,1,2,2,1,1,,,1972,,,3,1
24202,3,,4,2,,,,,,2,2,,,2,,,,,,2,2,,,1,1,1,,,,2,,,,,,,2,1
24312,3,,2,1,2,1,2,1911,1,2,1,1978,,1,2,9,,1909,1,2,1,2002,,1,0,1,,,,2,,,2,,,,3,1
24322,3,,4,1,2,7,4,1915,1,2,1,1993,,1,2,1,2,1914,1,2,1,1958,,1,1,1,1,4,6,1,1,,,1972,,,3,1
24326,3,,2,1,2,1,1,1890,,2,2,,,1,2,9,,1895,,2,2,,,1,1,3,,,,2,,,,,,,1,1
24374,3,,2,1,2,8,1,1923,,2,1,2008,,1,1,8,1,1922,,2,1,1999,,1,1,0,,,,2,,,2,,,,3,1
24379,3,,1,1,2,9,,1906,,2,1,1993,,1,2,9,,1909,,2,1,1957,,1,0,2,,,,1,2,,,,,,1,1
24382,3,,2,1,2,1,1,1907,,2,1,1988,,1,1,1,1,1901,,2,1,1978,,1,0,4,1,0,2,1,2,,,1966,,,2,1
24393,3,,2,1,1,9,,1886,,2,1,1959,,1,1,9,,1896,,2,1,1946,,1,1,1,,,,1,2,,,,,,1,1
24529,3,,4,1,3,2,3,1910,1,2,1,2000,,1,3,9,,1915,,2,1,2005,,1,1,1,1,1,1,1,2,,,1972,,,4,1
24571,3,,1,1,2,10,,1897,,2,1,1977,,1,2,10,,1901,,2,1,1952,,1,2,1,1,1,0,1,2,,,1956,,,2,0
24616,3,,2,1,7,1,1,1905,,2,1,1961,,1,7,1,1,1909,,2,1,2007,,1,1,1,1,1,1,1,2,,,1964,,,2,0
24760,3,,1,1,2,2,4,1823,,2,1,1923,,1,2,8,4,1885,,2,1,1950,,2,,,,,,2,,,,,,,1,1
24764,3,,1,1,1,2,3,1919,,2,1,1991,,1,1,9,,1927,,2,1,1994,,1,1,2,1,3,3,2,,,,1989,,,5,1
24809,3,,3,1,1,6,4,1905,,2,1,1983,,1,2,6,4,1920,,2,1,1966,,1,3,1,1,1,1,1,2,,,1960,,,2,1
24853,3,,1,1,2,1,2,1923,,2,1,1999,,1,2,9,,1929,,1,,,,1,1,1,1,1,1,1,1,,,1984,,,3,1
24885,3,,1,1,4,2,3,1895,,2,2,,,1,4,3,3,1897,,2,2,,,2,,,,,,1,1,,,,,,1,1
24924,3,,2,1,2,1,4,1942,,1,,,,1,2,9,,1942,,1,,,,1,1,0,1,1,0,2,,,,1985,,,4,1
24984,3,,3,1,2,8,1,1914,,2,1,1999,,1,2,9,,1915,,2,1,2003,,1,0,2,2,,,2,,,,1978,,,4,1
25007,3,,1,1,3,2,3,1909,,2,1,1997,,1,3,9,,1909,,2,1,1972,,1,1,1,,,,1,3,,,,,,1,1
25138,3,,4,1,2,1,1,1913,,2,2,,,1,1,9,,1914,,2,2,,,1,4,0,1,3,2,1,2,,,1972,,,3,1
25148,3,,2,1,5,3,3,1914,,2,2,,,1,3,9,,1920,,1,,,,1,2,0,1,1,0,2,,,,1982,,,3,1
25238,3,,2,1,2,1,4,1910,,1,,,,1,1,9,,1915,,2,1,1991,,1,3,0,2,,,2,,,,1978,,,2,1
25245,3,,3,2,,,,,,1,,,,2,,,,,,1,,,,1,5,5,1,3,1,2,,,,1988,,,4,1
25435,3,,2,1,2,1,2,1924,,1,,,,1,2,9,,1929,,1,,,,2,,,1,2,0,2,,,,1991,,,3,1
25625,3,,2,1,5,5,3,1883,,2,1,1949,,1,4,9,,1897,,2,1,1978,,2,,,,,,2,,,,,,,1,1
25723,3,,2,1,3,1,4,1922,,1,,,,1,2,1,4,1931,,1,,,,1,1,0,,,,2,,,2,,,,1,1
25930,3,,2,1,2,8,4,1912,,2,1,1978,,1,2,8,4,1911,,2,1,1997,,1,0,1,1,0,1,1,2,,,1972,,,2,0
25968,3,,3,1,7,1,3,1910,,2,1,1980,,1,2,9,,1911,,2,1,1980,,1,1,1,1,4,1,1,2,,,1961,,,2,0
25970,3,,3,1,2,1,4,1904,,2,1,1984,,1,1,9,,1903,,2,1,1976,,1,1,0,1,2,1,1,3,,,1956,,,2,0
26048,3,,2,1,2,1,2,1902,,2,1,1988,,1,2,1,2,1914,,2,1,2004,,2,,,1,2,1,1,2,,,1967,,,2,1
26163,3,,2,1,4,1,4,1926,,2,1,1981,,1,2,10,,1932,,2,1,1977,,1,0,1,1,0,1,2,,,,1983,,,4,1
26281,3,,2,1,2,8,4,1860,,2,1,1941,,1,1,9,,1875,,2,1,1970,,2,,,,,,1,2,,,,,,1,1
26310,3,,2,1,2,9,,1915,,2,1,1983,,1,2,9,,1914,,2,1,2000,,1,2,1,1,3,3,1,2,,,1966,,,3,1
26349,3,,3,1,2,1,2,1907,,2,1,2000,,1,2,9,,1909,,2,1,2000,,2,,,2,,,1,2,,,1970,,,2,1
26499,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,,,,1,8,,,,,,2,1
26574,3,,4,1,2,2,3,1914,,2,1,1976,,1,2,9,,1925,1,2,1,1986,,2,,,1,1,3,1,1,0,,1972,,,3,1
26653,3,,1,1,1,10,,1903,,2,1,1953,,1,2,9,,1901,,2,1,1983,,2,,,,,,1,6,,,,,,1,1
26684,3,,3,1,2,8,1,1908,,2,1,1984,,1,1,9,,1911,,2,1,1987,,1,2,4,,,,2,,,,,,,2,1
27109,3,,1,1,1,1,4,1900,,2,2,,,1,1,9,,1900,,2,2,,,2,,,,,,1,4,,,,,,1,0
27114,3,,1,1,2,1,1,1908,,2,1,1988,,1,2,9,,1915,,1,,,,1,2,1,1,0,2,1,2,,,1966,,,2,0
27116,3,,2,1,2,1,1,1904,,2,1,1940,,1,2,8,5,1907,,2,1,1939,,2,,,1,2,1,1,1,,,1963,,,2,0
27123,3,,3,1,1,1,1,1911,,2,1,1988,,1,1,9,,1920,,2,1,2007,,1,2,0,1,3,1,2,,,,1972,,,3,0
27155,3,,1,1,2,2,3,1910,,2,1,2001,,1,2,9,,1912,,2,1,2005,,1,1,3,2,,,2,,,,1987,,,4,1
27157,3,,1,1,1,8,4,1921,,1,,,,1,3,9,,1924,1,2,1,1987,,1,3,0,1,1,0,2,,,,1986,,,4,1
27224,3,,2,1,2,1,4,1920,1,2,1,1998,,1,1,1,2,1924,,2,1,1972,,1,2,1,1,1,0,1,1,,,1975,,,3,1
27238,3,,2,1,1,1,2,1923,,2,1,2004,,1,1,1,2,1927,,1,,,,1,0,2,1,0,3,1,1,,,1978,,,3,1
27505,3,,2,2,,,,,,3,,,,2,,,,,,3,,,,2,,,,,,1,2,,,,,,1,0
27509,3,,2,1,1,1,1,1902,,2,1,1957,,1,1,1,1,1905,,1,,,,1,2,0,1,0,1,1,1,,,1958,,,2,0
27730,3,,2,1,2,8,1,1919,,2,1,1952,,1,1,9,,1924,,2,1,1980,,1,1,1,1,2,2,1,1,,,1970,,,4,1
27734,3,,3,1,1,8,1,1905,,2,1,1987,,1,1,8,4,1914,,2,1,1999,,1,2,3,1,2,4,1,3,,,1970,,,2,1
27739,3,,2,1,1,8,1,1900,,2,1,1974,,1,1,9,,1911,,2,1,1979,,1,2,1,,,,1,4,,,,,,1,1
27742,3,,1,1,1,1,4,1900,,2,1,1956,,1,1,9,,1901,,2,1,1964,,1,2,1,,,,1,1,,,,,,2,1
27744,3,,2,1,1,8,1,1903,,2,1,1991,,1,1,9,,1910,,2,1,1989,,1,2,1,1,1,2,1,3,,,1966,,,2,1
27881,3,,2,1,2,10,,1896,,2,1,1971,,1,2,9,,1899,,2,1,1978,,2,,,,,,1,8,,,,,,1,1
27912,3,,2,1,2,1,2,1916,,2,1,1998,,1,2,9,,1913,,2,1,1985,,1,0,2,1,2,1,1,1,,,1979,,,3,1
27923,3,,3,1,3,8,1,1914,,2,1,1990,,1,2,8,1,1923,,1,,,,1,0,1,1,3,5,1,1,,,1978,,,6,1
27930,3,,2,1,2,1,3,1904,,2,1,1983,,1,2,9,,1908,,2,1,1997,,1,1,1,1,1,0,1,3,,,1959,,,2,1
27947,3,,2,1,2,1,1,1885,,2,1,1963,,1,2,9,,1898,,2,1,1963,,1,2,4,1,1,1,1,3,,,1958,,,2,1
28100,3,,2,1,2,1,1,1923,,1,,,,1,2,9,,1932,,1,,,,1,2,2,1,1,5,2,,,,1982,,,6,1
28221,3,,1,1,3,9,,1894,,2,1,1963,,1,2,9,,1894,,2,1,1988,,1,1,0,,,,1,2,,,,,,1,1
28331,3,,1,1,1,1,1,1897,,2,1,1930,,1,1,9,,1896,,2,1,1963,,2,,,,,,1,2,,,,,,1,1
28346,3,,1,1,2,1,1,1903,,2,1,1987,,1,1,9,,1906,,2,1,1983,,1,2,2,,,,1,2,,,,,,1,1
28362,3,,2,1,2,1,1,1898,,2,1,1986,,1,2,2,2,1898,,2,1,1984,,1,0,1,,,,1,1,,,,,,1,1
28441,3,,2,1,2,9,,1921,,2,1,1992,,1,2,10,,1926,,2,1,1974,,2,,,1,1,0,2,,,,1978,,,2,1
28766,3,,3,2,,,,,,2,2,,,2,,,,,,2,2,,,1,3,3,1,2,1,2,,,,1982,,,3,1
28802,3,,2,1,4,4,2,1933,,2,1,2001,,1,2,9,,1936,,1,,,,1,1,0,2,,,1,1,,,1983,,,4,0
28859,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,1,2,,,1964,,,2,1
28897,3,,2,1,2,1,2,1925,,2,1,2006,,1,3,9,,1927,,2,1,2004,,2,,,,,,2,,,2,,,,1,1
28920,3,,4,1,3,1,2,1890,,2,1,1938,,1,2,9,,1894,,2,1,1980,,1,1,2,,,,1,2,,,,,,1,1
28992,3,,2,1,2,8,1,1897,,2,1,1960,,1,2,9,,1912,,2,1,1992,,1,3,2,1,1,1,1,3,,,1963,,,2,1
29006,3,,2,1,2,1,4,1908,,2,1,2002,,1,2,8,4,1911,,2,1,2002,,1,1,0,1,0,2,1,1,,,1969,,,2,1
29140,3,,2,1,2,1,4,1914,,2,1,1989,,1,2,1,1,1920,,2,1,1998,,1,1,0,1,2,1,1,2,,,1975,,,3,0
29280,3,,2,1,2,8,1,1914,,2,1,2002,,1,2,8,1,1912,,2,1,1997,,2,,,1,2,2,1,1,,,1980,,,3,1
29286,3,,1,1,2,8,1,1901,,2,2,,,1,1,9,,1903,,2,1,1980,,1,1,2,,,,2,,,2,,,,1,1
29288,3,,2,1,2,8,4,1936,,2,1,2001,,1,2,9,,1940,,1,,,,1,0,2,1,1,0,2,,,,2003,,,4,1
29362,3,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,0,,,,1,2,,,,,,1,1
29678,3,,4,1,1,1,1,1905,,2,1,1985,,1,1,9,,1911,,2,1,1990,,1,4,1,2,,,1,3,,,1957,,,2,1
29680,3,,1,1,3,2,3,1933,,1,,,,1,2,9,,1937,,1,,,,1,1,1,1,1,2,2,,,,1988,,,4,1
29684,3,,1,1,3,8,4,1924,,2,1,1972,,1,2,9,,1930,,2,1,2006,,1,0,1,1,1,0,2,,,,1980,,,4,1
29687,3,,2,1,3,1,4,1935,,1,,,,1,2,9,,1937,,1,,,,1,0,1,1,2,1,2,,,,1988,,,4,1
29737,3,,2,1,2,8,4,1913,,2,1,1996,,1,4,9,,1915,,2,1,1982,,1,3,0,1,1,1,2,,,,1984,,,2,1
29742,3,,4,1,2,1,4,,,,,,,1,2,9,,1923,,2,1,1990,,1,5,5,1,2,4,1,1,,,1974,,,4,1
29774,3,,1,1,1,8,4,1900,,2,1,1963,,1,1,9,,1902,,2,1,1987,,1,0,1,,,,1,3,,,,,,1,1
29798,3,,1,1,2,8,1,1905,,2,1,1993,,1,1,9,,1906,,2,1,1996,,1,4,3,1,4,3,1,3,,,1960,,,2,0
29805,3,,3,1,2,1,3,1906,,2,1,2004,,1,2,10,,1911,,2,1,2000,,1,0,2,1,1,0,1,2,,,1965,,,3,0
29823,3,,1,1,2,1,4,1933,,1,,,,1,1,1,1,1936,,1,,,,1,1,0,1,0,1,2,,,,1993,,,6,1
31051,3,,3,1,3,1,2,1920,,1,,,,1,1,9,,1923,,2,1,1991,,1,1,1,1,2,0,1,2,,,1980,,,2,1
31066,3,,1,1,2,9,,1910,,2,1,1979,,1,1,9,,1919,,2,1,1996,,1,6,3,1,1,3,1,1,,,1969,,,3,1
31092,3,,3,1,4,2,3,1930,,1,,,,1,4,9,,1936,,1,,,,1,1,0,1,1,4,2,,,,1991,,,5,1
31093,3,,1,1,2,1,4,1918,,2,1,1998,,1,2,9,,1926,,2,1,2008,,1,1,0,,,,2,,,2,,,,1,1
31120,3,,4,1,4,8,1,1901,,2,2,,,1,3,9,,1907,,2,2,,,1,1,1,1,2,2,1,2,,,1964,,,2,1
31122,3,,1,1,2,1,1,1938,,2,1,1991,,1,2,1,1,1938,,1,,,,1,0,2,1,1,1,2,,,,1978,,,4,1
31137,3,,1,1,2,8,4,1921,,2,1,1991,,1,4,3,3,1931,,1,,,,1,0,2,1,0,1,2,,,,1982,,,4,1
31145,3,,1,1,1,1,2,1916,,2,1,1984,,1,2,1,2,1924,,1,,,,1,1,0,1,3,3,1,2,,,1973,,,2,1
31161,3,,1,1,4,3,3,1920,,2,1,1996,,1,4,3,3,1929,,1,,,,1,1,2,1,1,0,2,,,,1983,,,4,1
31163,3,,4,1,3,1,4,1917,,2,2,,,1,2,9,,1926,,2,2,,,1,3,5,1,0,1,2,,,,1977,,,6,1
31191,3,,1,1,2,1,3,1900,,2,1,1989,,1,2,9,,1903,,2,1,1979,,2,,,2,,,2,,,,1955,,,2,1
31219,3,,2,1,7,5,4,1887,,2,1,1938,,1,7,9,,1890,,2,1,1969,,2,,,,,,1,3,,,,,,1,0
31220,3,,1,1,1,1,1,1906,,1,,,,1,1,9,,1910,,1,,,,1,7,4,1,1,1,1,2,,,1962,,,2,1
31221,3,,2,1,3,7,2,1910,,2,1,1992,,1,3,9,,1912,,2,1,2003,,1,0,1,,,,2,,,,,,,2,1
31222,3,,2,1,1,1,2,1883,,2,1,1973,,1,1,9,,1885,,2,1,1927,,2,,,,,,1,3,,,,,,1,1
31246,3,,4,1,2,1,2,1913,,2,1,1995,,1,2,1,2,1914,,1,,,,1,1,1,1,1,0,1,1,,,1971,,,2,1
31273,3,,2,1,2,1,4,1911,,2,1,1988,,1,2,9,,1918,,2,1,1971,,2,,,2,,,1,2,,,1977,,,2,1
31281,3,,1,1,2,1,2,1921,,2,1,1979,,1,2,9,,1922,,1,,,,1,0,1,,,,1,1,,,,,,1,1
31304,3,,1,1,2,1,1,1913,,2,1,1987,,1,2,9,,1920,,2,2,,,1,0,1,2,,,1,1,,,1969,,,2,1
31309,3,,1,1,2,1,1,1920,,1,,,,1,2,9,,1923,,1,,,,1,1,0,2,,,2,,,,1985,,,4,1
31311,3,,1,1,1,1,1,1891,,2,1,1959,,1,1,9,,1887,,2,1,1965,,2,,,,,,1,2,,,,,,1,1
31360,3,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,1,4,0,,,,1,2,,,,,,1,0
31387,3,,3,1,2,1,2,1922,,2,1,1999,,1,2,1,2,1924,,2,1,2006,,1,0,1,1,0,1,2,,,,1982,,,3,0
31403,3,,2,1,2,8,4,1895,,2,1,1978,,1,1,9,,1891,,2,1,1984,,1,3,1,,,,1,2,,,,,,2,1
31441,3,,2,1,3,7,2,1903,,2,1,1989,,1,2,7,2,1910,,2,1,2003,,1,1,0,1,0,1,1,2,,,1968,,,2,1
