nquest,quest,nquestp,contint,nopcf,stupcf,conpcf,setpcf,anapcf,citpcf,vitpcf,nompcf,anmortpcf,itpcf,nomcf,stumcf,conmcf,setmcf,anamcf,citmcf,vitmcf,nommcf,anmortmcf,itmcf,vitfcf,nfratcf,nsorecf,vitfco,nfratco,nsoreco,figlicf,nfiglicf,nfiglinoit,parnoit,anconv,motivpcf,motivmcf,NCOMP,CAPI
822822,2,,2,1,2,8,5,1921,,2,1,1980,,1,2,8,5,1924,,2,1,1997,,1,1,0,1,2,1,1,2,,,2003,,,3,0
822826,2,,2,2,,,,,,2,2,,,2,,,,,,1,,,,1,4,0,1,1,0,2,,,,2005,,,2,0
822835,1,,1,1,2,8,4,1912,,2,1,1980,,1,2,1,1,1911,,2,1,1987,,1,1,2,,,,2,,,,,,,1,0
822838,1,,1,1,4,8,4,1951,2,1,,,1,1,1,9,,1956,2,1,,,1,1,2,1,1,4,5,2,,,,1997,4,4,4,0
822848,2,,2,1,1,1,1,1894,,2,1,1976,,1,1,1,1,1897,,2,1,1963,,2,,,,,,1,1,,,,,,1,0
822863,2,,1,1,4,2,2,1949,,1,,,,1,3,1,2,1956,,1,,,,1,0,1,1,1,0,2,,,,2008,,,3,0
822908,1,,2,2,,,,,,3,,,,2,,,,,,3,,,,2,,,,,,2,,,2,,,,1,1
822912,1,,2,1,3,1,2,1925,,2,1,1995,,1,3,9,,1930,,2,1,1993,,1,0,1,,,,2,,,2,,,,1,1
822928,2,,2,2,,,,,,3,,,,2,,,,,,3,,,,1,1,0,,,,2,,,,,,,1,1
823008,2,,1,1,2,1,4,1933,,2,1,1994,,1,2,1,2,1936,,1,,,,1,0,1,1,1,0,2,,,,1999,,,3,1
823029,2,,1,1,4,8,1,1908,2,2,2,,,1,3,9,,1910,2,2,2,,,1,3,1,,,,2,,,2,,,,1,1
823038,2,,1,1,1,1,1,1886,,2,1,1976,,1,1,9,,1894,,2,2,,,1,1,0,,,,2,,,,,,,2,1
823046,1,,1,1,2,1,1,1925,,2,1,2001,,1,1,9,,1928,,2,1,1996,,1,0,1,1,2,2,1,1,,,1985,,,3,1
823053,2,,1,1,1,1,1,1905,,2,1,1982,,1,1,9,,1906,,2,1,1980,,1,0,1,,,,1,5,,,,,,1,1
823116,1,,2,1,4,4,3,1948,,1,,,,1,2,1,1,1953,,1,,,,1,0,2,1,1,0,2,,,,2006,,,2,0
823118,1,,2,1,2,8,1,1937,,1,,,,1,3,7,4,1938,,1,,,,1,1,2,2,,,2,,,,2001,,,2,0
823123,1,,1,1,7,1,1,1912,,2,1,2001,,1,7,8,5,1917,,2,1,1968,,1,2,3,1,1,4,1,1,,,1974,,,2,0
823130,2,,2,1,3,1,2,1939,,1,,,,1,4,9,,1946,,1,,,,1,1,0,1,1,2,2,,,,2006,,,3,0
823137,2,,3,1,2,8,1,1906,,2,1,1982,,1,2,9,,1910,,2,1,1987,,1,0,1,1,2,0,1,2,,,1970,,,3,0
823142,2,,1,2,,,,,,2,1,1969,,2,,,,,,2,1,1957,,1,6,6,2,,,1,2,,,1970,,,3,0
823148,2,,1,1,2,8,4,1907,,3,,,,1,2,9,,1910,,3,,,,1,2,2,1,0,3,1,1,,,1968,,,3,0
823152,2,,1,1,2,1,1,1921,,2,1,1988,,1,2,9,,1922,,2,1,2000,,1,1,1,1,0,10,2,,,,2000,,,3,0
823160,2,,2,1,7,2,4,1929,,2,1,1981,,1,2,8,5,1935,,1,,,,1,1,2,1,0,2,2,,,,2007,,,2,0
823162,2,,1,1,7,8,4,1937,,1,,,,1,7,8,4,1939,,1,,,,1,1,1,1,3,0,2,,,,1986,,,5,0
823167,2,,2,1,1,1,1,1903,,2,1,1974,,1,1,9,,1911,,2,1,1982,,1,1,4,1,2,1,1,2,,,1968,,,2,0
823175,2,,2,1,1,1,1,1912,,2,1,1997,,1,2,9,,1912,,2,1,2004,,1,1,0,1,0,2,1,1,,,1984,,,2,0
823188,1,,3,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,2,,,,,,,2,1
823214,2,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,2,,,2,,,,1991,,,2,1
823225,2,,4,1,1,1,3,1915,,2,1,1949,,1,2,1,3,1918,,2,1,1990,,1,1,0,,,,2,,,2,,,,1,1
823232,2,,2,1,1,1,1,1908,,2,2,,,1,1,1,1,1913,,2,2,,,1,1,0,,,,1,2,,,,,,1,1
823234,2,,3,1,2,1,2,1942,,1,,,,1,2,9,,1942,,1,,,,1,1,1,2,,,2,,,,2003,,,2,1
823238,2,,4,1,2,1,4,1905,,2,1,1970,,1,2,9,,1910,,2,1,1984,,2,,,2,,,1,1,,,1970,,,2,1
823240,2,,1,1,2,1,2,1908,,2,1,1978,,1,1,9,,1907,,2,1,1978,,2,,,2,,,1,1,,,1966,,,2,1
823250,2,,3,1,2,1,2,1932,,2,1,2008,,1,2,8,4,1936,,1,,,,2,,,2,,,2,,,,1987,,,4,1
823252,2,,4,1,2,1,1,1924,,2,1,1998,,1,1,1,1,1928,,2,1,2002,,1,2,3,,,,1,1,,2,,,,1,1
823254,2,,4,1,1,1,1,1920,,2,1,1990,,1,1,1,1,1922,,2,1,1995,,1,1,1,2,,,1,3,,,1972,,,2,1
823258,1,,1,1,3,2,3,1924,,1,,,,1,3,4,3,1922,,1,,,,1,3,0,1,1,1,2,,,,1995,,,4,1
823259,1,,1,1,1,1,3,1915,,2,1,1996,,1,1,9,,1928,,2,1,2001,,1,4,1,1,0,3,1,5,,,1960,,,2,1
823260,1,,2,1,2,1,4,1922,,2,1,1980,,1,2,9,,1926,,1,,,,1,5,2,1,1,0,2,,,,1995,,,3,1
823275,2,,1,1,3,1,3,1937,,2,1,1992,,1,2,9,,1938,,1,,,,1,1,1,1,0,1,2,,,,1993,,,2,1
823289,2,,1,1,2,8,4,1930,,2,1,1993,,1,1,9,,1937,,1,,,,1,0,2,2,,,2,,,,1993,,,2,1
823293,2,,1,1,2,1,3,1921,,2,1,1975,,1,1,9,,1928,,1,,,,1,3,2,1,1,2,2,,,,1990,,,4,1
823325,1,,1,1,1,1,2,1898,,2,2,,,1,1,9,,1898,1,2,2,,,1,3,1,,,,1,1,,2,,,,2,1
823327,1,,2,1,2,1,4,1949,,1,,,,1,2,9,,1952,,1,,,,1,2,1,,,,2,,,2,,,,1,1
823329,1,,4,1,1,1,2,1943,,1,,,,1,1,1,1,1938,,1,,,,1,4,0,1,3,2,2,,,,1994,,,3,1
823334,1,,1,1,5,2,3,1917,2,2,1,1999,,2,,,,,,3,,,,1,6,6,,,,2,,,2,,,,2,1
823336,1,,3,1,2,1,3,1946,,1,,,,1,2,2,4,1947,,1,,,,1,1,1,,,,2,,,2,,,,1,1
823337,1,,3,1,1,8,4,1914,,2,1,1990,,1,4,9,,1922,1,2,1,2004,,1,4,1,1,1,4,1,2,,,1970,,,3,1
823338,1,,2,1,2,1,2,1907,,2,1,1984,,1,2,1,2,1913,,2,1,2006,,1,0,2,1,1,1,1,1,,,1963,,,3,1
823342,2,,1,1,1,1,4,1934,,2,1,1963,,1,1,1,1,1937,,2,1,1995,,1,0,2,1,1,2,2,,,,1986,,,5,1
823343,2,,3,1,1,1,4,1900,,2,1,1943,,1,1,9,,1904,,2,1,1979,,2,,,1,1,2,1,2,,,1968,,,2,1
823345,2,,1,1,2,1,2,1943,2,1,,,2,1,4,2,2,1946,2,1,,,2,1,1,0,1,1,0,2,,,,2005,,,3,1
823346,2,,2,1,1,1,1,1902,,2,2,,,1,1,9,,1909,,2,2,,,1,2,2,,,,1,2,,,,,,1,1
823351,2,,1,1,2,2,4,1905,,2,1,1976,,1,1,9,,1904,,2,1,1939,,2,,,,,,2,,,,,,,3,1
823354,2,,1,1,1,1,2,1934,2,2,1,1992,,1,2,9,,1950,2,1,,,2,1,8,1,,,,2,,,2,,,,1,1
823395,1,,1,1,2,1,1,1930,,2,1,2002,,1,2,9,,1925,,2,1,1997,,1,0,1,1,2,0,2,,,,1980,,,4,1
823400,1,,1,1,2,1,1,1901,,2,1,1963,,1,2,9,,1908,,2,1,2000,,2,,,,,,1,1,,,,,,1,1
823410,2,,1,1,4,2,2,1902,,2,1,1980,,1,2,9,,1906,,2,1,1962,,1,1,0,1,0,1,1,1,,,1975,,,2,1
823412,2,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,2,,,,,,1,1
823425,2,,2,1,2,1,2,1922,,1,,,,1,2,9,,1936,,1,,,,1,1,0,1,1,1,2,,,,1985,,,3,1
823427,2,,1,1,3,2,4,1920,,2,1,2006,,1,3,9,,1938,,1,,,,2,,,1,2,0,2,,,,2000,,,4,1
823432,2,,1,1,2,1,2,1903,,2,1,1976,,1,2,9,,1906,,2,1,1998,,1,0,1,1,0,1,1,1,,,1964,,,2,1
823447,2,,1,1,2,1,1,1912,,2,1,1999,,1,2,9,,1915,,1,,,,1,2,2,1,4,1,1,2,,,1988,,,2,1
823451,2,,2,1,2,8,4,1930,,1,,,,1,2,8,4,1936,,1,,,,1,1,0,,,,2,,,2,,,,3,1
823455,2,,1,2,,,,,,2,1,1963,,2,,,,,,2,1,1978,,2,,,,,,1,1,,,,,,1,1
823476,1,,1,1,1,1,1,1910,,2,1,1970,,2,,,,,,2,2,,,1,1,1,,,,1,4,,2,,,,2,1
823477,1,,2,1,1,1,2,1911,,2,2,,,1,1,9,,1912,,2,1,1960,,1,3,2,1,2,2,1,1,,,1958,,,2,1
823479,1,,1,2,,,,,,2,1,1959,,1,1,9,,1908,,2,1,1950,,2,,,,,,1,2,,,,,,1,1
823482,1,,2,1,2,1,2,1942,,1,,,,1,2,9,,1945,,1,,,,1,1,1,1,1,1,2,,,,1992,,,4,1
823484,1,,1,1,2,1,1,1925,,2,1,1989,,1,1,9,,1920,,2,1,2003,,1,4,2,1,3,2,2,,,,1976,,,5,1
823485,2,,1,1,1,1,2,1920,,2,1,1997,,1,1,9,,1922,,2,1,1994,,2,,,1,3,3,1,2,,,1981,,,2,1
823488,2,,3,1,2,1,1,1918,,2,1,1976,,1,2,9,,1919,,2,1,1984,,1,2,1,1,2,2,2,,,,1977,,,5,1
823490,2,,1,1,2,1,2,1930,,2,1,2001,,1,1,9,,1932,,1,,,,1,2,3,1,3,3,2,,,,1992,,,3,1
823496,2,,1,1,1,1,2,1902,,2,1,1984,,1,1,9,,1907,,2,1,1984,,1,1,3,,,,1,2,,,,,,1,1
823503,2,,1,1,1,8,2,1897,,2,1,1972,,1,1,9,,1904,,2,1,1996,,1,2,4,1,1,1,1,2,,,1961,,,2,1
823506,2,,2,1,2,1,2,1936,,1,,,,1,2,9,,1938,,1,,,,1,0,2,1,1,3,2,,,,1992,,,7,1
823510,2,,1,1,1,1,1,1908,,2,1,1955,,1,1,9,,1906,,2,1,1992,,1,6,3,1,5,4,1,2,,,1964,,,2,1
823512,2,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,1,1,,,,,,2,1
823513,2,,1,1,2,8,1,1909,,2,1,1982,,1,1,9,,1919,,2,1,2001,,1,0,4,,,,1,1,,,,,,1,1
823519,2,,1,1,2,1,2,1931,,1,,,,1,1,1,3,1925,,1,,,,1,2,2,1,2,3,1,1,,,1980,,,3,1
823522,2,,1,1,1,1,1,1913,,2,1,1995,,1,1,9,,1913,,1,,,,1,0,1,1,3,2,2,,,,1990,,,4,1
823524,2,,1,1,2,1,1,1918,,2,1,1996,,1,2,9,,1916,,2,1,2002,,1,2,0,2,,,1,2,,,1973,,,4,1
823529,2,,1,1,1,1,1,1942,,1,,,,1,1,9,,1947,,1,,,,1,3,2,1,2,0,2,,,,1991,,,5,1
823531,2,,2,1,2,1,2,1935,,2,1,2007,,1,2,9,,,,,,,,1,0,3,,,,2,,,2,,,,2,1
823534,2,,2,1,1,1,1,1925,,2,1,1999,,1,1,9,,1926,,2,1,1970,,1,1,2,,,,1,2,,,,,,2,1
823536,1,,2,1,2,2,3,1920,,2,1,2003,,1,2,9,,1929,,1,,,,2,,,1,0,1,2,,,,1991,,,4,1
823544,1,,3,1,2,8,4,1911,,2,1,1991,,1,2,9,,1913,,1,,,,1,0,2,,,,1,2,,2,,,,1,1
823545,1,,2,1,1,1,2,1926,,2,1,1980,,1,1,1,1,1927,,2,1,1994,,1,4,3,2,,,2,,,,1985,,,4,1
823546,1,,1,1,1,1,4,1946,,1,,,,1,2,1,3,1942,,1,,,,1,3,3,,,,2,,,2,,,,3,1
823548,1,,2,1,4,5,3,1925,,1,,,,1,4,9,,1927,,1,,,,1,1,0,1,0,1,1,1,,,1977,,,2,1
823549,1,,2,1,3,8,1,1939,,1,,,,1,4,3,3,1937,,1,,,,2,,,1,0,1,2,,,,2007,,,2,1
823550,1,,2,1,2,8,4,1908,,2,1,1986,,1,2,9,,1912,,2,1,1989,,1,0,1,1,0,2,1,1,,,1966,,,3,1
823552,2,,3,1,2,8,4,1936,,1,,,,1,2,9,,1938,,1,,,,2,,,1,1,1,2,,,,1998,,,3,1
823554,2,,1,1,2,1,3,1932,,1,,,,1,3,1,3,1938,,1,,,,1,0,1,,,,2,,,,,,,2,1
823555,2,,1,1,2,1,2,1901,,2,1,1949,,1,2,1,2,1903,,2,1,1982,,1,1,1,,,,2,,,2,,,,3,1
823557,2,,1,1,2,2,3,1920,,2,1,1981,,1,2,1,4,1930,,1,,,,2,,,,,,2,,,,,,,2,1
823560,2,,3,1,2,8,1,1935,,1,,,,1,2,9,,1938,,1,,,,1,0,4,1,0,1,2,,,,2007,,,2,1
823561,2,,1,1,1,8,1,1901,,2,1,1982,,1,1,9,,1913,,2,1,1963,,1,0,1,1,1,0,1,3,,,1965,,,2,1
823562,2,,1,1,1,8,4,1918,,2,2,,,1,1,8,4,1922,,2,2,,,1,0,2,1,1,0,1,2,,,1968,,,2,1
823563,2,,1,1,3,8,1,1934,,1,,,,1,2,8,1,1936,,1,,,,1,0,1,1,2,0,2,,,,1978,,,4,1
823566,2,,1,1,1,1,2,1919,,2,1,1980,,1,1,9,,1925,,1,,,,1,2,2,2,,,1,1,,,1971,,,3,1
823567,2,,2,1,1,1,4,1900,,2,1,1944,,1,2,1,1,1903,,2,1,1987,,1,1,2,1,1,1,1,2,,,1958,,,2,1
823608,1,,2,1,1,1,1,1912,,2,1,1995,,1,1,1,1,1921,,2,2,,,1,0,2,,,,1,1,,,,,,1,1
823612,1,,2,1,1,1,1,1898,,2,1,1964,,1,1,1,1,1900,,2,1,1960,,1,0,1,2,,,1,5,,,1950,,,2,1
823641,2,,2,1,3,2,4,1914,,2,1,1980,,1,3,9,,1916,,2,1,1983,,1,0,2,,,,1,2,,,,,,2,1
823645,2,,3,1,1,1,1,1926,,2,1,1998,,1,1,1,1,,,,,,,1,0,1,1,1,1,1,1,,,1981,,,3,1
823646,2,,3,1,3,2,3,1915,,2,1,1985,,1,2,1,4,1918,,2,1,1990,,1,1,1,1,0,2,2,,,,1973,,,4,1
823651,2,,2,1,4,2,4,1941,,1,,,,1,4,2,2,1946,,1,,,,1,1,0,1,0,1,2,,,,2004,,,2,1
823656,2,,3,1,1,1,1,1914,,2,1,1979,,1,1,9,,1918,,2,1,1988,,1,1,2,1,0,2,1,1,,,1966,,,2,1
823658,2,,2,1,1,1,1,1922,,2,1,1998,,1,1,1,1,1926,,2,1,2003,,1,0,2,1,2,1,1,1,,,1974,,,2,1
823662,2,,2,1,3,2,3,1914,,2,1,1984,,1,3,2,4,1916,,2,1,1988,,1,1,1,1,0,2,1,2,,,1967,,,2,1
823675,1,,4,1,2,9,,1892,,2,1,1959,,1,2,9,,1901,,2,1,1961,,1,5,1,1,1,0,1,2,,,1968,,,2,1
823677,1,,2,2,,,,,,2,1,1951,,2,,,,,,2,1,1970,,2,,,,,,2,,,,,,,2,1
823679,1,,4,1,2,9,,1909,,2,1,1962,,1,2,9,,1915,,2,1,1961,,1,1,0,,,,2,,,,,,,2,1
823684,1,,4,1,2,2,2,1934,,1,,,,1,2,9,,1945,,1,,,,1,0,1,1,2,1,2,,,,2000,,,4,1
823703,2,,2,1,2,9,,1938,,1,,,,1,1,9,,1939,,1,,,,1,1,1,,,,2,,,2,,,,1,1
823705,2,,2,1,2,8,1,1928,,2,1,1999,,1,2,9,,1934,,1,,,,1,0,2,1,5,1,2,,,,,,,5,1
823707,2,,2,1,2,1,2,1944,2,1,,,2,1,2,9,,1950,2,1,,,2,1,3,3,,,,2,,,2,,,,1,1
823728,2,,4,1,3,2,3,1926,2,2,1,1997,,1,3,9,,1934,2,2,1,2007,,2,,,1,0,1,2,,,,1992,,,4,1
823735,2,,4,1,4,2,2,1944,2,1,,,2,1,3,9,,1953,2,1,,,2,1,3,4,1,1,4,2,,,,1993,,,5,1
823745,1,,3,1,2,9,,1893,,2,2,,,1,2,9,,1899,,2,2,,,1,1,1,1,1,1,1,2,,,1960,,,2,1
823750,1,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,1,1,2,5,1,1,,,1965,,,2,1
823752,1,,1,1,2,2,3,1924,,2,2,,,1,2,9,,1931,,1,,,,1,3,0,1,1,0,2,,,,1987,,,5,1
823755,2,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,1,,,,2,,,,,,,1,1
823757,2,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,1,2,3,1,2,2,1,2,,,1970,,,2,1
823767,2,,2,1,4,8,4,1910,,2,2,,,1,5,8,4,1934,,2,2,,,1,2,1,1,1,1,2,,,,1991,,,4,1
823783,2,,2,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,1,2,0,1,2,,,1967,,,2,1
823801,2,,2,1,1,1,1,1927,,2,2,,,1,2,9,,1933,,1,,,,1,3,3,1,2,2,2,,,,1991,,,4,1
823818,1,,1,1,2,9,,1919,,1,,,,1,2,9,,1921,,2,1,2005,,1,4,2,1,1,2,1,3,,,1965,,,2,1
823822,1,,1,1,2,1,1,1939,,1,,,,1,2,9,,1940,,1,,,,1,1,1,1,2,1,2,,,,1997,,,3,1
823831,2,,1,1,2,1,1,1930,,1,,,,1,2,9,,1932,,1,,,,1,1,1,,,,2,,,2,,,,1,1
823835,2,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,2,,,,,,2,,,,,,,1,1
823839,2,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,1,1,1,2,3,2,,,,1964,,,2,1
823842,2,,1,1,3,8,4,1941,,1,,,,1,2,9,,1949,,1,,,,1,0,3,,,,2,,,2,,,,1,1
823844,2,,1,2,,,,,,2,2,,,2,,,,,,2,2,,,1,0,3,1,5,2,1,3,,,1958,,,2,1
823848,2,,1,1,2,1,1,1937,,1,,,,1,2,9,,1940,,1,,,,1,1,1,1,2,1,2,,,,1996,,,3,1
823849,2,,2,2,,,,,,2,2,,,1,1,9,,1923,,2,1,1992,,1,1,0,,,,2,,,,,,,2,1
823852,2,,1,1,1,9,,1892,,2,2,,,1,1,9,,1905,,2,2,,,1,2,4,1,2,1,2,,,,1977,,,2,1
823854,2,,1,1,3,2,3,1947,,1,,,,1,2,9,,1951,,1,,,,1,2,1,1,0,3,2,,,,2002,,,2,1
823856,2,,1,1,2,1,1,1940,,1,,,,1,2,9,,1947,,1,,,,1,1,1,,,,2,,,2,,,,1,1
823865,2,,1,1,1,1,2,1940,,1,,,,1,1,9,,1946,,1,,,,1,1,0,1,1,1,2,,,,1996,,,3,1
823868,2,,1,1,2,1,2,1935,,1,,,,1,3,9,,1939,,1,,,,1,2,1,1,3,4,1,1,,,1982,,,3,1
823871,2,,1,1,2,1,2,1948,,1,,,,1,3,9,,1961,,1,,,,1,1,0,,,,2,,,2,,,,1,1
823890,1,,1,1,4,2,4,1940,,1,,,,1,2,9,,1944,,1,,,,1,0,1,,,,2,,,2,,,,2,1
823918,2,,1,1,2,9,,,,,,,,1,2,9,,,,,,,,1,1,0,,,,2,,,2,,,,3,1
823954,1,,2,1,1,8,4,1898,,2,1,1959,,1,2,9,,1905,,2,1,1976,,1,0,3,,,,2,,,2,,,,1,0
823957,1,,2,1,2,8,4,1897,,2,1,1971,,1,2,9,,1903,,2,1,1973,,1,0,1,1,1,2,1,2,,,1963,,,2,0
823959,1,,2,1,2,2,5,1921,,2,1,2002,,1,1,9,,1921,,2,1,2007,,1,1,0,,,,2,,,2,,,,1,0
823963,2,,2,1,2,1,2,1931,,1,,,,1,2,1,2,1939,,1,,,,1,0,1,1,1,0,2,,,,1986,,,4,0
823966,2,,1,1,1,1,1,1900,,2,1,1969,,1,1,1,1,1904,,2,1,1969,,1,2,0,1,1,0,1,1,,,1965,,,3,0
823974,2,,4,1,4,2,3,1938,,2,1,1999,,1,3,10,,1939,,1,,,,1,1,0,2,,,2,,,,2002,,,4,0
823986,2,,2,1,2,8,4,1938,,1,,,,1,2,9,,1940,,1,,,,1,1,0,1,0,2,2,,,,1993,,,4,0
