nquest,anabit,godabit,unipro,quopro,anposs,pro1,pro2,pro3,pro4,pro5,pro6,poss,impacq,tfitto,tipoaff,propriet,tfitimp,supab,ancostr,bagni,riscald,valabit,vac,vacdov1,vacdov2,vacdov3,altrab,naltrab,altrfab,naltrfab,teragr,nteragr,ternagr,nternagr,antic,anticipi,manstra,tmanstra,manstr2,tmanstr2,ristr,tristr,debita1,ndebita1,debita2,ndebita2,debitb,tdebitb,debitc,tdebitc,debitd,tdebitd,debite,tdebite,ratab,ratac,taxc,ratad,taxd,ratae,taxe,chifinmut,chifincons,ritardo,credit,tcredit,debit,tdebit,mutuor,mutuoe,mutuorif,mutuoric,pro7,pro8,pro9,TDEBITA
506410,1995,5,,,,,,,,,,,,,,1,500,100,1970,2,1,200000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506411,1967,1,1,100,1967,1,2,3,,,,1,1750,,,,700,160,1940,2,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506413,1999,1,1,100,1999,1,,,,,,4,,,,,600,130,1995,2,1,300000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506418,1973,1,1,100,1970,1,2,,,,,2,6000,,,,500,120,1971,1,1,400000,2,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506439,1968,1,1,100,1968,2,,,,,,1,6000,,,,600,109,1965,2,1,280000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,1,1,,,,0,0,
506446,1972,1,1,100,1972,1,2,,,,,2,7000,,,,700,100,1972,1,1,400000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,2,,,2,,0,0,25000
506458,2001,1,1,100,2001,1,2,,,,,1,137000,,,,700,100,1965,1,1,160000,1,1,0,0,2,,2,,2,,2,,2,,1,2000,2,,2,,1,1,2,,2,,1,6500,1,540,2,,,3240,2,540,0,,,1,1,2,2,,2,,2,,,2,,0,0,60000
506492,2002,1,1,100,1980,1,,,,,,5,30000,,,,600,90,1980,2,1,200000,1,0,0,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506512,1998,2,,,,,,,,,,,,225,4,4,,76,1990,1,1,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506520,1977,1,1,100,1977,1,2,,,,,2,15000,,,,500,100,1976,2,1,300000,1,0,1,0,1,1,2,,2,,2,,2,,2,,1,500,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506527,1978,2,,,,,,,,,,,,170,6,7,,98,1975,1,1,250000,1,1,0,0,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506531,1981,1,1,100,1981,1,2,,,,,2,21000,,,,550,98,1980,2,1,300000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,2,,,2,,0,0,100000
506565,1983,1,1,100,1983,1,2,,,,,1,33000,,,,450,80,1976,1,1,200000,1,1,0,0,1,1,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506591,1970,1,1,100,1990,1,2,,,,,1,13000,,,,500,110,1950,1,1,200000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506601,1970,1,1,100,1970,1,,,,,,1,8000,,,,500,100,1950,1,1,210000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506608,1952,1,1,100,1952,1,,,,,,8,1500,,,,500,75,1950,1,1,130000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506610,1981,1,1,100,1981,1,,,,,,1,50000,,,,600,117,1978,2,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,8000,2,,2,,,3500,,,,,,,1,2,2,,2,,2,,,2,,0,0,
506613,1948,1,1,100,1956,1,,,,,,4,,,,,800,70,1948,1,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506616,1969,1,1,100,1969,1,,,,,,1,7500,,,,500,80,1968,1,1,300000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506619,1972,2,,,,,,,,,,,,390,1,4,,52,1968,1,1,250000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506628,1998,1,1,100,1998,1,,,,,,8,200000,,,,2000,250,1200,2,1,1000000,1,1,0,0,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506657,1995,1,1,100,2005,1,,,,,,1,140000,,,,650,110,1962,2,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506666,1980,1,1,100,1973,1,,,,,,4,,,,,500,110,1970,2,1,300000,1,0,0,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506680,1976,1,1,100,1976,1,,,,,,5,15000,,,,300,60,1950,1,1,120000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506729,1994,2,,,,,,,,,,,,80,5,7,,50,1930,1,1,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506733,2007,1,1,100,2007,1,,,,,,4,,,,,300,50,2000,1,1,100000,2,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506736,1979,1,1,100,1979,1,2,,,,,1,30000,,,,800,96,1978,2,1,280000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506738,1994,1,1,100,1994,1,2,,,,,1,90000,,,,400,95,1990,1,1,400000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,3400,2,,,,,600,6,,,,1,2,2,,2,,2,,,2,,0,0,
506742,2002,5,,,,,,,,,,,,,,3,800,90,1980,1,1,250000,1,0,0,1,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506753,1980,1,1,100,1980,1,2,,,,,5,75000,,,,1000,180,1931,2,1,500000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506758,1935,1,2,50,1970,1,,,,,,4,,,,,1000,140,1920,2,1,400000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506759,2008,1,1,100,2008,2,,,,,,5,100000,,,,1000,80,1800,1,1,200000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,1,1,,,,0,0,57000
506760,1995,1,1,100,1995,2,,,,,,8,50000,,,,800,100,1950,2,1,200000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506767,1996,1,1,100,1990,2,,,,,,4,,,,,3000,200,1800,2,1,1000000,1,1,0,0,1,1,1,3,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506772,1970,1,1,100,1970,1,,,,,,5,50000,,,,1000,250,1920,2,1,1000000,1,1,0,0,1,2,2,,2,,2,,1,80000,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,,,,,,1,,2,2,,2,,1,1,,,,0,0,70000
506778,1966,1,1,100,1966,2,,,,,,4,,,,,600,60,1940,1,1,150000,2,,,,2,,2,,2,,2,,2,,1,1200,2,,3,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506782,1982,2,,,,,,,,,,,,120,6,7,,60,1982,1,1,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506783,1969,1,2,75,1969,1,,,,,,1,15000,,,,600,120,1965,1,1,300000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506785,1992,1,1,100,2002,1,,,,,,6,,,,,400,75,1800,1,2,70000,2,,,,2,,2,,2,,2,,2,,1,8200,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506798,1989,2,,,,,,,,,,,,258,4,4,,130,1920,1,2,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506799,1979,1,1,100,1980,1,2,,,,,1,100000,,,,2000,500,1964,2,1,800000,2,,,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506849,1993,1,1,100,1972,1,,,,,,1,85000,,,,600,170,1975,2,1,450000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506863,1950,1,2,10,1948,1,,,,,,4,,,,,300,70,1948,1,1,60000,1,0,0,1,2,,2,,2,,2,,2,,1,500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506889,1938,1,2,1,1938,2,,,,,,4,,,,,400,60,1938,1,1,65000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506894,1996,2,,,,,,,,,,,,150,6,8,,74,1995,1,1,150000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
506920,1987,2,,,,,,,,,,,,280,4,4,,90,1900,1,2,80000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,1,1,,,,,,
506979,1976,1,1,100,1976,1,2,,,,,1,11500,,,,1000,60,1968,1,1,250000,2,,,,1,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
506997,1991,1,1,100,1983,1,2,,,,,5,75000,,,,1200,330,1967,2,1,500000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507037,1988,1,1,100,1988,1,2,,,,,1,64000,,,,1000,78,1946,1,1,230000,1,1,0,0,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507078,1972,2,,,,,,,,,,,,250,1,4,,85,1962,1,1,280000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507081,1990,1,1,100,1993,1,2,,,,,1,150000,,,,900,85,1975,1,1,240000,1,1,0,0,2,,2,,2,,2,,2,,1,1000,2,,2,,1,1,2,,2,,2,,2,,2,,,,,,,,,1,,1,2,,1,2000,2,,,1,,0,0,6800
507111,1950,1,1,100,1990,1,,,,,,1,2000,,,,600,60,1700,1,1,240000,1,1,0,0,2,,2,,2,,2,,2,,1,300,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507138,1995,1,1,100,1995,1,2,,,,,1,60000,,,,750,65,1995,1,1,300000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507147,1984,1,1,100,1984,1,2,,,,,1,55000,,,,800,100,1981,2,1,250000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507151,1974,1,1,100,1974,1,2,,,,,1,8000,,,,1000,100,1974,2,1,300000,1,1,0,0,2,,2,,2,,2,,2,,1,15000,2,,2,,2,,2,,2,,2,,1,5000,2,,,,,200,,,,,2,2,2,,2,,2,,,2,,0,0,
507157,2008,2,,,,,,,,,,,,475,1,8,,60,1960,1,1,150000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507168,1961,5,,,,,,,,,,,,,,3,1500,260,1780,2,1,750000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507172,1950,2,,,,,,,,,,,,190,6,7,,80,1950,1,2,150000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507175,1956,1,2,50,1970,1,,,,,,4,,,,,600,110,1800,2,1,440000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507181,1980,1,1,100,1980,1,,,,,,1,15000,,,,400,70,1980,1,1,180000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507182,1983,1,1,100,1980,1,2,,,,,4,,,,,500,90,1800,1,1,150000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,19000,2,,2,,,3600,,,,,,,1,2,2,,2,,2,,,2,,0,0,
507185,1954,4,,,,,,,,,,,,,,2,800,130,1920,1,1,200000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,1,5000,2,,2,,,1200,,,,,,,1,2,2,,2,,2,,,2,,,,
507190,1985,1,1,100,1985,1,2,,,,,7,70000,,,,600,95,1985,2,1,280000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,20000,2,,2,,,8400,,,,,,,1,2,2,,2,,2,,,2,,0,0,
507260,2007,2,,,,,,,,,,,,83,6,7,,80,1100,1,1,200000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507282,2000,1,1,100,2000,1,,,,,,6,,,,,1000,120,1930,2,1,200000,1,1,0,0,2,,2,,2,,1,1,2,,1,2000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,1,3000,2,,,1,,0,0,
507287,1976,1,1,100,1976,1,2,,,,,1,7000,,,,650,65,1930,1,1,195000,1,1,0,0,2,,2,,2,,2,,2,,1,500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507303,1973,1,1,100,1973,1,2,,,,,7,7000,,,,1200,70,1973,1,1,250000,2,,,,1,1,2,,2,,2,,2,,1,12000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507304,2008,2,,,,,,,,,,,,550,7,4,,85,1968,2,1,230000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507316,1969,1,1,100,1969,1,,,,,,7,5000,,,,1000,220,1969,2,1,500000,2,,,,2,,2,,2,,2,,2,,1,2000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507319,1972,1,1,100,1972,1,,,,,,7,9000,,,,750,100,1972,2,1,250000,2,,,,1,2,2,,1,1,2,,1,10000,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507322,1991,1,1,100,1989,1,,,,,,1,90000,,,,800,95,1989,2,1,300000,1,1,0,0,2,,2,,2,,2,,2,,1,600,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507329,2005,1,1,100,2004,1,2,,,,,1,180000,,,,800,110,1300,2,1,250000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,500,2,,,,,500,,,,,1,2,2,,1,500,2,,,2,,0,0,
507336,1987,1,1,100,1987,1,2,,,,,1,20000,,,,500,85,1964,1,1,200000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507359,1972,1,1,100,1972,1,,,,,,2,8000,,,,1500,100,1972,2,1,450000,1,0,0,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,12000,2,,2,,,3000,6.05,,,,,,1,2,2,,2,,1,1,,,,0,0,
507360,2000,1,1,100,2000,1,2,,,,,2,400000,,,,3000,250,1700,2,1,1000000,1,0,0,1,1,1,1,1,2,,2,,2,,1,5000,1,5000,2,,2,,2,,2,,1,50000,1,1000,2,,,5000,5.05,500,,,,,1,2,2,,2,,2,,,2,,0,0,
507401,1979,5,,,,,,,,,,,,,,1,300,60,1968,1,1,80000,2,,,,2,,1,1,2,,2,,2,,1,3000,1,500,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507419,1979,1,1,100,1981,2,,,,,,4,,,,,650,140,1968,2,1,270000,2,,,,1,4,1,1,1,1,2,,2,,2,,1,2000,2,,2,,1,1,2,,2,,2,,2,,,,,,,,,4,,2,2,,2,,2,,,2,,0,0,70000
507425,1982,1,1,100,1982,1,2,,,,,2,25000,,,,600,95,1982,2,1,180000,1,1,0,0,1,1,2,,2,,2,,2,,2,,1,12000,1,3000,2,,2,,2,,1,3000,2,,2,,,1600,2,,,,,,1,2,2,,2,,2,,,2,,0,0,
507426,1930,1,1,100,1933,1,,,,,,4,,,,,500,90,1930,1,1,180000,2,,,,2,,2,,2,,2,,2,,1,25000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507431,1995,1,1,100,1993,1,2,,,,,2,60000,,,,700,95,1993,2,1,250000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507441,1959,1,1,100,1982,2,,,,,,4,,,,,300,80,1900,2,1,200000,1,1,0,0,2,,1,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507444,1991,2,,,,,,,,,,,,220,6,7,,76,1800,1,1,120000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507455,1982,1,1,100,1982,1,2,,,,,2,40000,,,,800,126,1980,2,1,300000,1,1,0,0,1,6,1,2,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507462,1995,1,1,100,1999,2,,,,,,5,60000,,,,350,98,1970,2,1,220000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,2,,,,,,,,,2,,2,2,,2,,2,,,2,,0,0,30000
507477,1981,2,,,,,,,,,,,,150,1,7,,90,1980,1,1,100000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507482,1988,1,1,100,1988,1,2,,,,,7,100000,,,,500,114,1986,2,1,180000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507502,1980,1,1,100,1980,1,2,,,,,2,8000,,,,400,90,1980,1,1,150000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507509,1988,4,,,,,,,,,,,,,,2,300,50,1908,1,1,80000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507519,1980,1,1,100,1980,1,3,,,,,2,25000,,,,500,120,1978,2,1,130000,2,,,,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,2,,,,,,,,,4,,2,2,,2,,2,,,2,,0,0,50000
507529,1986,1,1,100,1986,1,2,,,,,1,28000,,,,450,105,1976,1,1,150000,2,,,,2,,2,,2,,2,,2,,1,1500,2,,2,,2,,2,,2,,1,7000,2,,2,,,7000,0,,,,,,4,2,2,,2,,2,,,2,,0,0,
507541,1961,1,1,100,1961,1,,,,,,4,,,,,500,140,1960,2,1,250000,1,0,0,1,2,,2,,2,,2,,2,,1,600,2,,2,,2,,2,,2,,1,10000,2,,2,,,3000,2,,,,,,4,2,2,,2,,2,,,2,,0,0,
507542,1992,1,1,100,1980,1,,,,,,4,,,,,200,50,1500,1,1,200000,2,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,1500,2,,2,,,1500,6,,,,,,4,2,2,,1,500,2,,,2,,0,0,
507544,1983,1,1,100,1981,2,,,,,,6,,,,,500,150,1600,2,1,500000,1,1,0,0,2,,2,,2,,2,,2,,1,30000,2,,1,3500,1,1,2,,2,,2,,1,20000,2,,,,,5000,7,,,4,4,2,2,,2,,1,2,3,,,0,0,135000
507547,2003,1,1,100,2003,1,2,,,,,1,5000,,,,400,85,1500,1,1,40000,1,0,0,1,2,,2,,2,,2,,2,,1,300,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507552,1996,5,,,,,,,,,,,,,,1,500,100,1980,2,1,300000,1,1,0,0,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507556,1979,1,2,33,2006,1,,,,,,4,,,,,550,100,1965,1,1,180000,2,,,,2,,2,,2,,2,,2,,1,9000,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507557,1993,4,,,,,,,,,,,,,,2,600,90,1958,1,1,140000,2,,,,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507573,1983,1,1,100,1983,1,2,,,,,1,65000,,,,1300,125,1954,2,1,400000,1,1,0,0,2,,2,,2,,2,,2,,1,2350,2,,1,848,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507580,1986,1,1,100,2006,1,2,,,,,1,30000,,,,750,105,1985,2,1,200000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,600,2,,,,,600,1,,,,1,2,2,,2,,2,,,2,,0,0,
507588,1967,1,1,100,1993,1,,,,,,4,,,,,350,70,1966,1,2,150000,1,1,0,0,2,,2,,1,1,2,,2,,1,1500,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,1,1,,,,0,0,
507594,1965,1,1,100,1990,1,,,,,,4,,,,,500,130,1960,1,1,130000,1,1,0,0,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507595,1985,1,1,100,1986,2,,,,,,6,,,,,700,110,1982,2,1,480000,1,1,0,0,2,,2,,2,,2,,2,,1,1800,2,,2,,2,,2,,2,,1,8000,2,,2,,,4000,6,,,,,,1,2,2,,2,,2,,,2,,0,0,
507596,1996,1,1,100,1994,2,,,,,,1,75000,,,,500,100,1966,2,1,200000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507598,1987,1,1,100,1987,1,2,,,,,7,50000,,,,500,105,1986,1,1,250000,1,1,0,0,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,720,2,,2,,,720,3,,,,,,4,2,2,,2,,2,,,2,,0,0,
507599,1962,1,1,100,2007,1,,,,,,4,,,,,400,112,1900,2,1,100000,2,,,,2,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507602,1964,1,2,33,1990,1,,,,,,4,,,,,350,55,1964,1,1,140000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507605,2004,1,2,50,1994,1,,,,,,1,100000,,,,700,190,1940,2,1,250000,2,,,,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507615,1949,1,2,33,1982,1,,,,,,4,,,,,300,45,1949,1,1,60000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507617,1994,1,1,100,1993,1,2,,,,,1,55000,,,,500,100,1970,1,1,200000,1,0,0,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507622,1974,1,2,50,2003,1,,,,,,4,,,,,400,100,1970,1,1,120000,2,,,,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507626,1994,5,,,,,,,,,,,,,,1,500,85,1993,1,1,180000,1,0,0,1,2,,2,,2,,2,,2,,,,,,,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,,,
507638,1957,1,1,100,1980,1,,,,,,5,45000,,,,600,100,1955,1,1,200000,2,,,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
507640,1981,1,1,100,1981,1,2,,,,,7,45000,,,,650,122,1981,2,1,300000,1,1,0,0,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,2,,2,,2,,,2,,0,0,
