nquest,comprens,ita,verored,klima,facil,durata
32033,9,,9,9,9,50
32034,9,,9,9,9,40
32041,9,,8,9,9,45
32044,7,,7,8,6,55
32047,9,,9,9,8,60
32052,9,,9,9,9,45
32057,9,,9,9,9,50
32066,9,,8,9,9,40
32067,7,,8,7,7,35
32139,8,,7,8,8,56
32144,8,,9,10,8,76
32190,6,,8,6,6,43
32198,8,,8,8,8,65
32206,9,,9,9,9,45
32209,9,,7,9,8,54
32210,8,,5,8,8,53
32229,6,,9,9,6,119
32235,8,,8,8,8,22
32288,8,,8,8,8,64
32318,9,,8,9,9,55
32320,9,,9,9,9,57
32328,9,,9,10,10,41
32438,7,,7,8,7,65
32464,6,,10,7,7,37
32467,8,,7,7,7,44
32470,8,,8,8,8,58
32471,10,,10,10,10,44
32524,9,,9,10,9,46
32556,8,,9,9,10,36
32668,8,,8,8,8,50
32703,8,,9,9,9,47
32709,8,,9,9,8,87
32713,7,,6,9,7,76
32729,7,,7,10,7,93
32731,6,,8,10,6,40
32733,4,,5,10,4,58
32734,6,,8,10,6,63
32742,7,,7,10,7,56
32751,10,,8,10,10,55
32764,10,,10,10,10,55
32765,10,,10,10,10,55
32772,9,,9,10,8,70
32810,7,,10,10,10,26
32822,7,,7,8,7,63
32839,9,,6,7,8,55
32861,9,,9,9,9,43
32866,7,,9,9,9,39
32867,7,,8,9,7,58
32887,9,,7,8,9,65
32962,10,,10,10,10,60
32982,7,,7,7,7,36
32987,7,,9,9,6,39
33036,5,,8,10,5,43
33038,4,,2,9,3,57
33219,4,,3,4,4,90
33228,8,,7,8,7,65
33238,7,,7,7,7,39
33245,7,,8,6,8,72
33275,8,,7,8,7,66
33303,10,,10,10,10,119
33328,10,,10,10,10,75
33335,10,,10,10,10,75
33336,10,,10,10,10,65
33347,9,,10,10,9,40
33348,10,,10,10,10,124
33361,5,,5,8,6,21
33451,9,,9,10,9,39
33455,7,,6,8,6,60
33479,9,,9,10,9,32
33604,7,,7,7,5,38
33631,8,,9,10,9,99
33644,3,,3,9,5,90
33684,6,,9,6,6,65
33751,10,,8,8,8,33
33761,9,,8,8,8,33
33773,8,,9,9,8,28
33777,9,,9,9,9,43
33778,9,,9,9,9,68
33781,8,,8,8,8,33
33814,10,,7,9,9,49
33823,10,,10,8,8,26
33839,7,,8,8,8,58
33865,8,,7,9,8,50
33877,9,,8,10,8,92
33882,8,,8,9,9,39
33888,5,,8,9,6,37
33889,7,,9,10,7,41
33937,7,,6,8,7,42
33941,7,,5,8,7,62
33983,8,,8,8,8,77
33985,9,,8,9,9,80
33994,8,,8,8,8,46
34059,10,,9,9,9,70
34198,9,,8,7,8,32
34199,9,,9,9,9,26
34211,6,,5,6,6,30
34230,8,,9,9,8,45
34252,6,,7,7,6,70
34269,6,,6,6,6,40
34377,7,,6,8,7,23
34396,7,,7,7,8,49
34513,7,,7,8,8,60
34525,7,,7,8,8,49
34541,8,,8,8,8,104
34732,8,,8,9,8,149
34738,9,,8,7,9,110
34778,6,,5,8,7,59
34793,10,,10,10,10,29
34800,8,,8,8,8,56
34825,8,,8,8,8,71
34833,7,,9,8,7,60
34886,9,,9,10,9,40
34900,5,,3,3,3,90
35005,6,,9,6,6,24
35022,8,,8,8,7,42
35025,7,,7,8,10,35
35032,7,,9,8,9,58
35106,6,,6,6,5,45
35234,9,,8,10,9,89
35319,9,,9,9,9,46
35322,6,,8,8,7,44
35323,6,,6,6,6,68
35326,5,,6,4,6,27
35340,7,,7,4,5,103
35346,8,,7,8,7,76
35349,7,,9,8,8,75
35355,8,,7,8,8,31
35366,7,,6,5,7,22
35370,8,,8,7,8,74
35371,8,,8,9,8,78
35372,8,,7,8,8,23
35374,7,,8,8,7,28
35379,10,,9,10,10,38
35381,10,,10,10,10,59
35399,9,,8,7,9,65
35401,8,,8,8,8,54
35450,5,,6,6,6,40
35458,9,,9,10,9,56
35498,9,,8,9,8,179
35500,10,10,10,10,10,149
35502,7,,5,8,6,60
35507,7,,5,8,7,119
35508,5,,5,7,5,70
35512,7,,6,8,7,60
35518,6,,6,7,5,50
35520,6,,6,8,7,70
35588,10,,10,10,10,61
35600,9,,10,10,8,53
35640,10,,10,10,10,75
35643,8,,7,7,7,60
35647,7,,7,7,7,119
35676,7,,8,9,10,47
35682,5,,5,8,6,90
35718,10,,9,9,9,60
35735,8,,9,8,8,66
35788,10,,10,10,10,81
35812,10,,9,10,10,41
35862,9,,9,9,9,50
35968,9,,9,9,9,61
36010,9,,9,9,9,29
36067,7,,8,8,9,51
36073,9,,8,10,10,70
36106,9,,7,8,8,66
36120,9,,8,9,9,101
36130,8,,7,9,8,70
36131,9,,6,8,9,65
36146,8,,7,9,8,55
36148,8,,7,8,8,45
36164,7,,8,8,9,53
36186,6,,8,8,8,30
36249,5,,7,6,6,40
36250,10,,10,10,10,50
36311,9,,9,9,9,68
36321,8,,9,9,9,80
36333,8,,8,9,8,63
36376,7,,8,9,7,55
36378,8,,7,8,8,70
36403,7,,3,7,7,43
36407,6,,4,8,5,25
36409,8,,8,8,8,63
36415,8,,7,8,8,29
36427,6,,8,10,8,56
36443,8,,8,9,8,25
