nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,sedeit,oretot,compfiss,dividut,quopro,partecip
708030,1,1,1,1,12,1,0,6,1,80,20000,0,100,30000
708168,2,2,1,1,12,1,1,1,1,60,25000,0,50,200000
711432,2,1,1,1,12,2,0,8,1,45,31000,21000,50,40000
712116,1,1,1,1,12,5,3,7,1,55,25000,5000,1,500
712758,1,1,1,1,12,2,0,7,1,50,0,11000,50,50000
712964,1,1,1,1,12,5,3,1,1,55,35000,15000,50,80000
719062,3,1,1,1,12,10,7,1,1,45,16000,0,33,30000
719702,1,1,1,1,12,50,49,4,1,72,30000,0,1,10000
726161,1,1,2,1,12,3,0,7,1,40,,0,20,30000
726906,1,1,1,1,12,3,0,7,1,42,0,12000,33,10000
726918,1,1,1,1,12,6,2,7,1,42,0,18000,30,25000
726918,3,1,1,1,12,6,2,7,1,42,0,12000,20,20000
727567,2,1,2,1,12,3,2,6,1,30,0,5000,50,40000
728148,1,1,1,1,12,25,25,1,1,45,50000,0,39,200000
728547,1,1,2,1,12,2,0,1,1,8,,0,50,1000
728547,1,1,2,1,12,2,0,1,1,8,30000,0,70,1000
732502,2,1,1,1,12,10,8,2,1,50,33000,10000,50,100000
733612,1,1,2,1,12,10,7,6,1,40,600,600,20,30000
736034,2,1,1,1,12,4,0,8,1,40,15000,10000,30,15000
800700,1,1,2,2,6,2,0,7,1,30,10000,0,20,15000
800907,2,1,1,2,6,9,4,1,1,42,13000,2500,22,25000
801111,1,1,1,1,12,35,30,1,1,50,15000,0,31,300000
801235,1,1,1,2,2,8,6,1,1,60,,0,50,20000
801246,3,3,1,1,12,7,0,7,1,40,1500,0,20,100000
801506,1,1,1,1,12,4,1,1,1,60,20000,5000,30,50000
804529,1,1,1,1,12,8,5,7,1,50,1800,0,33,200000
804964,1,1,1,2,4,2,1,6,1,60,,0,20,500
804964,2,2,1,2,4,2,1,6,1,40,,0,80,800
805100,1,1,1,1,12,7,3,1,1,40,25000,0,25,10000
805498,3,1,1,1,12,1,1,8,1,50,12000,6500,100,250000
805518,2,2,1,1,12,2,0,8,1,55,0,5000,50,10000
805521,1,1,1,1,12,2,0,7,1,65,15000,0,75,4000000
806171,2,2,1,1,12,13,10,1,1,44,0,90000,30,300000
806583,1,1,1,1,12,2,0,7,1,80,0,10000,50,125000
806583,2,1,1,1,12,2,0,7,1,40,0,10000,50,125000
806948,1,1,1,1,12,2,0,7,1,55,0,20000,50,100000
807219,2,2,1,1,12,3,1,1,1,40,40000,20000,50,80000
807219,3,2,1,1,12,3,1,1,1,40,40000,20000,50,80000
807539,2,1,1,1,12,5,2,7,1,40,30000,0,40,130000
808379,1,1,1,1,12,4,2,7,1,40,0,10000,50,10000
808524,1,1,1,1,12,10,9,1,1,50,0,30000,80,200000
809506,3,3,1,1,12,6,4,6,1,50,0,30000,50,20000
810365,1,1,1,1,12,2,0,8,1,48,19000,0,50,50000
