nquest,numadd,numdip,quopro,forgiu,sedeit,fatlor,ym,debcr1,debcr2,debcr3,debcr4,debcr5,tfr,immob,valaz,ind1,ind2,ind3,ind4,attivp1,attivp2,attivp3,attivp4,mesilav1,mesilav2,mesilav3,mesilav4,oretot1,oretot2,oretot3,oretot4
675905,4,2,100,8,1,300000,100000,0,0,25000,0,30000,1000,2,1000000,1,2,,,1,1,,,12,12,,,30,40,,
676120,2,0,100,7,1,30000,20000,0,0,0,5000,10000,,2,30000,1,2,,,1,1,,,12,12,,,50,30,,
676671,1,0,100,6,1,43000,30000,0,0,0,10000,0,,2,60000,1,,,,1,,,,12,,,,45,,,
677176,4,0,100,7,1,140000,80000,0,0,0,0,0,,2,220000,1,2,3,4,1,1,1,1,12,12,12,12,45,45,45,45
677634,2,0,50,9,1,60000,30000,0,0,230000,0,0,,2,200000,1,2,,,1,1,,,12,12,,,60,60,,
680060,1,0,100,8,1,7500,500,0,0,0,0,0,,2,20000,4,,,,1,,,,9,,,,50,,,
680274,5,4,100,8,1,100000,25000,0,0,0,10000,0,20000,2,100000,2,,,,1,,,,12,,,,40,,,
680359,2,0,100,8,1,140000,77000,0,0,0,10000,17000,,2,90000,1,2,,,1,1,,,12,12,,,40,50,,
680978,34,30,60,1,1,200000,40000,0,0,0,0,0,,1,0,1,,,,1,,,,12,,,,50,,,
681380,2,0,50,9,1,58000,36000,0,0,0,0,0,,2,90000,1,,,,1,,,,12,,,,45,,,
681394,3,0,80,9,1,28000,16000,0,0,0,0,7000,,2,3000,1,2,,,2,1,,,12,12,,,30,30,,
682201,5,4,100,9,1,30000,25000,0,0,0,0,0,5000,2,50000,2,,,,1,,,,11,,,,9,,,
682379,1,0,100,8,1,25000,15000,0,0,0,0,0,,2,10000,1,,,,1,,,,12,,,,50,,,
682812,3,1,100,8,1,90000,40000,25000,0,0,0,0,7000,1,200000,1,3,,,2,2,,,12,12,,,50,40,,
682918,2,0,50,2,1,72000,65000,0,0,0,0,0,,2,10000,1,,,,1,,,,12,,,,30,,,
