nquest,nord,intper,entepen,tipopen,decor,tpens,mesipen,arret,tarret,quotape,npens
173,1,1,1,1,2003,2000,13,2,0,80,1
375,1,1,1,1,1985,405,12,2,0,50,1
629,1,1,1,5,1982,175,13,2,0,,1
629,1,1,1,1,1999,1120,13,2,0,60,2
629,1,1,1,1,2004,55,13,2,0,,3
632,1,1,2,1,2008,1350,13,2,0,95,1
633,1,1,1,1,1992,320,13,2,0,60,1
633,1,1,1,5,2003,700,13,2,0,,2
923,1,1,1,5,1994,500,13,2,0,,1
1238,1,1,1,1,1997,920,13,2,0,100,1
1367,1,1,1,1,1982,440,13,2,0,30,1
1367,1,1,1,4,2008,420,12,2,0,,2
1367,2,2,1,3,2007,250,12,2,0,,1
1826,1,1,1,1,1996,900,13,2,0,70,1
1927,1,1,1,5,1993,760,13,2,0,,1
1946,1,1,1,4,1977,257,13,2,0,,1
1946,2,2,1,1,2003,650,13,2,0,70,1
2178,1,1,2,1,1982,900,13,2,0,60,1
2178,2,2,1,4,1978,440,13,2,0,,1
2274,1,1,1,3,1960,550,13,2,0,,1
2274,2,2,1,3,1977,430,13,2,0,,1
2485,1,1,1,5,1974,550,13,2,0,,1
3717,1,1,1,1,2004,1300,13,2,0,60,1
7098,1,1,1,1,2004,860,13,2,0,70,1
7098,2,1,1,4,1996,440,12,2,0,,1
7886,1,1,1,1,2008,2200,13,2,0,90,1
11940,1,1,1,1,1994,1600,13,2,0,80,1
11940,2,1,2,1,1974,400,13,2,0,40,1
11972,1,1,1,1,1999,600,12,2,0,30,1
20174,1,1,1,1,1997,1900,13,2,0,70,1
20174,2,1,1,7,2002,125,13,2,0,,1
20223,1,1,1,1,1994,800,13,2,0,80,1
20223,2,1,1,1,2001,1050,13,2,0,90,1
20231,1,1,1,1,2007,800,13,2,0,70,1
20372,1,1,1,1,2001,1100,13,2,0,80,1
20711,2,1,1,1,1996,1870,13,2,0,80,1
20837,1,1,2,1,1989,1500,13,2,0,80,1
20837,2,1,1,1,1994,460,13,2,0,20,1
21461,1,1,1,1,1973,400,13,2,0,60,1
21461,1,1,1,5,1997,200,13,2,0,,2
22168,2,1,1,3,2007,400,13,2,0,,1
22168,3,1,1,4,2007,500,13,2,0,,1
22169,1,1,1,4,1992,450,13,2,0,,1
22169,2,1,1,2,2000,350,13,2,0,,1
22173,1,1,1,1,1995,700,13,2,0,70,1
22208,1,1,1,1,1985,920,13,2,0,80,1
22208,1,1,1,5,2006,600,13,2,0,,2
22222,1,1,1,1,1977,850,13,2,0,100,1
22222,1,1,1,5,2003,600,13,2,0,,2
22251,1,1,1,1,1980,1150,13,2,0,100,1
22251,1,1,4,3,1970,245,12,2,0,,2
22262,1,1,1,1,1998,2000,13,2,0,80,1
22263,1,1,5,5,2003,805,13,2,0,,1
22266,1,1,1,1,1984,775,13,2,0,40,1
22266,2,2,4,4,2008,439,12,2,0,,1
22272,1,1,1,1,2002,337,13,2,0,90,1
22272,2,1,1,1,1997,1500,13,2,0,90,1
22273,1,1,1,1,1981,1009,13,2,0,90,1
22273,2,2,1,1,1976,460,13,2,0,70,1
22274,2,2,1,1,1998,1400,13,2,0,90,1
22276,1,1,1,1,2006,1120,13,2,0,90,1
22276,2,1,1,5,2005,900,13,2,0,,1
22286,1,1,2,1,1992,800,13,2,0,70,1
22292,1,1,1,1,1994,700,13,2,0,70,1
22292,2,1,1,1,1993,850,13,2,0,70,1
22292,2,1,4,3,1973,240,12,2,0,,2
22353,2,1,1,1,2001,1650,13,2,0,80,1
22516,1,1,2,1,1999,950,13,2,0,80,1
22657,2,1,1,1,2007,900,13,2,0,70,1
22850,2,1,1,1,1987,370,13,2,0,40,1
22850,2,1,1,5,1991,500,13,2,0,,2
22891,1,1,1,1,1988,1800,13,2,0,90,1
22995,1,1,1,1,1995,1328,13,2,0,95,1
22996,1,1,1,1,1992,1500,13,2,0,70,1
22996,2,2,1,1,2002,650,13,2,0,80,1
23193,1,1,1,1,1995,1240,13,2,0,95,1
23370,1,1,2,1,1998,1270,13,2,0,100,1
23384,1,1,1,1,1996,750,13,2,0,40,1
23384,1,1,1,5,2006,230,13,2,0,,2
23490,1,1,2,1,1996,1150,13,2,0,70,1
23798,1,1,1,1,1998,900,13,2,0,70,1
23821,1,1,1,5,2000,537,13,2,0,,1
23823,1,1,1,5,2006,600,13,2,0,,1
23865,1,1,1,1,2003,2000,13,2,0,90,1
23986,1,1,1,1,1996,750,13,2,0,60,1
24010,1,1,2,1,1993,1550,13,2,0,70,1
24085,1,1,1,1,1995,580,13,1,300,50,1
24147,1,1,1,1,2005,1600,13,2,0,70,1
24149,1,1,1,1,1960,530,13,2,0,70,1
24158,1,1,1,1,1990,640,13,2,0,60,1
24158,1,1,1,5,2004,290,13,2,0,,2
24171,1,1,1,1,2004,700,13,2,0,60,1
24171,1,1,1,5,2008,220,13,1,300,,2
24195,2,1,1,1,1997,1100,13,2,0,95,1
24202,1,1,1,1,2006,860,12,2,0,60,1
24202,1,1,1,1,2002,750,12,2,0,60,2
24322,1,1,1,1,2002,1600,13,2,0,75,1
24326,1,1,1,1,1980,800,13,2,0,80,1
24326,1,1,1,5,2006,220,13,2,0,,2
24379,1,1,1,5,1996,700,13,2,0,,1
24382,1,1,1,1,2000,850,13,2,0,70,1
24393,1,1,1,5,2006,950,13,2,0,,1
24529,1,1,2,1,2006,1850,13,2,0,75,1
24571,1,1,1,1,1990,600,13,2,0,90,1
24571,2,2,1,1,1986,512,13,2,0,90,1
24616,1,1,1,1,1995,1070,13,2,0,90,1
