NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
173,1,2,1,1,1948,1,,2,1,5,48,60,2,1975,2,,,1,,15,2,9,,,,18,3,18,3,4,2,60,4,4,6,3,5,1,1,1,0.5453245313,,2
173,2,2,2,2,1950,1,,2,1,5,36,60,2,1969,2,,,2,,12,8,4,,,,18,3,18,3,4,2,58,4,4,7,3,5,0,0,1,0.5453245313,,5
375,1,1,2,1,1925,1,,2,4,2,,,,,,,,1,,15,8,4,,,,16,3,16,3,4,2,83,5,5,6,3,5,1,1,1,0.8530561069,,
465,1,4,1,1,1954,1,,2,1,5,36,60,2,1972,2,,,1,,1,,1,,,,8,1,8,1,2,1,54,4,3,1,1,1,0,1,4,0.40645878,,2
465,2,4,2,2,1956,1,,2,1,5,56,60,2,1976,2,,,2,,1,,1,,,,3,1,8,1,2,1,52,4,3,1,1,1,0,1,4,0.40645878,,2
465,3,4,1,5,1976,1,,1,2,7,90,100,2,2003,,2,,3,,2,,2,,,4,8,1,8,1,2,1,32,2,1,2,1,2,1,1,4,0.40645878,,10
465,4,4,1,5,1981,1,,1,2,5,60,100,2,2001,1,,3,4,,1,,1,,,,8,1,8,1,2,1,27,1,1,1,1,1,0,1,4,0.40645878,,1
629,1,2,1,1,1939,1,,3,4,3,,,,,,,,1,,15,1,2,,,,5,1,5,1,2,1,69,5,5,6,3,5,1,1,2,0.2647413477,,
629,2,2,1,5,1969,1,,1,2,5,40,60,2,1990,2,,,2,,1,,2,,,,5,1,5,1,2,1,39,2,2,1,1,2,0,1,2,0.2647413477,,2
632,1,3,1,1,1950,1,,1,1,3,,,,,,,,1,,15,2,9,,,,5,1,5,1,2,1,58,4,4,6,3,5,1,1,2,0.3024203049,,
632,2,3,2,2,1952,1,,1,1,3,,,,,,,,2,,13,,,,,,5,1,5,1,2,1,56,4,4,7,3,5,0,0,2,0.3024203049,,
632,3,3,1,5,1983,1,,1,2,5,70,100,2,2002,1,,2,4,,2,,2,,,,5,1,5,1,2,1,25,1,1,2,1,2,0,1,2,0.3024203049,,2
633,1,1,2,1,1934,1,,3,4,2,,,,,,,,1,,15,1,1,,,,5,1,5,1,2,1,74,5,5,6,3,5,1,1,1,0.229299832,,
923,1,1,2,1,1932,1,,2,4,2,,,,,,,,1,,16,,,,,,13,3,13,3,4,2,76,5,5,6,3,5,1,1,1,0.2339290424,,
1238,1,1,1,1,1937,1,,3,4,2,,,,,,,,1,,15,2,9,,,,15,3,15,3,4,2,71,5,5,6,3,5,1,1,1,0.5064609758,,
1367,1,2,1,1,1927,1,,5,1,2,,,,,,,,1,,15,7,4,,,,18,3,18,3,4,2,81,5,5,6,3,5,1,1,2,0.2956704136,3,
1367,2,2,2,2,1930,1,,4,1,1,,,,,,,,2,,13,,,,,,18,3,18,3,4,2,78,5,5,7,3,5,0,1,2,0.2956704136,3,
1763,1,2,1,1,1947,1,,2,1,2,,,,,,,,1,,12,1,3,,,,17,3,17,3,4,0,61,4,4,7,3,5,0,0,1,1.4390805918,,
1763,2,2,2,2,1954,1,,2,1,2,,,,,,,,2,,1,,1,,,,17,3,17,3,4,0,54,4,3,1,1,1,1,1,1,1.4390805918,,
1826,1,2,1,1,1929,1,,3,1,2,,,,,,,,1,,15,8,3,,,,8,1,8,1,2,2,79,5,5,6,3,5,1,1,1,0.6258418599,,
1826,2,2,2,2,1930,1,,3,1,2,,,,,,,,2,,13,,,,,,8,1,8,1,2,2,78,5,5,7,3,5,0,0,1,0.6258418599,,
1927,1,1,2,1,1933,1,,2,4,3,,,,,,,,1,,16,,,,,,5,1,5,1,2,2,75,5,5,6,3,5,1,1,1,1.5387498016,,
1946,1,2,1,1,1953,1,,4,2,5,38,60,2,1972,2,,,1,,16,,,,,,5,1,5,1,2,2,55,4,4,6,3,5,0,1,2,0.3462386675,3,2
1946,2,2,1,10,1939,1,,3,3,2,,,,,,,,3,,16,,,,,,5,1,5,1,2,2,69,5,5,6,3,5,1,1,2,0.3462386675,,
2178,1,2,2,1,1933,1,,4,1,4,,,,,,,,1,,15,2,9,,,,9,2,9,2,3,2,75,5,5,6,3,5,1,1,2,0.2805066801,3,
2178,2,2,1,2,1928,1,,4,1,2,,,,,,,,2,,16,,,,,,9,2,9,2,3,2,80,5,5,6,3,5,0,1,2,0.2805066801,3,
2274,1,2,1,1,1928,1,,2,1,2,,,,,,,,1,,16,,,,,,15,3,15,3,4,0,80,5,5,6,3,5,1,1,2,1.0987253051,,
2274,2,2,2,2,1927,1,,2,1,2,,,,,,,,2,,16,,,,,,15,3,15,3,4,0,81,5,5,6,3,5,0,1,2,1.0987253051,,
2447,1,4,1,1,1957,1,,2,1,3,,,,,,,,1,,1,,2,,,,15,3,9,2,3,2,51,4,3,1,1,2,1,1,2,1.2471375287,,
2447,2,4,2,2,1958,1,,2,1,2,,,,,,,,2,,12,1,2,,,,9,2,9,2,3,2,50,3,3,7,3,5,0,0,2,1.2471375287,,
2447,3,4,1,5,1981,1,,1,2,5,58,60,2,2000,2,,,3,,2,,9,,,,9,2,9,2,3,2,27,1,1,2,1,3,0,1,2,1.2471375287,,2
2447,4,4,2,5,1985,1,,1,2,5,60,60,2,2004,1,,4,4,,17,,,,,,9,2,9,2,3,2,23,1,1,7,3,5,0,0,2,1.2471375287,,2
2485,1,1,2,1,1935,1,,2,4,2,,,,,,,,1,,16,,,,,,9,2,9,2,3,2,73,5,5,6,3,5,1,1,1,0.2250123853,,
2886,1,4,1,1,1949,1,,3,1,5,37,60,2,1970,1,,1,1,,2,,9,,,,13,3,13,3,4,2,59,4,4,2,1,3,0,1,3,0.3248715677,,2
2886,2,4,2,2,1952,1,,2,1,6,100,100,2,2006,,2,,2,,3,,9,,,10,13,3,13,3,4,2,56,4,4,2,1,3,1,1,3,0.3248715677,,5
2886,3,4,1,5,1977,1,,1,2,5,54,60,2,1995,1,,1,3,,1,,7,,,,13,3,13,3,4,2,31,2,1,1,1,4,0,1,3,0.3248715677,,2
2886,4,4,1,5,1983,1,,1,2,7,110,110,1,2006,,1,2,4,,17,,,,,10,13,3,13,3,4,2,25,1,1,7,3,5,0,0,3,0.3248715677,,3
3717,1,1,2,1,1954,1,,2,2,5,97,100,2,1972,2,,,1,,15,2,9,,,,16,3,16,3,4,2,54,4,3,6,3,5,1,1,1,0.2342784092,,1
4732,1,1,2,1,1950,1,,2,3,2,,,,,,,,1,,13,,,,,,19,3,19,3,5,2,58,4,4,7,3,5,1,1,1,0.3164290904,,
5416,1,4,2,1,1958,1,,4,3,2,,,,,,,,1,,1,,8,,,,20,3,8,1,2,2,50,3,3,1,1,4,0,1,3,0.6277804099,3,
5416,2,4,2,6,1979,1,,4,2,5,68,100,2,1998,2,,,2,,1,,7,,,,8,1,8,1,2,2,29,1,1,1,1,4,1,1,3,0.6277804099,3,2
5416,3,4,1,6,1981,1,,3,2,3,,,,,,,,3,,1,,2,,,,8,1,8,1,2,2,27,1,1,1,1,2,0,1,3,0.6277804099,,
5416,4,4,2,6,1991,1,,3,2,3,,,,,,,,4,,11,,,,,,8,1,8,1,2,2,17,1,1,7,3,5,0,0,3,0.6277804099,,
7097,1,4,2,1,1954,1,,2,1,2,,,,,,,,1,,13,,,,,,9,2,9,2,3,1,54,4,3,7,3,5,0,0,3,0.6292659155,,
7097,2,4,1,2,1957,1,,2,1,3,,,,,,,,2,,4,,9,,,,15,3,9,2,3,1,51,4,3,3,1,3,1,1,3,0.6292659155,,
7097,3,4,2,5,1979,1,,2,2,3,,,,,,,,3,,1,,3,,,,9,2,9,2,3,1,29,1,1,1,1,2,0,1,3,0.6292659155,,
7097,4,4,1,5,1986,1,,2,2,3,,,,,,,,4,,1,,3,,,,9,2,9,2,3,1,22,1,1,1,1,2,0,1,3,0.6292659155,,
7098,1,2,1,1,1942,1,,2,4,2,,,,,,,,1,,15,8,1,,,,9,2,9,2,3,1,66,5,5,6,3,5,0,1,2,0.7267346652,,
7098,2,2,2,5,1971,1,,2,2,4,,,,,,,,2,,2,,9,,,,9,2,9,2,3,1,37,2,2,2,1,3,1,1,2,0.7267346652,,
7165,1,3,1,1,1956,1,,3,1,3,,,,,,,,1,,1,,2,,,,3,1,3,1,1,2,52,4,3,1,1,2,1,1,3,0.7576045031,,
7165,2,3,2,2,1956,1,,5,1,2,,,,,,,,2,,1,,2,,,,19,3,3,1,1,2,52,4,3,1,1,2,0,1,3,0.7576045031,3,
7165,3,3,1,5,1980,1,,2,2,5,70,100,2,1999,2,,,3,,2,,2,,,,3,1,3,1,1,2,28,1,1,2,1,2,0,1,3,0.7576045031,,2
7886,1,2,1,1,1950,1,,3,1,5,36,60,2,1968,2,,,1,,15,2,6,,,,9,2,9,2,3,0,58,4,4,6,3,5,1,1,2,1.1068177711,,2
7886,2,2,2,2,1953,1,,3,1,5,40,60,2,1974,2,,,2,,2,,9,,,,9,2,9,2,3,0,55,4,4,2,1,3,0,1,2,1.1068177711,,2
8954,1,4,1,1,1957,1,,2,1,5,39,60,2,1976,2,,,1,,2,,9,,,,13,3,13,3,4,2,51,4,3,2,1,3,1,1,2,0.3734792494,,2
8954,2,4,2,2,1957,1,,2,1,7,105,110,2,1985,,2,,2,,3,,9,,,1,14,3,13,3,4,2,51,4,3,2,1,3,0,1,2,0.3734792494,,3
8954,3,4,1,5,1986,1,,1,2,5,98,100,2,2005,1,,2,3,,17,,,,,,13,3,13,3,4,2,22,1,1,7,3,5,0,0,2,0.3734792494,,3
8954,4,4,1,5,1994,1,,1,2,3,,,,,,,,4,,17,,,,,,13,3,13,3,4,2,14,1,1,7,3,5,0,0,2,0.3734792494,,
11940,1,2,1,1,1941,1,,2,1,4,,,,,,,,1,,15,2,2,,,,7,1,7,1,1,0,67,5,5,6,3,5,1,1,2,1.3766467375,,
11940,2,2,2,2,1946,1,,2,1,2,,,,,,,,2,,15,2,9,,,,7,1,7,1,1,0,62,4,4,6,3,5,0,1,2,1.3766467375,,
11972,1,2,1,1,1938,1,,2,1,2,,,,,,,,1,,15,9,4,,,,16,3,17,3,4,2,70,5,5,6,3,5,0,1,2,0.1823878817,,
11972,2,2,2,2,1948,1,,2,1,2,,,,,,,,2,,9,,4,,,,16,3,17,3,4,2,60,4,4,5,2,4,1,1,2,0.1823878817,,
20174,1,2,1,1,1941,1,,1,1,5,7,10,2,1962,2,,,1,,15,2,6,,,,8,1,8,1,2,2,67,5,5,6,3,5,1,1,2,0.5651695682,,2
20174,2,2,2,2,1942,1,,1,1,3,,,,,,,,2,,16,,,,,,8,1,8,1,2,2,66,5,5,6,3,5,0,1,2,0.5651695682,,
20179,1,3,1,1,1953,1,,2,1,3,,,,,,,,1,,4,,5,,,,8,1,8,1,2,2,55,4,4,3,1,4,1,1,3,0.3019027193,,
20179,2,3,2,2,1954,1,,2,1,5,48,60,2,1974,2,,,2,,4,,9,,,,8,1,8,1,2,2,54,4,3,3,1,3,0,1,3,0.3019027193,,2
20179,3,3,2,5,1984,1,,2,2,5,78,100,2,2003,2,,,3,,2,,9,,,,8,1,8,1,2,2,24,1,1,2,1,3,0,1,3,0.3019027193,,1
20223,1,3,2,1,1938,1,,3,1,4,,,,,,,,2,,15,2,2,,,,3,1,3,1,1,2,70,5,5,6,3,5,0,1,3,0.4233202693,,
20223,2,3,1,2,1939,1,,2,1,4,,,,,,,,1,,15,8,2,,,,16,3,3,1,1,2,69,5,5,6,3,5,1,1,3,0.4233202693,,
20223,3,3,1,5,1971,1,,2,2,8,30,30,2,1998,,2,,3,,9,,2,,,10,,,3,1,1,2,37,2,2,5,2,2,0,1,3,0.4233202693,,2
20231,1,2,1,1,1949,1,,3,1,4,,,,,,,,1,,10,,4,,,,8,1,8,1,2,2,59,4,4,4,2,4,1,1,2,0.5021014447,,
20231,2,2,2,2,1953,1,,3,1,4,,,,,,,,2,,10,,4,,,,8,1,8,1,2,2,55,4,4,4,2,4,0,1,2,0.5021014447,,
20297,1,2,1,1,1960,1,,2,1,3,,,,,,,,1,,1,,2,,,,5,1,5,1,2,2,48,3,3,1,1,2,1,1,1,2.9146984591,,
20297,2,2,2,2,1979,2,2007,2,1,3,,,,,,,,,2,11,,,4,2007,,,,5,1,2,2,29,1,1,7,3,5,0,0,1,2.9146984591,,
20372,1,3,1,1,1947,1,,2,1,3,,,,,,,,1,,15,1,9,,,,5,1,5,1,2,2,61,4,4,6,3,5,1,1,2,1.559234389,,
20372,2,3,2,2,1948,1,,2,1,3,,,,,,,,2,,13,,,,,,5,1,5,1,2,2,60,4,4,7,3,5,0,0,2,1.559234389,,
20372,3,3,1,5,1972,1,,2,2,3,,,,,,,,3,,1,,2,,,,5,1,5,1,2,2,36,2,2,1,1,2,0,1,2,1.559234389,,
20711,1,2,2,1,1945,1,,2,1,3,,,,,,,,3,,13,,,,,,4,1,4,1,2,0,63,4,4,7,3,5,0,0,1,0.4699955404,,
20711,2,2,1,2,1944,1,,1,1,2,,,,,,,,2,,15,1,3,,,,4,1,4,1,2,0,64,4,4,6,3,5,1,1,1,0.4699955404,,
20767,1,4,2,1,1952,1,,2,1,5,52,60,2,1971,2,,,1,,13,,,,,,9,2,9,2,3,0,56,4,4,7,3,5,0,0,2,0.9016513896,,2
20767,2,4,1,2,1952,1,,3,1,2,,,,,,,,2,,1,,2,,,,9,2,9,2,3,0,56,4,4,1,1,2,0,1,2,0.9016513896,,
20767,3,4,1,5,1984,1,,1,2,5,100,100,2,2003,1,,5,4,,17,,,,,,9,2,9,2,3,0,24,1,1,7,3,5,0,0,2,0.9016513896,,3
20767,4,4,2,5,1978,1,,2,2,7,98,110,2,2001,,2,,5,,2,,9,,,10,9,2,9,2,3,0,30,1,1,2,1,3,1,1,2,0.9016513896,,3
20837,1,2,1,1,1931,1,,3,1,4,,,,,,,,1,,15,2,5,,,,8,1,8,1,2,2,77,5,5,6,3,5,1,1,2,0.2376605237,,
20837,2,2,2,2,1928,1,,3,1,2,,,,,,,,2,,16,,,,,,8,1,8,1,2,2,80,5,5,6,3,5,0,1,2,0.2376605237,,
20839,1,2,1,1,1954,1,,2,1,5,45,60,2,1973,2,,,1,,5,,9,,,,8,1,8,1,2,2,54,4,3,3,1,3,1,1,2,0.2873555133,,3
20839,2,2,2,2,1957,1,,2,1,7,106,110,2,2001,,2,,2,,2,,4,,,6,8,1,8,1,2,2,51,4,3,2,1,4,0,1,2,0.2873555133,,3
20944,1,3,2,1,1958,1,,1,1,7,105,110,2,1982,,2,,1,,3,,9,,,9,1,1,1,1,1,3,50,3,3,2,1,3,0,1,2,0.6624751151,,3
20944,2,3,1,2,1956,1,,1,1,5,54,60,2,1975,2,,,2,,4,,2,,,,1,1,1,1,1,3,52,4,3,3,1,2,1,1,2,0.6624751151,,2
20944,3,3,2,5,1994,1,,1,2,3,,,,,,,,3,,17,,,,,,1,1,1,1,1,3,14,1,1,7,3,5,0,0,2,0.6624751151,,
21384,1,4,1,1,1958,1,,2,1,3,,,,,,,,1,,8,,4,,,,19,3,19,3,5,2,50,3,3,5,2,4,1,1,2,0.3068842017,,
21384,2,4,2,2,1962,1,,2,1,3,,,,,,,,2,,13,,,,,,19,3,19,3,5,2,46,3,3,7,3,5,0,0,2,0.3068842017,,
21384,3,4,1,5,1982,1,,2,2,3,,,,,,,,3,,1,,4,,,,19,3,19,3,5,2,26,1,1,1,1,4,0,1,2,0.3068842017,,
21384,4,4,2,5,1989,1,,2,2,5,80,100,2,2008,1,,0,4,,17,,,,,,19,3,19,3,5,2,19,1,1,7,3,5,0,0,2,0.3068842017,,2
21461,1,1,2,1,1918,1,,3,4,2,,,,,,,,1,,15,1,1,,,,5,1,5,1,2,1,90,5,5,6,3,5,1,1,1,0.164597142,,
22074,1,4,1,1,1955,1,,2,1,5,48,60,2,1973,2,,,1,,2,,5,,,,6,1,15,3,4,2,53,4,3,2,1,4,1,1,1,0.260454813,,2
22074,2,4,2,2,1962,1,,2,1,5,46,60,2,1980,2,,,2,,13,,,,,,15,3,15,3,4,2,46,3,3,7,3,5,0,0,1,0.260454813,,5
22074,3,4,1,5,1985,1,,1,2,5,65,100,2,2005,1,,3,3,,17,,,,,,15,3,15,3,4,2,23,1,1,7,3,5,0,0,1,0.260454813,,3
22074,4,4,1,5,1990,1,,1,2,3,,,,,,,,4,,17,,,,,,15,3,15,3,4,2,18,1,1,7,3,5,0,0,1,0.260454813,,
22099,1,5,1,1,1958,1,,1,1,3,,,,,,,,1,,8,,4,,,,15,3,15,3,4,1,50,3,3,5,2,4,1,1,1,1.6062438379,,
22099,2,5,2,5,1982,1,,1,2,5,80,100,2,2000,2,,,2,,11,,,,,,15,3,15,3,4,1,26,1,1,7,3,5,0,0,1,1.6062438379,,5
22099,3,5,2,5,1985,1,,1,2,5,80,100,2,2003,2,,,3,,11,,,,,,15,3,15,3,4,1,23,1,1,7,3,5,0,0,1,1.6062438379,,5
22099,4,5,1,5,1987,1,,1,2,3,,,,,,,,4,,11,,,,,,15,3,15,3,4,1,21,1,1,7,3,5,0,0,1,1.6062438379,,
22099,5,5,2,2,1962,1,,1,1,2,,,,,,,,5,,13,,,,,,15,3,15,3,4,1,46,3,3,7,3,5,0,0,1,1.6062438379,,
22168,1,3,2,1,1958,1,,3,1,2,,,,,,,,1,,13,,,,,,15,3,15,3,4,3,50,3,3,7,3,5,0,0,2,0.5861210569,,
22168,2,3,1,2,1956,1,,3,1,2,,,,,,,,2,,16,,,,,,15,3,15,3,4,3,52,4,3,6,3,5,0,1,2,0.5861210569,,
22168,3,3,1,5,1985,1,,3,2,3,,,,,,,,3,,16,,,,,,15,3,15,3,4,3,23,1,1,6,3,5,1,1,2,0.5861210569,,
22169,1,3,2,1,1944,1,,3,1,2,,,,,,,,1,,16,,,,,,15,3,15,3,4,3,64,4,4,6,3,5,1,1,2,0.6326247502,,
22169,2,3,1,2,1937,1,,3,1,2,,,,,,,,2,,16,,,,,,15,3,15,3,4,3,71,5,5,6,3,5,0,1,2,0.6326247502,,
22169,3,3,1,5,1973,1,,2,2,4,,,,,,,,3,,11,,,,,,15,3,15,3,4,3,35,2,2,7,3,5,0,0,2,0.6326247502,,
22173,1,3,1,1,1938,1,,3,1,2,,,,,,,,1,,15,1,4,,,,15,3,15,3,4,3,70,5,5,6,3,5,1,1,2,0.6476673493,,
22173,2,3,2,2,1935,1,,3,1,2,,,,,,,,2,,13,,,,,,15,3,15,3,4,3,73,5,5,7,3,5,0,0,2,0.6476673493,,
22173,3,3,2,5,1975,1,,2,2,5,48,60,2,1992,2,,,3,,2,,7,,,,15,3,15,3,4,3,33,2,1,2,1,4,0,1,2,0.6476673493,,1
22208,1,1,2,1,1935,1,,3,4,2,,,,,,,,1,,15,1,2,,,,5,1,5,1,2,1,73,5,5,6,3,5,1,1,1,0.2891171795,,
22222,1,1,1,1,1927,1,,2,4,2,,,,,,,,1,,15,2,2,,,,5,1,5,1,2,1,81,5,5,6,3,5,1,1,1,0.2585063177,,
22251,1,2,1,1,1928,1,,3,1,3,,,,,,,,1,,15,1,2,,,,6,1,6,1,2,0,80,5,5,6,3,5,1,1,1,0.4664227577,,
22251,2,2,2,2,1930,1,,4,1,4,,,,,,,,2,,13,,,,,,6,1,6,1,2,0,78,5,5,7,3,5,0,0,1,0.4664227577,3,
22262,1,2,1,1,1941,1,,2,1,5,50,60,2,1964,2,,,1,,15,2,2,,,,6,1,6,1,2,1,67,5,5,6,3,5,1,1,1,0.1089018638,,2
22262,2,2,2,2,1946,1,,2,1,5,50,60,2,1964,2,,,2,,13,,,,,,6,1,6,1,2,1,62,4,4,7,3,5,0,0,1,0.1089018638,,10
22263,1,2,2,1,1931,1,,2,4,3,,,,,,,,1,,16,,,,,,6,1,6,1,2,1,77,5,5,6,3,5,0,1,2,0.1218065172,,
22263,2,2,1,5,1960,1,,2,2,4,,,,,,,,2,,1,,2,,,,6,1,6,1,2,1,48,3,3,1,1,2,1,1,2,0.1218065172,,
22266,1,2,1,1,1926,1,,4,1,3,,,,,,,,1,,15,1,2,,,,6,1,6,1,2,1,82,5,5,6,3,5,1,1,2,0.1129599439,3,
22266,2,2,2,2,1926,1,,4,1,2,,,,,,,,2,,16,,,,,,,,6,1,2,1,82,5,5,6,3,5,0,1,2,0.1129599439,3,
22272,1,2,2,1,1944,1,,2,1,2,,,,,,,,1,,15,1,8,,,,6,1,6,1,2,0,64,4,4,6,3,5,0,1,2,0.4020548312,,
22272,2,2,1,2,1941,1,,3,1,4,,,,,,,,2,,15,2,2,,,,6,1,6,1,2,0,67,5,5,6,3,5,1,1,2,0.4020548312,,
22273,1,2,1,1,1921,1,,2,1,2,,,,,,,,1,,15,1,2,,,,6,1,6,1,2,0,87,5,5,6,3,5,1,1,2,0.4664227577,,
22273,2,2,2,2,1924,1,,4,1,2,,,,,,,,2,,15,1,2,,,,6,1,6,1,2,0,84,5,5,6,3,5,0,1,2,0.4664227577,3,
22274,1,2,2,1,1947,1,,2,1,3,,,,,,,,1,,13,,,,,,6,1,6,1,2,0,61,4,4,7,3,5,0,0,1,0.4290016356,,
22274,2,2,1,2,1945,1,,2,1,4,,,,,,,,2,,15,1,2,,,,6,1,6,1,2,0,63,4,4,6,3,5,1,1,1,0.4290016356,,
22276,1,2,1,1,1949,1,,2,2,5,8,10,2,1968,2,,,1,,15,2,9,,,,8,1,8,1,2,0,59,4,4,6,3,5,1,1,2,1.497351663,,2
22276,2,2,2,3,1924,1,,3,4,2,,,,,,,,2,,16,,,,,,8,1,8,1,2,0,84,5,5,6,3,5,0,1,2,1.497351663,,
22277,1,3,2,1,1957,1,,2,1,5,50,60,2,1975,2,,,1,,4,,9,,,,8,1,8,1,2,0,51,4,3,3,1,3,1,1,2,1.3262074002,,5
22277,2,3,1,2,1958,1,,2,1,5,44,60,2,1976,2,,,2,,8,,4,,,,8,1,8,1,2,0,50,3,3,5,2,4,0,1,2,1.3262074002,,2
22277,3,3,1,5,1989,1,,2,2,5,50,60,2,2007,1,,1,3,,17,,,,,,8,1,8,1,2,0,19,1,1,7,3,5,0,0,2,1.3262074002,,3
22279,1,3,2,1,1954,1,,3,3,3,,,,,,,,1,,9,,4,,,,8,1,8,1,2,0,54,4,3,5,2,4,1,1,2,2.0093616633,,
22279,2,3,1,6,1982,1,,2,2,5,73,100,2,2000,2,,,2,,1,,2,,,,8,1,8,1,2,0,26,1,1,1,1,2,0,1,2,2.0093616633,,2
22279,3,3,2,6,1986,1,,2,2,5,75,100,2,2005,2,,,3,,12,2,7,,,,8,1,8,1,2,0,22,1,1,7,3,5,0,0,2,2.0093616633,,2
22286,1,2,1,1,1950,1,,2,1,3,,,,,,,,1,,15,2,9,,,,8,1,8,1,2,0,58,4,4,6,3,5,0,1,2,0.9696370527,,
22286,2,2,2,2,1956,1,,2,1,3,,,,,,,,2,,1,,9,,,,8,1,8,1,2,0,52,4,3,1,1,3,1,1,2,0.9696370527,,
22292,1,2,2,1,1935,1,,2,1,2,,,,,,,,1,,15,9,1,,,,8,1,8,1,2,0,73,5,5,6,3,5,0,1,2,1.0437837567,,
22292,2,2,1,2,1929,1,,2,1,2,,,,,,,,2,,15,9,1,,,,8,1,8,1,2,0,79,5,5,6,3,5,1,1,2,1.0437837567,,
22353,1,3,2,1,1949,1,,4,1,2,,,,,,,,1,,13,,,,,,5,1,6,1,2,2,59,4,4,7,3,5,0,0,2,0.2271023883,2,
22353,2,3,1,2,1947,1,,5,1,2,,,,,,,,2,,15,1,2,,,,5,1,6,1,2,2,61,4,4,6,3,5,1,1,2,0.2271023883,2,
22353,3,3,2,5,1987,1,,1,2,4,,,,,,,,3,,2,,4,,,,6,1,6,1,2,2,21,1,1,2,1,4,0,1,2,0.2271023883,,
22516,1,2,1,1,1948,1,,3,1,3,,,,,,,,1,,15,1,7,,,,3,1,3,1,1,2,60,4,4,6,3,5,0,1,2,0.2298994835,,
22516,2,2,2,2,1955,1,,4,1,5,40,60,2,1989,2,,,2,,5,,9,,,,5,1,3,1,1,2,53,4,3,3,1,3,1,1,2,0.2298994835,3,2
22624,1,6,1,1,1957,1,,3,1,2,,,,,,,,1,,12,1,3,,,,15,3,15,3,4,2,51,4,3,7,3,5,0,1,3,0.2557085423,,
22624,2,6,2,2,1961,1,,2,1,3,,,,,,,,2,,13,,,,,,15,3,15,3,4,2,47,3,3,7,3,5,0,0,3,0.2557085423,,
22624,3,6,1,5,1981,1,,1,2,3,,,,,,,,3,,1,,3,,,,15,3,15,3,4,2,27,1,1,1,1,2,0,1,3,0.2557085423,,
22624,4,6,1,5,1984,1,,2,2,4,,,,,,,,4,,1,,5,,,,15,3,15,3,4,2,24,1,1,1,1,4,1,1,3,0.2557085423,,
22624,5,6,2,5,1995,1,,1,2,2,,,,,,,,5,,17,,,,,,15,3,15,3,4,2,13,1,1,7,3,5,0,0,3,0.2557085423,,
22624,6,6,2,5,1997,1,,1,2,2,,,,,,,,6,,17,,,,,,15,3,15,3,4,2,11,1,1,7,3,5,0,0,3,0.2557085423,,
22657,1,2,2,1,1951,1,,1,1,7,110,110,1,1988,,1,4,1,,3,,9,,,9,16,3,16,3,4,2,57,4,4,2,1,3,0,1,2,1.4527568274,,3
22657,2,2,1,2,1946,1,,1,1,5,7,40,2,1965,2,,,2,,15,3,5,,,,16,3,16,3,4,2,62,4,4,6,3,5,1,1,2,1.4527568274,,2
22850,1,2,2,1,1949,1,,2,2,7,110,110,1,1980,,2,,1,,3,,9,,,9,1,1,5,1,2,1,59,4,4,2,1,3,1,1,2,0.2486937142,,5
22850,2,2,2,3,1920,1,,4,4,2,,,,,,,,2,,15,1,2,,,,5,1,5,1,2,1,88,5,5,6,3,5,0,1,2,0.2486937142,3,
22891,1,1,1,1,1926,1,,3,4,3,,,,,,,,1,,15,4,5,,,,8,1,8,1,2,0,82,5,5,6,3,5,1,1,1,0.744432017,,
22995,1,2,1,1,1943,1,,2,1,3,,,,,,,,1,,15,2,9,,,,5,1,1,1,1,2,65,4,5,6,3,5,1,1,1,0.2794640204,,
22995,2,2,2,2,1946,1,,2,1,3,,,,,,,,2,,13,,,,,,1,1,1,1,1,2,62,4,4,7,3,5,0,0,1,0.2794640204,,
22996,1,2,1,1,1934,1,,2,1,5,70,100,2,1953,2,,,1,,15,5,1,,,,1,1,1,1,1,2,74,5,5,6,3,5,1,1,2,0.2898778676,,2
22996,2,2,2,2,1942,1,,3,1,3,,,,,,,,2,,15,1,4,,,,1,1,1,1,1,2,66,5,5,6,3,5,0,1,2,0.2898778676,,
23193,1,1,2,1,1930,1,,4,2,6,74,110,2,1969,,2,,1,,15,2,9,,,10,7,1,7,1,1,2,78,5,5,6,3,5,1,1,1,0.5177039146,3,2
23370,1,2,1,1,1942,1,,3,1,3,,,,,,,,1,,15,4,9,,,,6,1,6,1,2,2,66,5,5,6,3,5,1,1,1,0.2326888333,,
23370,2,2,2,2,1942,1,,3,1,3,,,,,,,,2,,13,,,,,,6,1,6,1,2,2,66,5,5,7,3,5,0,0,1,0.2326888333,,
23384,1,1,1,1,1931,1,,2,4,4,,,,,,,,1,,15,8,4,,,,5,1,5,1,2,0,77,5,5,6,3,5,1,1,1,0.9605599097,,
23386,1,4,2,1,1961,1,,2,1,4,,,,,,,,1,,1,,8,,,,4,1,4,1,2,0,47,3,3,1,1,4,0,1,3,0.5655789987,,
