NQUEST,NORD,NCOMP,SEX,PARENT,ANASC,CIT,ANINGR,SALUT,STACIV,STUDIO,VOTOEDU,SUEDU,SELODE,ANNOEDU,UNIVER,UNIVER1,ANNIUNIVER,NORDP,MOTENT,APQUAL,ASNONOC,APSETT,MOTIV,ANNOENUS,TIPOLAU,NASCREG,NASCAREA,IREG,AREA3,AREA5,ACOM4C,ETA,CLETA,CLETA5,QUAL,Q,SETT,CFRED,PERC,NPERC,PESOFIT,SALUTC,TIPODIP
814245,3,3,1,5,1979,1,,1,2,7,100,110,2,2002,,2,,,,8,,5,,,10,3,1,3,1,1,3,29,1,1,5,2,4,0,1,3,2.031694244,,4
814246,1,2,1,1,1933,1,,2,1,3,,,,,,,,,,15,8,4,,,,3,1,3,1,1,3,75,5,5,6,3,5,1,1,2,1.749972038,,
814246,2,2,2,2,1941,1,,2,1,3,,,,,,,,,,15,8,4,,,,3,1,3,1,1,3,67,5,5,6,3,5,0,1,2,1.749972038,,
814261,1,1,1,1,1923,1,,3,4,5,48,60,2,1946,2,,,,,15,4,2,,,,3,1,3,1,1,3,85,5,5,6,3,5,1,1,1,1.7499602937,,2
814262,1,2,1,1,1936,1,,2,1,5,40,60,2,1956,1,,9,,,15,4,2,,,,9,2,3,1,1,3,72,5,5,6,3,5,1,1,2,1.749972038,,3
814262,2,2,2,2,1941,1,,2,1,7,89,110,2,1969,,2,,,,15,3,9,,,6,8,1,3,1,1,3,67,5,5,6,3,5,0,1,2,1.749972038,,2
814264,1,3,1,1,1956,1,,1,1,5,50,60,2,1975,1,,5,,,5,,6,,,,5,1,3,1,1,3,52,4,3,3,1,4,1,1,1,2.0742380087,,3
814264,2,3,2,2,1965,1,,3,1,5,37,60,2,1984,1,,3,,,13,,,,,,5,1,3,1,1,3,43,3,2,7,3,5,0,0,1,2.0742380087,,3
814264,3,3,1,5,2001,1,,1,2,1,,,,,,,,,,17,,,,,,3,1,3,1,1,3,7,1,1,7,3,5,0,0,1,2.0742380087,,
814294,1,1,2,1,1984,1,,1,2,6,93,110,2,2006,,1,2,,,2,,6,,,6,16,3,3,1,1,3,24,1,1,2,1,4,1,1,1,1.8764372915,,2
814299,1,1,1,1,1947,1,,2,2,7,110,110,2,1972,,2,,,,3,,9,,,9,9,2,3,1,1,3,61,4,4,2,1,3,1,1,1,1.6256493079,,3
814309,1,3,1,1,1973,1,,1,1,7,110,110,1,2007,,1,1,,,4,,9,,,3,,,3,1,1,3,35,2,2,3,1,3,1,1,2,2.4942404116,,3
814309,2,3,2,2,1964,2,2002,1,1,5,50,60,2,1982,2,,,,,12,2,5,2,,,,,3,1,1,3,44,3,2,7,3,5,0,1,2,2.4942404116,,3
814309,3,3,2,5,2004,1,,1,2,1,,,,,,,,,,18,,,,,,3,1,3,1,1,3,4,1,1,7,3,5,0,0,2,2.4942404116,,
814310,1,1,2,1,1971,1,,1,2,7,99,110,2,1996,,2,,,,2,,6,,,6,3,1,3,1,1,3,37,2,2,2,1,4,1,1,1,2.8574723893,,3
814312,1,1,1,1,1946,1,,3,2,5,48,60,2,1975,1,,1,,,15,4,6,,,,3,1,3,1,1,3,62,4,4,6,3,5,1,1,1,1.6256493079,,2
814317,1,1,2,1,1975,2,1996,2,3,5,36,60,2,1992,2,,,,,7,,4,3,,,,,3,1,1,3,33,2,1,4,2,4,1,1,1,2.8574723893,,10
814326,1,2,2,1,1960,2,2000,3,1,5,15,20,2,1993,2,,,,,1,,7,3,,,,,3,1,1,3,48,3,3,1,1,4,1,1,1,1.7502056401,,5
