nquest,npagcart,npagcaan,nprel1,nprel1an,prelmed1,pagam4u,pagam4,pagam4an,nprel2,nprel2an,prelmed2,assban,nassban,nassban2,assdep,limass,ammass,checkcc,checktipo,scont1,scont2,scont3,scont4
224048,,,,,,,,,1,,800,2,,,2,,,3,1,2,1,,
230037,,,,,,,,,4,,300,1,3,,3,,,3,2,2,2,2,2
237003,,,8,,300,2,,,1,,600,1,,6,3,,,3,2,2,2,2,1
238055,,,5,,100,1,4,,3,,150,1,,10,2,,,3,1,2,2,2,1
243067,,,1,,200,1,1,,0,,,1,,4,1,1,102000,4,1,2,2,1,
244013,0,,0,,,2,,,0,,,1,,2,2,,,5,4,2,2,2,2
244058,,,10,,100,2,,,0,,,2,,,2,,,2,4,1,,,
250010,,,,,,,,,,,,,,,,,,,,2,2,1,
250056,,,,,,,,,,,,,,,,,,,,2,2,2,2
282083,,,,,,,,,,,,,,,,,,,,2,2,2,2
282089,,,2,,150,1,1,,2,,200,2,,,3,,,3,1,2,2,2,2
294039,,,3,,200,1,3,,0,,,2,,,2,,,3,3,2,2,2,2
310005,,,4,,100,1,4,,,5,300,2,,,1,3,,3,1,2,2,1,
310051,,,4,,200,1,2,,0,,,1,,4,3,,,4,2,2,2,2,1
332080,,,2,,250,2,,,0,,,2,,,3,,,2,2,2,1,,
350035,0,,0,,,2,,,1,,1000,1,,5,3,,,2,3,2,2,2,2
364310,,,2,,400,1,4,,0,,,1,,3,1,3,,4,1,2,2,1,
389045,,,,,,,,,,,,,,,,,,,,2,2,1,
389084,,,2,,150,2,,,,6,400,2,,,2,,,4,1,2,2,2,1
500001,,,3,,350,1,1,,,1,1500,2,,,3,,,4,1,2,2,1,
500004,,,,,,,,,,,,,,,,,,,,1,,,
500011,,,,,,,,,3,,280,1,,4,1,3,,4,1,2,1,,
500026,,,0,,,1,4,,2,,300,2,,,2,,,3,3,2,2,2,2
500088,,,,,,,,,1,,600,2,,,3,,,4,3,2,1,,
500090,,,,,,,,,2,,400,2,,,3,,,4,1,2,2,1,
500155,,,,,,,,,,,,,,,,,,,,2,1,,
500220,,,,,,,,,,,,,,,,,,,,2,1,,
500328,,,2,,480,2,,,,1,1500,1,,1,1,1,150000,4,1,2,2,1,
500340,7,,6,,50,1,4,,,2,2000,1,,6,1,1,100000,1,1,2,2,2,2
500388,10,,0,,,1,1,,0,,,1,,2,1,3,,2,1,2,2,1,
500477,2,,2,,500,1,4,,,1,1800,1,,10,1,3,,3,2,2,2,1,
500573,1,,2,,250,1,,10,6,,200,2,,,3,,,4,1,2,2,2,2
500576,,,2,,200,2,,,0,,,2,,,2,,,2,2,2,2,1,
500586,,,0,,,1,5,,2,,300,2,,,2,,,4,3,2,2,2,2
500620,,,0,,,1,4,,2,,250,2,,,2,,,3,3,2,2,2,2
500669,,,2,,300,1,6,,4,,300,1,,3,2,,,2,3,2,2,2,1
500682,,,6,,200,1,3,,,10,100,1,,8,2,,,3,1,2,2,2,1
500751,6,,6,,120,1,2,,,6,100,1,,8,2,,,3,1,2,2,1,
501048,,,,6,60,1,4,,2,,100,2,,,2,,,3,1,2,2,2,1
501059,6,,6,,100,1,3,,4,,150,1,1,,2,,,3,1,2,2,2,1
501374,,,,,,,,,1,,1700,2,,,3,,,5,3,2,2,2,2
501485,4,,2,,200,1,6,,0,,,2,,,2,,,3,3,2,2,2,2
501569,,4,1,,250,1,,6,2,,300,2,,,1,3,,3,3,2,2,2,2
501627,,,,,,,,,1,,400,2,,,3,,,3,3,2,2,2,2
501664,,3,4,,50,1,10,,2,,50,2,,,1,3,,4,2,2,2,2,2
501694,,,1,,500,1,,5,,4,1000,2,,,3,,,3,3,2,1,,
501978,10,,9,,200,1,4,,,10,300,1,,8,1,2,,3,1,2,2,2,2
502144,3,,2,,250,1,5,,1,,300,2,,,2,,,3,3,2,2,2,2
502157,,,,,,,,,0,,,1,10,,2,,,3,3,2,1,,
502383,,,,,,,,,,,,,,,,,,,,2,1,,
502434,4,,2,,250,1,2,,0,,,1,,6,3,,,3,1,2,2,2,1
502437,10,,0,,,1,5,,2,,500,1,2,,1,3,,3,1,2,2,2,2
502506,3,,3,,300,1,2,,0,,,1,,8,2,,,2,1,2,2,2,1
503431,2,,3,,350,1,1,,,2,1300,1,,5,1,1,100000,4,1,2,2,2,1
503560,,,3,,500,1,3,,0,,,2,,,3,,,4,3,1,,,
503593,,,5,,250,1,2,,0,,,1,,2,1,1,10300,2,4,2,2,2,2
503804,,1,1,,200,2,,,1,,700,1,,3,1,3,,3,2,2,2,1,
503950,,,7,,100,2,,,,4,200,1,,2,2,,,1,1,1,,,
503959,3,,4,,50,1,3,,,5,200,2,,,1,3,,3,1,2,2,2,1
503981,,7,5,,250,2,,,,3,300,2,,,3,,,3,2,1,,,
504063,,,,,,,,,3,,700,2,,,1,3,,3,3,1,,,
504091,1,,3,,600,1,1,,0,,,1,,4,3,,,4,1,1,,,
504112,,,,,,,,,2,,150,2,,,2,,,4,2,2,1,,
504138,,,2,,250,1,5,,2,,250,2,,,2,,,3,3,2,2,2,2
504157,4,,0,,,1,4,,2,,300,1,,10,2,,,3,3,2,2,2,2
504158,,,,,,,,,2,,300,2,,,2,,,4,3,2,2,2,1
504175,,,0,,,1,4,,2,,200,2,,,2,,,3,3,2,2,2,1
504209,2,,7,,150,2,,,,10,100,1,,8,3,,,3,1,2,2,2,1
504341,,,,6,250,1,,6,,5,300,2,,,3,,,3,2,2,2,2,1
504359,,,4,,200,1,3,,1,,300,1,,8,3,,,3,2,1,,,
504363,,,6,,50,1,3,,1,,250,2,,,1,3,,2,1,2,2,1,
504483,,,12,,200,1,1,,3,,1500,1,,2,2,,,3,2,2,1,,
504551,,,,,,,,,1,,1000,2,,,2,,,4,6,2,2,1,
504719,,,3,,100,1,20,,0,,,1,,5,2,,,3,1,2,2,1,
504743,,,,,,,,,,,,,,,,,,,,1,,,
504872,,,,,,,,,1,,600,2,,,2,,,3,3,2,2,2,2
504889,3,,4,,250,1,4,,1,,500,1,,7,1,1,120000,2,1,2,2,2,1
504959,,,3,,250,1,3,,0,,,1,,4,3,,,1,1,2,1,,
505167,,,,,,,,,,,,,,,,,,,,1,,,
505238,,,,,,,,,1,,750,2,,,3,,,4,1,2,1,,
505243,2,,4,,250,1,2,,,6,400,1,,3,1,2,,2,1,2,2,1,
505285,,,,,,,,,1,,700,2,,,3,,,4,2,1,,,
505334,,,4,,200,1,2,,0,,,2,,,3,,,4,1,1,,,
505390,10,,5,,150,1,5,,,4,150,1,,4,1,1,103284,1,1,2,2,2,2
505416,,,,4,300,2,,,1,,1000,2,,,2,,,3,1,2,2,2,1
505417,3,,1,,200,1,4,,0,,,2,,,3,,,3,1,2,2,1,
505421,,,1,,250,2,,,1,,200,1,,3,3,,,5,3,2,2,1,
505424,2,,,5,250,1,12,,0,,,1,,10,1,1,100000,1,1,2,2,2,1
505425,,2,2,,200,1,5,,1,,500,2,,,3,,,3,1,2,2,2,1
505436,,2,8,,140,1,30,,0,,,1,,2,2,,,1,1,2,2,2,1
505442,,,,,,,,,2,,400,2,,,3,,,5,4,2,1,,
505453,,,0,,,2,,,0,,,2,,,1,1,103000,1,1,2,2,2,1
505454,,,,,,,,,,,,,,,,,,,,2,2,1,
505469,8,,2,,200,1,2,,0,,,1,5,,3,,,1,2,2,2,2,1
505477,,2,6,,250,1,10,,4,,100,2,,,1,1,103200,3,1,2,2,2,1
505492,,,,,,,,,2,,300,2,,,3,,,4,1,2,2,2,1
505498,,,4,,200,1,4,,1,,300,1,,2,3,,,4,1,2,2,2,1
505502,,,,,,,,,2,,600,2,,,3,,,3,1,2,2,1,
505517,,,4,,250,1,2,,0,,,2,,,2,,,3,1,2,1,,
505534,,,2,,200,1,6,,0,,,1,,4,2,,,3,1,2,2,2,1
505548,,,,,,,,,2,,400,2,,,2,,,2,4,2,2,2,1
505566,4,,,4,160,2,,,2,,300,2,,,2,,,4,1,2,2,2,2
505576,,,,,,,,,,6,300,2,,,2,,,5,4,2,2,1,
505594,3,,2,,100,1,2,,1,,200,1,,3,2,,,4,1,1,,,
505606,1,,4,,200,1,4,,3,,200,1,,6,1,3,,5,3,2,2,2,1
505672,,8,7,,200,1,4,,0,,,1,,3,1,1,103000,2,1,2,2,2,2
505681,,,2,,200,2,,,,2,500,2,,,3,,,3,3,2,2,1,
505768,6,,4,,250,1,3,,0,,,2,,,3,,,1,2,2,2,2,2
505771,1,,,6,250,1,4,,2,,3000,1,2,,1,2,,3,1,2,2,1,
505798,10,,7,,250,1,,2,1,,1000,1,2,,1,1,130000,1,1,2,2,2,1
505818,,5,6,,250,1,10,,,5,1000,1,,6,1,3,,1,4,1,,,
505839,0,,6,,100,1,7,,,2,800,1,,2,3,,,4,2,2,2,2,2
505850,,,,,,,,,2,,200,1,,1,3,,,3,3,2,1,,
505979,,,,5,200,1,4,,,3,500,1,,2,1,1,103000,3,3,2,2,2,2
506007,,,4,,150,1,2,,0,,,1,,2,1,1,103000,4,3,2,2,2,2
506025,,,4,,100,1,2,,0,,,2,,,1,1,103000,3,3,2,2,2,2
506107,,,20,,50,1,1,,,6,200,1,,6,1,3,,3,3,2,1,,
506126,,,6,,250,1,2,,0,,,2,,,3,,,2,1,1,,,
506153,1,,2,,300,2,,,1,,800,1,,4,1,1,100000,3,1,2,2,2,2
506184,,,5,,100,1,4,,1,,750,1,,6,1,1,102000,4,2,2,2,2,2
506380,,,5,,250,1,5,,0,,,1,,4,1,3,,1,1,2,2,2,2
506385,,,4,,200,1,2,,,5,200,2,,,2,,,3,1,2,2,2,1
506389,,,2,,250,1,4,,0,,,2,,,2,,,3,2,2,2,2,1
506402,,,3,,200,1,,8,0,,,2,,,2,,,2,2,2,2,2,1
506410,,,5,,200,2,,,2,,200,1,,3,3,,,1,2,2,2,2,2
506418,,,,1,200,2,,,2,,400,1,,2,3,,,4,2,2,2,2,2
506439,,3,10,,200,1,8,,,6,200,1,,6,3,,,3,1,2,2,2,2
506458,1,,6,,150,1,15,,0,,,1,,5,1,3,,1,1,2,2,2,2
506492,,,3,,140,1,6,,1,,300,2,,,3,,,6,6,2,1,,
506512,,,,,,,,,,,,,,,,,,,,2,2,2,2
506520,,1,3,,200,1,1,,2,,500,2,,,1,3,,2,2,2,2,2,2
506527,,,3,,250,1,5,,,3,300,1,,2,1,3,,4,1,1,,,
506610,5,,,,,,,,2,,300,2,,,2,,,3,4,2,2,2,2
506613,,,,,,,,,,10,600,2,,,2,,,3,1,2,2,2,2
506619,,,2,,250,1,20,,1,,500,2,,,1,1,103000,1,1,2,2,2,1
506628,3,,2,,300,1,,6,3,,250,2,,,2,,,2,2,2,2,1,
506680,,,,,,,,,,,,,,,,,,,,2,1,,
506736,1,,2,,250,1,6,,0,,,2,,,1,3,,3,1,2,2,2,1
506767,1,,2,,250,1,7,,2,,500,1,,3,1,3,,2,1,2,2,2,1
506772,2,,0,,,1,15,,2,,250,2,,,1,3,,2,2,2,2,2,1
506782,,,,,,,,,1,,600,2,,,3,,,3,3,1,,,
506783,,,,,,,,,,,,,,,,,,,,1,,,
506798,,,5,,200,1,3,,,6,500,2,,,2,,,3,3,2,2,2,2
506849,50,,2,,250,2,,,0,,,1,,3,2,,,1,1,1,,,
506894,,,,10,100,1,,10,0,,,1,,1,3,,,3,2,2,2,2,2
506920,1,,1,,250,1,3,,,2,400,1,,5,1,1,100000,2,1,2,2,1,
506979,,,,1,100,2,,,,1,1000,2,,,1,3,,4,1,2,2,2,2
506997,,7,,5,200,1,,7,1,,300,1,3,,1,3,,1,1,2,2,1,
507138,,,,,,,,,1,,800,2,,,3,,,3,2,2,1,,
507147,,,2,,500,1,,7,1,,2000,1,,3,1,1,100000,3,2,2,2,2,1
507151,,,,,,,,,2,,1000,1,1,,3,,,4,1,2,2,2,2
507157,,,,,,,,,1,,800,2,,,3,,,3,3,2,2,2,1
507168,,,,,,,,,2,,200,2,,,3,,,3,3,1,,,
507172,,,2,,250,1,1,,0,,,2,,,3,,,3,1,2,2,2,2
507175,,6,2,,250,1,2,,0,,,2,,,3,,,3,1,2,2,2,2
507185,,,0,,,1,6,,0,,,2,,,3,,,3,3,2,2,2,1
507190,5,,4,,150,1,4,,4,,150,1,3,,1,3,,2,1,2,2,1,
507260,,,3,,200,1,3,,0,,,2,,,1,3,,5,2,1,,,
507287,,,2,,200,1,3,,1,,400,2,,,1,1,100000,2,2,2,2,1,
507304,2,,5,,150,1,3,,0,,,2,,,1,1,100000,3,2,2,2,2,1
507316,,,1,,500,1,,6,,,,,,,,,,,,2,2,2,1
507319,,,0,,,2,,,1,,200,1,,5,1,1,100000,3,2,2,2,2,1
507329,,,,,,,,,1,,500,1,1,,1,1,100000,3,2,2,2,1,
507336,,,4,,200,1,4,,0,,,2,,,1,3,,3,2,2,2,2,1
507359,2,,3,,180,1,2,,,2,400,1,,10,1,3,,3,2,2,2,2,2
507360,1,,3,,250,1,1,,0,,,1,5,,2,,,1,4,2,2,1,
507425,2,,8,,250,1,2,,0,,,2,,,1,1,50000,2,2,2,2,1,
507444,,,,,,,,,0,,,2,,,1,3,,3,1,2,2,2,1
507477,,,,,,,,,,,,,,,,,,,,2,2,2,1
507482,,,,4,500,1,2,,2,,750,1,,3,2,,,3,2,2,2,2,1
507509,,,,,,,,,,1,500,1,,2,3,,,4,1,2,1,,
507542,,,,,,,,,4,,150,1,,1,3,,,3,1,1,,,
507557,,,0,,,1,4,,2,,400,2,,,1,3,,3,2,1,,,
507573,3,,6,,250,1,40,,,4,600,1,,8,1,3,,3,1,2,2,2,1
507588,,,,,,,,,,4,500,1,,3,2,,,3,2,2,2,1,
507595,,,5,,200,1,2,,,3,400,1,,2,3,,,4,2,2,2,2,2
507598,,,2,,200,2,,,,5,400,1,,3,3,,,3,2,1,,,
507599,,,,,,,,,2,,500,1,,4,3,,,3,2,1,,,
507602,,,,,,,,,2,,600,1,,4,3,,,3,2,1,,,
507617,,,6,,200,1,6,,0,,,1,,6,1,3,,2,1,2,2,2,1
507622,,,3,,250,1,1,,1,,200,1,,3,1,3,,3,2,2,2,2,2
507626,,,2,,300,1,4,,,2,500,1,,2,1,3,,1,2,2,2,2,1
507640,,,,,,,,,2,,700,2,,,1,3,,4,3,1,,,
507663,3,,2,,250,1,1,,1,,1000,1,,5,1,3,,3,1,2,2,2,2
507664,,3,2,,250,1,2,,,4,250,1,,3,1,3,,3,1,2,1,,
507674,,,,,,,,,1,,1000,1,,2,1,3,,3,3,1,,,
507680,,,,,,,,,,,,,,,,,,,,2,2,2,2
507691,,,,,,,,,,,,,,,,,,,,2,1,,
507724,1,,,,,,,,0,,,1,,4,2,,,5,3,2,2,2,1
507746,,,,,,,,,1,,1000,1,,5,1,3,,3,4,1,,,
507839,3,,8,,100,1,10,,1,,200,1,,3,2,,,1,2,1,,,
507843,,,,,,,,,2,,400,2,,,3,,,3,2,1,,,
507908,,,3,,250,2,,,0,,,1,,2,2,,,1,1,2,2,2,2
507912,,,,,,,,,0,,,2,,,2,,,4,3,2,2,2,2
507913,,,,,,,,,1,,400,2,,,2,,,3,2,2,2,2,2
507922,,,3,,250,2,,,0,,,1,,2,2,,,3,1,2,1,,
507924,,,,,,,,,,,,,,,,,,,,2,2,2,2
507998,,,,,,,,,0,,,1,2,,2,,,1,6,2,2,2,2
508046,,,,,,,,,0,,,2,,,2,,,6,6,2,2,2,2
508152,,,,,,,,,2,,500,2,,,2,,,1,3,2,2,2,2
508861,5,,4,,150,1,1,,,4,400,1,,3,1,3,,1,2,2,2,1,
508932,,,5,,300,1,2,,0,,,2,,,2,,,2,3,2,2,2,2
508984,,,,,,,,,,,,,,,,,,,,2,1,,
508999,,,6,,200,2,,,0,,,2,,,3,,,2,1,2,2,2,1
509064,,,,,,,,,1,,900,2,,,3,,,3,3,2,1,,
509068,,,,3,500,2,,,1,,800,2,,,1,1,100000,3,3,2,1,,
509108,,,,,,,,,,,,,,,,,,,,2,2,2,2
509123,,,,,,,,,,,,,,,,,,,,1,,,
509366,,1,2,,500,2,,,3,,400,2,,,1,3,,3,1,2,2,1,
509512,,,,,,,,,2,,550,2,,,1,3,,3,2,1,,,
509516,,,,,,,,,,,,,,,,,,,,2,2,2,2
509601,1,,1,,1000,1,,8,8,,1000,2,,,2,,,3,3,2,2,1,
509684,,,3,,250,1,3,,,3,500,2,,,3,,,2,1,2,2,1,
509689,,,,,,,,,3,,250,2,,,2,,,3,3,2,2,2,2
509712,,,,,,,,,,,,,,,,,,,,2,2,2,2
509717,,,,,,,,,,,,,,,,,,,,2,2,2,2
509720,,,,,,,,,,,,,,,,,,,,1,,,
509806,,,,2,100,2,,,2,,100,2,,,2,,,4,3,2,1,,
509869,,,,,,,,,0,,,2,,,1,1,500000,4,4,1,,,
509871,3,,2,,100,1,,10,1,,100,2,,,2,,,3,1,2,2,1,
510001,,,,,,,,,,7,400,2,,,3,,,3,3,1,,,
510039,,,,,,,,,,,,,,,,,,,,2,2,2,2
510071,,4,4,,200,1,4,,0,,,1,1,,1,1,103000,1,3,1,,,
510109,,,,,,,,,,,,,,,,,,,,2,2,2,2
510112,,,,,,,,,,,,,,,,,,,,1,,,
510181,,,,,,,,,,,,,,,,,,,,2,2,2,2
510210,,,,,,,,,,,,,,,,,,,,2,1,,
510220,,,0,,,2,,,1,,850,2,,,2,,,3,2,2,1,,
510224,,,,,,,,,,,,,,,,,,,,1,,,
510345,,,3,,300,1,2,,,6,200,2,,,2,,,2,1,2,1,,
510374,,,0,,,2,,,1,,1200,1,,1,1,3,,3,3,2,2,2,2
510432,,,,,,,,,,,,,,,,,,,,1,,,
510634,5,,10,,500,1,,6,10,,500,2,,,1,2,,3,2,2,2,2,1
511059,,,,,,,,,,,,,,,,,,,,2,2,2,2
511098,,,,,,,,,,,,,,,,,,,,2,2,2,1
511136,,,,,,,,,,,,,,,,,,,,2,1,,
511147,,,4,,250,1,3,,,5,300,2,,,1,1,100000,3,3,2,1,,
511160,,,,,,,,,,5,3000,2,,,1,3,,3,2,2,2,2,2
511260,,1,5,,300,2,,,3,,300,1,1,,2,,,4,2,2,1,,
511307,3,,,,,,,,40,,400,1,3,,2,,,3,1,1,,,
511354,,,,,,,,,4,,300,2,,,2,,,3,3,2,2,1,
511355,,,,,,,,,,,,,,,,,,,,2,2,1,
511356,,,4,,300,1,,10,3,,300,2,,,2,,,3,2,2,1,,
511365,,,,,,,,,3,,300,1,1,,2,,,4,3,2,1,,
511416,,,,,,,,,,,,,,,,,,,,2,1,,
511431,,,3,,250,1,2,,,10,200,2,,,3,,,3,3,2,2,1,
511443,,,2,,300,1,4,,2,,300,2,,,3,,,2,1,1,,,
511451,,,,,,,,,,,,,,,,,,,,1,,,
511494,,,,,,,,,,,,,,,,,,,,1,,,
511507,,,,10,200,1,8,,0,,,2,,,3,,,3,1,1,,,
511519,,,,,,,,,1,,500,2,,,3,,,4,3,2,2,1,
511525,,,,,,,,,,,,,,,,,,,,2,2,2,2
511616,,,,,,,,,1,,1100,2,,,1,2,,3,2,2,2,2,2
511629,,,,,,,,,1,,800,2,,,2,,,5,2,2,2,2,1
511757,,,4,,200,1,4,,0,,,2,,,3,,,4,3,2,2,2,1
511942,,,2,,250,1,2,,0,,,2,,,3,,,4,2,2,2,1,
511987,,,,,,,,,,,,,,,,,,,,2,2,1,
512199,,,,,,,,,,,,,,,,,,,,2,2,1,
512368,,,,,,,,,,,,,,,,,,,,2,2,2,1
512372,,,,,,,,,,,,,,,,,,,,2,2,2,2
512382,,,,,,,,,,,,,,,,,,,,2,2,2,2
512433,,,0,,,2,,,2,,500,2,,,2,,,3,3,2,2,2,2
512457,,,,,,,,,,,,,,,,,,,,2,2,2,2
512459,4,,4,,300,2,,,,6,500,1,,8,2,,,4,4,2,2,2,2
512517,2,,3,,250,1,8,,,2,400,1,,2,3,,,1,2,2,2,2,2
512547,3,,,,,,,,0,,,1,2,,3,,,1,1,2,2,2,1
512579,,,5,,200,2,,,0,,,2,,,3,,,5,3,1,,,
512687,,,,,,,,,1,,500,2,,,2,,,5,4,2,2,2,2
512789,20,,,5,250,1,4,,0,,,1,10,,1,1,110000,1,1,2,1,,
512845,0,,4,,200,1,4,,2,,300,2,,,3,,,3,1,2,2,2,2
512850,,,2,,250,1,4,,1,,300,2,,,3,,,3,1,2,2,2,2
512881,,2,10,,50,1,,11,1,,100,2,,,2,,,3,3,1,,,
512882,,,2,,100,2,,,,1,100,2,,,2,,,5,4,2,2,2,2
512887,0,,10,,100,2,,,0,,,2,,,2,,,5,5,2,2,2,2
512892,,,,,,,,,,,,,,,,,,,,2,2,2,2
512908,,,,,,,,,10,,100,2,,,2,,,5,4,2,2,2,2
512928,,,3,,100,2,,,,2,100,2,,,1,3,,3,2,2,1,,
512935,2,,2,,250,1,2,,2,,200,1,,3,2,,,4,2,2,2,1,
512939,,,,,,,,,2,,600,2,,,2,,,4,3,2,2,2,2
512943,,,,,,,,,3,,400,2,,,2,,,5,3,2,2,2,2
513045,3,,0,,,1,5,,2,,300,2,,,2,,,3,4,2,2,2,1
513113,,,5,,100,1,3,,2,,150,1,,10,2,,,3,1,2,2,1,
513131,,,,,,,,,5,,150,1,,8,2,,,3,1,2,2,2,2
513183,,,,,,,,,,3,300,1,,10,2,,,3,3,2,2,2,2
513326,,,,,,,,,,,,,,,,,,,,2,2,1,
513335,,,,,,,,,1,,1200,2,,,2,,,3,3,2,2,1,
513348,,,,,,,,,,,,,,,,,,,,2,2,1,
513373,,,0,,,1,4,,2,,250,2,,,2,,,4,2,2,2,2,1
513382,,,,,,,,,2,,300,2,,,2,,,3,3,2,2,2,1
513390,,,,,,,,,4,,120,2,,,2,,,1,2,2,1,,
513406,2,,10,,300,1,4,,4,,100,2,,,1,1,103000,1,1,1,,,
513411,3,,5,,50,1,5,,0,,,2,,,1,3,,3,1,1,,,
513421,3,,5,,100,1,4,,,2,800,2,,,1,3,,1,1,2,1,,
513427,,,3,,250,1,1,,0,,,1,,10,3,,,3,4,2,2,2,2
513428,,7,5,,100,1,1,,0,,,1,,2,1,2,,3,1,2,1,,
513435,,,3,,120,1,10,,,1,700,2,,,1,3,,2,2,2,2,2,2
513437,10,,1,,500,1,20,,0,,,1,2,,3,,,1,2,2,2,2,1
513442,,,3,,100,1,6,,0,,,2,,,1,3,,2,1,1,,,
610024,4,,2,,300,1,4,,,1,1000,1,,3,3,,,3,1,2,2,1,
610206,,,,,,,,,,2,750,2,,,1,3,,3,2,2,1,,
610371,,,,11,750,1,4,,,10,600,1,1,,3,,,2,2,2,2,2,1
610658,,,,3,500,1,1,,2,,500,1,,4,2,,,3,2,2,2,1,
610666,10,,,4,500,1,20,,,1,1600,1,24,,1,1,100000,1,1,2,2,2,1
611167,,,3,,250,1,5,,,4,500,2,,,3,,,4,2,2,2,1,
611512,,,,,,,,,2,,400,2,,,3,,,3,2,2,1,,
611736,,,,,,,,,2,,150,2,,,3,,,2,3,1,,,
611762,,,0,,,2,,,3,,250,2,,,3,,,3,3,2,1,,
611774,2,,4,,250,1,1,,0,,,2,,,1,3,,3,1,2,1,,
611993,8,,3,,200,1,3,,,4,200,2,,,1,3,,3,1,2,2,2,1
612402,,,3,,250,1,4,,0,,,1,,4,1,3,,4,3,2,2,2,2
612423,4,,2,,150,1,4,,,1,250,2,,,1,3,,2,1,2,2,2,1
612523,,5,4,,150,1,4,,,6,300,2,,,1,2,,3,3,2,2,2,1
612547,4,,4,,300,1,4,,1,,300,1,1,,1,1,103000,3,3,2,2,2,2
613319,3,,4,,200,1,4,,0,,,1,,4,1,1,20000,2,1,2,2,2,2
613535,,6,20,,250,1,5,,3,,250,1,30,,3,,,1,2,2,2,1,
613624,,,,,,,,,,,,,,,,,,,,2,2,2,2
613825,,,,,,,,,,,,,,,,,,,,2,2,2,2
613997,,,,,,,,,,,,,,,,,,,,2,2,2,2
614683,,8,,,,,,,10,,1000,2,,,3,,,3,1,2,2,2,2
615399,3,,2,,250,1,4,,,5,250,1,,4,1,2,,3,1,2,2,1,
615533,,,0,,,1,4,,12,,900,2,,,2,,,2,2,2,1,,
615751,,,1,,500,2,,,,3,700,2,,,3,,,4,3,1,,,
616048,,,,,,,,,2,,300,2,,,2,,,4,3,2,2,2,2
616053,,,,,,,,,1,,500,2,,,2,,,5,4,2,2,1,
616078,,10,4,,200,1,2,,,6,200,2,,,2,,,2,1,2,2,1,
616111,,,,,,,,,,,,,,,,,,,,1,,,
616182,,,,,,,,,0,,,2,,,1,3,,3,3,2,1,,
616191,,,2,,300,1,,6,0,,,1,,2,3,,,4,4,1,,,
616249,,,,,,,,,,,,,,,,,,,,2,2,1,
616313,3,,5,,200,1,3,,0,,,2,,,1,1,105000,1,1,2,2,2,2
616381,,,,,,,,,1,,1600,2,,,3,,,3,3,2,2,2,1
616410,,,,,,,,,2,,300,2,,,3,,,4,1,2,2,2,2
617019,,,2,,300,2,,,,2,100,1,,4,2,,,3,1,2,2,2,1
617023,6,,6,,120,1,3,,,6,200,1,,4,2,,,3,1,2,2,2,1
617089,,,,,,,,,3,,200,2,,,2,,,4,4,2,2,2,2
617637,10,,5,,250,1,1,,1,,1200,1,,7,1,1,100000,3,2,1,,,
619038,,,,,,,,,2,,200,2,,,3,,,3,3,1,,,
619456,,,0,,,1,,6,,,,,,,,,,,,2,1,,
619807,,,0,,,1,4,,2,,300,2,,,2,,,3,3,2,2,2,1
620649,10,,7,,250,1,3,,1,,300,1,1,,1,3,,2,1,2,2,2,2
620829,0,,2,,200,1,5,,0,,,2,,,1,1,100000,1,1,2,2,2,1
620858,,3,5,,150,1,10,,0,,,2,,,1,1,100000,2,1,2,2,2,1
620862,5,,15,,200,1,10,,0,,,1,,4,1,1,100000,1,1,2,2,2,1
621685,,,3,,150,1,2,,,10,200,2,,,2,,,3,1,2,2,1,
621762,,,,,,,,,,,,,,,,,,,,2,2,2,2
621766,,,2,,200,2,,,0,,,2,,,2,,,3,1,2,2,2,2
622031,,,,,,,,,,,,,,,,,,,,1,,,
622063,,,,,,,,,,,,,,,,,,,,1,,,
622071,1,,4,,300,1,6,,5,,500,1,4,,2,,,3,1,1,,,
622712,,,1,,250,1,2,,2,,250,1,,3,3,,,4,1,2,1,,
623250,,,,,,,,,0,,,2,,,2,,,6,6,1,,,
623281,,,,,,,,,1,,800,2,,,2,,,6,2,2,2,2,2
623305,,,,,,,,,1,,1500,2,,,2,,,6,6,1,,,
623310,,,,,,,,,,,,,,,,,,,,2,1,,
623614,,,,,,,,,1,,1000,2,,,1,2,,3,3,2,2,2,2
623619,,,,,,,,,,,,,,,,,,,,2,2,1,
623961,,,,,,,,,2,,300,2,,,2,,,3,3,2,2,2,2
623983,4,,2,,400,1,2,,2,,400,1,,2,2,,,3,2,2,1,,
624017,,,,,,,,,2,,450,1,,3,3,,,4,3,1,,,
624400,,,,,,,,,2,,100,2,,,2,,,4,3,2,1,,
624422,,,,,,,,,2,,800,2,,,3,,,3,3,1,,,
624781,,4,1,,500,1,,4,1,,500,1,,3,2,,,4,1,2,2,2,1
625193,,,0,,,2,,,0,,,2,,,2,,,5,4,2,2,2,2
625304,,,5,,100,1,2,,,10,200,1,,6,2,,,3,1,2,2,2,1
625509,,,,,,,,,,,,,,,,,,,,1,,,
625513,,,,,,,,,,,,,,,,,,,,2,1,,
625641,,,2,,200,1,1,,1,,200,1,,2,1,3,,3,1,2,2,1,
625651,0,,2,,500,2,,,,5,500,1,2,,3,,,3,1,2,2,1,
625837,,,4,,200,1,4,,0,,,1,1,,3,,,5,6,2,2,2,2
625975,,,,,,,,,4,,150,2,,,3,,,6,6,2,1,,
625983,,,3,,300,1,7,,3,,300,1,,10,2,,,1,1,1,,,
626162,,,3,,250,1,1,,,4,500,1,,10,3,,,1,1,2,2,2,2
