nquest,nord,figl,nfigl,altrf,desf1,desf2,motnf1,motnf2,motnf3,HAPPY
31163,3,,,,,,,,,
31163,4,,,,,,,,,
31163,5,,,,,,,,,
31163,6,,,,,,,,,
31191,1,,,,,,,,,6
31191,2,,,,,,,,,
31219,1,,,,,,,,,5
31220,1,,,,,,,,,5
31220,2,,,,,,,,,
31304,1,,,,,,,,,7
31304,2,,,,,,,,,
31309,1,,,,,,,,,5
31309,2,1,2,,1,,,,,
31309,3,,,,,,,,,
31309,4,,,,,,,,,
31311,1,,,,,,,,,6
31360,1,,,,,,,,,5
31387,1,,,,,,,,,8
31387,2,1,1,,1,,,,,
31387,3,,,,,,,,,
31448,1,,,,,,,,,5
31448,2,,,,,,,,,
31556,1,,,,,,,,,10
31556,2,,,,,,,,,
31560,1,,,,,,,,,10
31560,2,,,,,,,,,
31625,1,,,,,,,,,7
31625,2,2,,,,2,,,,
31641,1,1,2,,1,,,,,7
31641,2,,,,,,,,,
31652,1,,,,,,,,,8
31652,2,,,,,,,,,
31665,1,,,,,,,,,9
31665,2,,,,,,,,,
31682,1,,,,,,,,,7
31682,2,,,,,,,,,
31695,1,1,2,3,,,,,,10
31695,2,,,,,,,,,
31695,3,2,,4,,,,,,
31695,4,,,,,,,,,
31710,1,,,,,,,,,7
31715,1,,,,,,,,,8
31715,2,,,,,,,,,
31751,1,,,,,,,,,10
31751,2,1,2,,1,,,,,
31751,3,,,,,,,,,
31751,4,,,,,,,,,
31757,1,,,,,,,,,7
31799,1,,,,,,,,,9
31799,2,1,1,,2,,4,99,,
31859,1,,,,,,,,,7
31859,2,,,,,,,,,
31869,1,,,,,,,,,5
31869,2,1,3,,1,,,,,
31869,3,,,,,,,,,
31869,4,,,,,,,,,
32044,1,,,,,,,,,6
32047,1,,,,,,,,,8
32047,2,,,,,,,,,
32052,1,,,,,,,,,7
32052,2,1,2,,1,,,,,
32066,1,,,,,,,,,8
32066,2,,,,,,,,,
32067,1,,,,,,,,,7
32139,1,,,,,,,,,8
32139,2,,,,,,,,,
32139,3,,,,,,,,,
32139,4,,,,,,,,,
32139,5,,,,,,,,,
32144,1,,,,,,,,,7
32144,2,,,,,,,,,
32190,1,,,,,,,,,7
32206,1,1,1,3,,,,,,4
32206,2,2,,2,,,,,,
32235,1,1,2,,1,,,,,8
32235,2,,,,,,,,,
32235,3,,,,,,,,,
32328,1,,,,,,,,,8
32464,1,,,,,,,,,3
32470,1,,,,,,,,,7
32470,2,,,,,,,,,
32471,1,1,4,,1,,,,,6
32524,1,,,,,,,,,8
32524,2,2,,,,2,,,,
32556,1,1,1,,2,,8,99,,5
32668,1,,,,,,,,,9
32668,2,1,2,,1,,,,,
32668,3,,,,,,,,,
32668,4,,,,,,,,,
32731,1,,,,,,,,,4
32733,1,,,,,,,,,7
32733,2,,,,,,,,,
32734,1,,,,,,,,,8
32734,2,,,,,,,,,
32734,3,,,,,,,,,
32734,4,,,,,,,,,
32751,1,,,,,,,,,7
32822,1,,,,,,,,,8
32822,2,,,,,,,,,
32822,3,,,,,,,,,
32822,4,,,,,,,,,
32822,5,,,,,,,,,
32839,1,,,,,,,,,7
32839,2,1,2,,1,,,,,
32867,1,1,2,,1,,,,,6
32867,2,,,,,,,,,
32962,1,,,,,,,,,7
32962,2,1,3,,1,,,,,
32987,1,,,,,,,,,8
32987,2,,,,,,,,,
33038,1,1,3,,1,,,,,6
33038,2,,,,,,,,,
33038,3,,,,,,,,,
33038,4,,,,,,,,,
33038,5,,,,,,,,,
33228,1,,,,,,,,,8
33228,2,,,,,,,,,
33245,1,,,,,,,,,4
33245,2,,,,,,,,,
33245,3,,,,,,,,,
33303,1,,,,,,,,,7
33303,2,,,,,,,,,
33328,1,,,,,,,,,8
33328,2,,,,,,,,,
33328,3,,,,,,,,,
33328,4,1,2,,1,,,,,
33328,5,,,,,,,,,
33328,6,2,,2,,,,,,
33347,1,,,,,,,,,5
33348,1,,,,,,,,,7
33348,2,1,2,,1,,,,,
33361,1,,,,,,,,,2
33451,1,1,2,,1,,,,,8
33451,2,,,,,,,,,
33451,3,,,,,,,,,
33604,1,,,,,,,,,4
33644,1,,,,,,,,,6
33761,1,,,,,,,,,9
33761,2,,,,,,,,,
33761,3,,,,,,,,,
33773,1,1,3,,1,,,,,6
33773,2,2,,2,,,,,,
