nquest,nord,nordp,nesplav,exlav,etalav,yxlav1,yxlav,prexlav,anxlav1,anxlav,mesixlav,contrib,acontrib,mcontrib,etalav2,datorest,nopend,etapen,coppu,prevcom,anprevcom,mprevcom,coppip,prefpip,prefpip1,prefpip2,motexlav,motexlav1
55094,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
55104,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
55104,2,3,1,1,26,1,800,,,,,1,2,,,1,1,,,,,,,,,,,
55104,3,4,1,1,22,1,1000,,,,,1,,10,,,,,,,,,,,,,,
55147,1,1,2,3,15,,,,,,,1,32,,,,,,,,,,,2,2,1,,
55147,2,2,2,1,15,,,,,,,1,17,,,,,,,,,,,,,,,
55209,1,1,2,1,18,,,,,,,1,25,,,,,,,,,,,1,,,,
55300,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
55308,1,1,8,3,18,,,,,,,1,28,,,,,,,,,,,2,1,,,
55308,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
55333,1,1,2,1,21,1,890,1,1,4,,1,22,,26,1,1,65,70,2,,,,2,2,2,1,
55333,2,2,6,3,20,2,,1,3,,,1,22,,37,1,1,,,,,,,,,,3,
55333,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
55333,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
55333,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
55342,1,1,1,1,29,,,,,,,1,28,,,1,1,65,90,2,,,,2,2,1,,
55342,2,2,1,2,22,,,,,,,1,14,,,,,,,,,,,,,,,
55342,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
55349,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
55349,2,2,1,1,28,,,,,,,1,31,,,,,,,,,,,,,,,
55425,1,1,5,3,27,1,400,1,2,,3,1,7,,35,1,2,65,70,,,,,2,2,1,1,
55425,2,2,2,1,20,,,,,,,1,30,,,,,,,,,,,,,,,
55430,1,1,1,2,30,,,,,,,1,13,,,,,,,,,,,2,2,2,,
55430,2,2,1,1,31,,,,,,,1,32,,,,,,,,,,,,,,,
55636,1,1,1,1,24,,,,,,,1,27,,,1,2,65,80,2,,,,2,1,,,
55636,2,2,1,1,24,,,,,,,1,25,,,1,2,60,80,2,,,,,,,,
55636,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
55636,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
55636,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
55636,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
55774,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
55774,2,2,1,1,20,2,,,,,,1,12,,,1,1,,,,,,,,,,,
55774,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
55799,1,1,3,3,22,,,,,,,1,35,,38,1,1,65,70,,,,,2,2,1,,
55799,2,2,2,1,23,,,,,,,1,25,,30,1,1,,,,,,,,,,,
55799,3,3,1,1,24,2,,,,,,1,4,,,1,1,,,,,,,,,,,
55799,4,4,1,1,26,1,1100,,,,,1,,4,,1,2,,,,,,,,,,,
56251,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
56251,2,2,1,1,20,1,100,,,,,1,10,,,1,1,,,,,,,,,,,
56251,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
56262,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
56270,1,1,4,1,15,,,,,,,1,31,,,,,,,,,,,2,2,2,,
56270,2,2,1,1,14,,,,,,,1,3,,,,,,,,,,,,,,,
56270,3,3,3,1,20,1,200,1,1,1,,1,6,,28,1,1,,,,,,,,,,1,
56270,4,5,3,1,20,1,600,1,2,,4,1,2,,,,,,,,,,,,,,1,
56465,1,2,2,1,16,,,,,,,1,39,,26,1,1,59,70,2,,,,2,2,2,,
56529,1,1,3,2,18,,,,,,,1,30,,,,,,,,,,,2,2,2,,
56529,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
56529,3,3,1,1,25,1,1000,,,,,1,2,,,1,1,,,,,,,,,,,
56563,1,1,4,1,10,,,,,,,1,25,,,,,,,,,,,2,2,1,,
56563,2,2,3,1,12,,,,,,,1,25,,,,,,,,,,,,,,,
56563,3,3,2,1,15,,,,,,,1,32,,35,1,2,,,,,,,,,,,
56572,1,1,2,1,12,,,,,,,1,35,,,,,,,,,,,2,2,2,,
56572,2,2,2,1,19,,,,,,,1,25,,,,,,,,,,,,,,,
56575,1,1,3,1,15,,,,,,,1,36,,,,,,,,,,,2,1,,,
56575,2,2,2,1,15,,,,,,,1,22,,,,,,,,,,,,,,,
56577,1,1,3,1,15,,,,,,,1,37,,,,,,,,,,,2,2,1,,
56577,2,2,1,1,18,,,,,,,1,10,,,,,,,,,,,,,,,
56582,1,1,1,1,18,1,200,,,,,1,27,,,1,1,55,80,1,2007,,85,1,,,,
56582,2,2,1,1,15,,,,,,,1,37,,,1,2,55,80,2,,,,,,,,
56582,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
56603,1,1,1,1,15,1,50,,,,,1,28,,,1,1,54,70,2,,,,1,,,,
56603,2,2,2,3,30,2,,2,1,3,,1,10,,33,1,2,,,,,,,,,,1,
56603,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
56608,1,1,2,3,15,,,,,,,1,38,,29,1,1,57,80,,,,,2,1,,,
56608,2,2,2,1,15,,,,,,,1,34,,25,1,1,55,80,2,,,,,,,,
56608,3,3,1,1,15,1,260,,,,,1,14,,,1,1,,,,,,,,,,,
56608,4,4,1,1,18,1,700,,,,,1,4,,,1,1,,,,,,,,,,,
56610,1,1,1,2,22,,,,,,,1,15,,,,,,,,,,,2,2,2,,
56610,2,2,1,1,14,,,,,,,1,5,,,,,,,,,,,,,,,
56624,1,1,2,1,19,,,,,,,1,33,,36,1,1,61,70,2,,,,2,2,2,,
56624,2,2,1,1,27,,,,,,,1,28,,,,,,,,,,,,,,,
56624,3,3,1,2,24,2,,,,,,2,,,,1,1,,,,,,,,,,,
56632,1,1,1,1,25,,,,,,,1,35,,,,,,,,,,,1,,,,
56656,1,1,1,2,25,,,,,,,1,21,,,1,1,60,50,,,,,1,,,,
56656,2,2,1,1,20,1,650,,,,,1,22,,,1,2,,,,,,,,,,,
56656,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
56656,4,4,1,1,25,,,,,,,1,25,,,,,,,,,,,,,,,
56658,1,1,2,2,15,1,150,3,1,11,,1,5,,42,1,1,65,50,,,,,2,1,,3,
56658,2,2,1,1,14,,,,,,,1,16,,,,,,,,,,,,,,,
56677,1,1,1,1,17,,,,,,,1,35,,,,,,,,,,,1,,,,
56677,2,2,1,1,23,,,,,,,1,22,,,,,,,,,,,,,,,
56677,3,3,1,1,30,1,500,,,,,1,10,,,1,2,65,60,2,,,,,,,,
56680,1,2,3,1,18,,,,,,,1,33,,,,,,,,,,,2,2,1,,
56680,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
56686,1,1,1,1,20,,,,,,,1,29,,,1,1,52,85,2,,,,2,2,2,,
56686,2,2,3,3,18,1,100,1,1,7,,1,15,,38,1,1,65,60,2,,,,,,,2,
56686,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
56701,1,1,3,1,20,,,,,,,1,23,,,,,,,,,,,2,2,2,,
56706,1,2,2,1,14,,,,,,,1,14,,35,1,2,65,70,2,,,,2,2,2,,
56706,2,1,5,1,14,,,,,,,1,14,,53,1,1,,,,,,,,,,,
56721,1,1,3,3,17,,,,,,,1,30,,48,1,1,60,85,2,,,,2,2,1,,
56721,2,2,1,1,16,,,,,,,1,9,,,,,,,,,,,,,,,
56721,3,3,3,1,15,,,,,,,1,40,,20,1,1,,,,,,,,,,,
56721,4,4,2,1,19,1,500,2,1,1,,1,5,,21,1,1,,,,,,,,,,1,
56721,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
56761,1,1,2,1,15,,,,,,,1,40,,,,,,,,,,,2,2,2,,
56761,2,2,1,1,16,,,,,,,1,6,,,,,,,,,,,,,,,
56761,3,4,2,3,15,1,50,2,1,20,,1,20,,39,1,1,,,,,,,,,,7,
56761,4,5,1,1,25,1,400,,,,,1,10,,,1,1,60,55,1,2007,11,65,,,,,
56761,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
56761,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,
56762,1,1,3,1,14,,,,,,,1,46,,,,,,,,,,,2,2,2,,
56762,2,2,4,1,18,,,,,,,1,5,,,,,,,,,,,,,,,
56762,3,3,1,1,18,1,365,,,,,1,,3,,1,1,65,80,2,,,,,,,,
56765,1,1,2,1,23,,,,,,,1,34,,,,,,,,,,,2,2,2,,
56765,2,2,1,1,17,,,,,,,1,16,,,,,,,,,,,,,,,
56765,3,3,1,1,19,1,200,,,,,1,12,,,1,1,,,,,,,,,,,
56926,1,1,1,1,31,,,,,,,1,37,,,,,,,,,,,2,2,2,,
56926,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
57027,1,1,1,2,16,1,300,,,,,2,,,,1,1,65,60,,,,,2,2,1,,
57027,2,2,1,1,26,2,,,,,,1,2,,,1,1,65,50,2,,,,,,,,
57027,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
57027,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
57042,1,1,1,1,20,,,,,,,1,30,,,,,,,,,,,1,,,,
57042,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
57042,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
57042,4,4,1,1,23,1,500,,,,,1,8,,,1,1,,,,,,,,,,,
57043,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
57043,2,2,1,1,30,,,,,,,1,10,,,1,1,,,,,,,,,,,
57043,3,3,1,1,20,2,,,,,,2,,,,,,,,,,,,,,,,
57043,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
57086,1,1,3,1,22,,,,,,,1,27,,25,1,1,65,70,2,,,,2,2,1,,
57086,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
57086,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
57086,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
57086,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
57138,1,1,2,1,24,,,,,,,1,37,,,,,,,,,,,2,2,2,,
57138,2,2,1,1,33,,,,,,,1,25,,,1,1,,,,,,,,,,,
57138,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
57138,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
57217,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
57217,2,2,2,1,15,,,,,,,1,40,,,,,,,,,,,,,,,
57232,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
57232,2,3,5,1,15,1,400,1,1,1,,2,,,21,1,1,,,,,,,,,,3,
57232,3,4,2,1,15,1,300,1,2,,5,2,,,,,,,,,,,,,,,2,
57374,1,1,1,1,21,,,,,,,1,38,,,,,,,,,,,2,2,1,,
57546,1,1,4,1,14,,,,,,,1,22,,27,1,2,65,60,2,,,,2,2,2,,
57546,2,2,2,1,19,2,,1,3,,,1,25,,20,1,1,,,,,,,,,,1,
57546,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
57547,1,1,2,1,14,,,,,,,1,36,,,,,,,,,,,2,2,2,,
57547,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
57547,3,3,3,1,15,2,,1,3,,,1,13,,25,1,1,65,50,2,,,,,,,1,
57609,1,1,6,1,18,,,,,,,1,27,,,,,,,,,,,2,2,2,,
57609,2,2,3,3,15,,,,,,,1,32,,,,,,,,,,,,,,,
57609,3,3,2,1,20,1,350,2,1,10,,1,11,,30,1,2,,,,,,,,,,7,
57615,1,1,1,1,35,,,,,,,1,,3,,,,,,,,,,1,,,,
57615,2,2,4,3,18,,,,,,,1,44,,,,,,,,,,,,,,,
57616,1,1,7,1,16,,,,,,,1,36,,,,,,,,,,,2,2,1,,
57616,2,2,2,1,19,,,,,,,1,33,,,,,,,,,,,,,,,
57621,1,1,5,1,22,,,,,,,1,27,,49,1,1,58,70,,,,,2,2,2,,
57621,2,2,4,1,20,,,,,,,1,31,,,,,,,,,,,,,,,
57621,3,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
57670,1,1,1,1,32,,,,,,,1,19,,,1,1,65,70,2,,,,2,2,1,,
57670,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
57670,3,10,0,,,,,,,,,,,,,,,,,,,,,,,,,
57670,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
57779,1,1,1,1,22,,,,,,,1,34,,,,,,,,,,,2,1,,,
57779,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
57779,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
57779,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
57779,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
57911,1,1,2,1,20,1,400,1,1,2,,1,22,,35,1,1,60,70,2,,,,2,2,2,1,
57911,2,2,3,1,19,,,,,,,1,27,,40,1,2,60,70,2,,,,,,,,
57911,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
57911,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
57962,1,1,1,1,22,,,,,,,1,30,,,1,1,65,60,2,,,,2,2,2,,
57962,2,2,1,1,24,,,,,,,1,25,,,1,1,65,50,2,,,,,,,,
57962,3,3,1,1,23,1,900,,,,,1,1,,,1,1,,,,,,,,,,,
57962,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
58042,1,1,1,2,30,,,,,,,1,30,,,1,1,70,40,,,,,2,2,2,,
58042,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
58053,1,1,1,1,20,2,,,,,,1,22,,,1,1,65,60,2,,,,2,2,2,,
58055,1,1,1,1,20,2,,,,,,1,24,,,1,1,65,50,2,,,,2,2,2,,
58055,2,2,1,1,20,1,400,,,,,1,23,,,1,1,65,50,2,,,,,,,,
58055,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
58055,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
58366,1,1,2,1,23,,,,,,,1,39,,,,,,,,,,,2,2,2,,
60078,1,1,1,1,16,,,,,,,2,,,,,,,,,,,,1,,,,
60078,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
60078,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
60078,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
60078,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
91008,1,1,2,3,15,1,150,2,1,6,,1,23,,21,1,1,50,30,,,,,2,1,,7,
91008,2,2,2,3,15,1,150,2,1,6,,1,23,,37,1,1,,,,,,,,,,7,
91008,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
91010,1,1,1,1,26,,,,,,,1,30,,,,,,,,,,,2,2,2,,
91043,1,1,5,3,16,1,250,2,2,,3,1,22,,39,1,1,65,60,2,,,,1,,,7,
91043,2,2,6,1,20,1,350,1,2,,3,1,5,,,,,,,,,,,,,,2,
91043,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
91043,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
91067,1,1,2,1,21,,,,,,,1,36,,22,1,1,62,90,1,2007,,100,2,2,2,,
91068,1,1,2,1,21,1,300,1,1,2,,1,7,,35,1,1,65,80,2,,,,2,2,2,6,
91071,1,1,1,1,19,1,500,,,,,1,19,,,1,2,65,60,1,2007,6,70,2,2,1,,
91071,2,2,1,1,17,1,350,,,,,1,22,,,1,2,60,60,1,2007,6,70,,,,,
91071,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
91071,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
91074,1,1,3,1,17,2,,1,1,3,,1,12,,28,1,1,65,60,1,2007,,70,2,2,1,6,
91074,2,2,3,1,17,2,,1,1,1,,1,9,,28,1,1,60,70,2,,,,,,,6,
91074,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
91074,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
91079,1,1,4,1,23,1,350,2,1,4,,1,21,,42,1,2,60,40,2,,,,2,2,1,1,
91079,2,2,5,1,19,1,50,2,1,1,,1,24,,28,1,2,,,,,,,,,,7,
91079,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
91081,1,1,2,3,14,2,,1,3,,,1,30,,21,1,2,65,60,,,,,2,1,,1,
91081,2,2,1,1,24,2,,,,,,1,16,,,1,1,60,60,2,,,,,,,,
91081,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
91095,1,1,3,1,17,,,,,,,1,31,,27,1,1,58,80,2,,,,2,2,2,,
91095,2,2,3,1,19,1,500,2,1,3,,1,19,,,,,,,,,,,,,,1,
104002,1,1,1,1,24,,,,,,,1,34,,,1,2,61,90,2,,,,2,2,2,,
104002,2,2,1,1,27,,,,,,,1,29,,,1,2,,,,,,,,,,,
111052,1,1,4,1,20,1,400,1,1,1,,1,9,,31,1,1,65,70,2,,,,2,2,1,1,
111052,2,2,2,1,16,,,,,,,1,34,,,,,,,,,,,,,,,
111052,3,3,1,1,32,,,,,,,1,30,,,,,,,,,,,,,,,
121067,1,1,1,1,30,,,,,,,1,35,,,,,,,,,,,2,1,,,
137008,1,1,3,1,15,,,,,,,1,34,,30,1,1,51,70,2,,,,2,2,1,,
137008,2,2,2,3,15,2,,2,1,20,,1,20,,39,1,1,,,,,,,,,,1,
137008,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
137008,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
138091,1,1,1,1,21,,,,,,,1,45,,,,,,,,,,,2,2,2,,
138091,2,2,1,1,18,,,,,,,1,35,,,,,,,,,,,,,,,
138399,1,1,1,1,18,,,,,,,1,35,,,,,,,,,,,2,2,2,,
138399,2,2,1,1,20,,,,,,,1,36,,,1,1,60,80,2,,,,,,,,
143090,1,1,4,1,15,,,,,,,1,38,,,,,,,,,,,2,2,2,,
143090,2,2,1,1,16,,,,,,,1,4,,,,,,,,,,,,,,,
145007,1,1,2,3,27,,,,,,,1,27,,27,1,1,80,40,2,,,,2,2,2,,
145007,2,2,1,2,25,,,,,,,2,,,,1,1,,,,,,,,,,,
145007,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
145007,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
145007,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
145007,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
145012,1,1,1,1,19,,,,,,,1,40,,,,,,,,,,,2,1,,,
145012,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
145012,3,10,2,1,20,2,,1,3,,,1,7,,34,1,1,,,,,,,,,,1,
145012,4,10,1,1,26,2,,,,,,1,3,,,1,1,,,,,,,,,,,
145012,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
176011,1,1,3,1,18,,,,,,,1,39,,,,,,,,,,,2,2,2,,
176011,2,2,3,1,20,,,,,,,1,34,,34,1,1,,,,,,,,,,,
176011,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
176019,1,1,1,1,20,,,,,,,2,,,,,,,,,,,,2,1,,,
176057,1,1,1,1,17,,,,,,,1,38,,,,,,,,,,,2,2,1,,
176057,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
176061,1,1,1,2,16,,,,,,,1,35,,,,,,,,,,,2,2,2,,
176061,2,2,1,2,18,,,,,,,1,25,,,,,,,,,,,,,,,
176068,1,1,1,2,20,,,,,,,1,37,,,,,,,,,,,2,2,2,,
176068,2,2,2,1,18,,,,,,,1,39,,,,,,,,,,,,,,,
176068,3,3,1,1,28,1,1150,,,,,1,1,,,1,1,,,,,,,,,,,
178001,1,1,4,1,14,,,,,,,1,35,,,,,,,,,,,2,2,2,,
178058,1,1,4,1,16,1,300,2,1,3,,1,18,,38,1,1,65,70,1,2008,,75,1,,,1,
178058,2,2,3,1,30,2,,1,1,2,,1,10,,32,1,1,,,,,,,,,,1,
178058,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
188054,1,1,3,3,20,,,,,,,1,27,,28,1,1,65,60,,,,,2,2,1,,
188054,2,2,2,3,22,,,,,,,1,21,,29,1,1,,,,,,,,,,,
188054,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
193016,1,1,1,1,14,,,,,,,1,40,,,,,,,,,,,1,,,,
193026,1,1,1,1,20,,,,,,,1,35,,,,,,,,,,,2,2,1,,
193026,2,2,1,2,15,,,,,,,1,40,,,,,,,,,,,,,,,
193082,1,1,1,1,21,1,750,,,,,1,13,,,1,1,65,50,2,,,,2,2,1,,
193082,2,2,2,3,21,1,600,2,1,9,,1,17,,30,1,2,,,,,,,,,,1,
193082,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
193082,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
213440,1,1,1,2,20,,,,,,,1,38,,,1,1,65,70,,,,,2,2,2,,
213440,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
213440,3,3,1,1,23,2,,,,,,1,2,,,1,1,,,,,,,,,,,
215011,1,1,2,3,18,,,,,,,1,21,,,,,,,,,,,2,1,,,
215018,1,1,2,1,15,,,,,,,1,15,,,,,,,,,,,2,2,1,,
215018,2,2,2,1,15,,,,,,,1,15,,,,,,,,,,,,,,,
216022,1,1,2,1,19,,,,,,,1,36,,,,,,,,,,,2,2,1,,
216022,2,2,2,3,16,,,,,,,1,16,,,,,,,,,,,,,,,
217081,1,1,2,1,15,1,200,1,1,8,,1,27,,23,1,1,60,70,2,,,,1,,,3,
217081,2,2,1,1,21,1,450,,,,,1,17,,,1,2,55,70,2,,,,,,,,
217081,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
217081,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
224028,1,1,4,1,19,,,,,,,1,30,,46,1,1,65,50,2,,,,2,2,1,,
224028,2,2,2,1,20,,,,,,,1,26,,23,1,1,,,,,,,,,,,
224028,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
224048,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
224048,2,2,2,3,16,,,,,,,1,36,,,,,,,,,,,,,,,
230003,1,1,5,1,14,,,,,,,1,36,,,,,,,,,,,1,,,,
230003,2,2,2,1,12,,,,,,,1,8,,,,,,,,,,,,,,,
230003,3,3,3,1,14,2,,1,1,1,,1,26,,25,1,2,,,,,,,,,,1,
230029,1,1,1,1,14,,,,,,,1,36,,,,,,,,,,,2,2,2,,
230029,2,2,2,1,15,,,,,,,1,20,,,,,,,,,,,,,,,
230030,1,1,2,1,14,,,,,,,1,30,,,,,,,,,,,2,1,,,
230037,1,1,2,1,21,,,,,,,1,36,,,,,,,,,,,2,2,2,,
230037,2,2,1,1,20,,,,,,,1,32,,,,,,,,,,,,,,,
230037,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,
230039,1,2,3,1,14,1,60,1,1,5,,1,10,,38,1,2,60,60,2,,,,2,2,2,7,
230039,2,1,1,1,20,2,,,,,,1,20,,,,,,,,,,,,,,,
230039,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
230043,1,1,2,1,12,,,,,,,1,32,,,,,,,,,,,2,1,,,
230048,1,1,2,1,14,,,,,,,1,22,,,,,,,,,,,2,2,2,,
237003,1,1,1,1,26,,,,,,,1,34,,,1,1,65,80,2,,,,2,2,2,,
237003,2,2,1,1,24,,,,,,,1,35,,,,,,,,,,,,,,,
237003,3,3,1,1,28,2,,,,,,1,5,,,1,2,,,,,,,,,,,
237003,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
238055,1,1,2,1,14,,,,,,,1,40,,,,,,,,,,,2,2,2,,
238055,2,2,1,1,14,,,,,,,1,40,,,,,,,,,,,,,,,
238055,3,3,3,1,20,2,,1,3,,,1,4,,24,1,1,,,,,,,,,,1,
243067,1,1,5,3,20,,,,,,,1,8,,,,,,,,,,,1,,,,
243067,2,2,10,3,16,,,,,,,1,30,,42,1,2,65,30,,,,,,,,,
243067,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
244004,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
244013,1,1,1,1,37,,,,,,,1,23,,,,,,,,,,,2,1,,,
244013,2,2,1,1,16,,,,,,,1,35,,,,,,,,,,,,,,,
244058,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
244058,2,2,1,1,14,2,,,,,,1,25,,,1,1,,,,,,,,,,,
244058,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
244064,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
244064,2,2,1,1,14,1,500,,,,,1,15,,,1,1,65,90,2,,,,,,,,
244064,3,3,1,1,16,1,500,,,,,1,1,,,1,1,,,,,,,,,,,
244064,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,
250005,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
250005,2,2,1,2,30,,,,,,,2,,,,1,1,,,,,,,,,,,
250010,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
250010,2,1,1,2,15,,,,,,,2,,,,,,,,,,,,,,,,
250010,3,3,2,1,18,2,,1,3,,,2,,,,,,,,,,,,,,,2,
250037,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
250039,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
250039,2,2,1,1,28,1,300,,,,,2,,,,1,1,,,,,,,,,,,
250056,1,1,1,2,38,,,,,,,1,30,,,1,1,70,60,,,,,1,,,,
256015,1,1,4,1,20,1,500,1,1,1,,1,20,,38,1,1,65,40,2,,,,2,2,1,1,
256015,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
256015,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
256015,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,
256015,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
256015,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
279054,1,1,1,1,18,,,,,,,1,40,,,,,,,,,,,2,1,,,
279054,2,2,1,2,32,,,,,,,1,25,,,,,,,,,,,,,,,
282083,1,1,1,1,32,,,,,,,1,33,,,,,,,,,,,1,,,,
282089,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
282089,2,2,1,2,16,,,,,,,1,41,,,,,,,,,,,,,,,
282089,3,3,1,1,26,1,800,,,,,1,1,,,1,1,,,,,,,,,,,
282089,4,4,1,1,20,1,750,,,,,1,3,,,1,1,,,,,,,,,,,
284086,1,1,2,3,20,,,,,,,1,35,,,,,,,,,,,2,2,1,,
284086,2,2,1,2,18,,,,,,,1,28,,,,,,,,,,,,,,,
284086,3,3,3,1,19,1,3,1,1,2,,1,4,,30,1,1,,,,,,,,,,2,
285054,1,1,1,1,30,,,,,,,1,23,,,,,,,,,,,2,2,2,,
285054,2,2,1,1,30,,,,,,,1,12,,,,,,,,,,,,,,,
294039,1,1,2,3,13,,,,,,,1,37,,,,,,,,,,,1,,,,
294039,2,2,3,1,14,,,,,,,1,15,,,,,,,,,,,,,,,
305042,1,1,1,1,14,,,,,,,1,35,,,,,,,,,,,2,1,,,
305042,2,2,1,1,18,,,,,,,1,37,,,,,,,,,,,,,,,
310001,1,1,2,3,14,,,,,,,1,30,,,,,,,,,,,2,2,1,,
310002,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
310002,2,2,2,1,17,,,,,,,1,28,,,,,,,,,,,,,,,
310005,1,1,2,1,19,,,,,,,1,37,,,,,,,,,,,1,,,,
310005,2,2,1,1,18,,,,,,,1,12,,,,,,,,,,,,,,,
310040,1,1,2,3,14,,,,,,,1,44,,,,,,,,,,,1,,,,
