nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,pubblico,dimaz,oretot,pstra,orestra,ylm,integ,ylnm,nattivita
26163,2,2,1,2,2,1,12,2,6,25,2,,7800,2,0,1
26163,3,3,1,1,2,1,12,2,7,41,2,,11200,2,0,1
26310,3,2,1,2,1,1,12,2,6,30,2,,9000,2,0,1
26574,1,1,1,1,1,1,12,1,,36,1,3,14400,2,0,1
26574,2,2,1,1,1,1,12,1,,36,2,,11000,2,0,1
26684,2,1,1,1,3,3,,2,4,35,2,,2200,2,0,1
27123,3,1,1,1,2,1,12,2,2,30,2,,13000,2,0,1
27123,3,1,2,2,1,1,12,2,3,15,2,,6000,2,0,2
27157,2,2,1,1,1,1,12,2,1,40,2,,7800,2,0,1
27238,1,1,1,1,1,1,12,2,6,40,2,,10000,2,0,1
27238,2,2,1,1,1,1,12,2,2,40,2,,12000,2,0,1
27730,3,1,1,2,2,1,12,2,2,12,2,,6200,2,0,1
27742,2,2,1,1,2,2,6,1,,36,2,,6500,2,0,1
27912,2,2,1,1,1,1,12,2,7,36,2,,13000,2,0,1
27912,3,3,1,1,2,2,6,2,2,40,2,,6000,2,0,1
27923,1,1,1,1,1,1,12,2,6,40,2,,19000,2,0,1
28100,1,1,1,1,1,1,12,2,2,50,1,10,45000,2,0,1
28441,1,1,1,1,1,1,12,2,2,45,1,5,22000,2,0,1
28766,1,1,1,1,1,1,12,2,7,40,2,,17000,2,0,1
28766,2,1,1,1,1,1,12,2,4,38,2,,14500,2,0,1
28802,2,2,1,1,1,1,12,2,6,40,1,5,30000,1,1500,1
29140,1,1,1,1,1,1,12,1,,35,2,,18000,2,0,1
29140,2,2,1,1,1,1,12,2,3,30,2,,15000,2,0,1
29280,1,1,1,1,1,1,12,1,,36,2,,20000,1,2000,1
29280,2,1,1,1,1,1,12,1,,20,2,,20000,2,0,1
29680,1,1,1,1,1,1,12,2,1,40,2,,16000,2,0,1
29684,1,1,1,1,1,1,12,1,,18,2,,20000,2,0,1
29684,2,1,1,1,1,1,12,1,,36,2,,20000,2,0,1
29687,2,2,1,1,1,1,12,2,2,50,2,,16000,2,0,1
29737,1,1,1,1,1,1,12,1,,38,2,,56000,1,200,1
29737,2,2,1,1,1,1,12,1,,30,1,6,23000,2,0,1
29742,1,1,1,1,1,1,12,2,7,50,2,,14000,2,0,1
29742,2,1,1,1,1,1,12,1,,40,2,,16000,2,0,1
29823,1,1,1,1,1,1,12,1,,40,2,,26000,2,0,1
31051,1,1,1,1,1,1,12,2,1,40,2,,15600,2,0,1
31051,2,1,1,1,1,1,12,2,7,38,2,,17000,2,0,1
31066,3,2,1,1,1,1,12,2,3,36,2,,13500,2,0,1
31092,1,1,1,1,1,1,12,2,2,50,1,10,41860,1,1200,1
31122,1,1,1,1,1,1,12,1,,40,2,,18500,2,0,1
31122,3,3,1,1,1,1,12,2,2,40,2,,13000,2,0,1
31137,1,1,1,1,1,1,12,2,6,40,2,,25000,2,0,1
31137,2,1,1,1,1,1,12,1,,25,2,,18000,2,0,1
31137,3,1,1,1,2,1,12,2,6,40,2,,15000,2,0,1
31161,1,1,1,1,1,1,12,1,,36,2,,21000,2,0,1
31161,2,2,1,1,1,1,12,1,,35,2,,16000,2,0,1
31161,3,3,1,2,2,1,12,2,1,18,2,,4200,2,0,1
31163,3,1,1,1,1,1,12,2,1,40,2,,15000,2,0,1
31309,1,1,1,1,1,1,12,1,,36,2,,16000,2,0,1
31309,3,3,1,1,1,1,12,2,2,40,2,,11000,2,0,1
31387,1,1,1,1,1,1,12,2,7,40,2,,30000,2,0,1
31403,2,1,1,1,2,1,12,2,5,40,2,,13000,2,0,1
31448,2,2,1,1,1,1,12,2,7,50,2,,28000,1,,1
31560,2,2,1,1,1,1,12,2,2,40,2,,13000,2,0,1
31625,2,2,1,1,1,1,12,2,4,50,2,,22000,1,900,1
31641,1,1,1,1,1,1,12,2,1,40,2,,12000,2,0,1
31641,2,1,1,1,1,1,12,2,2,40,2,,15000,2,0,1
31671,2,1,1,1,1,1,12,2,6,40,2,,18000,2,0,1
31676,1,1,1,1,1,1,12,2,7,40,2,,21700,2,0,1
31676,3,1,1,2,1,1,12,2,6,20,2,,9400,2,0,1
31676,4,1,1,1,2,1,12,2,5,38,2,,12000,2,0,1
31695,2,1,1,1,1,1,12,2,5,40,1,9,28000,2,0,1
31695,3,3,1,1,2,2,6,2,5,20,1,5,3500,2,0,1
31695,4,1,1,1,1,2,2,2,2,40,2,,1200,2,0,1
31715,2,2,1,1,1,1,12,2,5,45,1,5,15260,2,0,1
31724,1,1,1,1,1,1,12,2,7,46,1,6,18228,1,1320,1
31724,2,1,1,1,1,1,12,2,2,40,2,,18060,2,0,1
31751,3,1,1,1,1,1,12,2,5,40,2,,13692,2,0,1
31751,4,1,1,1,1,1,12,2,1,45,1,5,13260,2,0,1
31785,2,1,1,1,1,1,12,1,,40,2,,22000,2,0,1
31860,1,1,1,1,1,1,12,1,,36,1,0,16000,2,0,1
31860,2,2,1,1,1,1,12,1,,18,2,,18000,2,0,1
31868,1,1,1,2,1,1,12,1,,30,2,,11000,2,0,1
31868,2,2,1,2,2,1,12,1,,30,2,,3600,2,0,1
32028,1,1,1,1,1,1,12,1,,40,2,,26000,2,0,1
32033,1,1,1,1,1,1,12,1,,36,1,4,20000,2,0,1
32139,1,1,1,1,1,1,12,2,6,42,1,2,25000,2,0,1
32139,2,2,1,1,1,1,12,2,2,37,2,,16500,2,0,1
32139,3,1,1,1,1,1,12,2,3,36,2,,13500,2,0,1
32206,2,2,1,1,3,2,2,2,2,50,2,,3000,2,0,1
32209,3,3,1,1,1,1,12,2,2,40,2,,14000,2,0,1
32210,2,1,1,1,1,1,12,2,2,40,1,5,15000,1,2000,1
32210,3,1,1,1,1,1,12,2,1,20,2,,8000,2,0,1
32210,4,1,1,1,1,1,12,2,1,30,1,5,7800,2,0,1
32288,1,1,1,1,1,1,12,2,2,40,1,2,24700,2,0,1
32288,2,2,1,1,2,1,12,1,,36,2,,11900,2,0,1
32288,3,1,1,1,1,1,12,2,5,40,1,4,15600,1,,1
32320,1,1,1,1,1,2,8,2,6,24,2,,12000,2,0,1
32320,1,1,1,1,1,2,4,1,,24,2,,6200,2,0,2
32320,2,1,1,1,1,1,12,2,7,39,2,,32000,2,0,1
32438,1,1,1,1,1,1,12,1,,25,2,,8700,2,0,1
32668,3,1,1,1,1,1,12,2,2,40,1,10,13000,2,0,1
32703,1,1,1,1,1,1,12,1,,13,2,,10000,2,0,1
32709,2,2,1,2,1,1,12,2,4,20,2,,6000,2,0,1
32709,3,3,1,1,1,1,12,2,7,40,1,4,24000,1,2400,1
32709,4,4,1,1,2,1,12,1,,24,2,,16800,2,0,1
32713,3,3,1,1,1,1,12,1,,18,1,2,14300,2,0,1
32734,1,1,1,1,1,1,12,2,2,45,1,5,24000,2,0,1
32734,2,1,1,2,1,1,12,2,7,35,2,,16000,2,0,1
32764,2,1,1,2,1,1,12,2,4,30,2,,13000,2,0,1
32764,3,1,1,1,1,1,12,2,1,40,2,,8000,2,0,1
32765,1,1,1,1,1,1,12,1,,36,2,,18000,2,0,1
32765,2,2,1,1,1,1,12,2,6,40,1,2,22000,2,0,1
32822,4,1,1,1,2,1,12,1,,42,2,,12500,1,400,1
32822,5,1,1,2,2,2,6,1,,20,2,,4200,2,0,1
32861,2,2,1,1,1,1,12,2,2,30,2,,15000,2,0,1
32866,1,1,1,1,1,1,12,2,1,40,2,,11050,2,0,1
32867,2,2,1,1,2,1,12,2,4,28,2,,15000,2,0,1
33036,3,1,1,1,1,1,12,2,4,48,2,,10000,2,0,1
33038,2,1,1,1,2,1,12,1,,48,2,,11650,2,0,1
33219,1,1,1,1,1,1,12,1,,40,2,,16000,2,0,1
33219,2,1,1,1,1,1,12,2,4,40,2,,13000,2,0,1
33219,3,3,1,1,1,1,12,2,4,40,2,,13000,2,0,1
33328,4,4,1,2,1,1,12,2,4,12,2,,3500,2,0,1
33328,5,1,1,1,2,1,12,2,2,40,2,,11000,2,0,1
33335,1,1,1,1,1,1,12,1,,40,1,3,16500,2,0,1
33335,2,2,1,1,1,1,12,2,2,40,1,3,11500,2,0,1
33335,4,1,1,1,2,1,12,2,6,39,1,1,11500,2,0,1
33451,1,1,1,1,1,1,12,2,7,40,2,,20000,2,0,1
33631,3,2,1,2,2,1,12,2,6,25,1,2,7200,2,0,1
33631,3,2,2,2,2,3,,2,1,5,2,,2900,2,0,2
33684,1,1,1,1,1,1,12,2,2,40,1,5,16000,2,0,1
33684,3,1,1,2,3,1,12,1,,25,2,,4800,2,0,1
33684,5,1,1,2,3,1,12,1,,25,2,,4800,2,0,1
33778,1,1,2,2,2,2,3,1,,18,2,,2400,2,0,1
33778,2,2,1,1,1,1,12,1,,36,2,,19000,2,0,1
33778,4,1,1,1,2,1,12,2,4,40,2,,6500,2,0,1
33814,1,1,1,1,1,1,12,2,7,40,1,5,45000,2,0,1
33865,1,1,1,1,1,1,12,2,5,38,2,,15500,2,0,1
33865,2,1,1,1,1,1,12,2,7,38,2,,16500,2,0,1
33877,1,1,1,2,3,2,4,2,1,24,2,,2500,2,0,1
33877,2,1,1,1,1,1,12,2,6,40,1,4,20000,1,600,1
33882,3,1,1,1,3,2,2,2,5,38,2,,2500,2,0,1
33882,3,1,1,1,3,2,9,2,2,38,2,,8000,2,0,2
33937,3,2,1,1,1,1,12,2,5,40,2,,20000,2,0,1
33937,4,2,1,1,1,1,12,2,2,45,2,,12000,2,0,1
33983,1,1,1,1,1,1,12,1,,40,2,,42000,2,0,1
33983,2,1,1,1,1,1,12,1,,40,2,,20500,2,0,1
