nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
7886,1,0,0,28600,0,0,0,0,0,0,28600,0,0,28600,0,0,12000,12000,1044.204,0,0,0,1044.204,13044.204,41644.204,0,0
7886,2,6000,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0
8954,1,25000,1150,0,0,0,0,0,0,26150,0,0,0,0,0,10500,20200,30700,174.034,0,1738.9,7565.712,-5652.778,25047.222,51197.222,0,0
8954,2,17000,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0
11940,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,9600,9600,130.5255,0,0,0,130.5255,9730.5255,30530.5255,0,0
11940,2,0,0,5200,0,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0,5200,0,0
11972,1,0,0,7200,0,0,0,0,0,0,7200,0,0,7200,0,0,4200,4200,261.051,0,0,0,261.051,4461.051,11661.051,0,0
11972,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,13000,13000,0
20174,1,0,0,24700,0,0,0,0,0,0,24700,0,0,24700,0,0,4550,4550,138.35127435,0,896.2062882,0,1034.5575626,5584.5575626,30284.557563,0,0
20174,2,0,0,1625,0,0,0,0,0,0,1625,0,0,1625,0,0,0,0,0,0,0,0,0,0,1625,0,0
20179,1,39000,0,0,0,0,0,0,0,39000,0,0,0,0,0,0,4800,4800,208.8408,0,2608.35,0,2817.1908,7617.1908,46617.1908,0,0
20179,2,28600,0,0,0,0,0,0,0,28600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28600,0,0
20179,3,17500,0,0,0,0,0,0,0,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500,0,0
20223,1,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,0,0,10400,10400,52.2102,0,0,0,52.2102,10452.2102,20852.2102,0,0
20223,2,0,0,13650,0,0,0,0,0,0,13650,0,0,13650,0,0,0,0,0,0,0,0,0,0,13650,0,0
20223,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,2000,2000,0
20231,1,0,0,10400,0,0,0,0,0,0,10400,0,0,10400,18000,0,11700,11700,382.8748,0,0,13026.1824,-12643.3076,-943.3076,27456.6924,0,18000
20231,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,15600,0,15600
20297,1,17500,1500,0,0,0,0,0,3600,19000,0,-3600,-3600,-3600,0,0,0,0,8.7017,0,0,0,8.7017,8.7017,15408.7017,0,0
20372,1,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,9600,9600,17.4034,0,0,0,17.4034,9617.4034,23917.4034,0,0
20372,3,8400,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,0,0
20711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8900,8900,121.8238,0,0,0,121.8238,9021.8238,9021.8238,0,0
20711,2,0,0,24310,0,0,0,0,0,0,24310,0,0,24310,0,0,0,0,0,0,0,0,0,0,24310,0,0
20767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600,9600,522.102,0,1086.8125,0,1608.9145,11208.9145,11208.9145,0,0
20767,2,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0
20767,4,20000,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0
20837,1,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,880,6000,6880,174.034,1304.175,0,0,1478.209,8358.209,27858.209,0,0
20837,2,0,0,5980,0,0,0,0,0,0,5980,0,0,5980,0,0,0,0,0,0,0,0,0,0,5980,0,0
20839,1,23000,1600,0,0,0,0,0,0,24600,0,0,0,0,0,4632,28800,33432,781.36960738,2398.3640932,0,0,3179.7337006,36611.733701,61211.733701,0,0
20839,2,5000,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0
20944,1,25000,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,10800,10800,163.28066932,324.46168783,2077.3764792,0,2565.1188363,13365.118836,38365.118836,0,0
20944,2,32000,1200,0,0,0,0,0,0,33200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33200,0,0
21384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,6000,6000,17.4034,0,0,0,17.4034,6017.4034,28017.4034,22000,0
21384,3,5000,0,0,0,1550,0,0,0,5000,0,0,1550,1550,0,0,0,0,0,0,0,0,0,0,6550,0,0
21461,1,0,0,7800,0,490,0,0,0,0,7800,0,490,8290,0,0,4800,4800,34.8068,0,0,0,34.8068,4834.8068,13124.8068,0,0
22074,1,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,9600,9600,165.3323,0,0,0,165.3323,9765.3323,27765.3323,0,0
22099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,3000,3000,0,0,0,0,0,3000,10500,7500,0
22168,2,0,0,5200,0,0,0,0,0,0,5200,0,0,5200,0,0,0,0,0,0,0,0,0,0,5200,0,0
22168,3,0,0,6500,0,0,0,0,0,0,6500,0,0,6500,0,0,0,0,0,0,0,0,0,0,6500,0,0
22169,1,0,0,5850,0,0,0,0,0,0,5850,0,0,5850,0,0,3600,3600,0,0,0,0,0,3600,9450,0,0
22169,2,0,0,4550,0,0,0,0,0,0,4550,0,0,4550,0,0,0,0,0,0,0,0,0,0,4550,0,0
22173,1,0,0,9100,0,0,0,0,0,0,9100,0,0,9100,0,0,0,0,94.739234923,0,0,0,94.739234923,94.739234923,9194.7392349,0,0
22173,3,8000,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0
22208,1,0,0,19760,0,0,0,0,0,0,19760,0,0,19760,0,0,6000,6000,17.4034,0,0,0,17.4034,6017.4034,25777.4034,0,0
22222,1,0,0,18850,0,0,0,0,0,0,18850,0,0,18850,0,0,7200,7200,0,0,39.260898271,0,39.260898271,7239.2608983,26089.260898,0,0
22251,1,0,0,17890,0,0,0,0,0,0,17890,0,0,17890,0,0,6000,6000,417.6816,0,0,0,417.6816,6417.6816,24307.6816,0,0
22262,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,26000,0,8400,8400,661.3292,0,3477.8,0,4139.1292,12539.1292,64539.1292,26000,0
22263,1,0,0,10465,0,0,0,0,0,0,10465,0,0,10465,0,0,0,0,87.017,0,3043.075,0,3130.092,3130.092,13595.092,0,0
22263,2,18000,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0
22266,1,0,0,10075,0,0,0,0,0,0,10075,0,0,10075,0,11640,12000,23640,104.4204,1738.9,1738.9,0,3582.2204,27222.2204,37297.2204,0,0
22266,2,0,0,5268,0,0,0,0,0,0,5268,0,0,5268,0,0,0,0,0,0,0,0,0,0,5268,0,0
22272,1,0,0,4381,0,0,0,0,0,0,4381,0,0,4381,0,0,7200,7200,278.4544,434.725,0,0,713.1794,7913.1794,12294.1794,0,0
22272,2,0,0,19500,0,0,0,0,0,0,19500,0,0,19500,0,0,0,0,0,0,0,0,0,0,19500,0,0
22273,1,0,0,13117,0,0,0,0,0,0,13117,0,0,13117,0,0,4800,4800,69.6136,869.45,0,0,939.0636,5739.0636,18856.0636,0,0
