nquest,nopco,stupco,conpco,setpco,nomco,stumco,conmco,setmco
36186,,,,,,,,
36249,,,,,,,,
36250,,,,,,,,
36407,,,,,,,,
36427,1,2,1,2,1,2,9,
36443,1,2,8,4,1,2,9,
36492,1,1,2,3,1,1,9,
36494,1,2,8,4,1,2,9,
36522,1,4,2,3,1,4,3,3
36524,1,4,2,3,1,2,9,
36697,,,,,,,,
36774,,,,,,,,
36822,,,,,,,,
36893,2,,,,2,,,
37011,1,2,1,1,1,1,9,
37042,1,2,1,1,1,2,9,
37287,,,,,,,,
37294,2,,,,2,,,
37299,1,2,2,1,1,1,9,
37504,1,2,9,,1,2,9,
37677,2,,,,2,,,
37808,1,2,1,1,1,2,9,
38016,,,,,,,,
38018,1,2,1,2,1,2,9,
38095,1,3,1,4,1,3,10,
38112,1,3,1,2,1,2,9,
38128,,,,,,,,
38135,,,,,,,,
38230,,,,,,,,
38255,1,2,2,3,1,2,8,4
38316,1,4,5,4,1,2,9,
38349,2,,,,2,,,
38362,1,2,1,3,1,2,9,
38409,1,2,1,4,1,1,9,
38426,1,2,8,1,1,2,9,
38493,,,,,,,,
38499,1,1,1,1,1,1,1,1
38554,1,2,1,4,1,2,9,
38800,,,,,,,,
38877,1,2,1,2,1,2,9,
38909,,,,,,,,
38913,1,2,2,3,1,2,9,
38957,2,,,,2,,,
38964,,,,,,,,
38979,,,,,,,,
39058,1,2,1,1,1,2,9,
39061,1,3,8,4,1,3,2,1
39083,2,,,,2,,,
39086,1,1,2,3,1,1,9,
39111,,,,,,,,
39278,,,,,,,,
39284,1,4,9,,1,2,9,
39356,1,1,1,1,1,1,1,1
39433,,,,,,,,
39436,1,2,1,1,1,2,9,
39485,1,5,5,2,1,5,9,
39488,,,,,,,,
39907,2,,,,2,,,
50052,,,,,,,,
50060,1,3,9,,1,4,2,3
50085,,,,,,,,
50150,1,2,1,3,1,2,9,
50178,1,2,9,,1,2,9,
50231,,,,,,,,
50618,1,2,1,2,1,2,1,2
50674,,,,,,,,
50740,1,2,1,1,1,2,1,1
51013,1,2,9,,2,,,
51185,1,2,9,,1,2,9,
51297,,,,,,,,
51352,1,2,1,3,1,3,9,
51363,1,2,1,4,1,1,9,
51619,1,2,9,,1,2,9,
51651,1,2,8,1,1,2,8,1
51895,1,2,1,4,1,2,9,
52478,1,2,1,3,1,2,9,
52505,1,2,1,4,1,2,9,
52716,1,1,8,1,1,1,8,1
52736,,,,,,,,
53006,1,3,2,2,1,2,9,
53225,2,,,,2,,,
53373,2,,,,2,,,
53413,2,,,,2,,,
53549,1,1,9,,1,1,1,3
53552,,,,,,,,
53751,1,2,1,1,1,2,9,
53849,1,1,1,4,1,1,1,4
54143,1,5,3,3,1,4,3,3
54152,,,,,,,,
54683,1,2,1,1,1,2,9,
54684,,,,,,,,
54763,2,,,,2,,,
55147,1,1,1,2,1,1,9,
55209,,,,,,,,
55333,1,3,2,2,1,2,9,
55342,1,3,2,3,1,2,9,
55425,,,,,,,,
55636,1,2,8,4,1,2,9,
55774,,,,,,,,
55799,1,3,2,3,1,2,9,
56262,,,,,,,,
56270,1,1,1,2,1,1,9,
