nquest,nopco,stupco,conpco,setpco,nomco,stumco,conmco,setmco
673054,1,4,7,4,1,3,9,
673098,1,3,4,3,1,2,9,
673287,1,2,8,4,1,2,9,
673364,,,,,,,,
673371,,,,,,,,
673373,1,2,1,2,1,2,9,
673377,,,,,,,,
673399,1,2,1,4,1,2,9,
673424,,,,,,,,
673452,,,,,,,,
673454,1,4,5,3,1,3,4,3
673514,1,2,1,1,1,2,9,
673568,,,,,,,,
673657,1,2,1,4,1,2,9,
673682,1,2,1,4,1,1,9,
673698,,,,,,,,
673816,1,1,1,1,1,1,1,1
673827,2,,,,2,,,
673847,1,2,8,4,1,2,9,
673864,,,,,,,,
674024,2,,,,1,2,1,1
674106,,,,,,,,
674111,,,,,,,,
674114,1,2,8,1,1,2,9,
674148,,,,,,,,
674176,1,2,1,2,1,2,1,2
674196,1,2,8,1,1,2,9,
674224,2,,,,2,,,
674239,1,2,9,,1,2,9,
674271,,,,,,,,
674280,,,,,,,,
674281,1,1,1,1,1,1,9,
674282,,,,,,,,
674283,,,,,,,,
674284,1,1,1,3,1,1,9,
674285,1,2,1,1,1,1,9,
674320,1,2,1,3,1,2,1,2
674328,,,,,,,,
674352,,,,,,,,
674353,,,,,,,,
674361,2,,,,2,,,
674373,,,,,,,,
674509,,,,,,,,
674554,1,2,9,,1,2,9,
674572,,,,,,,,
674679,,,,,,,,
674686,1,2,8,1,1,1,8,1
674700,,,,,,,,
674702,1,2,1,2,1,2,8,4
674733,1,1,1,4,1,1,9,
674757,1,2,1,2,1,2,1,3
674767,1,3,2,2,1,3,9,
674781,1,2,1,2,1,1,9,
674800,1,3,4,3,1,1,9,
674842,1,2,8,4,1,2,9,
674846,1,2,1,1,1,1,9,
674868,1,2,9,,1,2,9,
674895,1,4,2,3,1,2,1,2
674919,,,,,,,,
674970,2,,,,2,,,
674974,2,,,,1,1,9,
675004,,,,,,,,
675015,1,3,1,4,1,3,9,
675044,2,,,,2,,,
675046,1,2,8,4,1,2,9,
675141,,,,,,,,
675169,2,,,,2,,,
675214,,,,,,,,
675223,1,2,1,1,1,2,9,
675271,,,,,,,,
675272,1,2,1,3,1,2,9,
675280,1,3,1,3,1,2,9,
675290,1,3,8,4,1,3,9,
675374,,,,,,,,
675446,,,,,,,,
675480,1,2,1,2,1,2,9,
675512,2,,,,2,,,
675542,1,2,1,4,1,2,9,
675543,,,,,,,,
675546,,,,,,,,
675645,2,,,,2,,,
675685,1,1,1,1,1,1,9,
675702,1,3,2,3,1,4,2,3
675739,,,,,,,,
675746,1,2,1,2,1,2,9,
675757,,,,,,,,
675788,2,,,,2,,,
675789,,,,,,,,
675896,1,1,2,4,1,1,9,
675906,1,1,1,1,1,1,1,1
675913,,,,,,,,
675953,1,7,1,2,1,7,9,
675978,,,,,,,,
676000,1,4,5,3,1,4,4,3
676005,1,7,8,4,1,2,9,
676030,,,,,,,,
676048,1,4,8,4,1,3,9,
676110,,,,,,,,
676173,,,,,,,,
676193,1,2,8,4,1,2,9,
676198,1,2,1,4,1,2,9,
676223,1,2,1,2,1,2,1,2
676259,,,,,,,,
676265,1,3,8,4,1,3,8,4
676303,1,2,8,1,1,2,9,
676307,,,,,,,,
676359,,,,,,,,
676374,1,2,1,1,1,2,9,
676391,,,,,,,,
676407,1,2,1,2,1,2,9,
676425,1,2,1,4,1,2,9,
676426,1,2,4,3,1,2,9,
676445,2,,,,2,,,
676463,,,,,,,,
676497,1,2,1,2,1,2,9,
676500,,,,,,,,
676670,1,2,1,1,1,2,9,
676671,,,,,,,,
676717,2,,,,2,,,
676772,,,,,,,,
676819,1,1,1,1,1,1,1,1
676844,1,1,8,1,1,1,9,
676851,1,1,1,4,1,1,9,
676858,1,2,1,4,1,2,1,3
676941,,,,,,,,
676988,,,,,,,,
677079,1,1,1,4,1,1,9,
677114,,,,,,,,
677124,1,1,1,1,1,1,1,1
677130,1,1,8,1,1,1,8,4
677146,,,,,,,,
677185,2,,,,2,,,
677186,2,,,,2,,,
677280,1,2,1,3,1,2,9,
677346,,,,,,,,
677440,2,,,,2,,,
677474,1,2,2,3,1,2,9,
677475,1,1,1,1,1,2,9,
677489,,,,,,,,
677548,,,,,,,,
677570,1,2,1,4,1,2,1,2
677616,,,,,,,,
677627,,,,,,,,
677655,2,,,,2,,,
677722,1,4,4,3,1,4,9,
677766,1,2,1,2,1,2,9,
677825,,,,,,,,
677881,,,,,,,,
677909,,,,,,,,
677931,,,,,,,,
677946,1,5,4,3,1,4,9,
677973,1,1,1,1,1,1,1,1
677988,2,,,,2,,,
678001,1,1,1,2,1,1,9,
678043,1,2,1,2,1,2,9,
678052,,,,,,,,
678104,,,,,,,,
678109,1,2,8,1,1,2,9,
678138,1,2,1,2,1,2,9,
678160,1,4,1,4,1,3,1,2
678190,1,2,1,1,1,2,9,
678198,,,,,,,,
678199,1,4,2,2,1,4,9,
678259,1,3,4,3,1,2,3,3
678264,1,3,2,3,1,2,9,
678270,1,2,1,2,1,1,1,1
678299,,,,,,,,
678304,,,,,,,,
678347,1,1,1,2,1,1,9,
678368,1,2,1,2,1,2,1,2
678372,1,2,1,4,1,2,9,
678390,,,,,,,,
680056,,,,,,,,
680083,1,3,2,3,1,2,9,
680108,2,,,,2,,,
680130,2,,,,2,,,
680146,,,,,,,,
680170,,,,,,,,
680231,,,,,,,,
680239,1,1,1,2,1,2,9,
680243,1,3,1,2,1,2,9,
680257,1,3,1,2,1,3,9,
680272,,,,,,,,
680274,2,,,,2,,,
680293,,,,,,,,
680311,1,2,1,1,1,2,9,
680341,,,,,,,,
680357,,,,,,,,
680360,1,2,1,2,1,2,9,
680361,,,,,,,,
680386,1,1,1,4,1,2,1,1
680391,1,2,1,2,1,2,1,2
680401,2,,,,2,,,
680407,,,,,,,,
680409,,,,,,,,
680430,1,2,1,2,1,2,9,
680433,1,2,1,3,1,2,8,4
680437,1,1,8,4,1,1,9,
680498,1,2,1,2,1,2,9,
680501,1,2,8,1,1,1,8,1
680537,1,2,2,2,1,2,9,
680549,2,,,,2,,,
680582,1,1,1,1,1,1,9,
680606,,,,,,,,
680607,,,,,,,,
680644,2,,,,2,,,
680732,,,,,,,,
680736,2,,,,2,,,
680742,1,2,8,4,1,2,9,
680760,1,5,6,3,1,4,9,
680771,,,,,,,,
680774,1,3,1,2,1,2,9,
680777,2,,,,2,,,
680780,2,,,,2,,,
680829,,,,,,,,
680840,1,1,1,1,1,1,9,
680878,,,,,,,,
680899,1,2,1,1,1,2,9,
680904,1,2,1,2,1,2,1,3
680911,2,,,,2,,,
680913,1,4,2,4,1,3,2,4
680914,1,2,1,4,1,2,9,
680920,2,,,,2,,,
680921,1,2,1,2,1,2,9,
680933,1,1,1,2,1,1,9,
680943,,,,,,,,
680971,1,2,7,4,1,2,9,
680978,,,,,,,,
681012,1,1,8,4,1,1,9,
681099,2,,,,1,1,1,1
681133,1,1,1,2,1,1,9,
681158,1,1,1,4,1,2,9,
681159,1,1,8,1,1,1,9,
681175,,,,,,,,
681180,,,,,,,,
681189,,,,,,,,
681192,,,,,,,,
681200,2,,,,2,,,
681263,,,,,,,,
681329,1,2,1,1,1,2,1,1
681349,2,,,,2,,,
681368,1,5,5,3,1,3,9,
681371,1,2,1,2,1,2,8,4
681380,1,2,1,3,1,2,9,
681387,,,,,,,,
681394,1,3,1,3,1,4,9,
681433,1,2,9,,1,2,9,
681435,2,,,,2,,,
681436,2,,,,2,,,
681438,1,3,1,4,1,3,2,3
681441,1,2,1,2,1,2,9,
681499,,,,,,,,
681518,1,2,4,3,1,2,9,
681520,1,1,1,1,1,2,9,
681571,1,2,1,2,1,2,9,
681575,2,,,,1,2,9,
681594,1,2,1,2,1,2,1,2
681596,1,3,4,3,1,2,9,
681640,2,,,,2,,,
681687,1,3,1,4,1,3,9,
681701,1,2,8,1,1,2,9,
681713,1,2,8,4,1,2,9,
681744,2,,,,2,,,
681748,,,,,,,,
681790,2,,,,2,,,
681822,1,2,1,1,2,,,
681845,1,3,8,4,1,4,3,3
681863,,,,,,,,
681867,2,,,,2,,,
681897,1,2,1,4,1,2,9,
681932,,,,,,,,
681933,2,,,,2,,,
681975,,,,,,,,
682020,,,,,,,,
682086,,,,,,,,
682108,,,,,,,,
682118,1,2,8,4,1,2,9,
682121,1,2,1,2,1,2,9,
682125,2,,,,2,,,
682127,1,4,4,3,1,4,9,
682146,1,2,9,,1,2,9,
682154,1,1,1,1,1,1,9,
682169,1,2,1,2,1,2,9,
682170,1,2,8,1,1,2,8,1
682191,1,2,1,4,1,2,9,
682192,1,1,1,1,1,1,1,1
682204,2,,,,2,,,
682210,,,,,,,,
682259,1,2,1,1,1,2,9,
682275,1,2,8,1,1,2,9,
682281,2,,,,2,,,
682297,1,2,1,3,1,2,6,4
682298,1,3,2,3,1,3,9,
682311,2,,,,2,,,
682313,2,,,,2,,,
682319,1,1,1,4,1,2,9,
682359,1,1,1,1,1,1,9,
682360,,,,,,,,
682371,,,,,,,,
682379,,,,,,,,
682399,1,2,1,1,1,2,9,
682400,2,,,,2,,,
682450,2,,,,2,,,
682491,1,4,9,,1,4,9,
682496,,,,,,,,
682503,,,,,,,,
682508,,,,,,,,
682531,2,,,,2,,,
682532,,,,,,,,
682571,,,,,,,,
682593,,,,,,,,
682608,,,,,,,,
682609,,,,,,,,
682625,,,,,,,,
682660,,,,,,,,
682704,2,,,,1,1,9,
682709,1,5,5,3,1,4,9,
682730,,,,,,,,
682732,1,1,1,4,1,2,1,4
682737,1,2,1,4,1,2,9,
682743,1,2,1,1,1,2,1,1
682779,1,2,1,4,1,1,9,
682782,,,,,,,,
682843,1,2,8,4,1,2,9,
682850,,,,,,,,
682853,1,2,1,1,1,2,9,
682879,,,,,,,,
682894,,,,,,,,
682897,1,2,1,4,1,2,1,4
682906,1,1,1,1,1,1,9,
682969,,,,,,,,
682972,1,2,8,1,1,2,8,1
682982,1,2,8,4,1,4,3,3
682994,2,,,,2,,,
683031,1,2,1,2,1,2,9,
683034,,,,,,,,
683043,,,,,,,,
683075,1,1,1,4,1,1,9,
683081,,,,,,,,
683117,,,,,,,,
683119,1,4,1,2,1,3,9,
683121,1,2,1,1,1,2,1,1
683135,1,2,1,2,1,2,9,
683147,,,,,,,,
683157,1,2,1,1,1,2,9,
683177,1,1,1,1,1,1,9,
683192,,,,,,,,
683217,,,,,,,,
683245,1,1,9,,1,1,9,
683246,2,,,,2,,,
683249,1,2,9,,1,1,9,
683250,1,2,9,,1,1,9,
683251,1,1,9,,1,1,9,
683257,,,,,,,,
683337,1,2,1,2,1,2,1,2
683339,1,3,1,2,1,3,9,
683344,1,2,1,2,1,2,9,
683345,,,,,,,,
683377,1,5,4,2,1,5,3,3
683381,,,,,,,,
683399,,,,,,,,
683490,1,4,3,3,1,2,9,
683530,1,2,1,3,1,2,9,
683544,1,7,7,4,1,3,9,
683548,,,,,,,,
683611,2,,,,2,,,
683652,1,2,1,4,1,2,9,
683661,2,,,,2,,,
683664,1,4,4,3,1,4,3,3
683670,,,,,,,,
683671,,,,,,,,
683673,1,1,1,1,1,2,9,
683689,1,1,9,,1,1,9,
683696,1,2,1,3,2,,,
683727,,,,,,,,
683812,1,4,5,3,1,4,3,3
683869,2,,,,2,,,
683881,,,,,,,,
683896,1,2,1,2,1,2,9,
683897,,,,,,,,
683910,1,2,1,4,1,2,9,
683962,,,,,,,,
683964,1,5,2,3,1,3,9,
683970,1,2,1,4,1,2,9,
683980,1,2,1,2,1,2,1,4
684000,1,2,1,1,1,2,9,
684035,,,,,,,,
684140,1,4,2,3,1,2,9,
684147,1,1,1,1,1,1,9,
684148,1,3,1,1,1,1,9,
684168,,,,,,,,
684217,1,2,2,3,1,2,9,
684218,1,1,1,1,1,1,9,
684229,,,,,,,,
684240,1,3,8,1,1,4,3,1
684268,1,3,2,4,1,3,9,
684280,,,,,,,,
684290,2,,,,2,,,
684291,1,1,9,,1,1,9,
684326,1,4,2,4,1,2,9,
684330,,,,,,,,
684333,1,2,1,2,1,2,9,
684423,1,2,1,4,1,2,9,
684434,2,,,,2,,,
684491,,,,,,,,
684496,,,,,,,,
684507,1,2,1,2,1,2,1,2
684524,,,,,,,,
684539,,,,,,,,
684548,2,,,,2,,,
684557,1,2,1,2,1,2,9,
684559,1,2,1,4,1,2,9,
684574,1,2,1,2,1,2,9,
684592,,,,,,,,
684594,,,,,,,,
684608,,,,,,,,
684609,,,,,,,,
684617,,,,,,,,
684630,1,3,1,2,1,3,9,
684642,1,3,2,2,1,3,2,2
684649,1,2,10,,1,2,9,
684655,1,4,2,3,1,3,2,3
684671,1,1,1,1,1,1,9,
684684,1,2,8,5,1,2,8,5
684689,2,,,,2,,,
684740,1,2,1,3,1,2,9,
684752,,,,,,,,
684797,1,1,1,1,1,1,9,
684810,1,1,1,1,1,1,9,
684819,1,3,8,4,1,2,9,
684839,1,2,1,1,1,2,1,5
684854,1,1,1,1,1,1,9,
684856,1,1,1,1,1,1,9,
684866,,,,,,,,
684886,1,3,2,4,1,3,9,
684920,,,,,,,,
684927,,,,,,,,
684973,1,2,1,4,1,2,9,
684988,1,1,1,2,1,1,9,
685016,1,2,1,2,1,2,9,
685026,1,1,1,1,1,1,9,
685052,2,,,,2,,,
685058,1,1,1,1,1,1,9,
685085,2,,,,2,,,
685096,1,4,4,2,1,2,8,4
685100,1,2,1,2,1,2,1,4
685103,,,,,,,,
685124,1,2,9,,1,2,9,
685146,,,,,,,,
685148,,,,,,,,
685149,1,2,1,4,1,2,9,
685164,1,2,1,4,1,2,9,
685188,,,,,,,,
685190,,,,,,,,
685192,2,,,,2,,,
685200,1,2,1,4,1,2,9,
685253,,,,,,,,
685254,,,,,,,,
685258,1,2,9,,1,2,9,
685296,1,2,8,4,1,2,8,4
685312,1,7,10,,1,2,1,4
685323,,,,,,,,
685378,,,,,,,,
685405,1,3,2,4,1,3,8,4
685410,1,2,1,1,1,2,9,
685417,2,,,,1,2,9,
685418,1,2,8,4,1,2,8,4
685455,,,,,,,,
685487,,,,,,,,
685503,,,,,,,,
685517,1,2,8,4,1,2,8,4
685543,2,,,,2,,,
685546,1,2,1,1,1,2,9,
685588,1,2,2,3,1,2,1,2
685622,1,2,8,4,1,2,9,
685641,1,1,1,1,1,1,9,
685647,1,2,1,4,1,2,9,
685650,,,,,,,,
685664,,,,,,,,
685673,,,,,,,,
685695,,,,,,,,
685742,2,,,,2,,,
685747,1,1,8,4,1,1,8,4
685769,,,,,,,,
685793,,,,,,,,
685805,1,1,1,2,1,1,9,
685836,1,2,1,1,1,2,9,
685873,1,2,1,1,1,1,9,
685874,,,,,,,,
685890,1,2,8,1,1,2,9,
685891,1,2,1,2,1,2,9,
685902,,,,,,,,
685906,1,1,9,,1,1,9,
685923,1,2,1,1,1,2,9,
685930,1,2,1,1,1,2,9,
685956,2,,,,2,,,
685970,1,2,1,1,1,2,9,
685988,2,,,,2,,,
686009,1,2,1,1,1,2,9,
686046,,,,,,,,
686092,1,2,1,1,1,2,9,
686094,,,,,,,,
686109,1,2,1,1,1,1,1,2
686133,,,,,,,,
686135,1,2,1,1,1,2,1,1
686184,1,1,1,1,1,1,9,
686233,,,,,,,,
686235,,,,,,,,
686240,,,,,,,,
686259,1,1,8,1,1,1,9,
686276,,,,,,,,
686289,1,1,1,1,1,1,1,1
686293,,,,,,,,
686314,,,,,,,,
686325,,,,,,,,
686391,1,2,1,1,1,2,1,1
686425,1,1,8,1,1,1,8,1
686429,,,,,,,,
686500,1,3,8,4,1,3,8,4
686508,,,,,,,,
686522,,,,,,,,
686538,,,,,,,,
686543,1,2,8,4,1,2,8,4
686558,2,,,,2,,,
686571,,,,,,,,
686587,,,,,,,,
686595,,,,,,,,
686601,,,,,,,,
686619,,,,,,,,
686657,1,1,1,2,1,1,9,
686661,1,2,1,2,1,2,9,
686694,,,,,,,,
686715,,,,,,,,
686717,,,,,,,,
686742,2,,,,2,,,
686757,1,3,2,3,1,1,9,
686760,1,1,1,1,1,1,9,
686829,,,,,,,,
686887,1,1,1,1,1,1,1,1
686893,,,,,,,,
686911,1,2,1,1,1,1,9,
686954,,,,,,,,
686960,1,2,9,,1,2,9,
686979,,,,,,,,
686991,,,,,,,,
686992,,,,,,,,
686995,,,,,,,,
687000,,,,,,,,
687005,1,1,1,1,1,1,9,
687007,,,,,,,,
687012,,,,,,,,
687021,1,2,1,1,1,2,1,1
687022,1,2,1,4,1,2,1,4
687033,,,,,,,,
687039,1,2,8,1,1,2,9,
687043,1,1,8,1,1,1,9,
687070,1,2,1,2,1,2,9,
687075,,,,,,,,
687104,1,2,1,2,1,1,9,
687112,2,,,,2,,,
687134,1,3,8,4,1,2,9,
687159,,,,,,,,
687164,1,1,8,1,1,1,9,
687165,1,2,8,1,1,2,9,
687166,1,2,1,2,1,3,9,
687169,,,,,,,,
687174,1,2,1,4,1,2,9,
687178,,,,,,,,
687179,,,,,,,,
687185,1,1,1,1,1,1,9,
687188,1,1,8,4,1,1,8,4
687213,1,2,1,2,1,2,9,
687245,2,,,,2,,,
687247,,,,,,,,
687248,1,2,1,2,1,2,9,
687263,,,,,,,,
687291,2,,,,2,,,
687303,1,1,1,4,1,1,9,
687304,1,1,8,4,1,1,8,4
687322,,,,,,,,
687324,,,,,,,,
687327,1,2,1,4,1,2,8,4
687347,1,3,8,4,1,2,9,
687356,,,,,,,,
687371,1,1,1,2,1,1,9,
687410,1,3,2,3,1,2,9,
687463,1,1,1,4,1,2,2,3
687467,2,,,,2,,,
687471,1,2,8,1,1,1,8,4
687491,,,,,,,,
687508,1,2,1,2,1,2,9,
687512,1,2,1,2,1,2,9,
687553,1,2,1,2,1,2,9,
687564,1,2,1,4,1,2,9,
687582,1,3,2,2,1,2,8,4
687630,2,,,,2,,,
687644,,,,,,,,
687678,,,,,,,,
687683,,,,,,,,
687831,,,,,,,,
687832,2,,,,2,,,
687841,,,,,,,,
687846,1,1,8,4,1,1,9,
687851,1,1,1,1,1,1,9,
687882,2,,,,2,,,
687883,2,,,,2,,,
687892,,,,,,,,
687893,1,1,8,1,1,1,8,1
687894,1,1,1,1,1,1,9,
687900,,,,,,,,
687916,1,3,2,4,1,2,9,
687917,1,1,1,4,1,1,9,
687923,,,,,,,,
687938,1,1,1,1,1,1,9,
687950,1,3,8,4,1,2,9,
687953,1,3,8,4,1,4,1,2
687955,1,7,1,2,1,7,9,
687971,1,4,2,3,1,1,9,
687987,1,3,2,3,1,4,3,3
687988,,,,,,,,
687990,,,,,,,,
687993,1,1,1,1,1,1,1,1
688003,1,2,8,1,1,1,8,1
688009,,,,,,,,
688018,1,2,4,3,1,2,9,
688022,1,2,9,,1,2,9,
688033,1,1,1,2,1,1,9,
688086,1,2,1,2,1,3,1,2
688097,,,,,,,,
688099,,,,,,,,
688111,,,,,,,,
688142,1,3,1,4,1,3,1,3
688149,1,2,1,1,1,2,9,
688159,1,1,1,4,1,1,9,
688162,1,2,1,4,1,2,8,5
688172,2,,,,2,,,
688204,1,7,9,,1,7,9,
688210,,,,,,,,
688212,1,2,1,1,1,2,1,1
688222,1,2,1,3,1,2,9,
688252,1,4,4,3,1,3,1,3
688276,1,1,1,2,1,1,8,4
688300,,,,,,,,
688325,2,,,,2,,,
688338,,,,,,,,
688360,1,2,1,2,1,2,9,
688377,,,,,,,,
688385,1,2,1,2,1,2,9,
688444,2,,,,2,,,
700011,1,2,8,4,1,1,8,4
700037,1,1,1,4,1,1,1,1
700067,1,2,1,4,1,2,9,
700073,1,2,1,1,1,1,1,1
700201,,,,,,,,
700221,2,,,,2,,,
700234,,,,,,,,
700235,1,3,2,4,1,3,2,2
700403,1,2,1,2,1,3,9,
700410,,,,,,,,
700508,1,2,8,1,1,2,9,
700531,1,3,1,4,1,3,1,4
700719,1,1,1,1,1,1,9,
700729,,,,,,,,
700752,1,2,1,1,1,2,9,
700818,1,1,1,1,1,1,9,
700833,,,,,,,,
700938,1,4,1,1,1,2,9,
701002,,,,,,,,
701059,2,,,,2,,,
701105,,,,,,,,
701229,,,,,,,,
701324,1,2,1,3,1,2,9,
701336,,,,,,,,
701436,2,,,,2,,,
701514,,,,,,,,
701531,,,,,,,,
701553,,,,,,,,
701604,1,4,7,2,1,3,9,
701620,,,,,,,,
701638,1,2,8,4,2,,,
701647,,,,,,,,
701653,,,,,,,,
701800,1,2,1,2,1,2,9,
701809,1,2,8,4,1,2,1,4
702023,,,,,,,,
702056,1,2,1,2,1,2,9,
702062,,,,,,,,
702150,,,,,,,,
702428,1,2,1,1,1,2,9,
702638,,,,,,,,
702643,,,,,,,,
702656,1,2,1,2,1,2,1,1
702771,1,2,1,1,1,2,9,
702954,,,,,,,,
702964,1,5,5,2,1,4,9,
703716,1,2,1,1,1,2,9,
703735,,,,,,,,
703746,,,,,,,,
703751,,,,,,,,
703808,1,2,8,4,1,2,9,
703902,1,1,1,1,1,1,9,
704018,1,2,1,1,1,2,9,
704113,,,,,,,,
704118,2,,,,2,,,
704146,1,4,6,4,1,4,6,4
704305,,,,,,,,
704323,2,,,,1,2,1,2
704365,1,2,1,3,1,2,1,1
704702,,,,,,,,
704752,1,3,8,4,1,3,9,
704832,2,,,,2,,,
704836,2,,,,2,,,
704911,1,2,1,1,1,2,9,
704927,1,2,1,2,1,2,9,
704932,,,,,,,,
705115,,,,,,,,
705205,2,,,,2,,,
705215,,,,,,,,
705238,,,,,,,,
705774,2,,,,2,,,
705821,2,,,,2,,,
706104,2,,,,2,,,
706234,1,2,1,4,1,2,9,
706329,2,,,,2,,,
706336,1,2,4,3,1,1,9,
706342,1,2,10,,1,2,9,
706422,,,,,,,,
706436,1,2,1,1,1,2,9,
706448,,,,,,,,
706456,1,2,1,2,1,2,9,
706524,,,,,,,,
706539,,,,,,,,
706628,2,,,,2,,,
706629,2,,,,2,,,
706634,2,,,,2,,,
706649,2,,,,2,,,
706656,,,,,,,,
706727,1,7,1,4,1,2,8,4
706805,,,,,,,,
706914,1,2,1,1,1,2,9,
706921,,,,,,,,
706926,,,,,,,,
707104,,,,,,,,
707106,,,,,,,,
707344,,,,,,,,
707537,,,,,,,,
707554,,,,,,,,
707663,1,2,1,2,1,2,9,
707734,,,,,,,,
707771,,,,,,,,
707811,1,2,1,2,1,2,9,
707900,1,4,1,5,1,4,9,
707916,,,,,,,,
707938,,,,,,,,
707941,1,3,1,2,1,2,9,
707963,1,5,6,4,1,4,9,
708043,1,4,2,4,1,3,9,
708090,,,,,,,,
708121,2,,,,2,,,
708434,1,4,2,4,1,4,9,
708447,,,,,,,,
708747,1,2,1,1,1,1,9,
708801,1,2,8,4,1,3,9,
708806,,,,,,,,
708825,1,2,8,1,1,2,9,
708831,1,4,2,1,1,2,9,
708840,1,2,8,1,1,2,9,
708920,1,3,8,1,1,1,9,
708922,2,,,,1,2,1,1
708924,,,,,,,,
709416,,,,,,,,
709421,1,2,1,1,1,2,1,1
709423,1,2,8,1,1,2,8,1
709426,1,2,1,2,1,2,9,
709442,1,2,1,2,1,2,1,2
709460,1,2,1,2,1,2,9,
709470,1,2,1,2,1,2,1,2
709504,,,,,,,,
709508,,,,,,,,
709519,,,,,,,,
709520,,,,,,,,
709524,2,,,,2,,,
709601,1,2,1,1,1,2,9,
709709,,,,,,,,
709803,1,4,8,4,1,2,9,
709830,1,2,1,1,1,2,9,
709950,2,,,,2,,,
709953,,,,,,,,
710010,1,2,1,5,1,2,9,
710165,,,,,,,,
710303,1,1,1,4,1,1,9,
710308,,,,,,,,
710318,1,1,1,4,1,1,9,
710415,1,3,1,2,1,3,9,
710547,1,1,8,1,1,1,8,1
710614,,,,,,,,
710624,1,1,1,4,1,2,9,
710771,,,,,,,,
710905,,,,,,,,
710917,,,,,,,,
710944,1,2,2,4,1,2,9,
711014,2,,,,2,,,
711107,,,,,,,,
711111,1,1,1,1,1,2,9,
711112,1,2,1,4,1,2,9,
711402,1,2,8,4,1,1,9,
711417,1,2,1,4,1,2,9,
711432,1,3,1,4,1,4,2,4
711434,1,2,8,2,1,2,9,
711467,1,2,1,2,1,2,9,
711479,1,2,1,1,1,2,9,
711521,,,,,,,,
711532,,,,,,,,
711611,,,,,,,,
711624,1,3,1,4,1,4,2,3
711660,1,7,2,3,1,7,9,
711802,,,,,,,,
711829,1,2,1,1,1,2,9,
711831,,,,,,,,
712116,1,4,6,4,1,4,5,3
712122,1,2,1,2,1,2,1,2
712127,1,2,1,3,1,4,4,3
712136,1,3,1,3,1,3,3,3
712148,1,2,1,2,1,2,1,2
712219,1,2,1,5,1,2,9,
712236,,,,,,,,
712308,1,3,10,,1,3,9,
712503,,,,,,,,
712609,2,,,,2,,,
712610,1,1,9,,1,1,9,
712755,1,1,1,1,1,1,9,
712812,1,3,8,4,1,2,9,
712905,2,,,,1,2,8,4
712925,,,,,,,,
713057,,,,,,,,
713163,,,,,,,,
713215,1,2,1,1,1,2,9,
713222,1,1,1,1,1,1,1,1
713247,,,,,,,,
713250,1,1,1,4,1,3,9,
713303,2,,,,2,,,
713319,2,,,,2,,,
713617,2,,,,2,,,
713642,1,2,8,4,2,,,
713676,1,1,1,1,1,1,9,
713755,,,,,,,,
713837,1,2,1,2,1,2,9,
713851,1,7,1,4,1,3,9,
713852,1,2,2,3,1,2,1,2
713854,2,,,,2,,,
713873,2,,,,2,,,
714008,,,,,,,,
714021,1,1,1,2,1,2,2,3
714029,,,,,,,,
714110,2,,,,1,2,1,2
714134,2,,,,2,,,
714238,,,,,,,,
714416,,,,,,,,
714430,1,7,8,4,2,,,
714508,,,,,,,,
714574,1,7,1,2,1,7,1,2
714602,,,,,,,,
714669,2,,,,2,,,
714709,2,,,,2,,,
714734,,,,,,,,
714811,,,,,,,,
714828,1,2,8,4,1,2,8,4
714833,,,,,,,,
714843,,,,,,,,
714863,,,,,,,,
714933,,,,,,,,
715001,,,,,,,,
715004,1,2,9,,1,2,9,
715014,,,,,,,,
715027,,,,,,,,
715065,1,2,1,3,1,2,10,
715138,1,2,1,1,1,2,9,
715221,2,,,,2,,,
715386,,,,,,,,
715392,1,3,1,2,1,3,1,2
715395,,,,,,,,
715469,1,3,2,2,1,3,9,
715481,,,,,,,,
715500,,,,,,,,
715508,1,3,2,4,1,3,9,
715551,,,,,,,,
715572,,,,,,,,
715632,,,,,,,,
715837,,,,,,,,
715847,1,2,1,4,1,2,8,4
715872,,,,,,,,
716023,1,2,1,1,1,2,9,
716105,1,2,2,3,1,2,1,2
716202,,,,,,,,
716203,,,,,,,,
716204,2,,,,2,,,
716305,2,,,,2,,,
716458,,,,,,,,
716500,1,5,3,3,1,2,9,
716507,1,2,8,4,1,2,9,
716532,,,,,,,,
716867,,,,,,,,
716908,1,2,8,1,1,2,8,1
717014,1,2,1,4,1,2,9,
717139,1,3,2,2,1,2,9,
717242,1,1,8,1,1,1,8,1
717311,,,,,,,,
717312,1,2,4,5,1,2,9,
717328,1,2,1,4,1,2,9,
717414,1,2,1,2,1,2,1,2
717535,2,,,,2,,,
717541,1,1,1,1,1,1,1,1
717605,1,4,2,2,1,2,1,2
717624,2,,,,2,,,
717669,1,2,2,3,1,2,8,1
717804,1,2,8,1,1,2,9,
717858,,,,,,,,
717871,,,,,,,,
717900,1,5,6,4,1,4,3,3
718005,1,2,8,4,1,1,9,
718006,,,,,,,,
718115,1,2,8,1,1,2,8,1
718212,,,,,,,,
718252,1,2,1,2,2,,,
718506,1,2,9,,1,2,9,
718526,,,,,,,,
718531,1,2,8,4,1,2,8,4
718600,1,3,1,2,1,3,2,5
718610,1,2,8,1,1,1,9,
718621,1,2,1,2,1,2,8,5
718624,1,2,8,1,1,2,9,
718645,1,2,8,1,1,2,9,
718738,,,,,,,,
718767,1,2,1,2,1,2,9,
718837,2,,,,2,,,
718910,1,2,5,3,1,2,2,3
719025,1,2,1,1,1,2,9,
719033,,,,,,,,
719121,2,,,,2,,,
