nquest,servb1,servb2,servb3,servb4,servb5,servb6,servb7,servb8,servb9,servb10,servb11,servb12,servb13,servb14,depc,ndepc,idepc,lib,nlib,ilib,unaban,banche,scoper,fscoper1,fscoper,carta,carte,usocart,cartdeb1,cartdeb,bancomat,nbancoma,cartapre,ncartapre,scorta,spesecon,compusa,compcasa,internet,ebuy,coldis,utscoper
680113,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,100,800,2,,,,2,2
680130,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,2,2,2,,,2,,,,,2,,2,,500,1300,1,1,1,2,2,
680133,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,2,2,,,1,1,2,,200,200,2,,,,2,
680134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,,,2,3,2,,,2,,,,,2,,2,,1000,1000,1,1,2,,2,
680143,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,600,500,2,,,,2,
680144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,800,800,1,1,1,2,2,
680146,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,500,500,2,,,,2,
680170,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,,1,1,1,1,1,,,,2,,,,,2,,2,,300,850,2,,,,2,
680193,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,300,600,1,1,1,1,1,
680231,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3,3,2,,,2,3,2,,,1,2,2,,,1,3,2,,200,900,1,1,1,2,1,
680234,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,1,1,2,,,1,1,2,,200,800,2,,,,2,
680239,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,100,800,2,,,,2,
680243,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,2,,,1,1,1,,,1,2,2,,100,600,2,,,,2,
680244,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,2,2,,100,1000,1,1,1,2,2,
680257,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,500,800,1,1,1,1,2,
680258,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,400,500,2,,,,2,
680261,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,,,1,1,1,,,1,2,2,,,1,3,2,,500,1000,1,1,1,2,1,2
680263,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,300,300,2,,,,2,
680272,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,2,1,,,1,2,2,,500,500,1,1,1,1,1,
680274,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,2,1,,,1,2,2,,500,500,1,1,1,1,1,
680282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,700,700,2,,,,2,2
680285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,1500,2,,,,,1,1,2,,100,450,2,,,,2,1
680293,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,1,1,1,,,1,1,2,,300,300,1,2,2,,2,2
680311,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,100,1000,2,,,,2,
680341,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,1,1,2,,,1,1,2,,100,400,1,1,1,2,2,2
680357,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,,1,1,2,,,2,,,,,2,,2,,1500,2000,1,1,2,,2,
680358,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,1,1,,1,1,2,,,2,,,,,1,1,2,,800,1000,1,1,2,,2,
680359,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,1,1,1,,,1,3,2,,,1,2,2,,500,1000,1,1,1,1,1,2
680360,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,600,2,,,,2,
680361,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,250,400,2,,,,2,
680386,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,500,500,1,1,1,1,1,
680391,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,1,1,2,,,2,,,,,1,2,2,,400,800,2,,,,2,
680401,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,3,2,,,2,2,2,,,2,,,,,1,1,2,,1200,1200,2,,,,2,
680407,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,100,1000,2,,,,2,
680409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,1,200,2,,,,,2,,2,,50,100,2,,,,2,1
680430,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,1000,1000,2,,,,2,
680433,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,2,,,1,1,2,,500,700,2,,,,2,2
680437,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,2,,2,,200,1200,2,,,,2,2
680498,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,2,2,,200,1000,1,1,1,2,2,2
680500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,200,500,2,,,,2,
680501,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,2,2,3,,,2,,,,,2,,2,,400,800,1,1,1,2,2,
680537,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,200,1000,1,1,2,,2,
680538,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,,,1,1,2,,,2,,,,,1,2,2,,200,250,1,1,1,1,1,
680549,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,2000,2000,1,1,1,2,2,
680566,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,0,500,2,,,,2,
680567,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,150,400,1,1,1,2,2,
680582,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,2,1,1,,,,2,,,,,2,,2,,500,800,2,,,,2,
680587,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,1,1,3,2,,1,1,2,,200,800,1,1,2,,2,2
680595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,1,1,1,,,2,,,,,2,,2,,500,1500,2,,,,2,2
680601,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,2,2,,200,1000,1,1,2,,2,
680606,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,1,,,2,,,,,1,1,2,,150,600,1,1,1,1,1,2
680607,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,,,2,,,,,1,1,2,,700,800,2,,,,2,2
680612,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,100,300,2,,,,2,
680631,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,500,1000,2,,,,2,2
680637,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,1500,1500,2,,,,2,
680640,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,920,920,2,,,,2,
680644,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,600,600,2,,,,2,
680648,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,,,2,,,,,2,,2,,800,800,2,,,,2,
680651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,500,500,1,1,1,2,2,
680663,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,2,2,,300,2300,1,1,1,1,2,2
680686,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,2,2,,100,1000,1,1,1,1,2,2
680717,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,1,,,1,1,2,,300,850,2,,,,2,
680732,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,4,4,2,,,2,2,2,,,2,,,,,1,4,1,2,400,400,1,1,1,1,1,
680736,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,700,700,1,1,1,2,2,
680742,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,4,2,,,2,3,1,,,2,,,,,1,3,1,2,500,1300,1,1,1,1,1,2
680746,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,2,,,2,2,2,,,1,2,2,,,1,2,1,1,500,400,1,2,1,1,2,
680760,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,2,1,1,,2,2,1,,,1,1,1,,,1,2,2,,500,1600,1,1,2,,2,2
680771,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,2,,,,,1,1,2,,300,1000,2,,,,2,
680774,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,2,1,1,1,1,1,1,,,1,1,1,,,1,2,2,,100,250,1,1,1,1,1,2
680777,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,1,2,,400,700,1,1,1,2,2,
680780,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,3,2,,800,500,1,1,1,1,1,
680788,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,2,2,2,,,2,2,1,,,2,,,,,1,1,1,1,250,400,1,1,1,1,1,2
680829,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,1,,,1,1,2,,1000,1000,1,2,2,,2,
680837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,700,2,,,,2,
680839,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,1200,2,,,,2,
680840,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,300,1200,1,1,1,2,2,2
680843,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,1,2,1,1,,,,2,,,,,2,,2,,200,900,2,,,,2,
680861,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,1,1,,,1,1,2,,250,1000,2,,,,2,2
680868,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,2,2,2,,,2,2,1,1,700,1,2,2,,,1,2,2,,500,500,1,1,2,,2,1
680870,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,,,1,1,1,,,1,1,2,,400,1000,1,1,1,2,2,2
680878,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,300,500,2,,,,2,
680880,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,300,600,2,,,,2,
680889,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,2,1,,,1,2,2,,1200,1200,2,,,,2,
680891,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,1000,1000,2,,,,2,
680892,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,800,800,2,,,,2,
680896,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,2,1,,,1,2,2,,400,400,1,1,1,2,2,2
680899,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,400,400,2,,,,2,
680904,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,350,1000,2,,,,2,
680911,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,600,800,2,,,,2,
680912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,2,1,,,1,2,2,,700,700,2,,,,2,
680913,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,2,,,1,2,2,,400,1100,1,1,1,2,1,
680914,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,600,600,2,,,,2,
680916,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,300,600,1,1,1,2,2,
680920,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,,,2,,,,,2,,2,,50,1900,2,,,,2,
680921,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,500,800,2,,,,2,
680933,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,100,1500,1,1,1,1,2,
680938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,,,2,,,,,1,1,2,,80,1200,1,1,1,2,2,2
680943,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,2,,,1,1,1,,,1,1,2,,250,600,2,,,,2,
680971,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,,,1,1,2,,,1,2,2,,,1,2,1,1,100,500,1,1,1,1,1,
680978,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,300,800,1,1,1,1,2,
680981,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,1,,,1,1,2,,,1,1,2,,100,800,1,1,1,2,2,2
680982,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,100,900,2,,,,2,2
680997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,100,1500,1,1,2,,2,
681012,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,2,1,1,1,2,2,3,,,2,,,,,1,2,2,,200,1700,1,1,1,1,1,
681033,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,2,2,1,,,1,1,2,,,1,1,2,,200,200,1,1,2,,2,2
681096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,500,1000,2,,,,2,
681097,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,750,2,,,,2,
681099,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,2,,2,,600,500,2,,,,2,
681133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,1,1,500,1300,2,,,,2,
681158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,1,,,2,,,,,1,2,1,1,500,1200,1,1,1,1,1,2
681159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,2,1,1,,,,2,,,,,2,,2,,1000,1200,2,,,,2,
681175,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,500,800,1,1,1,1,1,
681180,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,250,350,2,,,,2,
681189,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,250,400,2,,,,2,
681192,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,400,400,2,,,,2,
681196,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,600,600,1,1,1,1,1,
681197,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,1,1,1,,,1,1,2,,600,600,1,1,1,1,1,
681200,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,500,500,2,,,,2,
681244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,1,1,2,,100,1000,1,1,2,,2,2
681263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,150,300,2,,,,2,
681266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,100,500,2,,,,2,
681268,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,2,2,,,1,1,1,1,2000,1,2,3,1,10000,1,1,2,,200,300,1,1,1,2,1,1
681298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,900,900,2,,,,2,
681320,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,400,800,2,,,,2,
681329,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,,,1,1,2,,,1,1,2,,1000,1200,1,1,1,2,2,
681349,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,300,1500,1,1,2,,2,
681366,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,1,1,2,,200,400,2,,,,2,
681368,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,1,1,2,,,1,2,2,,500,1500,1,1,1,1,1,
681371,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,2,,,,,2,,2,,500,800,1,1,1,2,1,2
681379,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,2,,,1,1,2,,,1,2,1,,,1,2,2,,700,800,1,1,1,1,1,
681380,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,2,,2,,300,1350,2,,,,2,
681387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,2,,2,,200,1500,2,,,,2,2
681394,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,2,2,,,1,1,1,1,2500,1,1,2,,,1,1,2,,0,400,1,1,1,1,1,1
681403,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,200,1000,2,,,,2,
681430,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,,,2,,,,,2,,2,,500,500,2,,,,2,
681431,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,,,2,,,,,2,,2,,300,500,2,,,,2,
681433,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1,2,,,2,,,,,2,,2,,500,1000,2,,,,2,
681435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,,,1,1,2,,,2,,,,,2,,2,,400,700,2,,,,2,
681436,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,1,1,1,1,3000,2,,,,,1,2,2,,500,800,2,,,,2,1
681438,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,1,1,350,600,1,1,1,2,1,
681441,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,2,2,,,1,1,3,,,1,1,2,,,1,1,2,,200,1000,1,1,1,1,1,
681477,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,2,1,1,2,2,2,1,2,,1,1,2,,,1,2,2,,100,400,1,1,1,1,1,2
681499,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,100,500,2,,,,2,
681501,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,,1,1,2,,,2,,,,,2,,1,1,1000,1500,1,1,1,2,2,
681518,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,,,2,,,,,2,,2,,400,800,1,1,2,,2,
681520,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1,1,,,2,,,,,1,1,2,,100,850,1,1,2,,2,2
681528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,1,1,2,,,2,,,,,1,1,2,,400,1000,2,,,,2,
681571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,,,1,1,2,,,1,1,1,2,500,2000,1,1,1,2,2,
681575,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,2,2,,200,500,1,1,1,2,1,
681594,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,2,,,1,1,3,1,1,1,2,2,,200,400,1,1,1,2,2,
681596,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,1,,,1,2,2,,,2,,2,,500,500,1,1,1,1,1,2
681613,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,2,,2,,300,400,2,,,,2,2
681640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,500,2000,1,1,1,2,2,
681658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,100,700,2,,,,2,
681668,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,500,1000,2,,,,2,
681673,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,700,1,1,1,2,2,
681687,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,,,1,1,2,,,1,2,2,,,1,2,2,,500,500,1,1,1,2,2,
681691,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,4,2,,,2,4,1,,,2,,,,,1,4,2,,400,700,1,1,1,2,1,2
681701,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,1,2,,,1,1,1,,,2,,2,,1200,1200,1,1,1,2,2,
681711,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,150,450,2,,,,2,
681713,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,2,1,1,2000,1,1,2,,,1,1,2,,100,500,1,1,1,1,2,1
681744,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,2,2,,100,1200,2,,,,2,
681748,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,200,600,2,,,,2,
681781,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,1500,1500,2,,,,2,
681790,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,2,,,1,1,2,,,1,1,2,,500,1200,1,1,1,2,2,
681801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,700,700,2,,,,2,
681804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,,,2,,,,,2,,2,,650,850,1,1,1,2,2,
681819,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,200,400,2,,,,2,
681820,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,100,450,2,,,,2,
681822,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,200,1300,2,,,,2,
681832,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,,,1,1,2,,,2,,,,,1,1,2,,400,400,2,,,,2,
681844,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,1,1,,,1,1,2,,,1,1,2,,1000,1500,1,1,1,1,1,2
681845,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,2,2,,,1,1,3,,,2,,,,,1,1,2,,500,1500,1,1,2,,2,
681863,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,350,350,2,,,,2,
681867,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,500,1000,2,,,,2,
681875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,,,2,3,2,,,1,1,1,,,2,,2,,0,400,1,1,1,2,2,
681887,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,,,1,1,2,,,2,,,,,2,,2,,700,700,2,,,,2,
681897,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,3,4,1,1,1,2,2,3,,,1,1,1,,,1,1,2,,300,3000,1,1,1,1,2,
681914,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,,,1,1,1,1,1,,,,2,,,,,2,,2,,200,800,2,,,,2,
681929,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,750,750,2,,,,2,
681932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,,,1,1,1,,,2,,,,,1,1,2,,200,1500,1,1,1,2,2,2
681933,,,,,,,,,,,,,,,2,,,2,,,,,,,,2,,,,,2,,2,,300,900,2,,,,2,
